observation_date,CES4000000001
1990-01-01,22692
1990-02-01,22672
1990-03-01,22673
1990-04-01,22675
1990-05-01,22667
1990-06-01,22660
1990-07-01,22644
1990-08-01,22605
1990-09-01,22594
1990-10-01,22581
1990-11-01,22559
1990-12-01,22553
1991-01-01,22483
1991-02-01,22379
1991-03-01,22328
1991-04-01,22247
1991-05-01,22227
1991-06-01,22211
1991-07-01,22213
1991-08-01,22208
1991-09-01,22185
1991-10-01,22163
1991-11-01,22145
1991-12-01,22142
1992-01-01,22104
1992-02-01,22107
1992-03-01,22107
1992-04-01,22115
1992-05-01,22103
1992-06-01,22107
1992-07-01,22067
1992-08-01,22051
1992-09-01,22046
1992-10-01,22064
1992-11-01,22069
1992-12-01,22086
1993-01-01,22147
1993-02-01,22196
1993-03-01,22181
1993-04-01,22209
1993-05-01,22257
1993-06-01,22307
1993-07-01,22364
1993-08-01,22376
1993-09-01,22429
1993-10-01,22482
1993-11-01,22512
1993-12-01,22574
1994-01-01,22613
1994-02-01,22710
1994-03-01,22815
1994-04-01,22833
1994-05-01,22948
1994-06-01,23027
1994-07-01,23114
1994-08-01,23201
1994-09-01,23293
1994-10-01,23361
1994-11-01,23465
1994-12-01,23549
1995-01-01,23616
1995-02-01,23672
1995-03-01,23667
1995-04-01,23726
1995-05-01,23725
1995-06-01,23777
1995-07-01,23780
1995-08-01,23829
1995-09-01,23851
1995-10-01,23885
1995-11-01,23917
1995-12-01,23933
1996-01-01,23935
1996-02-01,23972
1996-03-01,24014
1996-04-01,24027
1996-05-01,24127
1996-06-01,24182
1996-07-01,24228
1996-08-01,24255
1996-09-01,24280
1996-10-01,24354
1996-11-01,24387
1996-12-01,24425
1997-01-01,24432
1997-02-01,24458
1997-03-01,24514
1997-04-01,24552
1997-05-01,24582
1997-06-01,24618
1997-07-01,24653
1997-08-01,24543
1997-09-01,24737
1997-10-01,24806
1997-11-01,24862
1997-12-01,24903
1998-01-01,24927
1998-02-01,24945
1998-03-01,24962
1998-04-01,24995
1998-05-01,25073
1998-06-01,25104
1998-07-01,25144
1998-08-01,25183
1998-09-01,25224
1998-10-01,25240
1998-11-01,25291
1998-12-01,25361
1999-01-01,25380
1999-02-01,25484
1999-03-01,25520
1999-04-01,25580
1999-05-01,25630
1999-06-01,25680
1999-07-01,25745
1999-08-01,25774
1999-09-01,25829
1999-10-01,25882
1999-11-01,25920
1999-12-01,26019
2000-01-01,26043
2000-02-01,26061
2000-03-01,26118
2000-04-01,26184
2000-05-01,26118
2000-06-01,26140
2000-07-01,26150
2000-08-01,26179
2000-09-01,26175
2000-10-01,26193
2000-11-01,26210
2000-12-01,26263
2001-01-01,26180
2001-02-01,26177
2001-03-01,26139
2001-04-01,26007
2001-05-01,25992
2001-06-01,25958
2001-07-01,25886
2001-08-01,25875
2001-09-01,25790
2001-10-01,25718
2001-11-01,25632
2001-12-01,25548
2002-01-01,25486
2002-02-01,25480
2002-03-01,25470
2002-04-01,25457
2002-05-01,25441
2002-06-01,25442
2002-07-01,25450
2002-08-01,25397
2002-09-01,25349
2002-10-01,25362
2002-11-01,25330
2002-12-01,25342
2003-01-01,25296
2003-02-01,25272
2003-03-01,25228
2003-04-01,25213
2003-05-01,25192
2003-06-01,25154
2003-07-01,25126
2003-08-01,25147
2003-09-01,25185
2003-10-01,25209
2003-11-01,25192
2003-12-01,25183
2004-01-01,25272
2004-02-01,25280
2004-03-01,25352
2004-04-01,25386
2004-05-01,25415
2004-06-01,25456
2004-07-01,25456
2004-08-01,25468
2004-09-01,25518
2004-10-01,25556
2004-11-01,25575
2004-12-01,25598
2005-01-01,25625
2005-02-01,25691
2005-03-01,25710
2005-04-01,25786
2005-05-01,25824
2005-06-01,25869
2005-07-01,25933
2005-08-01,25965
2005-09-01,25945
2005-10-01,25957
2005-11-01,26013
2005-12-01,26033
2006-01-01,26057
2006-02-01,26090
2006-03-01,26129
2006-04-01,26123
2006-05-01,26116
2006-06-01,26136
2006-07-01,26161
2006-08-01,26172
2006-09-01,26193
2006-10-01,26233
2006-11-01,26293
2006-12-01,26340
2007-01-01,26381
2007-02-01,26426
2007-03-01,26492
2007-04-01,26491
2007-05-01,26520
2007-06-01,26514
2007-07-01,26528
2007-08-01,26525
2007-09-01,26557
2007-10-01,26553
2007-11-01,26614
2007-12-01,26608
2008-01-01,26586
2008-02-01,26545
2008-03-01,26525
2008-04-01,26425
2008-05-01,26338
2008-06-01,26290
2008-07-01,26226
2008-08-01,26126
2008-09-01,26013
2008-10-01,25902
2008-11-01,25696
2008-12-01,25523
