observation_date,CES5500000008
1990-01-01,9.78
1990-02-01,9.81
1990-03-01,9.83
1990-04-01,9.88
1990-05-01,9.9
1990-06-01,9.98
1990-07-01,10.04
1990-08-01,10.05
1990-09-01,10.09
1990-10-01,10.12
1990-11-01,10.14
1990-12-01,10.17
1991-01-01,10.22
1991-02-01,10.25
1991-03-01,10.33
1991-04-01,10.35
1991-05-01,10.39
1991-06-01,10.43
1991-07-01,10.46
1991-08-01,10.48
1991-09-01,10.52
1991-10-01,10.53
1991-11-01,10.57
1991-12-01,10.62
1992-01-01,10.65
1992-02-01,10.68
1992-03-01,10.73
1992-04-01,10.76
1992-05-01,10.8
1992-06-01,10.84
1992-07-01,10.87
1992-08-01,10.92
1992-09-01,10.94
1992-10-01,10.99
1992-11-01,11.04
1992-12-01,11.08
1993-01-01,11.15
1993-02-01,11.18
1993-03-01,11.2
1993-04-01,11.23
1993-05-01,11.31
1993-06-01,11.36
1993-07-01,11.4
1993-08-01,11.46
1993-09-01,11.49
1993-10-01,11.56
1993-11-01,11.6
1993-12-01,11.66
1994-01-01,11.69
1994-02-01,11.72
1994-03-01,11.75
1994-04-01,11.8
1994-05-01,11.78
1994-06-01,11.8
1994-07-01,11.83
1994-08-01,11.86
1994-09-01,11.91
1994-10-01,11.97
1994-11-01,12.0
1994-12-01,12.04
1995-01-01,12.06
1995-02-01,12.14
1995-03-01,12.18
1995-04-01,12.21
1995-05-01,12.24
1995-06-01,12.29
1995-07-01,12.34
1995-08-01,12.38
1995-09-01,12.43
1995-10-01,12.45
1995-11-01,12.48
1995-12-01,12.53
1996-01-01,12.56
1996-02-01,12.59
1996-03-01,12.65
1996-04-01,12.66
1996-05-01,12.69
1996-06-01,12.72
1996-07-01,12.75
1996-08-01,12.79
1996-09-01,12.84
1996-10-01,12.86
1996-11-01,12.94
1996-12-01,12.91
1997-01-01,12.96
1997-02-01,12.96
1997-03-01,13.06
1997-04-01,13.02
1997-05-01,13.14
1997-06-01,13.19
1997-07-01,13.26
1997-08-01,13.44
1997-09-01,13.48
1997-10-01,13.54
1997-11-01,13.59
1997-12-01,13.59
1998-01-01,13.66
1998-02-01,13.75
1998-03-01,13.81
1998-04-01,13.89
1998-05-01,13.93
1998-06-01,13.98
1998-07-01,13.99
1998-08-01,14.06
1998-09-01,14.09
1998-10-01,14.16
1998-11-01,14.25
1998-12-01,14.33
1999-01-01,14.38
1999-02-01,14.43
1999-03-01,14.43
1999-04-01,14.5
1999-05-01,14.55
1999-06-01,14.54
1999-07-01,14.6
1999-08-01,14.57
1999-09-01,14.63
1999-10-01,14.66
1999-11-01,14.69
1999-12-01,14.71
2000-01-01,14.8
2000-02-01,14.81
2000-03-01,14.89
2000-04-01,14.93
2000-05-01,14.97
2000-06-01,15.04
2000-07-01,15.04
2000-08-01,15.09
2000-09-01,15.17
2000-10-01,15.19
2000-11-01,15.23
2000-12-01,15.33
2001-01-01,15.37
2001-02-01,15.45
2001-03-01,15.53
2001-04-01,15.47
2001-05-01,15.59
2001-06-01,15.66
2001-07-01,15.69
2001-08-01,15.73
2001-09-01,15.74
2001-10-01,15.78
2001-11-01,15.86
2001-12-01,15.91
2002-01-01,15.89
2002-02-01,15.93
2002-03-01,15.96
2002-04-01,16.0
2002-05-01,16.07
2002-06-01,16.15
2002-07-01,16.27
2002-08-01,16.42
2002-09-01,16.48
2002-10-01,16.59
2002-11-01,16.61
2002-12-01,16.67
2003-01-01,16.79
2003-02-01,16.89
2003-03-01,16.9
2003-04-01,17.02
2003-05-01,17.1
2003-06-01,17.24
2003-07-01,17.47
2003-08-01,17.49
2003-09-01,17.37
2003-10-01,17.33
2003-11-01,17.38
2003-12-01,17.36
2004-01-01,17.42
2004-02-01,17.39
2004-03-01,17.46
2004-04-01,17.5
2004-05-01,17.61
2004-06-01,17.56
2004-07-01,17.61
2004-08-01,17.62
2004-09-01,17.68
2004-10-01,17.73
2004-11-01,17.66
2004-12-01,17.74
2005-01-01,17.74
2005-02-01,17.75
2005-03-01,17.82
2005-04-01,17.86
2005-05-01,17.88
