date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,13.474193548387097,1597.3,0.0,31,2.35,17,0,214.57999999999998,0,31,11.783870967741937,55.37419354838709,-3.6095161290322597
2000-02-01,26.275862068965516,1122.9999999999998,0.0,29,1.35,3,1,330.71999999999997,0,25,9.806896551724137,47.48275862068966,3.6964285714285694
2000-03-01,29.91290322580645,1087.7,0.0,31,0.76,7,0,247.63,0,29,11.887096774193548,41.29677419354839,2.901129032258062
2000-04-01,38.7,789.0,0.0,30,0.41,4,0,67.72,0,18,11.706666666666667,38.49333333333333,-0.2044999999999959
2000-05-01,46.65161290322581,568.8000000000001,0.0,31,0.87,9,0,0.0,0,5,12.077419354838709,45.79032258064516,-2.481612903225802
2000-06-01,55.806666666666665,275.80000000000007,0.0,30,1.64,12,0,0.0,0,0,12.476666666666667,53.68666666666666,-0.2540000000000049
2000-07-01,56.541935483870965,262.19999999999993,0.0,31,2.91,14,0,0.0,0,0,9.374193548387098,75.94516129032259,-2.524193548387096
2000-08-01,53.877419354838715,344.8,0.0,31,3.9,15,0,0.0,0,0,10.241935483870968,58.39354838709678,-2.654032258064518
2000-09-01,45.723333333333336,578.2999999999998,0.0,30,3.49,16,0,0.0,0,6,10.146666666666667,45.85333333333333,-2.5873333333333335
2000-10-01,35.26129032258064,921.9000000000002,0.0,31,0.59,5,0,10.44,0,18,12.870967741935484,41.561290322580646,-1.8651612903225825
2000-11-01,29.99,1050.3,0.0,30,0.33,4,0,12.99,0,24,15.173333333333334,60.693333333333335,7.169333333333331
2000-12-01,26.97741935483871,1178.6999999999998,0.0,31,0.99,5,0,54.36,0,29,16.380645161290325,54.9483870967742,7.8670967741935485
2001-01-01,28.84516129032258,1120.8,0.0,31,1.81,11,0,23.23,0,22,14.451612903225806,37.78064516129032,11.761451612903222
2001-02-01,25.089285714285715,1117.5,0.0,28,1.51,11,0,82.87,0,26,11.507142857142856,44.503571428571426,2.5098522167487687
2001-03-01,29.54516129032258,1099.1000000000001,0.0,31,0.66,6,0,64.36,0,27,15.0,36.89677419354839,2.5333870967741916
2001-04-01,38.3,801.0,0.0,30,0.66,5,0,58.65,0,14,12.43,40.406666666666666,-0.6045000000000016
2001-05-01,44.88709677419355,623.5,0.0,31,1.01,12,0,9.45,0,6,12.63225806451613,59.04516129032258,-4.246129032258061
2001-06-01,58.14333333333333,205.69999999999996,0.0,30,1.07,10,0,0.0,0,0,11.356666666666666,44.769999999999996,2.082666666666661
2001-07-01,56.57096774193548,261.29999999999995,0.0,31,3.93,23,0,0.0,0,0,9.293548387096775,78.96451612903226,-2.495161290322578
2001-08-01,57.42258064516129,234.9,0.0,31,1.46,9,0,0.0,0,0,10.048387096774194,57.07419354838709,0.891129032258057
2001-09-01,49.12,476.40000000000003,0.0,30,1.3,8,0,0.0,0,0,10.703333333333335,37.54,0.8093333333333277
2001-10-01,29.86774193548387,1089.1,0.0,31,1.27,13,0,32.69,0,21,11.661290322580646,49.938709677419354,-7.258709677419354
2001-11-01,19.73,1358.1000000000001,0.0,30,0.51,2,0,34.66,0,29,11.083333333333334,23.436666666666667,-3.0906666666666673
