date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,32.49677419354838,1007.6,0.0,31,0.96,7,0,0.0,0,29,14.148387096774194,23.4741935483871,2.1877419354838707
2000-02-01,35.689655172413794,849.9999999999999,0.0,29,1.6199999999999999,9,0,0.0,0,28,17.599999999999998,35.11724137931034,2.990480295566499
2000-03-01,36.358064516129026,887.9,0.0,31,4.05,15,0,0.0,0,30,16.793548387096774,36.099999999999994,-2.9562903225806494
2000-04-01,48.97,480.9,0.0,30,0.26,5,0,0.0,0,19,18.633333333333333,12.893333333333334,3.0418333333333294
2000-05-01,59.019354838709674,212.2,26.799999999999983,31,0.24,5,0,0.0,5,5,18.6,7.864516129032258,4.903225806451616
2000-06-01,65.61666666666666,36.9,55.39999999999999,30,1.37,7,0,0.0,6,0,18.616666666666667,16.073333333333334,0.5066666666666606
2000-07-01,70.1741935483871,0.9000000000000057,161.30000000000004,31,0.79,9,0,0.0,20,0,17.40967741935484,14.383870967741935,2.0624193548387098
2000-08-01,65.78709677419356,38.499999999999986,62.900000000000006,31,3.29,20,0,0.0,11,0,14.60967741935484,35.94516129032258,0.6508064516129082
2000-09-01,61.64666666666667,112.50000000000003,11.90000000000002,30,0.99,10,0,0.0,1,0,15.83,15.176666666666668,2.4966666666666697
2000-10-01,46.564516129032256,571.5,0.0,31,4.8,15,0,0.0,0,11,14.416129032258064,39.39354838709678,-1.470000000000006
2000-11-01,30.759999999999998,1027.2,0.0,30,1.59,8,0,0.0,0,28,14.913333333333332,19.916666666666668,-6.905833333333341
2000-12-01,32.76129032258065,999.4,0.0,31,0.5700000000000001,7,0,0.0,0,31,14.416129032258066,14.764516129032257,2.9283870967741983
2001-01-01,27.425806451612903,1164.8,0.0,31,3.17,13,1,0.0,0,31,14.887096774193548,30.429032258064513,-2.883225806451609
2001-02-01,30.939285714285713,953.7,0.0,28,2.51,9,0,0.0,0,28,15.707142857142857,25.542857142857144,-1.7598891625615813
2001-03-01,39.70967741935484,784.0,0.0,31,2.15,10,0,0.0,0,28,15.87741935483871,24.796774193548384,0.3953225806451641
2001-04-01,44.60333333333333,611.9,0.0,30,1.6600000000000001,9,0,0.0,0,20,18.416666666666668,26.77,-1.3248333333333377
2001-05-01,58.07741935483871,222.20000000000002,7.599999999999994,31,1.06,5,0,0.0,0,3,16.096774193548388,12.490322580645161,3.961290322580652
2001-06-01,66.45666666666666,42.00000000000001,85.69999999999996,30,0.2,3,0,0.0,11,2,17.01,4.91,1.346666666666664
2001-07-01,67.3258064516129,14.0,86.10000000000001,31,3.09,23,0,0.0,8,0,15.30967741935484,26.845161290322583,-0.7859677419354796
2001-08-01,64.75483870967743,39.6,31.999999999999986,31,3.81,20,1,0.0,4,0,13.896774193548387,24.616129032258065,-0.38145161290321994
2001-09-01,61.36,114.80000000000003,5.6000000000000085,30,0.8899999999999999,7,0,0.0,0,1,14.433333333333334,13.123333333333333,2.210000000000001
2001-10-01,50.96451612903226,435.09999999999997,0.0,31,1.45,9,0,0.0,0,13,15.245161290322581,14.929032258064517,2.9299999999999997
2001-11-01,38.90333333333333,782.9,0.0,30,0.87,7,0,0.0,0,23,15.47,22.133333333333333,1.23749999999999
2001-12-01,27.419354838709676,1165.0,0.0,31,1.61,12,0,0.0,0,30,13.57741935483871,25.903225806451612,-2.4135483870967747
2002-01-01,30.458064516129035,1070.8,0.0,31,0.1,2,0,0.0,0,31,16.245161290322578,18.69677419354839,0.1490322580645227
2002-02-01,33.51428571428571,881.6,0.0,28,0.14,4,0,0.0,0,28,18.592857142857145,5.010714285714286,0.815110837438418
2002-03-01,37.07419354838709,865.7000000000002,0.0,31,0.9700000000000001,9,0,0.0,0,28,18.251612903225805,18.07741935483871,-2.2401612903225825
2002-04-01,49.67666666666666,459.7,0.0,30,0.72,4,0,0.0,0,13,19.7,14.416666666666666,3.748499999999993
2002-05-01,55.86129032258064,295.4999999999999,12.200000000000003,31,0.06,2,0,0.0,0,10,19.125806451612902,2.3741935483870966,1.745161290322585
2002-06-01,67.52333333333334,26.900000000000006,102.60000000000001,30,0.12,3,0,0.0,17,0,19.03666666666667,1.5666666666666667,2.413333333333341
2002-07-01,71.11612903225806,0.09999999999999432,189.7,31,3.39,17,0,0.0,11,0,16.351612903225806,20.45483870967742,3.0043548387096735
2002-08-01,67.71612903225805,18.30000000000001,102.5,31,1.31,11,0,0.0,11,0,16.951612903225808,20.09032258064516,2.5798387096774036
2002-09-01,59.126666666666665,189.20000000000005,13.0,30,6.12,10,2,0.0,0,0,16.9,26.93,-0.023333333333333428
2002-10-01,46.119354838709675,585.3,0.0,31,3.08,10,0,0.0,0,9,14.451612903225806,24.551612903225806,-1.9151612903225868
2002-11-01,37.723333333333336,818.3,0.0,30,2.3600000000000003,7,1,0.0,0,27,16.843333333333334,14.533333333333333,0.05749999999999744
2002-12-01,28.15806451612903,1142.1,0.0,31,0.93,10,0,0.0,0,31,15.083870967741936,23.91290322580645,-1.6748387096774202
2003-01-01,35.92258064516129,901.3999999999999,0.0,31,0.27,4,0,0.0,0,31,14.541935483870969,13.86774193548387,5.6135483870967775
2003-02-01,33.135714285714286,892.2,0.0,28,3.42,11,1,0.0,0,25,17.639285714285712,34.05,0.4365394088669916
2003-03-01,38.067741935483866,834.8999999999999,0.0,31,1.44,9,0,0.0,0,28,17.793548387096774,24.112903225806452,-1.2466129032258095
2003-04-01,42.99666666666667,660.1000000000001,0.0,30,0.49,4,0,0.0,0,24,23.19,15.753333333333334,-2.9314999999999998
2003-05-01,56.89032258064516,266.0,14.599999999999994,31,0.75,3,0,0.0,0,7,19.470967741935485,13.922580645161291,2.774193548387103
2003-06-01,64.30666666666667,55.2,34.39999999999999,30,0.05,1,0,0.0,3,0,21.266666666666666,3.69,-0.8033333333333275
2003-07-01,71.78064516129032,0.0,210.20000000000005,31,3.44,11,1,0.0,18,0,17.14516129032258,16.93548387096774,3.668870967741938
2003-08-01,65.83870967741936,30.399999999999984,56.39999999999998,31,3.6,16,0,0.0,7,0,15.193548387096774,26.506451612903227,0.7024193548387103
2003-09-01,59.8,156.0,0.0,30,3.4,8,1,0.0,0,0,16.066666666666666,13.620000000000001,0.6499999999999986
2003-10-01,52.354838709677416,392.0,0.0,31,0.47000000000000003,2,0,0.0,0,8,16.45483870967742,9.119354838709677,4.320322580645154
2003-11-01,36.22666666666667,863.1999999999999,0.0,30,2.84,8,1,0.0,0,24,17.466666666666665,33.10666666666666,-1.4391666666666723
2003-12-01,30.006451612903227,1084.8,0.0,31,1.1199999999999999,5,0,0.0,0,30,17.074193548387097,18.809677419354838,0.17354838709677622
2004-01-01,28.706451612903226,1125.1000000000001,0.0,31,1.0799999999999998,9,0,0.0,0,30,14.241935483870968,30.838709677419356,-1.6025806451612858
2004-02-01,28.21379310344828,1066.8000000000002,0.0,29,1.8599999999999999,9,0,0.0,0,29,17.47586206896552,34.1,-4.485381773399016
2004-03-01,44.541935483870965,634.1999999999999,0.0,31,0.77,4,0,0.0,0,24,16.380645161290325,15.929032258064517,5.227580645161289
2004-04-01,45.29333333333333,591.1999999999999,0.0,30,2.33,12,0,0.0,0,19,19.836666666666666,28.779999999999998,-0.63483333333334
2004-05-01,57.377419354838715,236.29999999999998,0.0,31,0.01,0,0,0.0,0,5,21.906451612903226,1.770967741935484,3.261290322580656
2004-06-01,65.31666666666666,32.199999999999996,41.69999999999999,30,0.060000000000000005,1,0,0.0,10,0,18.446666666666665,5.05,0.20666666666666345
2004-07-01,68.38709677419355,8.000000000000007,113.00000000000001,31,1.05,12,0,0.0,20,0,17.183870967741935,15.787096774193548,0.2753225806451667
2004-08-01,65.26451612903226,35.699999999999996,43.89999999999999,31,4.3500000000000005,12,1,0.0,8,0,16.061290322580646,21.14516129032258,0.12822580645160997
2004-09-01,58.5,204.39999999999995,9.399999999999977,30,2.7,9,1,0.0,0,3,17.73,18.543333333333333,-0.6499999999999986
