date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,54.89032258064516,313.59999999999997,0.20000000000000284,31,0.02,1,0,0.0,0,1,8.383870967741935,19.864516129032257,1.134354838709669
2000-02-01,58.46206896551725,189.59999999999997,0.0,29,0.09,2,0,0.0,0,0,10.337931034482759,22.782758620689656,1.8672167487684774
2000-03-01,61.05806451612903,146.6,24.39999999999999,31,3.09,5,1,0.0,0,0,10.790322580645162,25.032258064516128,-2.9940322580645145
2000-04-01,73.24,13.399999999999999,260.6000000000001,30,0.0,0,0,0.0,14,0,12.493333333333334,8.48,1.6473333333333358
2000-05-01,83.64193548387097,0.0,577.9000000000001,31,4.85,1,1,0.0,26,0,12.548387096774194,7.5,3.197580645161281
2000-06-01,89.43666666666667,0.0,733.1000000000001,30,0.49000000000000005,5,0,0.0,29,0,14.333333333333334,14.676666666666668,-1.264166666666668
2000-07-01,93.98064516129033,0.0,898.4,31,0.3,3,0,0.0,31,0,13.45483870967742,19.006451612903227,0.3551612903225845
2000-08-01,90.19677419354838,0.0,781.0999999999999,31,1.32,9,0,0.0,29,0,15.187096774193549,24.5258064516129,-1.6396774193548538
2000-09-01,88.15333333333334,0.0,694.5999999999999,30,0.02,0,0,0.0,28,0,10.620000000000001,11.26,1.536833333333334
2000-10-01,70.89032258064516,36.800000000000004,219.40000000000003,31,4.25,12,2,0.0,7,0,11.209677419354838,31.07741935483871,-3.5861290322580572
2000-11-01,55.88666666666666,273.4,0.0,30,0.8,1,0,0.0,0,0,10.333333333333334,33.55,-6.578333333333333
2000-12-01,56.11290322580645,275.5,0.0,31,0.0,0,0,0.0,0,0,11.074193548387097,35.54516129032258,3.428870967741929
2001-01-01,50.95161290322581,435.5,0.0,31,1.54,5,0,0.0,0,0,10.683870967741935,30.970967741935485,-2.804354838709685
2001-02-01,53.525,321.3,0.0,28,0.96,7,0,0.0,0,0,10.942857142857141,27.964285714285715,-3.069852216748771
2001-03-01,62.354838709677416,144.0,62.0,31,0.8500000000000001,2,0,0.0,0,0,11.14516129032258,21.541935483870965,-1.6972580645161273
2001-04-01,69.39,71.5,203.2,30,0.9299999999999999,4,0,0.0,10,0,13.376666666666667,21.063333333333333,-2.2026666666666586
2001-05-01,84.96129032258065,0.0,618.8,31,0.02,1,0,0.0,27,0,13.48709677419355,15.97741935483871,4.5169354838709666
2001-06-01,90.49333333333334,0.0,764.8000000000002,30,0.01,0,0,0.0,30,0,14.273333333333333,9.716666666666667,-0.20749999999999602
2001-07-01,92.15483870967742,0.0,841.8,31,1.07,5,0,0.0,30,0,14.412903225806453,27.351612903225806,-1.4706451612903209
2001-08-01,91.69032258064516,0.0,827.4000000000001,31,0.56,3,0,0.0,31,0,13.448387096774194,23.393548387096775,-0.14612903225807372
2001-09-01,89.81,0.0,744.3000000000001,30,0.0,0,0,0.0,30,0,12.973333333333333,16.546666666666667,3.1935000000000002
2001-10-01,76.7258064516129,0.0,363.5,31,0.11,2,0,0.0,15,0,11.493548387096775,34.851612903225806,2.249354838709678
2001-11-01,66.82,82.89999999999999,137.5,30,0.2,1,0,0.0,2,0,11.413333333333332,41.623333333333335,4.354999999999997
2001-12-01,49.961290322580645,466.20000000000005,0.0,31,0.9099999999999999,3,0,0.0,0,1,9.97741935483871,25.070967741935487,-2.7227419354838744
2002-01-01,52.880645161290325,375.7,0.0,31,0.07,1,0,0.0,0,2,10.97741935483871,25.20967741935484,-0.8753225806451681
2002-02-01,58.48571428571428,185.79999999999995,3.4000000000000057,28,0.0,0,0,0.0,0,0,12.092857142857143,18.00357142857143,1.890862068965511
2002-03-01,62.15161290322581,131.0,42.7,31,0.09,2,0,0.0,2,0,13.370967741935484,16.283870967741937,-1.900483870967733
2002-04-01,74.42,0.20000000000000284,282.8,30,0.06,1,0,0.0,12,0,13.389999999999999,21.86,2.8273333333333426
2002-05-01,80.43870967741935,0.0,478.6000000000001,31,0.0,0,0,0.0,23,0,14.116129032258065,18.374193548387098,-0.005645161290331657
2002-06-01,92.15333333333334,0.0,814.6,30,0.0,0,0,0.0,30,0,14.49,8.81,1.4525000000000006
2002-07-01,94.02258064516128,0.0,899.7,31,1.15,2,0,0.0,31,0,15.561290322580644,27.88064516129032,0.3970967741935425
2002-08-01,92.41935483870968,0.0,850.0000000000001,31,0.16,2,0,0.0,30,0,12.85483870967742,19.54516129032258,0.5829032258064473
2002-09-01,86.32,0.0,639.6,30,1.85,5,0,0.0,27,0,12.806666666666667,14.82,-0.29650000000000887
2002-10-01,71.47741935483872,12.999999999999993,213.79999999999998,31,0.37,3,0,0.0,8,0,10.390322580645162,18.70967741935484,-2.999032258064503
2002-11-01,63.406666666666666,77.4,29.599999999999994,30,0.58,2,0,0.0,0,0,12.096666666666666,18.98,0.94166666666667
2002-12-01,51.309677419354834,424.3999999999999,0.0,31,0.52,3,0,0.0,0,0,9.848387096774195,20.68064516129032,-1.3743548387096851
2003-01-01,57.99677419354839,218.39999999999995,1.2999999999999972,31,0.6,3,0,0.0,0,0,8.938709677419356,19.419354838709676,4.240806451612897
2003-02-01,55.628571428571426,262.4,0.0,28,3.3,7,1,0.0,0,0,11.092857142857143,34.63928571428571,-0.9662807881773432
2003-03-01,61.99677419354839,123.9,30.80000000000001,31,0.63,2,0,0.0,0,0,11.658064516129034,20.23548387096774,-2.0553225806451536
2003-04-01,68.82,36.9,151.5,30,0.18000000000000002,1,0,0.0,3,0,15.026666666666667,19.55666666666667,-2.772666666666666
2003-05-01,81.19354838709677,0.0,502.0,31,0.0,0,0,0.0,19,0,13.212903225806452,15.264516129032257,0.7491935483870833
2003-06-01,89.75,0.0,742.5000000000001,30,0.0,0,0,0.0,30,0,14.59,4.733333333333333,-0.9508333333333354
2003-07-01,95.20322580645161,0.0,936.3,31,4.359999999999999,5,1,0.0,31,0,16.1,19.299999999999997,1.5777419354838713
2003-08-01,92.3225806451613,0.0,847.0000000000001,31,1.46,8,0,0.0,30,0,13.587096774193547,24.4741935483871,0.4861290322580629
2003-09-01,87.39,0.0,671.7,30,0.43000000000000005,5,0,0.0,28,0,11.366666666666667,13.263333333333332,0.7734999999999985
2003-10-01,79.40645161290323,0.0,446.59999999999997,31,0.88,2,0,0.0,23,0,10.687096774193549,16.2,4.930000000000007
2003-11-01,58.843333333333334,187.79999999999995,3.0999999999999943,30,0.67,1,0,0.0,0,0,9.923333333333334,23.263333333333332,-3.6216666666666626
2003-12-01,53.667741935483875,351.29999999999995,0.0,31,0.28,3,0,0.0,0,2,11.574193548387097,20.864516129032257,0.9837096774193554
2004-01-01,54.561290322580646,326.09999999999997,2.5,31,1.13,5,0,0.0,0,1,10.464516129032257,31.72258064516129,0.8053225806451536
2004-02-01,52.95172413793103,349.6000000000001,0.20000000000000284,29,1.02,4,0,0.0,0,0,10.76896551724138,31.055172413793105,-3.643128078817739
2004-03-01,69.95806451612903,63.8,217.50000000000006,31,7.78,6,2,0.0,7,0,12.783870967741937,24.293548387096774,5.905967741935484
2004-04-01,70.91000000000001,25.0,202.29999999999998,30,1.1300000000000001,4,0,0.0,5,0,14.836666666666666,20.996666666666666,-0.6826666666666483
2004-05-01,82.48064516129033,0.0,541.9000000000001,31,0.0,0,0,0.0,28,0,13.5,13.0,2.0362903225806406
2004-06-01,89.47,0.0,734.0999999999999,30,0.0,0,0,0.0,30,0,14.303333333333335,8.673333333333334,-1.2308333333333366
2004-07-01,92.71612903225805,0.0,859.2,31,2.29,5,1,0.0,31,0,13.603225806451613,24.02258064516129,-0.9093548387096888
2004-08-01,89.92903225806452,0.0,772.8000000000001,31,0.7500000000000001,3,0,0.0,30,0,13.851612903225808,24.161290322580644,-1.9074193548387086
2004-09-01,84.93,0.0,597.9,30,4.5,2,1,0.0,25,0,12.463333333333333,16.983333333333334,-1.6864999999999952
2004-10-01,72.02903225806452,35.40000000000001,253.3,31,0.77,3,0,0.0,10,0,11.719354838709679,24.72258064516129,-2.4474193548387007
2004-11-01,58.233333333333334,217.89999999999998,14.900000000000006,30,0.55,5,0,0.0,0,1,11.360000000000001,27.563333333333333,-4.231666666666662
2004-12-01,52.84193548387096,376.8999999999999,0.0,31,1.93,6,0,0.0,0,2,9.941935483870967,25.151612903225807,0.157903225806443
2005-01-01,53.42580645161291,358.80000000000007,0.0,31,1.82,4,0,0.0,0,0,10.0,16.538709677419355,-0.3301612903225859
2005-02-01,55.40714285714286,268.6000000000001,0.0,28,3.14,8,0,0.0,0,0,11.617857142857144,13.924999999999999,-1.1877093596059112
2005-03-01,58.41935483870968,204.50000000000006,0.5,31,0.8899999999999999,2,0,0.0,0,0,11.564516129032258,15.958064516129031,-5.632741935483864
2005-04-01,69.02666666666667,14.800000000000004,135.59999999999997,30,1.3199999999999998,3,1,0.0,5,0,13.446666666666665,14.466666666666667,-2.5659999999999883
2005-05-01,81.1516129032258,0.0,500.70000000000005,31,0.0,0,0,0.0,20,0,12.003225806451614,26.358064516129033,0.7072580645161111
2005-06-01,89.67666666666668,0.0,740.3000000000001,30,0.0,0,0,0.0,30,0,13.246666666666668,15.95,-1.024166666666659
2005-07-01,94.80000000000001,0.0,923.8,31,0.8400000000000001,4,0,0.0,31,0,15.541935483870969,22.26451612903226,1.1745161290322699
2005-08-01,89.36774193548388,0.0,755.3999999999999,31,7.88,11,2,0.0,29,0,13.0,29.80322580645161,-2.468709677419355
2005-09-01,86.61,0.0,648.3000000000002,30,0.19,3,0,0.0,30,0,11.253333333333334,18.763333333333332,-0.006500000000002615
2005-10-01,75.1516129032258,0.09999999999999432,314.8,31,0.22999999999999998,3,0,0.0,11,0,11.312903225806451,19.31935483870968,0.6751612903225777
2005-11-01,63.10333333333333,97.09999999999998,40.199999999999974,30,0.0,0,0,0.0,0,0,10.196666666666665,17.75,0.6383333333333354
2005-12-01,53.016129032258064,371.5,0.0,31,0.0,0,0,0.0,0,3,7.519354838709678,26.238709677419354,0.3320967741935448
2006-01-01,54.03225806451613,340.59999999999997,0.5999999999999943,31,0.0,0,0,0.0,0,3,9.819354838709677,20.980645161290322,0.27629032258063546
2006-02-01,58.767857142857146,180.4,5.900000000000006,28,0.0,0,0,0.0,0,0,10.053571428571429,26.192857142857143,2.1730049261083764
2006-03-01,60.03225806451613,177.1,23.099999999999994,31,2.4499999999999997,6,1,0.0,0,0,12.212903225806452,42.190322580645166,-4.0198387096774155
2006-04-01,69.97666666666666,11.300000000000004,160.5999999999999,30,0.01,0,0,0.0,5,0,11.629999999999999,18.973333333333336,-1.6159999999999997
2006-05-01,82.71935483870968,0.0,549.3,31,0.02,1,0,0.0,26,0,12.32258064516129,16.29032258064516,2.2749999999999915
2006-06-01,92.53666666666666,0.0,826.1000000000001,30,0.04,1,0,0.0,30,0,14.520000000000001,21.45,1.8358333333333263
2006-07-01,94.3258064516129,0.0,909.1,31,1.25,7,0,0.0,31,0,13.774193548387096,37.52258064516129,0.7003225806451638
2006-08-01,89.9483870967742,0.0,773.4,31,2.41,8,0,0.0,30,0,12.048387096774194,32.28709677419355,-1.8880645161290346
2006-09-01,82.75,0.0,532.4999999999999,30,1.9,5,0,0.0,25,0,11.306666666666667,24.41,-3.866500000000002
2006-10-01,72.56129032258065,0.0,234.4,31,0.29000000000000004,3,0,0.0,7,0,9.441935483870967,24.490322580645163,-1.9151612903225725
2006-11-01,63.30333333333333,93.89999999999999,43.0,30,1.19,1,1,0.0,0,1,8.066666666666666,21.95,0.8383333333333312
2006-12-01,50.70967741935484,443.0,0.0,31,0.5,4,0,0.0,0,2,9.603225806451613,25.316129032258065,-1.9743548387096794
2007-01-01,49.906451612903226,467.89999999999986,0.0,31,0.74,4,0,0.0,0,3,10.325806451612904,30.312903225806455,-3.849516129032267
2007-02-01,56.857142857142854,229.79999999999998,1.7999999999999972,28,0.54,5,0,0.0,0,0,10.289285714285715,30.239285714285717,0.26229064039408456
2007-03-01,66.39354838709677,79.6,122.80000000000003,31,1.05,3,0,0.0,4,0,11.574193548387097,22.82903225806452,2.341451612903228
2007-04-01,71.28999999999999,15.300000000000004,203.99999999999994,30,0.18,3,0,0.0,7,0,13.053333333333335,21.709999999999997,-0.3026666666666671
2007-05-01,82.40322580645162,0.0,539.4999999999999,31,0.05,1,0,0.0,24,0,12.525806451612903,14.12258064516129,1.9588709677419303
2007-06-01,90.63333333333334,0.0,769.0,30,1.81,1,1,0.0,28,0,12.343333333333334,13.803333333333335,-0.06749999999999545
2007-07-01,93.21935483870968,0.0,874.8000000000001,31,4.52,9,1,0.0,31,0,14.864516129032259,31.683870967741935,-0.4061290322580646
2007-08-01,93.29354838709678,0.0,877.1000000000001,31,1.02,6,0,0.0,30,0,11.8,27.54516129032258,1.4570967741935448
2007-09-01,87.28999999999999,0.0,668.7,30,0.29000000000000004,3,0,0.0,27,0,11.943333333333333,24.473333333333336,0.67349999999999
2007-10-01,74.8967741935484,0.0,306.80000000000007,31,0.13,1,0,0.0,17,0,10.951612903225806,16.30322580645161,0.4203225806451769
2007-11-01,66.38000000000001,52.30000000000001,93.69999999999999,30,1.32,2,1,0.0,2,0,7.533333333333333,27.12,3.9150000000000134
2007-12-01,49.76451612903226,472.29999999999995,0.0,31,2.01,5,0,0.0,0,2,9.593548387096773,23.345161290322583,-2.91951612903226
2008-01-01,52.26129032258064,394.9,0.0,31,1.9,6,0,0.0,0,2,10.396774193548387,35.99677419354839,-1.4946774193548507
2008-02-01,54.44827586206897,306.09999999999997,0.09999999999999432,29,0.6,5,0,0.0,0,0,8.448275862068966,29.78965517241379,-2.1465763546798016
2008-03-01,63.38387096774194,107.3,57.19999999999999,31,0.02,0,0,0.0,0,0,10.72258064516129,16.74516129032258,-0.668225806451602
2008-04-01,71.74333333333334,1.0,203.30000000000007,30,0.97,1,0,0.0,8,0,13.520000000000001,11.1,0.15066666666668027
2008-05-01,76.40322580645162,8.299999999999997,361.79999999999995,31,2.07,5,1,0.0,15,0,12.625806451612902,19.44193548387097,-4.04112903225807
2008-06-01,91.2,0.0,786.0,30,0.0,0,0,0.0,29,0,12.753333333333332,12.863333333333333,0.4991666666666674
