date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,57.596774193548384,231.2,1.7000000000000028,31,0.52,3,0,0.0,0,0,7.619354838709677,27.80322580645161,1.0437096774193577
2000-02-01,57.11379310344827,228.7,0.0,29,2.91,10,0,0.0,0,0,8.972413793103447,31.80344827586207,0.3424815270935966
2000-03-01,58.32258064516129,209.5,2.5,31,1.65,4,0,0.0,0,0,10.109677419354838,23.393548387096775,-1.517741935483869
2000-04-01,62.723333333333336,87.09999999999997,18.80000000000001,30,1.15,3,0,0.0,0,0,10.04,19.55666666666667,0.3548333333333389
2000-05-01,66.1774193548387,15.29999999999999,51.8,31,0.03,1,0,0.0,0,0,9.94516129032258,23.9741935483871,0.7570967741935419
2000-06-01,69.81,0.0,144.29999999999998,30,0.0,0,0,0.0,1,0,9.813333333333333,19.433333333333334,0.2956666666666763
2000-07-01,70.98064516129033,0.0,185.40000000000003,31,0.0,0,0,0.0,0,0,9.474193548387097,18.048387096774192,-3.0266129032258107
2000-08-01,72.95483870967742,0.0,246.6,31,0.0,0,0,0.0,2,0,9.280645161290321,18.0,-1.5700000000000074
2000-09-01,70.31333333333333,0.0,159.39999999999998,30,0.0,0,0,0.0,4,0,9.576666666666666,23.17,-2.6636666666666713
2000-10-01,63.76451612903226,53.0,14.700000000000003,31,2.4499999999999997,5,1,0.0,0,0,8.97741935483871,27.493548387096773,-3.798709677419353
2000-11-01,57.15,235.5,0.0,30,0.0,0,0,0.0,0,0,7.9,13.74,-4.177500000000002
2000-12-01,56.71935483870968,257.3,0.5999999999999943,31,0.0,0,0,0.0,0,0,6.887096774193548,21.20967741935484,1.107903225806453
2001-01-01,52.777419354838706,378.90000000000003,0.0,31,5.28,6,3,0.0,0,0,8.07741935483871,20.335483870967742,-3.7756451612903206
2001-02-01,53.153571428571425,335.5,3.799999999999997,28,7.09,13,4,0.0,0,0,9.10357142857143,27.232142857142858,-3.617740147783252
2001-03-01,58.68387096774194,199.1,3.299999999999997,31,0.77,3,0,0.0,0,0,9.12258064516129,28.274193548387096,-1.1564516129032185
2001-04-01,58.626666666666665,204.20000000000002,13.0,30,0.82,4,0,0.0,1,0,10.47,22.06,-3.7418333333333322
2001-05-01,64.89032258064516,25.199999999999996,21.799999999999983,31,0.0,0,0,0.0,0,0,9.23225806451613,26.580645161290324,-0.5300000000000011
2001-06-01,68.70333333333333,0.4000000000000057,111.49999999999999,30,0.0,0,0,0.0,0,0,9.186666666666667,20.166666666666668,-0.8109999999999928
2001-07-01,68.84193548387097,0.0,119.10000000000002,31,0.0,0,0,0.0,0,0,8.96774193548387,21.845161290322583,-5.165322580645167
2001-08-01,69.6741935483871,0.0,144.90000000000003,31,0.0,0,0,0.0,0,0,8.922580645161291,18.55806451612903,-4.8506451612903305
2001-09-01,69.0,0.0,120.00000000000001,30,0.0,0,0,0.0,1,0,9.213333333333333,20.43,-3.977000000000004
2001-10-01,65.62258064516129,19.100000000000037,38.400000000000006,31,0.03,1,0,0.0,1,0,8.058064516129033,26.448387096774194,-1.9406451612903197
2001-11-01,60.44666666666667,137.3,0.7000000000000028,30,1.25,4,0,0.0,0,0,7.376666666666667,23.146666666666665,-0.880833333333328
2001-12-01,54.61612903225806,321.9,0.0,31,0.98,7,0,0.0,0,0,7.564516129032258,22.770967741935483,-0.9953225806451655
2002-01-01,54.858064516129026,314.40000000000003,0.0,31,0.6000000000000001,4,0,0.0,0,0,8.09032258064516,21.63548387096774,-1.6950000000000003
2002-02-01,58.31785714285714,198.39999999999998,11.299999999999997,28,0.19,1,0,0.0,0,0,8.503571428571428,18.57857142857143,1.5465455665024663
2002-03-01,57.938709677419354,218.89999999999998,0.0,31,0.22,4,0,0.0,0,0,10.867741935483872,20.406451612903226,-1.9016129032258036
2002-04-01,59.28666666666666,171.39999999999995,0.0,30,0.12,4,0,0.0,0,0,10.536666666666667,28.253333333333334,-3.0818333333333356
2002-05-01,62.670967741935485,91.99999999999999,19.80000000000001,31,0.06,1,0,0.0,0,0,10.393548387096773,25.52258064516129,-2.749354838709678
2002-06-01,66.37333333333333,11.099999999999987,52.300000000000026,30,0.01,0,0,0.0,0,0,9.273333333333333,24.709999999999997,-3.140999999999991
2002-07-01,69.61612903225806,0.0,143.10000000000002,31,0.0,0,0,0.0,0,0,9.26774193548387,22.30322580645161,-4.391129032258078
2002-08-01,68.75806451612904,0.0,116.5,31,0.0,0,0,0.0,0,0,8.670967741935485,20.72258064516129,-5.766774193548386
2002-09-01,69.62333333333332,0.7999999999999972,139.49999999999997,30,0.0,0,0,0.0,3,0,9.146666666666667,19.533333333333335,-3.3536666666666832
2002-10-01,62.99354838709677,81.80000000000001,19.599999999999994,31,0.03,1,0,0.0,0,0,8.129032258064516,26.883870967741935,-4.569677419354839
2002-11-01,63.03333333333333,85.69999999999999,26.69999999999999,30,1.58,5,1,0.0,0,0,8.58,20.490000000000002,1.7058333333333309
2002-12-01,55.53548387096774,293.4,0.0,31,2.77,6,1,0.0,0,0,7.980645161290322,20.296774193548384,-0.07596774193548583
2003-01-01,61.46774193548387,132.3,22.799999999999997,31,0.0,0,0,0.0,1,0,7.070967741935484,19.519354838709678,4.914677419354845
2003-02-01,57.771428571428565,202.40000000000003,0.0,28,4.8,7,1,0.0,0,0,8.778571428571428,27.11785714285714,1.0001169950738884
2003-03-01,60.274193548387096,165.90000000000003,19.39999999999999,31,3.9499999999999997,3,1,0.0,0,0,10.219354838709679,17.061290322580643,0.4338709677419388
2003-04-01,59.36333333333334,175.10000000000002,6.0,30,1.03,2,0,0.0,0,0,11.06,23.023333333333333,-3.0051666666666605
2003-05-01,62.50322580645161,87.10000000000001,9.699999999999989,31,1.4,4,0,0.0,0,0,9.32258064516129,24.335483870967742,-2.9170967741935527
2003-06-01,65.46333333333334,14.500000000000007,28.400000000000006,30,0.05,1,0,0.0,0,0,8.356666666666666,30.773333333333333,-4.050999999999988
2003-07-01,72.80645161290323,0.0,241.99999999999997,31,0.15,2,0,0.0,0,0,8.712903225806452,23.641935483870967,-1.2008064516129053
2003-08-01,73.47741935483872,0.0,262.80000000000007,31,0.0,0,0,0.0,5,0,9.170967741935485,16.329032258064515,-1.0474193548387092
2003-09-01,68.97666666666667,0.0,119.29999999999998,30,0.0,0,0,0.0,1,0,8.626666666666667,21.80666666666667,-4.00033333333333
2003-10-01,68.01935483870967,10.5,104.10000000000001,31,0.24000000000000002,1,0,0.0,4,0,7.967741935483871,24.138709677419353,0.4561290322580618
2003-11-01,58.95,182.90000000000003,1.4000000000000057,30,0.69,4,0,0.0,0,0,7.806666666666667,16.473333333333333,-2.3774999999999977
2003-12-01,55.619354838709675,290.8,0.0,31,1.26,5,0,0.0,0,0,7.270967741935484,19.016129032258064,0.00790322580645153
2004-01-01,56.09032258064516,276.2,0.0,31,0.6,2,0,0.0,0,0,7.551612903225807,27.206451612903226,-0.4627419354838693
2004-02-01,55.37241379310345,279.2,0.0,29,4.82,8,2,0.0,0,0,9.26896551724138,32.251724137931035,-1.398897783251229
2004-03-01,62.229032258064514,121.70000000000002,35.80000000000001,31,1.37,2,0,0.0,2,0,8.341935483870968,36.04516129032258,2.3887096774193566
2004-04-01,63.63666666666666,86.0,45.10000000000001,30,0.05,1,0,0.0,2,0,9.816666666666666,34.29,1.2681666666666658
2004-05-01,68.27741935483871,6.700000000000003,108.3,31,0.0,0,0,0.0,2,0,9.725806451612904,29.1,2.8570967741935505
2004-06-01,67.55,0.0,76.49999999999999,30,0.0,0,0,0.0,0,0,8.423333333333334,52.43,-1.9643333333333288
2004-07-01,71.16129032258064,0.0,190.99999999999997,31,0.0,0,0,0.0,0,0,8.503225806451614,20.5258064516129,-2.845967741935496
2004-08-01,70.28709677419356,0.0,163.89999999999998,31,0.0,0,0,0.0,0,0,8.17741935483871,21.393548387096775,-4.237741935483868
2004-09-01,72.77,0.0,233.09999999999997,30,0.0,0,0,0.0,3,0,8.763333333333332,21.77,-0.20700000000000784
2004-10-01,63.71612903225807,55.10000000000001,15.300000000000011,31,7.56,8,3,0.0,0,0,8.348387096774195,36.62903225806452,-3.8470967741935453
2004-11-01,58.61,191.7,0.0,30,0.37,3,0,0.0,0,0,7.453333333333333,21.563333333333333,-2.717500000000001
2004-12-01,56.66129032258065,261.5,3.0,31,11.0,7,3,0.0,0,0,6.809677419354839,26.835483870967742,1.0498387096774238
2005-01-01,56.193548387096776,277.3,4.299999999999997,31,9.23,10,3,0.0,0,0,7.838709677419355,43.22903225806452,-0.35951612903225083
2005-02-01,57.239285714285714,217.3,0.0,28,10.2,10,3,0.0,0,0,9.885714285714286,59.83571428571429,0.46797413793103715
2005-03-01,58.86129032258064,192.10000000000002,1.7999999999999972,31,1.83,8,1,0.0,0,0,10.458064516129031,48.31935483870968,-0.9790322580645139
2005-04-01,61.24,118.5,5.699999999999989,30,1.04,2,0,0.0,0,0,11.456666666666667,31.32,-1.1284999999999954
2005-05-01,65.88064516129032,35.19999999999999,62.499999999999986,31,0.21,3,0,0.0,0,0,11.996774193548386,38.829032258064515,0.46032258064515474
2005-06-01,66.72333333333333,1.8999999999999915,53.59999999999998,30,0.01,0,0,0.0,0,0,10.93,39.35666666666667,-2.790999999999997
2005-07-01,72.78709677419356,0.0,241.39999999999995,31,0.0,0,0,0.0,3,0,10.464516129032257,24.45483870967742,-1.2201612903225794
2005-08-01,72.7709677419355,0.0,240.90000000000003,31,0.44999999999999996,2,0,0.0,5,0,10.290322580645162,25.761290322580646,-1.753870967741932
2005-09-01,69.01,1.2000000000000028,121.49999999999997,30,0.31,1,0,0.0,3,0,9.903333333333334,26.683333333333334,-3.9669999999999987
2005-10-01,65.34838709677419,55.7,66.49999999999999,31,1.24,3,0,0.0,4,0,9.01290322580645,35.5,-2.214838709677423
2005-11-01,62.580000000000005,99.99999999999999,27.39999999999999,30,0.13,2,0,0.0,0,0,8.276666666666667,30.23,1.2525000000000048
2005-12-01,57.12580645161291,244.10000000000002,0.0,31,0.79,4,0,0.0,0,0,6.938709677419355,42.9483870967742,1.5143548387096857
