date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,54.36774193548387,329.6,0.0,31,0.55,6,0,0.0,0,0,10.241935483870968,25.503225806451614,-0.004677419354841561
2000-02-01,55.717241379310344,269.2,0.0,29,3.0100000000000002,12,0,0.0,0,0,12.006896551724138,45.141379310344824,0.9046305418719243
2000-03-01,54.94193548387097,311.8,0.0,31,1.43,6,0,0.0,0,0,11.861290322580645,37.900000000000006,-2.0725806451612883
2000-04-01,58.88666666666666,183.4,0.0,30,1.06,6,0,0.0,0,0,11.893333333333334,39.906666666666666,-0.21666666666666856
2000-05-01,62.56774193548387,75.99999999999997,0.6000000000000085,31,0.08,1,0,0.0,0,0,11.151612903225805,48.26451612903226,0.2650000000000077
2000-06-01,66.04666666666667,13.600000000000016,44.99999999999997,30,0.01,0,0,0.0,0,0,11.41,43.15,0.9969999999999999
2000-07-01,67.03548387096774,1.6000000000000014,64.7,31,0.0,0,0,0.0,0,0,11.293548387096775,45.9483870967742,-2.0250000000000057
2000-08-01,69.96129032258065,0.0,153.79999999999998,31,0.04,1,0,0.0,0,0,10.980645161290324,36.145161290322584,0.10161290322581351
2000-09-01,67.55333333333333,3.3999999999999915,79.99999999999996,30,0.07,0,0,0.0,0,0,10.946666666666667,36.440000000000005,-1.0986666666666736
2000-10-01,62.358064516129026,91.99999999999999,10.099999999999994,31,2.34,10,1,0.0,0,0,11.080645161290322,55.358064516129026,-1.9920967741935485
2000-11-01,54.193333333333335,324.2,0.0,30,0.28,2,0,0.0,0,0,10.276666666666667,18.253333333333334,-4.464500000000001
2000-12-01,54.2,334.80000000000007,0.0,31,0.0,0,0,0.0,0,0,9.406451612903227,16.67096774193548,0.4650000000000034
2001-01-01,50.777419354838706,440.90000000000003,0.0,31,2.92,9,0,0.0,0,0,10.264516129032257,23.932258064516127,-3.595000000000006
2001-02-01,52.08571428571429,362.4,0.7999999999999972,28,5.4399999999999995,12,2,0.0,0,0,11.37142857142857,42.15714285714286,-2.7268965517241313
2001-03-01,56.538709677419355,262.30000000000007,0.0,31,0.97,3,0,0.0,0,0,10.880645161290323,56.91935483870968,-0.4758064516129039
2001-04-01,56.0,270.7,0.7000000000000028,30,1.49,7,0,0.0,0,0,11.296666666666669,49.473333333333336,-3.1033333333333317
2001-05-01,62.13870967741936,88.69999999999999,0.0,31,0.18000000000000002,1,0,0.0,0,0,10.32258064516129,72.33870967741936,-0.16403225806450905
2001-06-01,65.75666666666667,14.400000000000006,37.09999999999998,30,0.03,1,0,0.0,0,0,10.816666666666666,44.18333333333333,0.7070000000000078
2001-07-01,67.40322580645162,0.5,74.99999999999999,31,0.0,0,0,0.0,0,0,11.245161290322581,45.95161290322581,-1.6572580645161281
2001-08-01,68.20967741935483,0.20000000000000284,99.7,31,0.0,0,0,0.0,0,0,10.745161290322581,49.858064516129026,-1.6500000000000057
2001-09-01,66.40333333333334,3.5999999999999943,45.70000000000003,30,0.03,1,0,0.0,0,0,10.536666666666667,47.4,-2.248666666666665
2001-10-01,63.729032258064514,52.30000000000001,12.900000000000006,31,0.01,0,0,0.0,0,0,9.90967741935484,45.08387096774193,-0.6211290322580609
2001-11-01,58.59,192.29999999999995,0.0,30,2.0,4,1,0.0,0,0,10.126666666666667,39.70333333333333,-0.06783333333333275
2001-12-01,52.29677419354839,393.8,0.0,31,0.99,7,0,0.0,0,0,9.52258064516129,24.641935483870967,-1.4382258064516122
2002-01-01,52.21612903225807,396.3,0.0,31,0.44000000000000006,2,0,0.0,0,0,9.996774193548386,24.66774193548387,-2.156290322580645
2002-02-01,54.739285714285714,292.70000000000005,5.3999999999999915,28,0.37,2,0,0.0,0,1,11.328571428571427,20.45357142857143,-0.07332512315270634
2002-03-01,54.65483870967742,320.70000000000005,0.0,31,0.42000000000000004,7,0,0.0,0,0,11.780645161290321,35.751612903225805,-2.3596774193548384
2002-04-01,56.93,242.10000000000002,0.0,30,0.37,3,0,0.0,0,0,11.996666666666666,56.78666666666666,-2.173333333333332
2002-05-01,59.75806451612903,162.79999999999998,0.29999999999999716,31,0.05,1,0,0.0,0,0,11.729032258064517,56.6741935483871,-2.5446774193548336
2002-06-01,63.416666666666664,47.900000000000034,0.3999999999999915,30,0.0,0,0,0.0,0,0,11.153333333333334,61.556666666666665,-1.6330000000000027
2002-07-01,66.45483870967742,4.600000000000016,49.70000000000002,31,0.0,0,0,0.0,0,0,10.796774193548387,54.79354838709677,-2.605645161290326
2002-08-01,66.51612903225806,0.0,46.999999999999986,31,0.0,0,0,0.0,0,0,10.790322580645162,52.770967741935486,-3.3435483870967744
2002-09-01,66.87666666666667,7.499999999999993,63.800000000000026,30,0.24,1,0,0.0,0,0,10.723333333333333,30.796666666666667,-1.7753333333333359
2002-10-01,60.90967741935484,126.90000000000002,0.09999999999999432,31,0.0,0,0,0.0,0,0,10.219354838709679,56.42580645161291,-3.440483870967732
2002-11-01,59.84,162.39999999999998,7.599999999999994,30,1.1400000000000001,3,0,0.0,1,0,10.81,26.533333333333335,1.1821666666666673
2002-12-01,52.91290322580645,374.7,0.0,31,1.91,5,0,0.0,0,0,9.996774193548386,23.661290322580644,-0.8220967741935468
2003-01-01,57.92903225806452,228.09999999999997,8.899999999999991,31,0.21,1,0,0.0,0,0,9.77741935483871,15.045161290322582,3.5566129032258047
2003-02-01,55.753571428571426,258.90000000000003,0.0,28,5.7700000000000005,8,3,0.0,0,0,10.992857142857144,45.69642857142857,0.9409605911330061
2003-03-01,56.851612903225806,254.40000000000003,1.8000000000000114,31,1.8599999999999999,3,1,0.0,0,0,11.47741935483871,28.309677419354838,-0.16290322580645267
2003-04-01,56.71666666666667,248.5,0.0,30,2.29,6,1,0.0,0,0,12.373333333333333,37.27333333333333,-2.386666666666663
2003-05-01,59.935483870967744,157.00000000000006,0.0,31,0.35,2,0,0.0,0,0,11.048387096774194,53.10645161290322,-2.367258064516122
2003-06-01,63.14333333333333,58.39999999999999,2.700000000000003,30,0.12,3,0,0.0,0,0,9.936666666666667,83.20666666666666,-1.906333333333336
2003-07-01,68.84193548387097,0.0,119.10000000000001,31,0.08,1,0,0.0,0,0,9.990322580645161,42.5516129032258,-0.21854838709677438
2003-08-01,70.11612903225806,0.0,158.6,31,0.08,1,0,0.0,0,0,10.23225806451613,25.238709677419354,0.25645161290321994
2003-09-01,67.51666666666667,0.7999999999999972,76.30000000000001,30,0.01,0,0,0.0,0,0,9.856666666666666,56.71333333333334,-1.1353333333333353
2003-10-01,65.12903225806451,21.500000000000007,25.5,31,0.08,3,0,0.0,1,0,9.387096774193548,48.17741935483871,0.7788709677419376
2003-11-01,56.99,240.3,0.0,30,0.72,7,0,0.0,0,0,9.356666666666666,31.316666666666666,-1.6678333333333342
2003-12-01,52.61290322580645,383.99999999999994,0.0,31,0.98,7,0,0.0,0,0,8.745161290322581,28.164516129032258,-1.122096774193551
2004-01-01,54.309677419354834,331.4,0.0,31,0.65,5,0,0.0,0,0,9.658064516129032,26.635483870967743,-0.06274193548387785
2004-02-01,53.69655172413793,327.79999999999995,0.0,29,2.96,8,1,0.0,0,0,11.789655172413795,28.148275862068964,-1.1160591133004871
2004-03-01,58.82258064516129,208.3,16.80000000000001,31,0.19,3,0,0.0,0,0,10.296774193548387,49.50322580645161,1.8080645161290292
2004-04-01,60.35333333333333,148.5,9.099999999999994,30,0.99,2,0,0.0,0,0,11.583333333333334,46.163333333333334,1.25
2004-05-01,64.73548387096774,46.10000000000002,37.89999999999998,31,0.0,0,0,0.0,0,0,11.819354838709678,43.541935483870965,2.4327419354838753
2004-06-01,63.983333333333334,34.79999999999999,4.299999999999983,30,0.05,1,0,0.0,0,0,11.563333333333334,71.59666666666666,-1.0663333333333327
2004-07-01,68.3967741935484,0.0,105.29999999999998,31,0.0,0,0,0.0,0,0,10.780645161290321,49.75806451612903,-0.663709677419348
2004-08-01,67.89032258064516,0.0,89.60000000000001,31,0.0,0,0,0.0,0,0,10.45483870967742,50.019354838709674,-1.9693548387096769
2004-09-01,69.77666666666667,1.2000000000000028,144.50000000000003,30,0.02,0,0,0.0,1,0,11.04,35.76,1.1246666666666698
2004-10-01,62.329032258064515,89.50000000000003,6.699999999999989,31,5.84,9,2,0.0,0,0,11.158064516129032,50.748387096774195,-2.0211290322580595
2004-11-01,55.74666666666667,277.59999999999997,0.0,30,0.54,5,0,0.0,0,0,9.893333333333334,22.47666666666667,-2.9111666666666665
2004-12-01,53.622580645161285,352.7,0.0,31,2.91,7,0,0.0,0,0,10.077419354838709,30.09032258064516,-0.11241935483871401
2005-01-01,54.774193548387096,317.0,0.0,31,6.24,11,2,0.0,0,0,10.325806451612904,36.83870967741935,0.40177419354838406
2005-02-01,56.88928571428572,227.10000000000002,0.0,28,7.29,17,4,0.0,0,0,10.950000000000001,46.11785714285714,2.0766748768472993
2005-03-01,57.774193548387096,224.0,0.0,31,1.36,12,0,0.0,0,0,11.061290322580644,51.0258064516129,0.759677419354837
2005-04-01,58.20666666666667,203.79999999999998,0.0,30,0.95,2,0,0.0,0,0,11.246666666666666,30.623333333333335,-0.8966666666666612
2005-05-01,63.18064516129032,58.400000000000006,2.0,31,0.13,2,0,0.0,0,0,10.906451612903227,47.75483870967742,0.8779032258064561
2005-06-01,64.56333333333333,19.499999999999993,6.400000000000006,30,0.07,0,0,0.0,0,0,10.873333333333333,58.87,-0.4863333333333344
2005-07-01,68.23870967741935,1.1000000000000014,101.49999999999999,31,0.01,0,0,0.0,0,0,10.738709677419354,46.32258064516129,-0.8217741935483929
2005-08-01,68.49032258064516,0.0,108.20000000000003,31,0.0,0,0,0.0,0,0,10.735483870967743,47.57741935483871,-1.3693548387096826
2005-09-01,65.16666666666667,16.899999999999984,21.89999999999999,30,0.13,2,0,0.0,0,0,10.913333333333332,39.336666666666666,-3.4853333333333296
2005-10-01,62.6741935483871,89.9,17.799999999999997,31,1.0999999999999999,5,0,0.0,1,0,10.558064516129033,41.72258064516129,-1.675967741935473
2005-11-01,58.45666666666667,196.3,0.0,30,0.14,4,0,0.0,0,0,9.546666666666665,24.96333333333333,-0.2011666666666656
2005-12-01,54.08387096774193,338.40000000000003,0.0,31,0.44,6,0,0.0,0,0,9.251612903225807,28.396774193548385,0.3488709677419308
2006-01-01,53.92903225806452,346.00000000000006,2.799999999999997,31,0.87,3,0,0.0,0,0,10.62258064516129,16.61935483870968,-0.4433870967741953
2006-02-01,54.61071428571428,290.9,0.0,28,1.4,5,0,0.0,0,0,10.457142857142857,27.860714285714288,-0.20189655172413978
2006-03-01,53.13225806451613,367.90000000000003,0.0,31,2.09,13,0,0.0,0,0,11.36774193548387,36.599999999999994,-3.8822580645161295
2006-04-01,57.81666666666667,215.50000000000003,0.0,30,1.33,7,0,0.0,0,0,11.24,43.10333333333333,-1.2866666666666617
2006-05-01,62.71612903225807,72.10000000000001,1.2999999999999972,31,0.75,1,0,0.0,0,0,10.287096774193548,65.22258064516129,0.41338709677420127
2006-06-01,68.07,0.0,92.09999999999998,30,0.07,1,0,0.0,0,0,9.82,44.64666666666667,3.020333333333326
2006-07-01,73.29677419354839,0.0,257.2,31,0.07,1,0,0.0,1,0,10.806451612903226,30.038709677419355,4.236290322580643
2006-08-01,69.06129032258065,0.0,125.90000000000002,31,0.07,2,0,0.0,0,0,10.45483870967742,40.31612903225806,-0.7983870967741922
2006-09-01,66.85666666666667,5.400000000000013,61.10000000000001,30,0.05,0,0,0.0,0,0,10.59,36.656666666666666,-1.795333333333332
2006-10-01,61.89354838709678,99.3,2.999999999999986,31,0.42,2,0,0.0,0,0,9.893548387096773,32.803225806451614,-2.456612903225796
2006-11-01,59.28,179.09999999999997,7.5,30,0.26,2,0,0.0,0,0,9.493333333333334,23.03666666666667,0.622166666666665
2006-12-01,52.57096774193548,385.3,0.0,31,1.25,7,0,0.0,0,0,9.380645161290323,15.5,-1.1640322580645162
2007-01-01,51.89032258064516,406.4,0.0,31,0.97,3,0,0.0,0,1,10.158064516129032,23.990322580645163,-2.4820967741935505
2007-02-01,55.199999999999996,274.4,0.0,28,1.6300000000000001,9,0,0.0,0,0,10.614285714285714,33.84285714285714,0.3873891625615755
2007-03-01,58.52258064516129,201.4,0.5999999999999943,31,0.12000000000000001,3,0,0.0,0,0,10.448387096774193,36.44193548387097,1.508064516129032
2007-04-01,59.480000000000004,165.60000000000002,0.0,30,0.78,3,0,0.0,0,0,10.866666666666667,51.97,0.37666666666667226
2007-05-01,62.96774193548387,80.2,17.19999999999999,31,0.01,0,0,0.0,0,0,10.738709677419354,61.75806451612903,0.6650000000000063
2007-06-01,63.663333333333334,44.39999999999997,4.299999999999983,30,0.0,0,0,0.0,0,0,9.563333333333333,53.21,-1.386333333333333
2007-07-01,68.20967741935483,0.0,99.5,31,0.02,0,0,0.0,0,0,9.654838709677419,50.49032258064516,-0.850806451612911
2007-08-01,71.02580645161291,0.0,186.79999999999998,31,0.39,1,0,0.0,0,0,9.616129032258065,33.99677419354839,1.1661290322580697
