date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,57.68387096774194,228.7,1.9000000000000057,31,0.52,3,0,0.0,0,0,9.725806451612904,55.21612903225807,0.6545161290322667
2000-02-01,57.38965517241379,220.7,0.0,29,2.91,10,0,0.0,0,0,11.658620689655173,63.182758620689654,0.06320197044334463
2000-03-01,58.380645161290325,207.39999999999998,2.200000000000003,31,1.65,4,0,0.0,0,0,12.59032258064516,46.461290322580645,-1.7949999999999946
2000-04-01,62.95333333333333,79.3,17.900000000000006,30,1.15,3,0,0.0,0,0,12.370000000000001,38.82,0.4826666666666597
2000-05-01,66.28387096774195,10.200000000000017,50.0,31,0.03,1,0,0.0,0,0,11.980645161290322,47.483870967741936,1.1603225806451718
2000-06-01,70.28,0.0,158.4,30,0.0,0,0,0.0,2,0,11.493333333333334,37.693333333333335,1.987000000000009
2000-07-01,71.62258064516129,0.0,205.3,31,0.0,0,0,0.0,1,0,11.419354838709678,35.84193548387096,-0.7756451612903277
2000-08-01,73.27741935483871,0.0,256.59999999999997,31,0.0,0,0,0.0,3,0,11.17741935483871,35.729032258064514,0.18516129032258277
2000-09-01,70.27,0.0,158.10000000000002,30,0.0,0,0,0.0,4,0,11.573333333333332,40.266666666666666,-1.7964999999999947
2000-10-01,63.622580645161285,57.099999999999994,14.400000000000006,31,2.4499999999999997,5,1,0.0,0,0,11.116129032258065,53.809677419354834,-3.977419354838709
2000-11-01,56.63,251.09999999999997,0.0,30,0.0,0,0,0.0,0,0,9.723333333333333,26.35666666666667,-5.184666666666665
2000-12-01,56.222580645161294,272.1,0.0,31,0.0,0,0,0.0,0,0,8.893548387096773,41.435483870967744,0.018064516129037145
2001-01-01,52.00322580645161,402.9,0.0,31,4.91,6,2,0.0,0,0,10.158064516129034,40.09032258064516,-5.026129032258062
2001-02-01,52.457142857142856,353.6,2.4000000000000057,28,5.39,11,2,0.0,0,0,11.325000000000001,54.089285714285715,-4.869310344827589
2001-03-01,58.377419354838715,207.70000000000002,2.4000000000000057,31,0.37,2,0,0.0,0,0,11.580645161290322,56.019354838709674,-1.7982258064516046
2001-04-01,58.443333333333335,207.29999999999998,10.599999999999994,30,0.53,4,0,0.0,1,0,12.32,43.806666666666665,-4.027333333333338
2001-05-01,64.58387096774193,33.199999999999996,20.299999999999997,31,0.0,0,0,0.0,0,0,10.993548387096775,50.6741935483871,-0.5396774193548453
2001-06-01,68.51666666666667,0.3999999999999915,105.89999999999999,30,0.0,0,0,0.0,0,0,11.173333333333334,40.04666666666667,0.22366666666667356
2001-07-01,68.80645161290323,0.0,118.00000000000001,31,0.0,0,0,0.0,0,0,10.770967741935483,43.380645161290325,-3.591774193548389
2001-08-01,69.79032258064517,0.0,148.50000000000003,31,0.0,0,0,0.0,0,0,10.764516129032257,36.86451612903225,-3.301935483870963
2001-09-01,68.92666666666668,0.0,117.80000000000004,30,0.0,0,0,0.0,2,0,11.226666666666667,39.84,-3.139833333333314
2001-10-01,65.30967741935484,22.90000000000002,32.5,31,0.01,0,0,0.0,1,0,10.067741935483872,52.53225806451613,-2.290322580645153
2001-11-01,59.870000000000005,153.89999999999998,0.0,30,1.07,3,0,0.0,0,0,9.213333333333333,45.82666666666667,-1.944666666666663
2001-12-01,53.81290322580645,346.79999999999995,0.0,31,0.56,7,0,0.0,0,0,9.861290322580645,44.858064516129026,-2.3916129032258056
2002-01-01,54.3,331.69999999999993,0.0,31,0.42000000000000004,2,0,0.0,0,0,9.883870967741935,42.88709677419355,-2.729354838709675
2002-02-01,57.528571428571425,219.0,9.800000000000011,28,0.1,1,0,0.0,0,0,10.428571428571429,36.746428571428574,0.20211822660098022
2002-03-01,57.645161290322584,228.0,0.0,31,0.08,2,0,0.0,0,0,13.441935483870967,40.42580645161291,-2.5304838709677355
2002-04-01,59.03666666666666,178.9,0.0,30,0.14,2,0,0.0,0,0,12.916666666666666,52.54,-3.4340000000000117
2002-05-01,62.541935483870965,95.20000000000002,18.999999999999986,31,0.08,1,0,0.0,0,0,12.33548387096774,47.13225806451613,-2.5816129032258104
2002-06-01,65.79666666666667,20.300000000000004,44.200000000000045,30,0.0,0,0,0.0,0,0,11.0,47.03333333333333,-2.4963333333333253
2002-07-01,69.18709677419355,0.0,129.8,31,0.0,0,0,0.0,0,0,11.125806451612902,44.23870967741936,-3.2111290322580714
2002-08-01,68.30000000000001,0.0,102.30000000000004,31,0.0,0,0,0.0,0,0,10.429032258064517,41.141935483870974,-4.792258064516119
2002-09-01,69.55666666666666,1.0,137.7,30,0.0,0,0,0.0,3,0,11.636666666666667,38.806666666666665,-2.509833333333333
2002-10-01,62.932258064516134,81.6,17.499999999999986,31,0.01,0,0,0.0,0,0,9.951612903225806,53.351612903225806,-4.6677419354838605
2002-11-01,62.776666666666664,92.19999999999999,25.5,30,0.75,5,0,0.0,1,0,10.573333333333332,39.529999999999994,0.9619999999999962
2002-12-01,55.29677419354839,300.8,0.0,31,2.2,4,1,0.0,0,0,10.109677419354838,40.196774193548386,-0.9077419354838696
2003-01-01,60.76451612903226,152.49999999999994,21.200000000000003,31,0.0,0,0,0.0,1,0,9.30967741935484,38.622580645161285,3.735161290322587
2003-02-01,57.457142857142856,211.2,0.0,28,4.91,7,1,0.0,0,0,11.049999999999999,53.31785714285714,0.13068965517241082
2003-03-01,59.832258064516125,176.7,16.5,31,3.58,2,1,0.0,0,0,12.738709677419354,33.87419354838709,-0.3433870967741939
2003-04-01,59.263333333333335,177.09999999999997,5.0,30,1.32,2,1,0.0,0,0,13.613333333333333,45.74,-3.207333333333338
2003-05-01,62.16129032258065,95.30000000000003,7.299999999999997,31,1.76,3,1,0.0,0,0,11.348387096774195,48.34516129032258,-2.962258064516128
2003-06-01,65.37333333333333,16.80000000000001,27.999999999999986,30,0.060000000000000005,1,0,0.0,0,0,10.243333333333334,61.10666666666667,-2.9196666666666573
2003-07-01,72.24193548387096,0.0,224.5,31,0.31,3,0,0.0,0,0,10.558064516129033,45.65483870967742,-0.15629032258065934
2003-08-01,73.57096774193548,0.0,265.70000000000005,31,0.0,0,0,0.0,6,0,11.48709677419355,31.929032258064513,0.4787096774193458
2003-09-01,68.92333333333333,0.0,117.69999999999997,30,0.0,0,0,0.0,1,0,10.389999999999999,38.31333333333334,-3.1431666666666587
2003-10-01,68.00967741935484,7.999999999999993,101.3,31,0.08,1,0,0.0,4,0,9.912903225806453,44.12580645161291,0.4096774193548498
2003-11-01,59.059999999999995,179.29999999999998,1.0999999999999943,30,0.43000000000000005,3,0,0.0,0,0,10.386666666666667,31.913333333333334,-2.7546666666666724
2003-12-01,55.47096774193548,295.4000000000001,0.0,31,1.31,5,0,0.0,0,0,9.5,33.87096774193548,-0.733548387096775
2004-01-01,55.809677419354834,284.9,0.0,31,0.6200000000000001,3,0,0.0,0,0,9.880645161290323,33.7,-1.2196774193548379
2004-02-01,55.275862068965516,282.0,0.0,29,3.94,7,1,0.0,0,0,11.562068965517241,37.51724137931034,-2.0505911330049287
2004-03-01,61.71290322580645,134.29999999999998,32.400000000000006,31,1.2999999999999998,2,0,0.0,3,0,10.725806451612904,41.73225806451613,1.5372580645161307
2004-04-01,63.093333333333334,93.9,36.7,30,0.060000000000000005,1,0,0.0,2,0,12.693333333333333,38.04,0.6226666666666603
2004-05-01,67.96129032258065,7.700000000000003,99.50000000000001,31,0.0,0,0,0.0,2,0,12.193548387096774,32.196774193548386,2.8377419354838764
2004-06-01,67.32666666666667,0.0,69.8,30,0.0,0,0,0.0,0,0,9.853333333333333,55.31333333333334,-0.9663333333333242
2004-07-01,71.19032258064516,0.0,191.89999999999992,31,0.0,0,0,0.0,0,0,9.961290322580645,20.82903225806452,-1.2079032258064615
2004-08-01,70.2741935483871,0.0,163.5,31,0.0,0,0,0.0,0,0,9.025806451612903,22.09032258064516,-2.818064516129027
2004-09-01,72.72666666666667,0.0,231.8,30,0.0,0,0,0.0,3,0,10.163333333333332,22.3,0.660166666666683
2004-10-01,63.73225806451613,54.5,15.200000000000003,31,8.16,8,3,0.0,0,0,9.603225806451613,36.53225806451613,-3.8677419354838634
2004-11-01,58.60333333333333,191.89999999999998,0.0,30,0.37,3,0,0.0,0,0,8.796666666666665,22.053333333333335,-3.211333333333336
2004-12-01,56.641935483870974,261.5,2.3999999999999915,31,11.239999999999998,7,3,0.0,0,0,8.058064516129033,25.74516129032258,0.43741935483871686
2005-01-01,56.31935483870968,272.50000000000006,3.4000000000000057,31,8.29,10,3,0.0,0,0,9.348387096774195,41.87419354838709,-0.7099999999999937
2005-02-01,57.74285714285714,203.20000000000005,0.0,28,10.709999999999999,9,4,0.0,0,0,11.582142857142857,55.714285714285715,0.4164039408866955
2005-03-01,59.04516129032258,186.80000000000004,2.200000000000003,31,1.63,8,1,0.0,0,0,11.712903225806452,43.667741935483875,-1.130483870967737
2005-04-01,60.9,127.30000000000003,4.300000000000011,30,1.34,2,1,0.0,0,0,13.213333333333333,28.76,-1.5706666666666749
2005-05-01,65.32903225806452,30.000000000000007,40.2,31,0.07,1,0,0.0,0,0,12.793548387096775,37.59032258064516,0.2054838709677398
2005-06-01,66.07666666666667,4.1000000000000085,36.39999999999999,30,0.0,0,0,0.0,0,0,11.546666666666665,42.46666666666667,-2.216333333333324
2005-07-01,69.98709677419355,0.5,155.10000000000002,31,0.0,0,0,0.0,2,0,10.648387096774194,29.961290322580645,-2.4111290322580743
2005-08-01,71.0741935483871,0.0,188.29999999999995,31,0.11,1,0,0.0,3,0,10.387096774193548,28.629032258064516,-2.01806451612903
2005-09-01,67.92333333333333,1.7999999999999972,89.49999999999997,30,0.34,1,0,0.0,2,0,10.74,26.206666666666667,-4.143166666666659
2005-10-01,64.8,59.39999999999999,53.2,31,0.75,3,0,0.0,4,0,10.209677419354838,35.803225806451614,-2.799999999999997
2005-11-01,62.47666666666667,100.3,24.599999999999994,30,0.15,2,0,0.0,0,0,10.06,26.083333333333332,0.661999999999999
2005-12-01,56.96451612903226,249.10000000000002,0.0,31,0.74,4,0,0.0,0,0,8.058064516129031,37.09032258064516,0.7600000000000051
2006-01-01,56.83548387096774,263.5,10.400000000000006,31,1.36,5,0,0.0,0,0,10.670967741935485,21.26451612903226,-0.1938709677419297
2006-02-01,57.36785714285714,214.89999999999998,1.2000000000000028,28,1.72,5,0,0.0,0,0,9.064285714285715,27.825,0.04140394088669552
2006-03-01,54.34838709677419,330.2,0.0,31,2.4499999999999997,10,1,16.93,0,0,10.819354838709677,35.725806451612904,-5.82725806451613
