date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2009-02-01,44.292857142857144,579.8,0.0,28,3.54,14,0,0.0,0,2,9.375,51.614285714285714,-1.2062248096730812
2009-03-01,47.29677419354839,548.8000000000001,0.0,31,2.62,7,0,0.0,0,8,10.067741935483872,26.996774193548386,-2.4674486803519002
2009-04-01,52.57666666666667,384.1,11.399999999999991,30,0.7100000000000001,5,0,0.0,0,1,9.216666666666667,22.293333333333333,-1.917157784743992
2009-05-01,65.76774193548387,67.0,90.8,31,1.3699999999999999,3,0,0.0,5,0,8.174193548387096,13.32258064516129,4.889604611184147
2009-06-01,67.33,55.80000000000001,125.7,30,0.08,1,0,0.0,9,0,8.526666666666666,13.979999999999999,-3.615800865800864
2009-07-01,77.66129032258064,0.0,392.5000000000001,31,0.0,0,0,0.0,24,0,9.33548387096774,4.341935483870968,0.17305436498983795
2009-08-01,74.70645161290322,2.5,303.4,31,0.01,0,0,0.0,19,0,8.912903225806453,9.116129032258065,-1.0750733137829798
2009-09-01,71.78,21.60000000000001,225.00000000000003,30,0.07,1,0,0.0,18,0,8.57,3.7133333333333334,1.64752351097178
2009-10-01,55.18333333333333,294.70000000000005,0.20000000000000284,30,1.6199999999999999,4,1,0.0,0,0,8.176666666666668,19.946666666666665,-4.047116324535679
2009-11-01,47.28666666666666,531.4,0.0,30,0.7,4,0,0.0,0,0,6.959999999999999,16.266666666666666,-1.6296969696969796
2009-12-01,40.622580645161285,755.6999999999999,0.0,31,3.22,12,0,0.0,0,10,7.235483870967743,40.49354838709677,-2.4351906158357792
2010-01-01,44.286206896551725,600.7,0.0,29,6.0,10,1,0.0,0,1,8.751724137931035,44.53103448275862,-0.19047830923247488
2010-02-01,45.339285714285715,550.4999999999999,0.0,28,4.67,10,0,0.0,0,1,7.664285714285714,52.324999999999996,-0.1597962382445104
2010-03-01,47.23548387096774,550.6999999999999,0.0,31,3.61,7,0,0.0,0,4,8.951612903225806,29.13225806451613,-2.5287390029325465
2010-04-01,48.35,499.5,0.0,30,5.5,11,1,0.0,0,2,9.53,43.78666666666666,-6.143824451410659
2010-05-01,54.38387096774194,329.1,0.0,31,2.3,9,0,0.0,0,0,9.490322580645161,27.583870967741937,-6.49426635655778
2010-06-01,68.33333333333333,23.299999999999997,123.30000000000003,30,0.08,1,0,0.0,4,0,9.04,6.33,-2.6124675324675337
2010-07-01,76.28709677419356,0.0,349.9000000000001,31,0.0,0,0,0.0,24,0,8.54516129032258,2.02258064516129,-1.2011391833972453
2010-08-01,72.08387096774193,14.799999999999997,234.4,31,0.0,0,0,0.0,16,0,8.687096774193549,3.3870967741935485,-3.6976539589442723
