date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,0.3806451612903225,2003.1999999999998,0.0,31,2.4,26,0,833.03,0,31,13.270967741935483,51.60967741935483,-2.216935483870968
2000-02-01,12.244827586206897,1529.8999999999999,0.0,29,1.3900000000000001,21,0,685.35,0,28,16.165517241379312,57.817241379310346,7.223947044334976
2000-03-01,26.948387096774194,1179.6000000000001,0.0,31,2.38,21,0,37.36,0,28,17.206451612903226,69.47741935483872,8.624763440860214
2000-04-01,33.443333333333335,946.7,0.0,30,1.03,12,0,4.84,0,28,15.72,55.92333333333333,0.1181666666666672
2000-05-01,48.95483870967742,500.19999999999993,2.799999999999997,31,4.93,18,1,0.0,0,5,15.538709677419355,78.31935483870969,-0.15129032258064967
2000-06-01,53.32666666666667,350.5,0.29999999999999716,30,5.5200000000000005,21,0,0.0,0,2,13.889999999999999,73.09666666666666,-5.866499999999995
2000-07-01,60.37096774193548,169.5,25.999999999999986,31,4.4,14,2,0.0,0,0,13.680645161290323,65.2516129032258,-3.688064516129039
2000-08-01,59.770967741935486,169.70000000000002,7.599999999999994,31,4.5,22,2,0.0,0,0,14.461290322580645,68.55483870967741,-1.8295161290322568
2000-09-01,49.57666666666667,467.1,4.400000000000006,30,2.57,21,0,0.0,0,4,13.926666666666668,74.80666666666666,-3.263178160919537
2000-10-01,41.74193548387097,721.0,0.0,31,2.11,17,0,0.0,0,17,13.864516129032259,62.74193548387097,2.09951612903226
2000-11-01,27.323333333333334,1130.3000000000002,0.0,30,2.28,24,0,92.51,0,23,12.496666666666666,88.73666666666666,0.75775287356322
2000-12-01,-1.1161290322580644,2049.6000000000004,0.0,31,2.54,28,0,363.76,0,31,13.958064516129031,72.57096774193548,-11.476129032258063
2001-01-01,7.27741935483871,1789.4,0.0,31,2.76,27,0,678.42,0,31,15.387096774193548,77.02258064516128,4.679838709677419
2001-02-01,2.5714285714285716,1747.9999999999998,0.0,28,3.35,25,0,1011.77,0,28,15.839285714285714,67.06785714285715,-2.44945197044335
2001-03-01,17.835483870967742,1462.1000000000001,0.0,31,2.0,23,0,1326.59,0,31,14.148387096774194,69.13870967741936,-0.4881397849462381
2001-04-01,37.15333333333333,836.0,0.5999999999999943,30,4.58,18,1,58.54,0,21,18.85,70.12333333333332,3.828166666666661
2001-05-01,53.751612903225805,350.4999999999999,1.7999999999999972,31,1.78,19,0,0.0,0,6,17.241935483870968,70.06451612903226,4.6454838709677375
2001-06-01,59.123333333333335,212.7,36.400000000000006,30,3.04,15,0,0.0,0,1,16.65,71.92666666666668,-0.06983333333332808
2001-07-01,61.84516129032258,161.2,63.40000000000002,31,2.27,15,0,0.0,0,0,14.812903225806451,69.00322580645161,-2.21387096774194
2001-08-01,63.28064516129032,136.4,83.1,31,3.09,18,0,0.0,1,0,14.693548387096774,63.516129032258064,1.6801612903225802
