date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,55.61612903225806,290.9,0.0,31,0.9700000000000001,5,0,0.0,0,1,10.429032258064517,51.68709677419355,-0.09887096774193793
2000-02-01,55.07241379310344,287.9,0.0,29,4.82,11,1,0.0,0,0,11.193103448275863,68.39999999999999,-0.7685837438423704
2000-03-01,56.82258064516129,257.8,4.299999999999997,31,1.81,6,0,0.0,0,0,13.680645161290323,43.122580645161285,-2.6132258064516165
2000-04-01,63.11333333333334,96.10000000000001,39.499999999999986,30,1.27,3,0,0.0,1,0,14.036666666666667,33.24333333333333,0.9263333333333392
2000-05-01,67.92903225806452,24.099999999999994,114.89999999999999,31,0.02,1,0,0.0,5,0,14.432258064516128,38.15483870967742,1.7622580645161463
2000-06-01,72.58,3.4000000000000057,230.8,30,0.0,0,0,0.0,9,0,14.853333333333333,18.59,0.9436666666666582
2000-07-01,74.31935483870969,0.0,288.9,31,0.0,0,0,0.0,16,0,15.02258064516129,17.822580645161292,-2.9769354838709603
2000-08-01,77.52258064516128,0.0,388.2000000000001,31,0.01,0,0,0.0,23,0,15.154838709677419,24.13225806451613,-0.1704838709677574
2000-09-01,72.83333333333333,0.0,235.00000000000006,30,0.08,2,0,0.0,15,0,12.860000000000001,27.613333333333333,-2.3980000000000103
2000-10-01,62.851612903225806,87.30000000000001,20.69999999999999,31,0.61,5,0,0.0,0,0,11.651612903225805,49.906451612903226,-5.056129032258063
2000-11-01,55.24333333333333,292.69999999999993,0.0,30,0.14,2,0,0.0,0,0,12.343333333333334,26.326666666666664,-5.472166666666666
2000-12-01,56.38709677419355,267.00000000000006,0.0,31,0.02,1,0,0.0,0,0,10.980645161290322,35.829032258064515,1.9527419354838713
2001-01-01,51.45483870967742,419.90000000000003,0.0,31,3.4899999999999998,8,1,0.0,0,0,12.583870967741936,46.68709677419355,-4.2601612903225785
2001-02-01,51.846428571428575,373.5,5.200000000000003,28,5.75,12,1,0.0,0,0,11.485714285714286,59.575,-3.9945689655172387
2001-03-01,57.5516129032258,237.89999999999998,7.0,31,0.6100000000000001,3,0,0.0,0,0,11.351612903225808,55.400000000000006,-1.8841935483871026
2001-04-01,57.666666666666664,236.3,16.299999999999997,30,1.03,3,0,0.0,2,0,12.223333333333333,39.169999999999995,-4.520333333333333
2001-05-01,67.93548387096774,15.900000000000013,106.90000000000002,31,0.01,0,0,0.0,6,0,13.770967741935484,26.467741935483872,1.7687096774193662
2001-06-01,72.85333333333332,0.0,235.60000000000005,30,0.0,0,0,0.0,14,0,14.76,16.386666666666667,1.2169999999999845
2001-07-01,73.68387096774192,0.0,269.2,31,0.01,0,0,0.0,11,0,14.412903225806453,12.574193548387097,-3.612419354838721
2001-08-01,76.24193548387096,0.0,348.5,31,0.0,0,0,0.0,21,0,14.125806451612904,12.635483870967741,-1.4511290322580805
2001-09-01,73.44666666666667,0.0,253.39999999999998,30,0.0,0,0,0.0,17,0,13.28,20.793333333333333,-1.7846666666666664
2001-10-01,67.19354838709677,24.599999999999987,92.59999999999998,31,0.03,0,0,0.0,5,0,12.048387096774194,43.86129032258064,-0.7141935483871009
2001-11-01,59.11666666666667,181.99999999999997,5.5,30,1.4000000000000001,4,1,0.0,0,0,11.313333333333333,44.93333333333333,-1.5988333333333316
2001-12-01,51.39032258064516,421.8999999999999,0.0,31,1.0,6,0,0.0,0,0,11.33548387096774,47.75483870967742,-3.0440322580645187
2002-01-01,52.54516129032258,386.1,0.0,31,0.54,3,0,0.0,0,0,11.380645161290323,41.99032258064516,-3.169838709677414
2002-02-01,57.40714285714286,223.60000000000002,11.0,28,0.13,1,0,0.0,0,0,12.114285714285714,34.55,1.5661453201970446
2002-03-01,56.306451612903224,269.49999999999994,0.0,31,0.7100000000000001,4,0,0.0,0,0,14.861290322580645,42.92258064516129,-3.1293548387096806
2002-04-01,59.35333333333333,178.49999999999994,9.099999999999994,30,0.32,4,0,0.0,1,0,13.813333333333333,50.7,-2.833666666666666
2002-05-01,63.45483870967742,95.89999999999999,48.000000000000014,31,0.13,1,0,0.0,4,0,14.683870967741935,39.10322580645161,-2.7119354838709597
2002-06-01,69.73666666666666,5.600000000000001,147.7,30,0.0,0,0,0.0,7,0,14.466666666666667,25.216666666666665,-1.8996666666666755
2002-07-01,74.74193548387096,0.0,302.00000000000006,31,0.01,0,0,0.0,16,0,14.654838709677419,28.85483870967742,-2.554354838709685
2002-08-01,73.97096774193548,0.0,278.1,31,0.0,0,0,0.0,15,0,14.12258064516129,21.25483870967742,-3.7220967741935596
2002-09-01,75.01666666666667,6.700000000000003,307.19999999999993,30,0.0,0,0,0.0,18,0,13.676666666666668,28.4,-0.21466666666667322
2002-10-01,62.725806451612904,112.19999999999999,41.7,31,0.0,0,0,0.0,3,0,11.151612903225805,49.196774193548386,-5.181935483870966
