date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,55.87096774193548,285.09999999999997,2.0999999999999943,31,0.65,5,0,0.0,0,0,9.82258064516129,62.516129032258064,-0.5303225806451621
2000-02-01,56.279310344827586,252.90000000000006,0.0,29,3.7800000000000002,12,0,0.0,0,0,11.617241379310345,71.40689655172415,-0.33323891625615687
2000-03-01,56.91612903225807,250.6,0.0,31,1.7500000000000002,5,1,0.0,0,0,13.103225806451613,54.900000000000006,-2.2701612903225765
2000-04-01,61.12,120.5,4.1000000000000085,30,1.33,3,0,0.0,0,0,12.403333333333334,48.27333333333333,-0.2395000000000067
2000-05-01,64.94193548387096,25.300000000000004,23.500000000000014,31,0.060000000000000005,1,0,0.0,0,0,11.883870967741935,57.81290322580645,0.6753225806451582
2000-06-01,68.61333333333333,2.200000000000003,110.59999999999997,30,0.0,0,0,0.0,1,0,11.916666666666666,46.78333333333333,1.083833333333331
2000-07-01,69.65806451612903,0.0,144.39999999999992,31,0.0,0,0,0.0,0,0,11.899999999999999,49.1741935483871,-2.052096774193558
2000-08-01,72.16774193548386,0.0,222.2,31,0.01,0,0,0.0,1,0,11.916129032258064,47.222580645161294,-0.2748387096774252
2000-09-01,69.11999999999999,0.0,123.6,30,0.12,2,0,0.0,4,0,11.616666666666667,48.43666666666666,-2.2988333333333344
2000-10-01,62.751612903225805,83.60000000000001,13.900000000000006,31,2.06,5,1,0.0,0,0,11.235483870967743,63.06129032258064,-4.143225806451625
2000-11-01,54.67333333333333,309.80000000000007,0.0,30,0.0,0,0,0.0,0,0,10.256666666666666,31.926666666666666,-6.43033333333333
2000-12-01,55.23548387096774,302.7,0.0,31,0.04,1,0,0.0,0,0,8.964516129032257,46.906451612903226,-0.4312903225806437
2001-01-01,50.829032258064515,439.30000000000007,0.0,31,5.67,8,2,0.0,0,0,10.351612903225806,47.777419354838706,-5.572258064516127
2001-02-01,51.56785714285714,376.3,0.20000000000000284,28,5.79,12,3,0.0,0,0,10.646428571428572,62.31071428571429,-5.0446921182266
2001-03-01,57.309677419354834,238.90000000000003,0.5,31,0.64,4,0,0.0,0,0,11.364516129032259,68.7258064516129,-1.876612903225812
2001-04-01,57.25666666666667,237.4,5.099999999999994,30,0.9500000000000001,6,0,0.0,1,0,11.686666666666667,55.26,-4.102833333333336
2001-05-01,63.78709677419355,44.900000000000006,7.300000000000011,31,0.0,0,0,0.0,0,0,10.95483870967742,61.91290322580645,-0.4795161290322554
2001-06-01,67.40333333333334,3.999999999999993,76.09999999999998,30,0.0,0,0,0.0,0,0,11.53,50.49666666666667,-0.12616666666666276
