date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,55.12580645161291,308.2,2.0999999999999943,31,0.69,6,0,0.0,0,2,10.306451612903226,62.44193548387097,1.206129032258069
2000-02-01,55.80344827586207,266.7,0.0,29,4.13,11,0,0.0,0,0,12.051724137931034,71.33793103448276,1.6736637931034437
2000-03-01,56.303225806451614,269.59999999999997,0.0,31,1.82,6,1,0.0,0,0,13.241935483870968,55.832258064516125,-0.9998387096774124
2000-04-01,60.34666666666667,141.50000000000003,1.9000000000000057,30,1.3800000000000001,3,0,0.0,0,0,12.766666666666667,50.016666666666666,0.22033333333333616
2000-05-01,64.3741935483871,36.90000000000001,17.499999999999986,31,0.060000000000000005,1,0,0.0,0,0,12.067741935483872,59.45483870967742,0.5462903225806457
2000-06-01,67.88333333333334,5.299999999999997,91.80000000000001,30,0.0,0,0,0.0,1,0,12.393333333333334,48.51,-1.1559999999999917
2000-07-01,68.80000000000001,0.0,117.80000000000003,31,0.0,0,0,0.0,1,0,12.422580645161291,52.6741935483871,-5.281774193548387
2000-08-01,71.66451612903225,0.0,206.60000000000002,31,0.01,0,0,0.0,2,0,12.412903225806453,49.983870967741936,-2.7900000000000063
2000-09-01,68.67,0.29999999999999716,110.4,30,0.18,2,0,0.0,4,0,11.833333333333334,49.843333333333334,-3.373666666666665
2000-10-01,62.41935483870968,94.3,14.299999999999983,31,1.88,5,0,0.0,0,0,11.551612903225807,63.9741935483871,-3.090161290322584
2000-11-01,53.93,332.09999999999997,0.0,30,0.0,0,0,0.0,0,0,10.506666666666666,32.82666666666667,-4.833999999999996
2000-12-01,54.87096774193548,314.1,0.09999999999999432,31,0.06,1,0,0.0,0,2,9.26774193548387,46.92903225806452,2.1216129032258024
2001-01-01,50.42258064516129,451.8999999999999,0.0,31,6.01,8,2,0.0,0,1,10.619354838709677,48.74516129032258,-3.497096774193551
2001-02-01,51.275,384.3,0.0,28,6.13,12,2,0.0,0,0,10.978571428571428,62.73571428571428,-2.8547844827586246
2001-03-01,56.91612903225807,250.60000000000005,0.0,31,0.8,4,0,0.0,0,0,11.461290322580645,70.83548387096775,-0.3869354838709569
