date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,52.122580645161285,399.2,0.0,31,4.8,11,2,0.0,0,0,13.129032258064516,78.70645161290322,1.524193548387089
2000-02-01,53.42758620689656,335.5999999999999,0.0,29,4.57,14,0,0.0,0,0,16.348275862068967,84.1896551724138,0.5957635467980325
2000-03-01,54.68064516129032,324.2999999999999,4.400000000000006,31,1.56,6,0,0.0,0,0,16.14516129032258,60.877419354838715,-1.005161290322583
2000-04-01,58.843333333333334,197.10000000000002,12.400000000000006,30,0.63,6,0,0.0,0,0,18.2,52.766666666666666,0.9765000000000015
2000-05-01,62.39032258064516,122.9,42.0,31,0.3,5,0,0.0,2,0,18.05483870967742,58.94516129032258,0.9237096774193603
2000-06-01,66.54,41.7,87.9,30,0.26,2,0,0.0,2,0,16.403333333333332,36.65333333333333,1.043833333333339
2000-07-01,64.90967741935484,30.40000000000002,27.599999999999994,31,0.04,1,0,0.0,0,0,17.358064516129033,43.08709677419355,-1.8387096774193594
2000-08-01,66.90322580645162,7.0,66.0,31,0.01,0,0,0.0,1,0,15.529032258064515,32.487096774193546,0.09274193548387188
2000-09-01,67.81333333333333,18.60000000000001,103.0,30,0.11,1,0,0.0,4,0,15.403333333333334,33.59,1.167666666666662
2000-10-01,60.351612903225806,147.60000000000002,3.5,31,2.2199999999999998,8,0,0.0,0,0,14.587096774193547,54.487096774193546,-2.0854838709677423
2000-11-01,51.25333333333333,412.4,0.0,30,0.48,4,0,0.0,0,0,11.44,48.15,-4.288666666666664
2000-12-01,50.71935483870968,442.70000000000005,0.0,31,0.29000000000000004,4,0,0.0,0,0,9.580645161290322,55.599999999999994,-0.23516129032257993
2001-01-01,47.81612903225806,532.6999999999999,0.0,31,1.9800000000000002,7,0,0.0,0,0,13.03225806451613,49.9483870967742,-2.782258064516135
2001-02-01,50.542857142857144,404.79999999999995,0.0,28,3.8200000000000003,12,0,0.0,0,0,15.571428571428571,66.75714285714285,-2.2889655172413796
2001-03-01,56.119354838709675,276.3,1.0,31,1.3900000000000001,7,0,0.0,0,0,15.422580645161291,57.04838709677419,0.4335483870967707
2001-04-01,54.2,325.59999999999997,1.5999999999999943,30,0.64,4,0,0.0,0,0,17.746666666666666,48.89333333333333,-3.6668333333333294
2001-05-01,66.03870967741936,44.69999999999998,76.89999999999999,31,0.0,0,0,0.0,3,0,16.65806451612903,28.85483870967742,4.572096774193561
2001-06-01,67.40333333333334,24.199999999999996,96.29999999999997,30,0.13,1,0,0.0,2,0,17.87,30.240000000000002,1.9071666666666687
2001-07-01,65.92258064516129,23.699999999999996,52.29999999999998,31,0.0,0,0,0.0,1,0,16.864516129032257,40.648387096774194,-0.8258064516129053
2001-08-01,65.6258064516129,18.4,37.80000000000001,31,0.0,0,0,0.0,0,0,16.812903225806455,38.53225806451613,-1.1846774193548413
2001-09-01,64.36333333333333,42.000000000000014,22.90000000000002,30,0.18,1,0,0.0,1,0,14.996666666666666,37.68333333333333,-2.282333333333341
2001-10-01,62.79677419354839,93.59999999999998,25.30000000000001,31,0.09000000000000001,2,0,0.0,1,0,13.770967741935483,53.380645161290325,0.35967741935483843
2001-11-01,56.42666666666666,257.2,0.0,30,2.25,8,0,0.0,0,0,12.746666666666666,61.276666666666664,0.8846666666666678
2001-12-01,51.04516129032258,432.59999999999997,0.0,31,3.02,16,0,0.0,0,0,15.893548387096773,76.7741935483871,0.0906451612903254
2002-01-01,47.34838709677419,547.2,0.0,31,0.6100000000000001,5,0,0.0,0,2,12.196774193548388,50.12903225806452,-3.250000000000007
2002-02-01,52.614285714285714,346.8,0.0,28,0.78,4,0,0.0,0,0,11.37142857142857,55.28214285714286,-0.21753694581281025
2002-03-01,53.36774193548387,360.6,0.0,31,1.58,6,0,0.0,0,0,15.712903225806452,50.92903225806452,-2.3180645161290343
2002-04-01,57.20333333333333,234.59999999999997,0.7000000000000028,30,0.42000000000000004,3,0,0.0,0,0,16.646666666666665,62.72666666666667,-0.6634999999999991
2002-05-01,59.596774193548384,177.89999999999998,10.400000000000006,31,0.46,3,0,0.0,0,0,17.75483870967742,42.880645161290325,-1.869838709677417
2002-06-01,64.03666666666666,65.9,36.999999999999986,30,0.0,0,0,0.0,1,0,18.73,27.0,-1.4595000000000056
2002-07-01,67.29354838709678,10.300000000000018,81.39999999999998,31,0.01,0,0,0.0,2,0,16.9,33.62903225806452,0.5451612903225822
2002-08-01,66.77741935483871,26.599999999999994,81.69999999999997,31,0.02,0,0,0.0,2,0,17.029032258064515,35.94838709677419,-0.03306451612903061
2002-09-01,67.34333333333333,22.39999999999999,92.70000000000003,30,0.0,0,0,0.0,5,0,15.743333333333334,32.723333333333336,0.6976666666666631
2002-10-01,61.33870967741935,140.79999999999998,27.30000000000001,31,0.0,0,0,0.0,1,0,13.661290322580646,45.806451612903224,-1.0983870967741964
2002-11-01,56.63333333333333,250.99999999999994,0.0,30,1.8,3,0,0.0,0,0,10.713333333333333,56.373333333333335,1.0913333333333384
2002-12-01,51.99032258064516,403.3,0.0,31,6.43,13,2,0.0,0,0,14.829032258064515,66.86129032258064,1.0358064516129062
2003-01-01,54.34838709677419,330.2,0.0,31,0.63,5,0,0.0,0,0,10.541935483870969,63.95161290322581,3.749999999999993
2003-02-01,52.18928571428571,358.7,0.0,28,1.53,9,0,0.0,0,1,13.067857142857141,53.61071428571428,-0.6425369458128145
2003-03-01,55.903225806451616,282.0,0.0,31,0.68,5,0,0.0,0,0,16.85483870967742,56.012903225806454,0.2174193548387109
2003-04-01,54.70333333333333,308.90000000000003,0.0,30,2.73,15,0,0.0,0,0,15.34,71.87666666666668,-3.163499999999999
2003-05-01,61.25806451612903,138.5,22.5,31,0.6799999999999999,2,0,0.0,0,0,19.53548387096774,52.2,-0.20854838709676926
2003-06-01,66.03,44.59999999999997,75.50000000000001,30,0.0,0,0,0.0,4,0,16.99,36.36333333333334,0.5338333333333338
2003-07-01,68.1,6.699999999999989,102.79999999999998,31,0.0,0,0,0.0,1,0,16.238709677419354,33.75806451612903,1.3516129032257993
2003-08-01,68.41612903225807,0.9000000000000057,106.79999999999998,31,0.0,0,0,0.0,1,0,17.006451612903227,40.377419354838715,1.605645161290326
2003-09-01,68.46666666666667,10.600000000000001,114.60000000000001,30,0.03,1,0,0.0,7,0,15.553333333333335,35.66,1.820999999999998
2003-10-01,63.877419354838715,64.39999999999998,29.599999999999994,31,0.01,0,0,0.0,1,0,13.551612903225807,38.92580645161291,1.4403225806451658
2003-11-01,53.34666666666667,349.6,0.0,30,1.8599999999999999,9,0,0.0,0,0,11.753333333333334,60.57666666666667,-2.1953333333333234
2003-12-01,51.90967741935484,405.79999999999995,0.0,31,3.39,15,0,0.0,0,0,13.770967741935483,73.95161290322581,0.9551612903225859
2004-01-01,49.938709677419354,466.90000000000003,0.0,31,1.38,5,0,0.0,0,1,11.641935483870967,73.6258064516129,-0.6596774193548427
2004-02-01,51.62068965517241,388.00000000000006,0.0,29,2.98,11,0,0.0,0,0,14.486206896551725,68.6896551724138,-1.2111330049261113
2004-03-01,59.309677419354834,187.29999999999998,10.899999999999991,31,0.35000000000000003,2,0,0.0,0,0,14.703225806451613,45.33870967741935,3.6238709677419294
2004-04-01,60.05333333333333,181.5,33.099999999999994,30,0.28,2,0,0.0,1,0,17.09333333333333,44.28,2.1864999999999952
2004-05-01,61.59032258064516,112.60000000000001,6.8999999999999915,31,0.07,1,0,0.0,0,0,17.509677419354837,44.70322580645161,0.12370967741935601
2004-06-01,64.70333333333333,40.79999999999999,31.900000000000006,30,0.0,0,0,0.0,1,0,18.936666666666667,33.943333333333335,-0.7928333333333342
2004-07-01,66.92903225806452,3.8000000000000185,63.60000000000001,31,0.0,0,0,0.0,0,0,16.9258064516129,38.28387096774193,0.18064516129032882
2004-08-01,68.1032258064516,3.299999999999997,99.50000000000001,31,0.1,1,0,0.0,2,0,16.980645161290322,41.07096774193548,1.2927419354838605
2004-09-01,68.06,24.9,116.7,30,0.05,1,0,0.0,6,0,14.673333333333334,11.063333333333333,1.4143333333333317
2004-10-01,60.55806451612903,159.4,21.700000000000003,31,1.7999999999999998,6,0,0.0,0,0,12.461290322580645,35.84838709677419,-1.8790322580645196
2004-11-01,54.019999999999996,329.4,0.0,30,0.62,4,0,0.0,0,0,10.976666666666667,31.533333333333335,-1.5219999999999985
2004-12-01,50.903225806451616,437.0,0.0,31,3.66,10,1,0.0,0,0,11.82258064516129,38.622580645161285,-0.051290322580641146
2005-01-01,48.61612903225806,507.9000000000001,0.0,31,2.68,14,0,0.0,0,0,10.35483870967742,45.5,-1.982258064516138
2005-02-01,54.253571428571426,300.9000000000001,0.0,28,3.8,12,1,0.0,0,0,11.471428571428572,55.885714285714286,1.4217487684729022
2005-03-01,57.041935483870965,249.49999999999997,2.799999999999997,31,2.72,13,0,0.0,0,0,12.96774193548387,42.18387096774194,1.3561290322580604
2005-04-01,56.54333333333333,253.70000000000002,0.0,30,1.69,8,0,0.0,0,0,15.236666666666668,27.383333333333333,-1.3235000000000028
2005-05-01,62.24516129032258,92.40000000000002,7.0,31,1.34,5,0,0.0,0,0,16.24516129032258,34.935483870967744,0.7785483870967767
2005-06-01,63.81333333333334,50.40000000000002,14.799999999999997,30,0.13999999999999999,2,0,0.0,0,0,18.043333333333333,25.48,-1.6828333333333276
2005-07-01,67.73548387096774,2.799999999999997,87.59999999999998,31,0.0,0,0,0.0,1,0,14.948387096774193,19.370967741935484,0.9870967741935459
2005-08-01,66.18064516129031,13.100000000000001,49.70000000000002,31,0.0,0,0,0.0,1,0,14.387096774193548,29.406451612903226,-0.6298387096774292
2005-09-01,63.36666666666667,62.09999999999998,13.100000000000009,30,0.01,0,0,0.0,0,0,15.013333333333332,27.086666666666666,-3.2790000000000035
2005-10-01,61.225806451612904,120.39999999999999,3.4000000000000057,31,0.060000000000000005,1,0,0.0,0,0,13.119354838709677,27.74516129032258,-1.2112903225806448
2005-11-01,56.67666666666666,249.70000000000005,0.0,30,0.39,6,0,0.0,0,0,10.673333333333334,32.57,1.1346666666666678
