date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,57.49354838709677,234.1,1.4000000000000057,31,0.7300000000000001,4,0,0.0,0,0,9.516129032258064,43.332258064516125,0.6540322580645181
2000-02-01,57.317241379310346,223.90000000000003,1.0999999999999943,29,4.44,11,0,0.0,0,0,12.117241379310345,58.89655172413793,0.09926724137930876
2000-03-01,58.33870967741935,207.90000000000003,1.4000000000000057,31,1.6099999999999999,5,0,0.0,0,0,13.116129032258065,41.461290322580645,-1.8087096774193583
2000-04-01,63.17333333333333,72.9,18.099999999999994,30,1.19,3,0,0.0,0,0,13.243333333333334,36.13333333333333,0.6618333333333339
2000-05-01,66.47096774193548,11.200000000000017,56.8,31,0.06,1,0,0.0,0,0,12.40967741935484,43.23548387096774,1.258387096774186
2000-06-01,70.43333333333334,0.0,163.00000000000006,30,0.0,0,0,0.0,1,0,12.986666666666668,33.833333333333336,2.002833333333328
2000-07-01,71.47741935483872,0.0,200.8,31,0.0,0,0,0.0,1,0,12.416129032258064,30.39032258064516,-1.181774193548378
2000-08-01,73.91935483870968,0.0,276.50000000000006,31,0.0,0,0,0.0,3,0,12.100000000000001,29.43548387096774,0.5785483870967738
2000-09-01,70.99333333333334,0.0,179.8,30,0.17,1,0,0.0,4,0,11.503333333333334,33.730000000000004,-1.2339999999999947
2000-10-01,63.99677419354839,52.200000000000024,21.10000000000001,31,2.02,5,1,0.0,0,0,11.087096774193547,51.76774193548387,-3.587903225806457
2000-11-01,56.776666666666664,246.8,0.09999999999999432,30,0.19999999999999998,1,0,0.0,0,0,10.053333333333335,18.996666666666666,-4.810833333333335
2000-12-01,56.70645161290323,258.4,1.2999999999999972,31,0.03,0,0,0.0,0,0,8.748387096774193,29.096774193548388,0.7435483870967801
2001-01-01,52.900000000000006,377.3,2.200000000000003,31,5.28,6,2,0.0,0,0,10.341935483870968,31.406451612903226,-3.939516129032249
2001-02-01,53.324999999999996,330.59999999999997,3.700000000000003,28,6.97,10,3,0.0,0,0,10.799999999999999,52.26428571428572,-3.8929741379310414
2001-03-01,59.11290322580645,186.4,3.9000000000000057,31,0.44,3,0,0.0,0,0,11.561290322580644,56.31935483870968,-1.0345161290322622
2001-04-01,59.07333333333334,191.7,13.900000000000006,30,0.86,3,0,0.0,1,0,12.55,44.86333333333334,-3.4381666666666604
