date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,55.96774193548387,281.2,1.2000000000000028,31,0.36,6,0,0.0,0,0,10.896774193548387,48.906451612903226,1.394032258064513
2000-02-01,55.93103448275862,263.0,0.0,29,4.45,15,1,0.0,0,0,12.86896551724138,65.38620689655173,1.1795197044334955
2000-03-01,55.50645161290323,294.29999999999995,0.0,31,1.88,8,0,0.0,0,0,12.44516129032258,49.167741935483875,-1.5182258064516105
2000-04-01,59.89666666666667,156.29999999999998,3.200000000000003,30,0.97,7,0,0.0,0,0,12.866666666666667,41.63666666666666,0.4888333333333321
2000-05-01,63.63870967741936,59.90000000000001,17.700000000000003,31,0.17,4,0,0.0,0,0,11.561290322580644,48.12580645161291,1.0408064516129016
2000-06-01,67.72666666666666,5.100000000000001,86.89999999999998,30,0.02,0,0,0.0,0,0,11.43,40.53666666666666,1.2108333333333263
2000-07-01,69.0,0.09999999999999432,124.09999999999998,31,0.0,0,0,0.0,0,0,11.341935483870968,38.79677419354839,-2.2098387096774275
2000-08-01,72.00322580645161,0.0,217.10000000000002,31,0.16,3,0,0.0,3,0,11.03225806451613,40.89032258064516,-0.2387096774193509
2000-09-01,69.39,0.09999999999999432,131.8,30,0.46,4,0,0.0,3,0,11.726666666666667,40.82666666666667,-1.3528333333333222
2000-10-01,62.15161290322581,97.60000000000002,9.299999999999983,31,2.11,12,0,0.0,0,0,11.83548387096774,62.28387096774193,-3.131774193548381
2000-11-01,54.66,310.2000000000001,0.0,30,0.8300000000000001,3,0,0.0,0,0,11.223333333333333,28.623333333333335,-4.669499999999999
2000-12-01,55.067741935483866,307.8999999999999,0.0,31,0.05,1,0,0.0,0,0,10.041935483870969,33.15806451612904,1.3329032258064473
2001-01-01,51.645161290322584,413.99999999999994,0.0,31,4.26,11,1,0.0,0,0,10.983870967741936,42.148387096774194,-2.9285483870967752
2001-02-01,52.475,354.0,3.299999999999997,28,4.43,14,1,0.0,0,0,12.021428571428572,51.753571428571426,-2.2765147783251223
2001-03-01,56.55806451612903,262.79999999999995,1.0999999999999943,31,1.6500000000000001,5,0,0.0,0,0,11.27741935483871,62.59032258064516,-0.4666129032258084
2001-04-01,56.42666666666666,261.29999999999995,4.099999999999994,30,2.12,11,0,0.0,0,0,12.143333333333334,54.480000000000004,-2.981166666666674
2001-05-01,63.541935483870965,59.5,14.299999999999997,31,0.25,3,0,0.0,0,0,10.96774193548387,59.89677419354839,0.9440322580645102
2001-06-01,67.88333333333334,11.000000000000007,97.50000000000003,30,0.05,1,0,0.0,0,0,11.110000000000001,41.24,1.3675000000000068
2001-07-01,68.83225806451614,0.0,118.79999999999997,31,0.0,0,0,0.0,0,0,11.187096774193549,43.55483870967742,-2.377580645161288
2001-08-01,70.6774193548387,0.0,175.99999999999994,31,0.01,0,0,0.0,0,0,11.064516129032258,37.36774193548387,-1.5645161290322562
2001-09-01,68.56,1.0,107.8,30,0.05,0,0,0.0,2,0,11.143333333333334,37.07333333333334,-2.1828333333333205
2001-10-01,64.70645161290322,40.29999999999998,31.200000000000003,31,0.07,0,0,0.0,1,0,11.141935483870967,45.63870967741936,-0.5769354838709688
2001-11-01,58.36,199.2,0.0,30,2.61,7,1,0.0,0,0,10.639999999999999,47.03666666666666,-0.9694999999999965
2001-12-01,51.851612903225806,407.6,0.0,31,1.27,8,0,0.0,0,0,10.583870967741936,37.851612903225806,-1.8832258064516125
2002-01-01,52.270967741935486,394.59999999999997,0.0,31,0.65,3,0,0.0,0,2,10.961290322580645,37.222580645161294,-2.3027419354838727
2002-02-01,55.142857142857146,284.2,8.199999999999989,28,0.36,2,0,0.0,0,0,11.478571428571428,29.085714285714285,0.3913423645320222
2002-03-01,54.599999999999994,322.40000000000003,0.0,31,1.13,7,0,0.0,0,0,13.26774193548387,44.78387096774193,-2.4246774193548433
2002-04-01,57.28666666666666,231.39999999999998,0.0,30,0.66,5,0,0.0,0,0,12.683333333333334,60.93666666666666,-2.1211666666666744
2002-05-01,60.303225806451614,154.4,8.799999999999997,31,0.08,1,0,0.0,0,0,12.180645161290323,54.00322580645161,-2.2946774193548407
2002-06-01,64.86,28.699999999999996,24.49999999999997,30,0.0,0,0,0.0,0,0,11.520000000000001,46.26,-1.6558333333333337
2002-07-01,68.68387096774192,2.0,116.19999999999999,31,0.03,1,0,0.0,0,0,10.98709677419355,41.32258064516129,-2.525967741935503
2002-08-01,68.90645161290323,0.0,121.10000000000001,31,0.01,0,0,0.0,1,0,11.138709677419355,41.65806451612904,-3.3354838709677352
2002-09-01,69.77666666666667,6.800000000000004,150.09999999999997,30,0.44,4,0,0.0,4,0,11.456666666666667,37.376666666666665,-0.966166666666652
2002-10-01,61.599999999999994,118.89999999999998,13.5,31,0.09,2,0,0.0,0,0,10.764516129032257,56.78387096774193,-3.6833870967741973
2002-11-01,61.17333333333333,133.2,18.400000000000006,30,1.4700000000000002,4,0,0.0,0,0,11.286666666666667,36.45333333333333,1.843833333333336
2002-12-01,52.564516129032256,385.49999999999994,0.0,31,3.34,7,0,0.0,0,0,10.922580645161291,37.061290322580646,-1.1703225806451627
2003-01-01,58.44193548387097,213.0,9.699999999999989,31,0.51,4,0,0.0,0,0,10.861290322580645,30.700000000000003,3.868225806451612
2003-02-01,55.528571428571425,265.2,0.0,28,5.77,12,2,0.0,0,0,11.567857142857141,57.182142857142864,0.7770566502463012
2003-03-01,57.38387096774194,239.4,3.3000000000000114,31,2.18,5,1,0.0,0,0,11.851612903225806,34.432258064516134,0.35919354838710404
2003-04-01,56.78666666666666,246.8,0.4000000000000057,30,2.1,8,1,0.0,0,0,13.163333333333332,49.07,-2.6211666666666744
2003-05-01,60.90967741935484,138.39999999999992,11.599999999999994,31,1.7,7,0,0.0,0,0,11.048387096774194,52.59032258064516,-1.6882258064516122
2003-06-01,63.53,64.10000000000002,20.000000000000014,30,0.11,3,0,0.0,0,0,10.243333333333334,70.97666666666667,-2.985833333333332
2003-07-01,71.39032258064516,0.0,198.1,31,0.19,1,0,0.0,1,0,10.338709677419354,40.480645161290326,0.1804838709677341
2003-08-01,73.66774193548386,0.0,268.70000000000005,31,0.08,1,0,0.0,4,0,11.422580645161291,34.306451612903224,1.4258064516128997
2003-09-01,69.63000000000001,0.0,138.9,30,0.03,1,0,0.0,2,0,10.75,43.156666666666666,-1.1128333333333131
2003-10-01,66.80967741935484,19.4,75.5,31,0.1,3,0,0.0,2,0,10.680645161290323,49.09032258064516,1.5262903225806497
2003-11-01,57.330000000000005,230.09999999999997,0.0,30,0.73,7,0,0.0,0,0,10.606666666666666,45.943333333333335,-1.9994999999999905
2003-12-01,53.16129032258065,367.0,0.0,31,1.44,12,0,0.0,0,0,10.067741935483872,42.76774193548387,-0.5735483870967713
2004-01-01,53.44193548387097,358.29999999999995,0.0,31,0.99,7,0,0.0,0,0,10.603225806451613,40.33870967741935,-1.131774193548388
2004-02-01,52.97931034482759,348.6,0.0,29,3.48,12,0,0.0,0,0,11.637931034482758,46.158620689655166,-1.772204433497535
2004-03-01,59.63548387096775,182.5,16.200000000000003,31,0.42000000000000004,2,0,0.0,0,0,11.216129032258063,41.79354838709677,2.610806451612909
2004-04-01,60.916666666666664,142.10000000000002,19.60000000000001,30,1.03,3,0,0.0,1,0,12.07,46.36333333333334,1.5088333333333281
2004-05-01,65.60967741935484,46.90000000000002,65.80000000000003,31,0.67,1,0,0.0,3,0,12.325806451612904,41.13548387096775,3.0117741935483835
2004-06-01,65.02666666666667,19.29999999999999,20.099999999999994,30,0.72,2,0,0.0,0,0,11.506666666666666,55.90333333333333,-1.4891666666666623
2004-07-01,70.87741935483871,0.0,182.20000000000005,31,0.0,0,0,0.0,0,0,11.074193548387097,40.42258064516129,-0.33241935483872
2004-08-01,70.02580645161291,0.0,155.79999999999995,31,0.02,1,0,0.0,0,0,10.851612903225806,41.39354838709678,-2.2161290322580527
2004-09-01,71.38333333333334,2.000000000000007,193.50000000000006,30,0.03,1,0,0.0,2,0,11.383333333333333,36.75,0.6405000000000172
2004-10-01,62.61612903225806,88.09999999999998,14.199999999999989,31,6.74,8,2,0.0,0,0,11.751612903225807,52.0,-2.6672580645161332
2004-11-01,55.8,276.0,0.0,30,1.3299999999999998,7,0,0.0,0,0,10.52,34.96,-3.5294999999999987
2004-12-01,54.11290322580645,337.5,0.0,31,5.39,8,2,0.0,0,0,10.938709677419356,35.961290322580645,0.37806451612902947
2005-01-01,54.66129032258065,322.70000000000005,2.200000000000003,31,6.4,14,2,0.0,0,0,10.600000000000001,45.11612903225806,0.08758064516128883
2005-02-01,57.167857142857144,219.3,0.0,28,7.32,13,3,0.0,0,0,12.260714285714286,60.082142857142856,2.416342364532021
