date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,55.28387096774193,301.20000000000005,0.0,31,1.08,4,0,0.0,0,0,11.651612903225805,61.58064516129032,-0.3853225806451661
2000-02-01,54.46896551724138,305.4,0.0,29,5.21,10,1,0.0,0,0,12.244827586206897,76.83793103448276,-1.2435467980295627
2000-03-01,56.52258064516129,267.79999999999995,5.0,31,1.67,6,0,0.0,0,0,14.948387096774193,51.88709677419355,-2.79032258064516
2000-04-01,62.74,103.7,35.89999999999999,30,1.44,3,0,0.0,1,0,15.046666666666665,39.980000000000004,0.8115000000000023
2000-05-01,67.50967741935484,32.70000000000001,110.50000000000001,31,0.03,1,0,0.0,5,0,15.806451612903226,46.84193548387096,1.6648387096774258
2000-06-01,72.17,4.600000000000001,219.69999999999996,30,0.13,1,0,0.0,7,0,16.303333333333335,24.406666666666663,0.9321666666666744
2000-07-01,73.84193548387097,0.0,274.09999999999997,31,0.0,0,0,0.0,16,0,16.50967741935484,26.154838709677417,-3.0538709677419433
2000-08-01,76.94516129032259,0.0,370.30000000000007,31,0.01,0,0,0.0,22,0,16.216129032258063,31.761290322580646,-0.35645161290321425
2000-09-01,72.57666666666667,0.0,227.3,30,0.16,1,0,0.0,12,0,14.023333333333333,33.58,-2.4154999999999944
2000-10-01,62.622580645161285,93.0,19.299999999999997,31,0.78,4,0,0.0,0,0,12.790322580645162,56.400000000000006,-5.142258064516135
2000-11-01,55.63666666666666,282.2,1.2999999999999972,30,0.07,1,0,0.0,0,0,13.486666666666668,36.513333333333335,-4.998333333333342
2000-12-01,56.403225806451616,266.49999999999994,0.0,31,0.02,1,0,0.0,0,0,11.345161290322581,47.196774193548386,2.00096774193549
2001-01-01,51.435483870967744,422.50000000000006,2.0,31,4.03,8,2,0.0,0,0,13.225806451612904,56.66129032258065,-4.233709677419355
2001-02-01,51.58571428571429,379.50000000000006,3.9000000000000057,28,6.99,12,1,0.0,0,0,12.264285714285714,68.54285714285714,-4.126798029556653
2001-03-01,57.4741935483871,241.1,7.799999999999997,31,0.63,3,0,0.0,0,0,12.438709677419356,62.938709677419354,-1.8387096774193523
2001-04-01,56.65,257.8,7.300000000000011,30,0.9299999999999999,4,0,0.0,1,0,14.593333333333334,44.983333333333334,-5.278500000000001
2001-05-01,66.83870967741936,23.499999999999993,80.5,31,0.0,0,0,0.0,5,0,17.11935483870968,33.37419354838709,0.9938709677419411
2001-06-01,71.78999999999999,1.499999999999993,205.2,30,0.0,0,0,0.0,14,0,16.553333333333335,23.80666666666667,0.5521666666666647
2001-07-01,72.63870967741934,0.0,236.79999999999993,31,0.18,1,0,0.0,9,0,17.322580645161292,16.325806451612905,-4.25709677419357
2001-08-01,75.37096774193549,0.0,321.4999999999999,31,0.0,0,0,0.0,19,0,15.693548387096774,18.174193548387095,-1.9306451612903146
2001-09-01,73.52333333333333,0.0,255.7,30,0.0,0,0,0.0,15,0,14.17,25.486666666666668,-1.468833333333336
2001-10-01,67.24516129032257,24.80000000000001,94.4,31,0.05,0,0,0.0,5,0,13.019354838709678,53.332258064516125,-0.5196774193548492
2001-11-01,59.22666666666667,178.2,5.0,30,1.58,4,1,0.0,0,0,12.143333333333334,53.57,-1.4083333333333385
2001-12-01,51.65161290322581,413.8,0.0,31,1.27,5,0,0.0,0,0,11.874193548387098,58.251612903225805,-2.750645161290315
2002-01-01,52.622580645161285,383.70000000000005,0.0,31,0.5800000000000001,3,0,0.0,0,0,11.899999999999999,52.55806451612903,-3.046612903225814
2002-02-01,57.42857142857143,223.00000000000003,11.0,28,0.2,1,0,0.0,0,0,12.99642857142857,45.871428571428574,1.7160591133004885
2002-03-01,56.303225806451614,269.59999999999997,0.0,31,0.91,4,0,0.0,0,0,16.06451612903226,51.79677419354839,-3.009677419354837
2002-04-01,59.21,182.50000000000006,8.800000000000011,30,0.26,3,0,0.0,1,0,14.906666666666666,57.43666666666666,-2.718499999999999
2002-05-01,63.31935483870968,99.60000000000002,47.5,31,0.19,1,0,0.0,3,0,16.019354838709678,44.63870967741936,-2.52548387096774
2002-06-01,69.51666666666667,6.700000000000003,142.2,30,0.0,0,0,0.0,7,0,15.360000000000001,28.873333333333335,-1.7211666666666616
2002-07-01,74.60645161290323,0.0,297.79999999999995,31,0.01,0,0,0.0,14,0,15.687096774193549,38.303225806451614,-2.2893548387096843
2002-08-01,73.95806451612903,0.0,277.69999999999993,31,0.0,0,0,0.0,13,0,15.12258064516129,25.322580645161292,-3.3435483870967744
2002-09-01,74.99666666666667,7.0,306.9,30,0.01,0,0,0.0,17,0,15.0,36.34,0.004500000000007276
2002-10-01,62.832258064516125,111.00000000000003,43.8,31,0.0,0,0,0.0,3,0,12.432258064516128,53.86129032258064,-4.932580645161295
2002-11-01,62.91,103.1,40.39999999999999,30,1.51,3,0,0.0,0,0,15.186666666666667,42.74666666666667,2.2749999999999915
2002-12-01,52.88387096774194,375.6000000000001,0.0,31,2.21,6,1,0.0,0,0,9.696774193548388,48.78064516129032,-1.518387096774184
2003-01-01,60.57096774193548,160.4,23.099999999999994,31,0.0,0,0,0.0,0,0,13.196774193548388,41.438709677419354,4.901774193548384
2003-02-01,55.260714285714286,272.7,0.0,28,3.84,6,1,0.0,0,0,12.571428571428571,60.800000000000004,-0.45179802955665593
2003-03-01,59.23870967741936,197.8,19.19999999999999,31,3.4600000000000004,4,1,0.0,0,0,14.841935483870968,38.980645161290326,-0.07419354838709324
2003-04-01,57.64,227.29999999999998,6.5,30,1.2,2,1,0.0,0,0,15.446666666666665,55.11333333333334,-4.288499999999999
2003-05-01,65.16451612903225,87.50000000000001,92.60000000000002,31,0.46,2,0,0.0,5,0,14.754838709677419,48.03548387096774,-0.6803225806451678
2003-06-01,67.31333333333333,27.100000000000023,96.49999999999999,30,0.0,0,0,0.0,3,0,14.096666666666666,50.25,-3.9244999999999948
2003-07-01,77.9,0.0,399.9000000000001,31,0.03,1,0,0.0,22,0,15.080645161290322,35.50967741935484,1.004193548387093
2003-08-01,79.34516129032258,0.0,444.70000000000005,31,0.0,0,0,0.0,25,0,15.53225806451613,32.40967741935484,2.043548387096777
2003-09-01,74.19666666666667,0.0,275.9,30,0.0,0,0,0.0,15,0,14.693333333333333,16.4,-0.7954999999999899
2003-10-01,70.6741935483871,20.5,196.4,31,0.01,0,0,0.0,10,0,13.461290322580645,44.461290322580645,2.9093548387096746
2003-11-01,56.59666666666667,252.1,0.0,30,0.8200000000000001,3,0,0.0,0,0,10.273333333333333,55.263333333333335,-4.038333333333334
2003-12-01,53.564516129032256,354.49999999999994,0.0,31,0.54,4,0,0.0,0,1,11.106451612903227,52.39354838709678,-0.8377419354838693
2004-01-01,54.596774193548384,322.5,0.0,31,0.12,1,0,0.0,0,0,11.280645161290321,46.73548387096774,-1.0724193548387149
2004-02-01,53.306896551724144,339.09999999999997,0.0,29,4.720000000000001,9,2,0.0,0,0,14.33103448275862,54.90344827586207,-2.4056157635467983
2004-03-01,63.94193548387097,99.9,67.09999999999998,31,0.65,2,0,0.0,3,0,14.82258064516129,37.900000000000006,4.62903225806452
2004-04-01,63.05333333333333,123.19999999999999,64.79999999999998,30,0.53,3,0,0.0,3,0,15.013333333333332,43.60333333333333,1.1248333333333278
2004-05-01,68.95161290322581,24.099999999999994,146.6,31,0.0,0,0,0.0,7,0,15.53225806451613,42.512903225806454,3.1067741935483895
2004-06-01,69.09333333333333,3.1000000000000014,125.90000000000002,30,0.0,0,0,0.0,4,0,15.763333333333332,37.38,-2.1444999999999936
2004-07-01,75.68064516129031,0.0,331.1000000000001,31,0.0,0,0,0.0,18,0,15.516129032258064,25.519354838709678,-1.2151612903225981
2004-08-01,74.25161290322582,0.0,286.8,31,0.0,0,0,0.0,13,0,15.270967741935483,24.316129032258065,-3.049999999999983
2004-09-01,74.71666666666667,2.400000000000013,293.9,30,0.0,0,0,0.0,17,0,15.036666666666667,32.233333333333334,-0.27549999999999386
2004-10-01,63.57419354838709,104.0,59.799999999999955,31,7.53,7,3,0.0,5,0,13.683870967741935,46.351612903225806,-4.190645161290327
2004-11-01,55.96666666666667,275.7,4.700000000000003,30,1.06,4,0,0.0,0,0,13.496666666666666,39.82,-4.6683333333333366
2004-12-01,54.65161290322581,324.1,3.299999999999997,31,2.84,8,1,0.0,0,0,13.009677419354839,40.3258064516129,0.2493548387096851
2005-01-01,54.63870967741936,325.8,4.6000000000000085,31,8.98,11,2,0.0,0,0,11.399999999999999,58.76451612903226,-1.0304838709677426
2005-02-01,55.732142857142854,259.5,0.0,28,9.48,11,5,0.0,0,0,13.407142857142857,70.29285714285714,0.019630541871912044
2005-03-01,57.53225806451613,232.80000000000007,1.2999999999999972,31,1.48,5,0,0.0,0,0,14.580645161290322,57.480645161290326,-1.7806451612903231
2005-04-01,60.68333333333333,136.59999999999997,7.099999999999994,30,1.2000000000000002,3,1,0.0,0,0,15.523333333333333,42.09,-1.2451666666666696
2005-05-01,66.29354838709678,51.6,91.69999999999999,31,0.39999999999999997,2,0,0.0,3,0,15.174193548387096,43.68064516129032,0.44870967741935885
2005-06-01,67.96333333333334,4.0,92.89999999999999,30,0.01,0,0,0.0,4,0,15.1,37.593333333333334,-3.274499999999989
2005-07-01,77.4,0.0,384.4,31,0.01,0,0,0.0,21,0,15.829032258064515,18.94516129032258,0.504193548387093
2005-08-01,76.00967741935484,0.0,341.30000000000007,31,0.24,1,0,0.0,21,0,15.096774193548388,23.570967741935487,-1.291935483870958
2005-09-01,70.53,3.500000000000007,169.39999999999998,30,0.27,1,0,0.0,9,0,14.43,29.263333333333332,-4.462166666666661
2005-10-01,65.66451612903225,63.79999999999998,84.4,31,1.3900000000000001,2,0,0.0,6,0,12.55483870967742,35.516129032258064,-2.1003225806451695
2005-11-01,61.763333333333335,123.0,25.89999999999999,30,0.01,0,0,0.0,0,0,11.613333333333333,43.163333333333334,1.1283333333333303
2005-12-01,56.09032258064516,280.4,4.200000000000003,31,0.64,2,0,0.0,0,0,9.996774193548386,60.66129032258065,1.6880645161290317
2006-01-01,55.20967741935484,304.59999999999997,1.0999999999999943,31,1.14,3,0,0.0,0,0,12.719354838709679,43.07096774193548,-0.45951612903225936
2006-02-01,57.71785714285714,212.89999999999998,9.0,28,2.35,5,0,0.0,0,0,12.546428571428573,46.61785714285714,2.0053448275861996
2006-03-01,52.44193548387097,389.30000000000007,0.0,31,3.19,14,1,0.0,0,0,14.219354838709679,68.04516129032258,-6.87096774193548
2006-04-01,58.38333333333333,201.6,3.1000000000000085,30,2.4499999999999997,6,1,0.0,0,0,14.456666666666667,60.20333333333333,-3.545166666666667
2006-05-01,66.18709677419355,34.0,70.79999999999998,31,0.43,1,0,0.0,2,0,15.2,49.57741935483871,0.3422580645161304
2006-06-01,75.71000000000001,0.0,321.29999999999995,30,0.0,0,0,0.0,15,0,15.733333333333333,38.65333333333333,4.472166666666681
2006-07-01,82.40322580645162,0.0,539.4999999999999,31,0.01,0,0,0.0,27,0,16.080645161290324,42.18709677419355,5.507419354838703
2006-08-01,75.69677419354838,0.0,331.59999999999997,31,0.0,0,0,0.0,18,0,15.506451612903225,20.238709677419354,-1.6048387096774235
2006-09-01,74.22666666666667,0.0,276.8,30,0.0,0,0,0.0,16,0,15.483333333333333,26.996666666666666,-0.7654999999999887
2006-10-01,65.08064516129032,53.99999999999999,56.5,31,0.0,0,0,0.0,2,0,13.03225806451613,40.39354838709678,-2.6841935483871
2006-11-01,61.96,130.8,39.60000000000001,30,0.15,1,0,0.0,3,0,11.176666666666668,37.903333333333336,1.3249999999999957
2006-12-01,54.648387096774194,320.9,0.0,31,0.77,4,0,0.0,0,0,11.651612903225805,35.983870967741936,0.24612903225806804
2007-01-01,53.68064516129032,356.8,5.900000000000006,31,0.32,2,0,0.0,0,1,18.019354838709678,37.05483870967742,-1.9885483870967775
2007-02-01,56.17142857142857,259.90000000000003,12.699999999999989,28,1.4000000000000001,5,0,0.0,0,0,13.446428571428571,57.82857142857143,0.45891625615762877
