date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,56.39354838709678,266.8,0.0,31,0.8200000000000001,5,0,0.0,0,0,9.80967741935484,48.980645161290326,0.5612903225806463
2000-02-01,54.90344827586207,292.8,0.0,29,6.220000000000001,10,3,0.0,0,0,11.241379310344827,64.95862068965518,-0.8932389162561591
2000-03-01,57.95483870967742,226.6,8.200000000000003,31,2.0300000000000002,5,1,0.0,0,0,12.541935483870969,41.303225806451614,-1.4050000000000011
2000-04-01,63.806666666666665,91.19999999999999,55.400000000000006,30,2.34,2,1,0.0,1,0,12.026666666666667,32.333333333333336,2.0799999999999983
2000-05-01,67.90322580645162,27.5,117.49999999999999,31,0.060000000000000005,1,0,0.0,6,0,11.783870967741937,36.303225806451614,2.386935483870971
2000-06-01,72.05666666666666,2.1000000000000014,213.80000000000004,30,0.0,0,0,0.0,8,0,11.463333333333333,21.706666666666667,1.4293333333333322
2000-07-01,73.79677419354839,0.0,272.69999999999993,31,0.0,0,0,0.0,14,0,11.974193548387097,19.35483870967742,-2.3764516129032245
2000-08-01,76.99032258064516,0.0,371.70000000000005,31,0.24,1,0,0.0,21,0,11.509677419354839,24.206451612903226,0.3996774193548305
2000-09-01,72.72666666666667,1.3999999999999915,233.19999999999993,30,0.15999999999999998,2,0,0.0,13,0,10.32,29.85666666666667,-1.7579999999999956
2000-10-01,63.07096774193548,84.09999999999997,24.29999999999997,31,1.48,3,0,0.0,0,0,10.651612903225805,47.693548387096776,-4.5729032258064635
2000-11-01,56.306666666666665,261.20000000000005,0.4000000000000057,30,0.0,0,0,0.0,0,0,11.703333333333335,20.103333333333335,-4.641000000000005
2000-12-01,57.37419354838709,236.9,0.5,31,0.01,0,0,0.0,0,0,9.712903225806452,31.048387096774192,2.762903225806447
2001-01-01,52.39032258064516,390.90000000000003,0.0,31,5.08,7,2,0.0,0,0,12.496774193548386,37.329032258064515,-3.441935483870971
2001-02-01,51.964285714285715,373.5,8.5,28,6.26,12,3,0.0,0,0,12.221428571428572,57.517857142857146,-3.832401477832512
2001-03-01,58.435483870967744,215.39999999999995,11.900000000000006,31,1.6700000000000002,6,0,0.0,0,0,11.293548387096775,49.37419354838709,-0.9243548387096752
2001-04-01,58.39666666666667,220.1,22.0,30,0.93,4,0,0.0,1,0,11.633333333333333,44.10333333333333,-3.3299999999999983
2001-05-01,67.57741935483871,15.300000000000004,95.2,31,0.0,0,0,0.0,4,0,11.625806451612902,35.84838709677419,2.0611290322580658
2001-06-01,72.55666666666666,1.2000000000000028,227.89999999999998,30,0.02,1,0,0.0,11,0,11.853333333333333,23.763333333333332,1.9293333333333322
2001-07-01,72.22258064516129,0.0,223.9,31,0.01,0,0,0.0,6,0,11.558064516129033,22.048387096774192,-3.950645161290325
2001-08-01,75.01935483870967,0.0,310.6,31,0.0,0,0,0.0,15,0,11.109677419354838,15.048387096774194,-1.5712903225806514
2001-09-01,72.73666666666666,0.0,232.09999999999997,30,0.0,0,0,0.0,13,0,10.21,20.723333333333336,-1.7480000000000047
2001-10-01,66.7709677419355,33.80000000000002,88.7,31,0.14,1,0,0.0,5,0,9.680645161290323,35.29354838709677,-0.8729032258064535
2001-11-01,59.516666666666666,171.10000000000002,6.599999999999994,30,1.4300000000000002,4,0,0.0,0,0,10.379999999999999,37.013333333333335,-1.4310000000000045
2001-12-01,52.91612903225807,375.8,1.2000000000000028,31,0.68,7,0,0.0,0,0,12.819354838709677,39.34193548387096,-1.6951612903225737
2002-01-01,53.15483870967742,367.2,0.0,31,0.35,2,0,0.0,0,0,11.625806451612902,30.787096774193547,-2.6774193548387117
2002-02-01,58.31785714285714,201.7,14.599999999999994,28,0.09,1,0,0.0,0,0,11.12142857142857,22.771428571428572,2.5211699507389156
2002-03-01,57.248387096774195,240.9,0.5999999999999943,31,0.09,2,0,0.0,0,0,12.754838709677419,34.29032258064516,-2.111451612903224
2002-04-01,59.47666666666667,173.10000000000002,7.3999999999999915,30,0.02,0,0,0.0,1,0,11.926666666666668,45.93666666666666,-2.25
2002-05-01,63.29354838709677,99.9,46.999999999999986,31,0.06,1,0,0.0,4,0,12.129032258064516,31.690322580645162,-2.2227419354838744
2002-06-01,68.96000000000001,5.699999999999996,124.49999999999997,30,0.0,0,0,0.0,2,0,11.453333333333335,28.916666666666668,-1.6673333333333176
2002-07-01,73.5516129032258,0.0,265.1,31,0.0,0,0,0.0,13,0,11.932258064516128,22.53548387096774,-2.6216129032258095
2002-08-01,72.80000000000001,0.0,241.79999999999998,31,0.0,0,0,0.0,9,0,10.874193548387098,22.629032258064516,-3.790645161290314
2002-09-01,74.88666666666667,7.0,303.6000000000001,30,0.030000000000000002,1,0,0.0,15,0,10.863333333333333,24.42666666666667,0.402000000000001
2002-10-01,63.21935483870968,104.3,49.099999999999994,31,0.0,0,0,0.0,3,0,9.961290322580645,45.36129032258064,-4.42451612903227
2002-11-01,63.54,86.8,43.0,30,0.53,3,0,0.0,0,0,12.193333333333333,29.646666666666665,2.592333333333329
2002-12-01,53.400000000000006,359.6,0.0,31,1.63,5,0,0.0,0,0,10.848387096774195,34.274193548387096,-1.2112903225806377
