date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,57.61290322580645,230.69999999999996,1.7000000000000028,31,0.52,3,0,0.0,0,0,8.093548387096774,35.89032258064516,0.4340322580645193
2000-02-01,57.199999999999996,226.2,0.0,29,2.91,10,0,0.0,0,0,9.651724137931033,41.06551724137931,-0.26017857142857537
2000-03-01,58.33548387096774,209.00000000000003,2.4000000000000057,31,1.65,4,0,0.0,0,0,10.725806451612904,30.190322580645162,-1.9933870967741925
2000-04-01,62.79333333333333,84.70000000000002,18.5,30,1.15,3,0,0.0,0,0,10.663333333333332,25.23,0.1731666666666598
2000-05-01,66.19032258064516,13.800000000000011,50.69999999999999,31,0.03,1,0,0.0,0,0,10.483870967741936,30.903225806451612,0.8967741935483957
2000-06-01,69.94666666666667,0.0,148.39999999999998,30,0.0,0,0,0.0,1,0,10.21,24.82,1.447333333333333
2000-07-01,71.17096774193548,0.0,191.29999999999998,31,0.0,0,0,0.0,0,0,9.990322580645161,23.283870967741933,-1.4627419354838764
2000-08-01,73.04838709677419,0.0,249.50000000000003,31,0.0,0,0,0.0,3,0,9.77741935483871,23.212903225806453,-0.24419354838708784
2000-09-01,70.29333333333334,0.0,158.8,30,0.0,0,0,0.0,4,0,10.120000000000001,28.203333333333333,-1.9668333333333266
2000-10-01,63.71290322580645,53.900000000000006,14.0,31,2.4499999999999997,5,1,0.0,0,0,9.53225806451613,35.248387096774195,-4.0056451612903246
2000-11-01,56.99333333333333,240.2,0.0,30,0.0,0,0,0.0,0,0,8.346666666666668,17.459999999999997,-4.9155000000000015
2000-12-01,56.57741935483871,261.5,0.4000000000000057,31,0.0,0,0,0.0,0,0,7.383870967741935,27.17096774193548,0.25580645161289794
2001-01-01,52.541935483870965,386.2,0.0,31,5.17,6,2,0.0,0,0,8.570967741935483,26.154838709677417,-4.636935483870964
2001-02-01,52.95357142857143,340.3,3.0,28,6.59,13,4,0.0,0,0,9.642857142857142,35.15,-4.506607142857142
2001-03-01,58.593548387096774,201.60000000000002,3.0,31,0.66,3,0,0.0,0,0,9.783870967741937,36.45161290322581,-1.7353225806451604
2001-04-01,58.57666666666667,205.10000000000002,12.399999999999991,30,0.74,4,0,0.0,1,0,10.983333333333333,28.459999999999997,-4.043500000000002
2001-05-01,64.8,26.600000000000016,20.399999999999977,31,0.0,0,0,0.0,0,0,9.67741935483871,33.67741935483871,-0.49354838709676585
2001-06-01,68.64666666666668,0.29999999999999716,109.69999999999999,30,0.0,0,0,0.0,0,0,9.713333333333333,26.033333333333335,0.14733333333333576
2001-07-01,68.8258064516129,0.0,118.59999999999998,31,0.0,0,0,0.0,0,0,9.461290322580645,28.174193548387095,-3.807903225806456
2001-08-01,69.70967741935483,0.0,146.00000000000003,31,0.0,0,0,0.0,0,0,9.412903225806453,23.94516129032258,-3.5829032258064473
2001-09-01,68.98666666666666,0.0,119.59999999999997,30,0.0,0,0,0.0,1,0,9.806666666666667,26.146666666666665,-3.2734999999999985
2001-10-01,65.52580645161291,20.099999999999994,36.40000000000002,31,0.03,1,0,0.0,1,0,8.596774193548388,34.13870967741936,-2.192741935483866
2001-11-01,60.276666666666664,142.20000000000002,0.5,30,1.19,4,0,0.0,0,0,7.826666666666667,29.833333333333332,-1.63216666666667
2001-12-01,54.36774193548387,329.59999999999997,0.0,31,0.8400000000000001,7,0,0.0,0,0,8.106451612903225,29.27741935483871,-1.953870967741942
2002-01-01,54.7,319.29999999999995,0.0,31,0.5599999999999999,4,0,0.0,0,0,8.54516129032258,27.903225806451612,-2.4788709677419263
2002-02-01,58.09285714285714,204.3,10.899999999999991,28,0.16,1,0,0.0,0,0,9.014285714285714,23.932142857142857,0.6326785714285705
2002-03-01,57.86451612903225,221.2,0.0,31,0.18000000000000002,4,0,0.0,0,0,11.538709677419355,26.306451612903224,-2.4643548387096814
2002-04-01,59.21666666666667,173.49999999999994,0.0,30,0.13,4,0,0.0,0,0,11.193333333333333,35.41,-3.403500000000001
2002-05-01,62.622580645161285,93.1,19.39999999999999,31,0.07,1,0,0.0,0,0,10.899999999999999,31.893548387096775,-2.6709677419354776
2002-06-01,66.2,13.800000000000004,49.79999999999997,30,0.01,0,0,0.0,0,0,9.72,31.290000000000003,-2.299333333333337
2002-07-01,69.49032258064516,0.0,139.20000000000002,31,0.0,0,0,0.0,0,0,9.738709677419354,28.76451612903226,-3.1433870967742052
2002-08-01,68.62903225806451,0.0,112.50000000000003,31,0.0,0,0,0.0,0,0,9.116129032258065,26.738709677419354,-4.6635483870967676
2002-09-01,69.6,0.7999999999999972,138.8,30,0.0,0,0,0.0,2,0,9.84,25.216666666666665,-2.660166666666669
2002-10-01,62.97741935483871,81.70000000000002,18.999999999999986,31,0.02,1,0,0.0,0,0,8.583870967741936,34.690322580645166,-4.7411290322580655
2002-11-01,62.96,87.49999999999997,26.299999999999983,30,1.35,5,1,0.0,0,0,9.07,26.09,1.051166666666667
2002-12-01,55.47741935483871,295.2,0.0,31,2.61,5,1,0.0,0,0,8.51290322580645,26.161290322580644,-0.8441935483871035
2003-01-01,61.25806451612903,138.10000000000002,22.09999999999998,31,0.0,0,0,0.0,1,0,7.641935483870968,25.14516129032258,4.079193548387103
2003-02-01,57.68214285714286,204.9,0.0,28,4.83,7,1,0.0,0,0,9.167857142857143,34.82857142857143,0.22196428571428584
2003-03-01,60.145161290322584,168.8,18.30000000000001,31,3.85,2,1,0.0,0,0,10.858064516129033,22.009677419354837,-0.18370967741935118
