date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,49.596774193548384,477.49999999999994,0.0,31,9.92,15,4,0.0,0,2,13.290322580645162,76.60967741935484,2.80838709677419
2000-02-01,52.57586206896552,360.3,0.0,29,18.38,19,8,0.0,0,0,14.755172413793105,82.3896551724138,2.1481896551724162
2000-03-01,56.62580645161291,260.1,0.5,31,4.5,9,1,0.0,0,0,15.829032258064515,57.99032258064516,1.3975806451612982
2000-04-01,62.84666666666667,94.0,29.399999999999977,30,2.71,4,1,0.0,0,0,14.389999999999999,45.55333333333333,3.486000000000004
2000-05-01,68.43225806451613,67.9,174.3,31,1.5999999999999999,6,0,0.0,7,0,14.05483870967742,50.019354838709674,1.1343548387096831
2000-06-01,77.88000000000001,0.0,386.4,30,0.22,1,0,0.0,20,0,14.95,23.283333333333335,2.9308333333333394
2000-07-01,76.43548387096774,0.0,354.5,31,0.0,0,0,0.0,20,0,13.22258064516129,25.36774193548387,-2.196451612903232
2000-08-01,78.3483870967742,0.0,413.80000000000007,31,0.0,0,0,0.0,22,0,12.683870967741935,23.380645161290325,1.8329032258064473
2000-09-01,73.18333333333334,4.499999999999993,250.0,30,0.75,3,0,0.0,14,0,12.99,28.303333333333335,1.0811666666666753
2000-10-01,62.76129032258064,114.1,44.69999999999999,31,5.68,8,1,0.0,1,0,12.332258064516129,39.83870967741935,-0.2724193548387177
2000-11-01,48.9,483.0,0.0,30,1.12,4,0,0.0,0,3,10.110000000000001,46.85,-3.630499999999998
2000-12-01,47.18709677419355,552.1999999999999,0.0,31,0.61,4,0,0.0,0,2,10.058064516129033,44.54516129032258,0.48274193548387245
2001-01-01,44.751612903225805,627.7,0.0,31,6.42,10,3,0.0,0,7,13.493548387096775,30.029032258064515,-2.036774193548389
2001-02-01,48.207142857142856,470.2,0.0,28,8.44,15,3,0.0,0,1,16.314285714285713,46.464285714285715,-2.2205295566502485
