date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,53.538709677419355,355.29999999999995,0.0,31,0.35000000000000003,4,0,0.0,0,0,10.674193548387096,65.29354838709678,1.1143159065628438
2000-02-01,53.279310344827586,339.8999999999999,0.0,29,2.49,11,0,0.0,0,0,12.562068965517241,78.17931034482758,0.513282019704441
2000-03-01,54.78709677419355,316.6000000000001,0.0,31,1.31,5,0,0.0,0,0,13.63225806451613,54.78709677419355,-1.8287965260545889
2000-04-01,61.583333333333336,132.10000000000002,29.60000000000001,30,0.65,2,0,0.0,1,0,12.846666666666668,37.333333333333336,1.679473684210528
2000-05-01,67.66774193548386,41.599999999999994,124.29999999999998,31,0.030000000000000002,1,0,0.0,6,0,12.858064516129033,43.21290322580645,2.539999999999992
2000-06-01,73.07,4.299999999999997,246.4,30,0.0,0,0,0.0,16,0,12.930000000000001,24.906666666666663,1.3301839080459672
2000-07-01,75.3741935483871,0.0,321.59999999999997,31,0.0,0,0,0.0,18,0,12.96774193548387,26.219354838709677,-2.2290322580645068
2000-08-01,78.30645161290323,0.0,412.5,31,0.01,0,0,0.0,23,0,12.683870967741935,35.26451612903226,0.6908064516129144
2000-09-01,72.3,7.3999999999999915,226.4,30,0.04,1,0,0.0,14,0,13.133333333333333,35.406666666666666,-1.9095000000000084
2000-10-01,61.596774193548384,125.0,19.500000000000014,31,0.5,5,0,0.0,0,0,11.519354838709678,56.08064516129032,-3.8409677419354864
2000-11-01,53.236666666666665,352.9,0.0,30,0.09000000000000001,2,0,0.0,0,2,11.773333333333333,36.03333333333333,-4.513320512820513
2000-12-01,55.119354838709675,306.3,0.0,31,0.02,1,0,0.0,0,0,11.680645161290323,54.148387096774194,3.673787335722821
2001-01-01,49.193548387096776,489.9999999999999,0.0,31,2.12,9,1,0.0,0,1,11.706451612903225,54.751612903225805,-3.2308453837597355
2001-02-01,50.06071428571429,420.59999999999997,2.299999999999997,28,3.9099999999999997,12,1,0.0,0,0,13.110714285714286,66.59285714285714,-2.7053140394088544
