date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2005-01-01,30.612903225806452,1066.0,0.0,31,1.45,11,0,0.0,0,29,8.751612903225807,51.53225806451613,
2005-02-01,30.542857142857144,964.8000000000001,0.0,28,0.76,9,0,0.0,0,28,9.664285714285715,44.6,
2005-03-01,35.61612903225806,910.9,0.0,31,0.8,9,0,0.0,0,30,14.174193548387098,44.019354838709674,
2005-04-01,45.45666666666667,586.3000000000001,0.0,30,0.9600000000000001,10,0,0.0,0,17,15.813333333333333,35.419999999999995,
2005-05-01,55.619354838709675,304.29999999999995,13.5,31,0.88,11,0,0.0,0,2,15.329032258064515,33.01935483870968,
2005-06-01,59.36,176.8,7.599999999999994,30,2.88,12,0,0.0,0,0,15.193333333333333,30.720000000000002,
2005-07-01,69.40967741935484,10.799999999999997,147.5,31,1.2,3,0,0.0,7,0,11.26774193548387,8.119354838709677,
2005-08-01,59.674193548387095,166.10000000000002,1.0,31,1.09,13,0,0.0,0,0,7.864516129032259,14.12258064516129,
2005-09-01,54.34666666666667,319.6,0.0,30,2.81,9,0,0.0,0,0,8.02,32.60333333333333,
2005-10-01,44.36451612903225,640.1,0.4000000000000057,31,2.6,9,0,0.0,0,7,8.290322580645162,37.52903225806452,
2005-11-01,32.20333333333333,983.9,0.0,30,0.85,10,0,0.0,0,25,9.886666666666667,46.18333333333333,
2005-12-01,22.393548387096775,1320.8000000000006,0.0,31,1.13,10,0,0.0,0,31,9.51290322580645,52.432258064516134,
2006-02-01,21.330000000000002,873.4000000000001,0.0,20,0.0,0,0,0.0,0,19,7.154999999999999,27.410000000000004,
2006-07-01,61.51724137931034,117.9,16.89999999999999,29,0.0,0,0,0.0,0,0,5.975862068965518,39.52758620689655,
2006-08-01,55.167741935483875,304.8,0.0,31,0.0,0,0,0.0,0,0,6.335483870967742,47.438709677419354,
2006-09-01,46.31428571428571,523.1999999999999,0.0,28,0.0,0,0,0.0,0,3,5.978571428571429,31.446428571428573,
2006-10-01,34.92903225806452,932.2,0.0,31,0.0,0,0,0.0,0,14,6.883870967741935,57.13870967741936,
2006-11-01,27.87,1113.9,0.0,30,0.0,0,0,0.0,0,27,6.1866666666666665,44.92666666666666,
2006-12-01,22.514814814814812,1147.1,0.0,27,0.0,0,0,0.0,0,27,4.5200000000000005,47.681481481481484,
2007-04-01,31.353846153846156,874.8,0.0,26,0.0,0,0,0.0,0,23,6.757692307692308,54.37307692307692,
2007-05-01,40.28666666666666,741.4000000000001,0.0,30,0.0,0,0,0.0,0,10,6.433333333333334,43.97,
2007-06-01,53.03,359.1,0.0,30,0.0,0,0,0.0,0,3,5.9,24.09333333333333,
2007-07-01,57.354838709677416,237.09999999999997,0.09999999999999432,31,0.0,0,0,0.0,0,0,5.554838709677419,35.061290322580646,
2008-02-01,20.135714285714283,1256.2,0.0,28,0.0,0,0,0.0,0,28,5.522222222222222,14.682142857142855,
2008-03-01,23.4,1247.9999999999998,0.0,30,0.0,0,0,0.0,0,30,5.75,0.0,
2008-06-01,50.58181818181818,317.19999999999993,0.0,22,0.0,0,0,0.0,0,1,3.409090909090909,29.645454545454548,
2008-11-01,32.647619047619045,679.4,0.0,21,0.0,0,0,0.0,0,11,,37.24761904761905,
2009-11-01,32.193333333333335,984.2,0.0,30,0.0,0,0,0.0,0,19,5.256666666666666,26.65,
2010-04-01,31.67666666666667,999.6999999999999,0.0,30,0.0,0,0,0.0,0,21,5.576666666666667,56.17666666666666,
2010-05-01,37.97241379310345,783.8,0.0,29,0.0,0,0,0.0,0,15,5.610344827586206,52.46551724137931,
2011-03-01,28.533333333333335,765.8,0.0,21,0.0,0,0,0.0,0,18,4.561904761904762,53.56666666666667,
2011-07-01,57.86785714285714,202.60000000000002,2.8999999999999915,28,0.0,0,0,0.0,0,0,4.642857142857143,37.90714285714285,
2011-08-01,58.7,189.00000000000003,0.0,30,0.0,0,0,0.0,0,0,4.71,23.426666666666666,
2011-10-01,37.6,794.6,0.0,29,0.0,0,0,0.0,0,10,4.631034482758621,0.0,
2013-12-01,20.04285714285714,944.1,0.0,21,0.0,0,0,0.0,0,21,3.4809523809523806,2.9095238095238094,
2014-04-01,33.044000000000004,798.9,0.0,25,0.0,0,0,0.0,0,12,4.336,6.9559999999999995,
