date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,60.18064516129032,174.79999999999995,25.399999999999977,31,1.25,6,0,0.0,0,0,14.54516129032258,44.26774193548387,0.29822580645160457
2000-02-01,62.179310344827584,111.89999999999999,30.09999999999998,29,0.31,4,0,0.0,0,0,13.144827586206896,35.92758620689656,-1.3157573891625702
2000-03-01,69.51612903225806,3.1000000000000014,143.09999999999997,31,0.61,7,0,0.0,0,0,15.5,42.483870967741936,2.123709677419356
2000-04-01,70.40666666666667,16.0,178.2,30,1.28,4,0,0.0,0,0,16.093333333333334,39.43333333333333,-1.850833333333341
2000-05-01,77.87096774193549,0.0,399.00000000000006,31,0.04,1,0,0.0,11,0,15.125806451612902,37.309677419354834,0.8225806451612954
2000-06-01,79.68666666666667,0.0,440.6000000000001,30,6.43,16,2,0.0,16,0,16.333333333333332,54.18666666666666,-0.22116666666667584
2000-07-01,80.99677419354839,0.0,495.90000000000003,31,6.13,17,2,0.0,22,0,16.303225806451614,49.59354838709677,-0.16467741935483104
2000-08-01,81.00645161290322,0.0,496.20000000000005,31,5.91,15,1,0.0,21,0,14.119354838709677,43.86451612903225,-0.3532258064516185
2000-09-01,80.32,0.0,459.6000000000001,30,5.94,11,2,0.0,14,0,13.516666666666667,55.45666666666667,0.38066666666665583
2000-10-01,72.20322580645161,3.799999999999997,227.1,31,1.67,5,1,0.0,0,0,14.774193548387096,36.26774193548387,-2.82080645161291
2000-11-01,65.16333333333334,80.8,85.69999999999999,30,1.1099999999999999,4,0,0.0,0,0,12.913333333333332,38.89666666666667,-2.481666666666669
2000-12-01,58.78064516129032,240.7,47.89999999999999,31,1.3900000000000001,5,0,0.0,0,2,14.306451612903226,45.935483870967744,-4.7714516129032205
2001-01-01,55.81935483870968,309.6,25.0,31,1.0,4,0,0.0,0,1,13.225806451612904,48.748387096774195,-4.063064516129039
2001-02-01,66.30357142857143,52.7,89.2,28,0.32,6,0,0.0,0,0,13.357142857142858,53.05714285714286,2.808503694581276
2001-03-01,66.08064516129032,64.6,98.10000000000001,31,5.01,10,2,0.0,0,0,16.751612903225805,51.79354838709677,-1.3117741935483878
2001-04-01,71.14666666666668,10.899999999999991,195.3,30,2.31,4,1,0.0,1,0,15.870000000000001,39.90333333333333,-1.110833333333332
2001-05-01,75.41612903225807,0.0,322.90000000000003,31,5.01,11,2,0.0,11,0,16.5,42.5516129032258,-1.6322580645161224
2001-06-01,78.94666666666667,0.0,418.40000000000003,30,10.6,20,3,0.0,14,0,15.033333333333333,50.75666666666667,-0.9611666666666707
2001-07-01,79.7258064516129,0.0,456.5,31,16.33,16,6,0.0,9,0,14.27741935483871,58.938709677419354,-1.4356451612903243
2001-08-01,80.57741935483871,0.0,482.9000000000001,31,4.19,18,0,0.0,22,0,12.738709677419356,48.49032258064516,-0.7822580645161281
2001-09-01,77.00333333333333,0.0,360.09999999999997,30,11.11,18,5,0.0,5,0,13.836666666666668,63.88333333333333,-2.936000000000007
2001-10-01,72.69677419354838,11.899999999999999,250.49999999999997,31,1.39,6,0,0.0,0,0,15.64516129032258,58.18387096774194,-2.327258064516144
2001-11-01,68.24666666666667,1.5,98.9,30,2.15,7,0,0.0,0,0,13.623333333333333,43.28666666666666,0.6016666666666595
2001-12-01,65.9774193548387,87.30000000000001,117.60000000000002,31,0.44999999999999996,6,0,0.0,0,0,12.712903225806452,47.88709677419355,2.425322580645158
2002-01-01,61.225806451612904,191.29999999999998,74.29999999999998,31,1.48,5,0,0.0,0,1,12.577419354838709,48.46451612903226,1.3433870967741868
2002-02-01,61.41428571428571,126.80000000000001,26.400000000000006,28,4.11,7,2,0.0,0,0,14.046428571428573,53.482142857142854,-2.0807820197044435
2002-03-01,69.07741935483871,42.7,169.10000000000002,31,0.8,5,0,0.0,0,0,15.387096774193548,43.12580645161291,1.6850000000000023
2002-04-01,74.01666666666667,0.0,270.5,30,1.85,9,0,0.0,2,0,14.113333333333333,48.06666666666667,1.7591666666666583
2002-05-01,77.19999999999999,0.0,378.20000000000005,31,3.0,6,1,0.0,12,0,16.780645161290323,43.777419354838706,0.15161290322579646
2002-06-01,77.73666666666666,0.0,382.09999999999997,30,14.7,23,4,0.0,8,0,14.09,64.37666666666667,-2.1711666666666787
2002-07-01,80.31290322580645,0.0,474.69999999999993,31,10.3,22,3,0.0,13,0,13.783870967741937,50.78387096774193,-0.8485483870967698
2002-08-01,79.48387096774194,0.0,449.0,31,13.27,20,6,0.0,8,0,14.687096774193549,55.190322580645166,-1.8758064516129025
2002-09-01,80.64,0.0,469.20000000000005,30,7.26,18,3,0.0,10,0,13.613333333333333,52.19666666666667,0.7006666666666632
2002-10-01,77.35161290322581,0.0,382.9,31,4.8100000000000005,7,2,0.0,2,0,12.893548387096773,37.82258064516129,2.327580645161291
2002-11-01,65.61,80.20000000000002,98.49999999999997,30,2.56,6,1,0.0,0,0,13.446666666666665,38.519999999999996,-2.035000000000011
2002-12-01,59.54516129032258,193.79999999999998,24.700000000000003,31,11.26,11,4,0.0,0,0,13.480645161290322,51.84193548387096,-4.006935483870961
2003-01-01,54.351612903225806,332.7,2.5999999999999943,31,0.8300000000000001,2,0,0.0,0,1,14.006451612903225,34.064516129032256,-5.530806451612911
2003-02-01,63.42857142857143,93.89999999999999,49.89999999999999,28,1.74,8,0,0.0,0,0,14.014285714285714,53.228571428571435,-0.06649630541872398
2003-03-01,70.83548387096775,20.1,201.0,31,5.62,14,2,0.0,0,0,14.429032258064517,63.53548387096774,3.4430645161290414
2003-04-01,70.83,21.900000000000006,196.8,30,5.02,10,1,0.0,0,0,14.716666666666667,46.89,-1.427500000000009
2003-05-01,79.42258064516129,0.0,447.1,31,2.54,7,1,0.0,12,0,12.990322580645161,51.099999999999994,2.3741935483870975
2003-06-01,79.14,0.0,424.20000000000005,30,6.45,15,0,0.0,7,0,14.116666666666667,58.68666666666666,-0.7678333333333427
2003-07-01,80.51935483870967,0.0,481.1,31,8.809999999999999,18,2,0.0,20,0,14.09032258064516,57.722580645161294,-0.642096774193547
2003-08-01,79.5741935483871,0.0,451.79999999999995,31,11.73,24,3,0.0,11,0,14.516129032258064,52.6741935483871,-1.785483870967738
2003-09-01,78.94333333333334,0.0,418.3,30,6.61,14,2,0.0,1,0,13.81,55.693333333333335,-0.9959999999999951
2003-10-01,75.1516129032258,0.0,314.70000000000005,31,1.91,6,0,0.0,0,0,13.341935483870968,48.7,0.12758064516127376
2003-11-01,70.05666666666666,29.099999999999994,180.79999999999998,30,2.4699999999999998,7,1,0.0,0,0,14.026666666666667,41.06333333333334,2.4116666666666475
2003-12-01,59.49677419354839,186.0,15.400000000000006,31,1.65,4,1,0.0,0,0,14.025806451612903,44.26129032258064,-4.055322580645154
