date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,28.23225806451613,1139.8000000000002,0.0,31,2.42,11,0,5.51,0,26,17.848387096774193,39.480645161290326,-2.4583870967741888
2000-02-01,33.65172413793103,909.0999999999999,0.0,29,2.55,12,0,0.0,0,22,15.320689655172414,43.7448275862069,1.1370566502463078
2000-03-01,42.722580645161294,690.6,0.0,31,4.59,10,1,0.0,0,9,16.56451612903226,42.13870967741936,3.57080645161291
2000-04-01,47.28333333333333,531.5,0.0,30,5.48,12,1,0.0,0,2,16.59,58.39333333333333,-2.1681666666666644
2000-05-01,58.65161290322581,216.3,19.499999999999986,31,4.86,17,0,0.0,0,0,14.783870967741937,49.064516129032256,-0.4316129032258047
2000-06-01,67.69333333333333,51.8,132.6,30,4.76,15,1,0.0,0,0,14.806666666666667,42.15333333333333,-0.8246666666666727
2000-07-01,69.84516129032258,1.2999999999999972,151.50000000000003,31,5.97,11,2,0.0,0,0,13.741935483870968,43.770967741935486,-4.682419354838714
2000-08-01,70.23870967741935,5.800000000000011,168.2,31,9.2,16,3,0.0,0,0,12.816129032258065,44.28064516129032,-3.6474193548387177
2000-09-01,64.58666666666666,106.50000000000001,94.09999999999998,30,4.8999999999999995,9,1,0.0,0,0,13.816666666666666,35.70333333333333,-2.904666666666671
2000-10-01,53.65161290322581,351.8,0.0,31,0.64,4,0,0.0,0,0,13.474193548387097,31.84193548387097,-2.6683870967741967
2000-11-01,43.78,636.6,0.0,30,4.74,8,1,0.0,0,7,15.453333333333335,41.72666666666667,-2.186166666666665
2000-12-01,29.86774193548387,1089.1000000000001,0.0,31,3.27,12,1,16.15,0,28,16.951612903225808,41.03548387096774,-6.858548387096775
2001-01-01,29.703225806451613,1094.2,0.0,31,3.0,13,0,96.1,0,26,13.193548387096774,38.58387096774193,-0.9874193548387069
2001-02-01,32.625,906.5,0.0,28,2.06,10,0,13.39,0,23,16.675,44.521428571428565,0.1103325123152743
2001-03-01,36.53225806451613,882.5,0.0,31,7.96,15,3,31.5,0,18,16.903225806451612,57.12903225806452,-2.619516129032256
2001-04-01,49.28333333333333,471.49999999999994,0.0,30,1.86,8,0,0.0,0,2,14.889999999999999,41.17666666666666,-0.16816666666666436
2001-05-01,59.73870967741936,189.2,26.099999999999994,31,4.27,11,2,0.0,0,0,15.438709677419356,42.667741935483875,0.6554838709677426
2001-06-01,70.52666666666667,13.299999999999997,179.10000000000002,30,4.7,11,1,0.0,1,0,12.92,30.509999999999998,2.00866666666667
2001-07-01,71.02580645161291,0.9000000000000057,187.69999999999993,31,2.51,9,0,0.0,1,0,13.76774193548387,26.480645161290322,-3.5017741935483855
2001-08-01,75.02580645161291,0.0,310.79999999999995,31,9.33,16,4,0.0,4,0,12.27741935483871,30.541935483870965,1.1396774193548396
2001-09-01,65.71,71.3,92.6,30,3.16,9,1,0.0,0,0,13.343333333333334,30.256666666666668,-1.781333333333336
2001-10-01,56.02903225806452,285.6000000000001,7.5,31,1.95,4,0,0.0,0,1,15.138709677419355,27.958064516129035,-0.29096774193548924
2001-11-01,49.156666666666666,475.29999999999995,0.0,30,1.67,10,0,0.0,0,3,15.413333333333332,28.40666666666667,3.1905
2001-12-01,41.12580645161291,740.1,0.0,31,2.62,10,0,0.0,0,13,14.093548387096776,35.25806451612903,4.399516129032264
2002-01-01,36.21612903225807,892.3,0.0,31,2.56,15,0,5.12,0,17,14.27741935483871,35.18709677419355,5.525483870967747
2002-02-01,36.767857142857146,790.5000000000001,0.0,28,1.25,8,0,0.0,0,19,15.646428571428572,30.425,4.25318965517242
2002-03-01,40.47096774193548,760.3999999999999,0.0,31,4.42,12,1,0.0,0,11,15.790322580645162,46.067741935483866,1.3191935483870978
