date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,31.503225806451614,1038.3999999999999,0.0,31,2.41,6,0,0.0,0,24,19.990322580645163,37.41290322580645,-1.4661290322580633
2000-02-01,36.40689655172414,829.2000000000002,0.0,29,1.97,8,0,0.0,0,18,17.16896551724138,39.13103448275862,1.105375615763542
2000-03-01,47.53548387096774,541.3999999999999,0.0,31,9.120000000000001,8,4,0.0,0,6,19.338709677419356,34.13548387096775,4.421129032258065
2000-04-01,52.03666666666666,388.9000000000001,0.0,30,3.39,12,0,0.0,0,0,18.636666666666667,53.059999999999995,-2.163333333333341
2000-05-01,64.11935483870968,115.10000000000001,87.79999999999998,31,2.79,11,0,0.0,0,0,15.958064516129031,35.906451612903226,0.30209677419354364
2000-06-01,72.25666666666666,16.700000000000003,234.39999999999998,30,4.73,14,0,0.0,1,0,15.326666666666666,38.016666666666666,-0.480000000000004
2000-07-01,72.63225806451612,0.9000000000000057,237.5,31,4.46,12,1,0.0,0,0,13.219354838709679,42.5516129032258,-4.598225806451609
2000-08-01,72.58064516129032,0.5999999999999943,235.59999999999994,31,2.5,14,0,0.0,0,0,13.593548387096773,40.86451612903225,-3.144354838709674
2000-09-01,65.35333333333332,94.10000000000001,104.70000000000002,30,7.34,9,3,0.0,0,0,14.973333333333333,36.04666666666667,-3.8792356321839208
2000-10-01,56.38387096774194,277.0,9.899999999999991,31,0.1,2,0,0.0,0,0,13.758064516129032,21.51290322580645,-1.23838709677419
2000-11-01,44.25333333333333,622.3999999999999,0.0,30,2.5100000000000002,8,0,0.0,0,9,16.673333333333332,37.79666666666667,-2.5635000000000048
2000-12-01,30.219354838709677,1078.2,0.0,31,2.02,8,1,0.0,0,27,18.54516129032258,32.987096774193546,-7.961935483870967
2001-01-01,31.703225806451613,1032.2,0.0,31,2.42,7,0,0.0,0,27,15.561290322580644,37.567741935483866,-1.266129032258064
2001-02-01,36.45357142857143,799.3,0.0,28,2.79,11,1,0.0,0,16,18.08214285714286,39.371428571428574,1.152050492610833
2001-03-01,39.851612903225806,779.6,0.0,31,4.85,12,2,0.0,0,14,20.612903225806452,50.29032258064516,-3.2627419354838665
2001-04-01,53.39,362.3,14.0,30,1.3800000000000001,13,0,0.0,0,2,16.556666666666665,41.019999999999996,-0.8100000000000023
2001-05-01,62.63548387096775,116.39999999999998,43.10000000000002,31,4.75,11,1,0.0,0,0,15.141935483870968,36.21935483870968,-1.1817741935483923
2001-06-01,73.16333333333334,8.599999999999994,253.5,30,4.19,9,2,0.0,1,0,13.816666666666666,30.75,0.4266666666666765
2001-07-01,72.79354838709678,0.5,242.10000000000002,31,2.27,9,0,0.0,0,0,15.832258064516129,28.258064516129032,-4.436935483870954
2001-08-01,77.16451612903225,0.0,377.09999999999997,31,2.53,4,0,0.0,5,0,13.154838709677419,25.59032258064516,1.4395161290322562
2001-09-01,65.88333333333334,72.70000000000002,99.20000000000002,30,2.1,8,0,0.0,0,0,13.603333333333333,30.970000000000002,-3.3492356321839054
2001-10-01,57.019354838709674,264.40000000000003,16.999999999999986,31,0.76,5,0,0.0,0,1,16.47741935483871,17.529032258064515,-0.6029032258064575
2001-11-01,51.77333333333333,398.59999999999997,1.7999999999999972,30,0.9700000000000001,4,0,0.0,0,4,15.203333333333335,23.423333333333336,4.956499999999998
2001-12-01,42.519354838709674,696.8999999999999,0.0,31,1.8399999999999999,10,0,0.0,0,14,15.661290322580646,33.40967741935484,4.33806451612903
2002-01-01,37.938709677419354,838.9,0.0,31,1.77,9,0,0.0,0,19,15.95483870967742,35.15483870967742,4.969354838709677
2002-02-01,39.43571428571429,715.8000000000001,0.0,28,0.27,4,0,0.0,0,20,19.957142857142856,24.832142857142856,4.134193349753694
2002-03-01,44.512903225806454,635.1000000000001,0.0,31,3.75,11,0,0.0,0,10,18.074193548387097,42.5516129032258,1.3985483870967812
2002-04-01,55.983333333333334,319.40000000000003,48.89999999999999,30,2.2,10,1,0.0,1,2,18.073333333333334,38.46333333333334,1.7833333333333314
2002-05-01,61.73225806451613,153.3,52.00000000000004,31,3.43,9,1,0.0,0,0,17.32903225806452,34.63225806451613,-2.085000000000008
2002-06-01,71.78333333333333,13.800000000000004,217.3,30,4.92,9,1,0.0,2,0,14.55,26.833333333333332,-0.9533333333333331
2002-07-01,77.63548387096773,0.0,391.70000000000005,31,1.42,6,0,0.0,12,0,14.312903225806451,21.467741935483872,0.40500000000000114
2002-08-01,77.50322580645161,1.6000000000000014,389.2,31,1.99,4,0,0.0,12,0,15.696774193548388,25.567741935483873,1.7782258064516157
2002-09-01,69.48,10.100000000000009,144.49999999999997,30,3.43,5,2,0.0,0,0,14.346666666666668,25.16,0.2474310344827586
2002-10-01,55.75806451612903,324.9,38.39999999999999,31,5.28,10,1,0.0,0,0,15.080645161290322,50.12903225806452,-1.8641935483870995
2002-11-01,44.419999999999995,617.4000000000001,0.0,30,4.43,12,1,0.0,0,7,17.083333333333332,41.980000000000004,-2.3968333333333405
2002-12-01,34.55483870967742,943.8,0.0,31,4.24,7,1,0.0,0,21,17.36774193548387,42.877419354838715,-3.6264516129032245
2003-01-01,28.812903225806455,1121.8000000000002,0.0,31,1.79,6,0,0.0,0,22,18.822580645161292,49.39677419354839,-4.156451612903222
2003-02-01,30.039285714285715,978.9,0.0,28,4.38,13,1,0.0,0,24,18.339285714285715,46.707142857142856,-5.262235221674882
2003-03-01,42.41935483870968,700.0,0.0,31,4.53,12,1,0.0,0,12,17.200000000000003,44.86451612903225,-0.6949999999999932
2003-04-01,50.74333333333333,435.5,7.799999999999997,30,2.63,8,0,0.0,0,1,19.116666666666667,45.093333333333334,-3.4566666666666706
2003-05-01,58.329032258064515,213.5,6.700000000000003,31,3.9,15,1,0.0,0,0,14.48709677419355,59.45161290322581,-5.488225806451624
2003-06-01,68.89,46.49999999999998,163.20000000000002,30,9.95,15,3,0.0,3,0,13.936666666666667,43.36666666666667,-3.846666666666664
2003-07-01,75.75161290322582,0.0,333.29999999999995,31,2.73,16,0,0.0,1,0,14.848387096774195,33.01935483870968,-1.478870967741912
2003-08-01,76.04838709677419,0.0,342.49999999999994,31,4.25,15,0,0.0,1,0,12.67741935483871,38.406451612903226,0.32338709677419786
2003-09-01,68.43,18.699999999999996,121.60000000000001,30,7.38,13,3,0.0,0,0,15.636666666666667,45.586666666666666,-0.8025689655172386
2003-10-01,54.44516129032258,328.1,0.9000000000000057,31,4.42,9,2,0.0,0,0,15.248387096774193,39.39354838709678,-3.1770967741935507
2003-11-01,49.72,459.79999999999995,1.4000000000000057,30,3.2699999999999996,8,0,0.0,0,4,16.696666666666665,40.983333333333334,2.903166666666664
2003-12-01,35.99032258064516,899.3,0.0,31,4.609999999999999,8,1,0.0,0,23,18.57741935483871,35.50967741935484,-2.1909677419354807
2004-01-01,25.996774193548386,1209.1000000000001,0.0,31,1.29,11,0,0.0,0,27,18.509677419354837,42.38387096774194,-6.97258064516129
2004-02-01,34.63103448275862,880.7,0.0,29,2.32,3,1,0.0,0,28,15.62758620689655,24.413793103448278,-0.6704864532019741
2004-03-01,44.40967741935484,638.3000000000001,0.0,31,2.65,13,0,0.0,0,10,16.96451612903226,51.82258064516129,1.2953225806451698
2004-04-01,53.45,354.0,7.5,30,5.65,14,1,0.0,0,2,16.69666666666667,47.13,-0.75
2004-05-01,67.87096774193549,58.599999999999994,147.60000000000002,31,4.32,15,0,0.0,0,0,14.093548387096773,38.37419354838709,4.053709677419349
2004-06-01,70.05333333333333,15.900000000000006,167.5,30,6.99,13,2,0.0,0,0,12.9,39.10666666666667,-2.683333333333337
2004-07-01,74.70967741935483,0.0,301.0,31,8.23,8,4,0.0,0,0,13.106451612903227,40.04838709677419,-2.5208064516128985
2004-08-01,73.01935483870967,2.799999999999997,251.40000000000003,31,5.28,9,2,0.0,0,0,11.82258064516129,39.49354838709677,-2.7056451612903203
2004-09-01,68.52333333333333,15.700000000000003,121.40000000000003,30,9.229999999999999,8,2,0.0,0,0,11.44,40.473333333333336,-0.709235632183919
2004-10-01,55.00645161290323,309.8,0.0,31,2.44,8,0,0.0,0,0,10.061290322580646,43.75806451612903,-2.6158064516129045
2004-11-01,47.32333333333334,530.3,0.0,30,3.31,8,2,0.0,0,6,15.22,36.52333333333333,0.5065000000000026
2004-12-01,37.29032258064516,859.0000000000001,0.0,31,2.88,9,0,0.0,0,17,16.932258064516127,36.24193548387097,-0.8909677419354836
2005-01-01,31.693548387096776,1032.4999999999998,0.0,31,3.76,12,1,0.0,0,17,16.358064516129033,49.21612903225807,-1.275806451612901
