date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,67.91612903225807,41.99999999999999,132.4,31,0.5599999999999999,2,0,0.0,0,0,14.667741935483871,45.87419354838709,0.5793548387096763
2000-02-01,68.86206896551724,22.699999999999996,134.70000000000002,29,1.22,9,0,0.0,0,0,13.951724137931036,52.37931034482759,-1.2516995073891621
2000-03-01,74.18387096774192,0.0,284.7,31,0.39999999999999997,5,0,0.0,0,0,15.40967741935484,59.9483870967742,1.75645161290322
2000-04-01,74.54333333333334,0.0,286.3,30,3.3600000000000003,5,1,0.0,0,0,15.623333333333333,53.29,-1.396499999999989
2000-05-01,79.35161290322581,0.0,444.90000000000003,31,1.6400000000000001,6,0,0.0,1,0,15.116129032258065,58.82258064516129,0.11580645161291159
2000-06-01,81.49666666666667,0.0,494.9000000000001,30,5.3,17,2,0.0,2,0,14.966666666666667,72.38666666666667,-0.4380000000000024
2000-07-01,82.43225806451613,0.0,540.4,31,5.39,21,1,0.0,13,0,13.651612903225805,72.14516129032258,-0.7385483870967704
2000-08-01,82.7258064516129,0.0,549.5,31,6.67,21,1,0.0,9,0,14.680645161290323,67.69677419354838,-0.7417741935483946
2000-09-01,82.47666666666667,0.0,524.3000000000001,30,10.34,19,5,0.0,3,0,13.456666666666667,75.14,0.27983333333334315
2000-10-01,77.24838709677418,0.0,379.69999999999993,31,17.58,15,3,0.0,1,0,14.829032258064515,62.49032258064516,-2.1572580645161423
2000-11-01,72.98666666666666,5.700000000000003,245.3,30,0.98,4,0,0.0,0,0,13.563333333333334,59.32666666666667,-0.9023333333333312
2000-12-01,68.53548387096774,52.79999999999998,162.40000000000003,31,5.82,7,1,0.0,0,0,14.458064516129031,71.1032258064516,-2.371451612903229
2001-01-01,62.619354838709675,134.3,60.499999999999986,31,0.68,3,0,0.0,0,0,13.193548387096774,51.829032258064515,-4.717419354838718
2001-02-01,73.43571428571428,0.0,236.2,28,0.08,2,0,0.0,0,0,15.046428571428573,60.04642857142857,3.3219458128078827
2001-03-01,72.6516129032258,12.0,249.2,31,5.71,10,2,0.0,1,0,15.641935483870967,57.08709677419355,0.22419354838709182
2001-04-01,75.35333333333332,0.0,310.59999999999997,30,1.64,7,0,0.0,0,0,16.153333333333332,59.016666666666666,-0.5865000000000009
2001-05-01,77.08709677419354,0.0,374.69999999999993,31,5.49,13,2,0.0,0,0,15.361290322580645,69.10645161290323,-2.1487096774193617
2001-06-01,81.54333333333334,0.0,496.29999999999995,30,8.39,17,3,0.0,5,0,13.97,70.79666666666667,-0.39133333333333553
2001-07-01,81.75161290322582,0.0,519.3,31,7.890000000000001,18,4,0.0,6,0,14.98709677419355,70.55483870967741,-1.419193548387085
2001-08-01,83.56129032258065,0.0,575.4,31,7.970000000000001,13,2,0.0,13,0,13.293548387096775,72.13225806451612,0.09370967741935488
2001-09-01,80.51666666666667,0.0,465.50000000000006,30,18.06,19,7,0.0,1,0,13.35,77.38333333333334,-1.6801666666666648
2001-10-01,78.45161290322581,0.0,417.0,31,12.6,17,5,0.0,0,0,15.383870967741935,77.39354838709677,-0.9540322580645153
2001-11-01,73.65,0.0,259.50000000000006,30,1.48,8,0,0.0,0,0,14.923333333333334,61.333333333333336,-0.2389999999999901
2001-12-01,72.59354838709677,12.399999999999999,247.8,31,3.31,10,1,0.0,0,0,13.69032258064516,62.79032258064516,1.6866129032258073
2002-01-01,69.21935483870968,54.699999999999996,185.50000000000003,31,0.25,2,0,0.0,0,0,13.358064516129033,52.167741935483875,1.8825806451612834
2002-02-01,69.35714285714286,13.400000000000006,135.39999999999998,28,4.43,8,1,0.0,0,0,13.978571428571428,70.49642857142858,-0.7566256157635394
2002-03-01,74.56129032258065,3.700000000000003,300.1,31,1.09,6,0,0.0,0,0,15.9,59.63870967741936,2.1338709677419416
2002-04-01,77.56333333333333,0.0,376.9,30,1.91,8,1,0.0,0,0,16.203333333333333,55.12,1.623500000000007
2002-05-01,79.7709677419355,0.0,457.9,31,5.66,10,3,0.0,0,0,16.483870967741936,62.12903225806452,0.5351612903225913
2002-06-01,79.91333333333334,0.0,447.40000000000003,30,16.73,22,5,0.0,3,0,14.110000000000001,78.49666666666667,-2.021333333333331
2002-07-01,82.46451612903226,0.0,541.4000000000001,31,12.6,18,4,0.0,4,0,12.861290322580645,65.38064516129032,-0.7062903225806423
2002-08-01,83.14193548387097,0.0,562.4000000000001,31,6.04,22,1,0.0,6,0,14.109677419354838,69.94516129032259,-0.32564516129032484
2002-09-01,82.99,0.0,539.7,30,6.2,21,2,0.0,2,0,14.926666666666668,72.08999999999999,0.7931666666666644
2002-10-01,81.23870967741935,0.0,503.4,31,0.95,10,0,0.0,0,0,12.758064516129032,53.12580645161291,1.8330645161290278
2002-11-01,73.28,6.199999999999996,254.60000000000002,30,3.7399999999999998,9,1,0.0,0,0,12.873333333333333,57.96333333333334,-0.6089999999999947
2002-12-01,69.92258064516129,31.200000000000003,183.79999999999998,31,3.96,9,1,0.0,0,0,14.503225806451614,63.067741935483866,-0.9843548387096774
2003-01-01,59.8,186.0,24.799999999999997,31,1.3099999999999998,7,0,0.0,0,0,14.27741935483871,53.829032258064515,-7.536774193548396
2003-02-01,70.21071428571429,17.099999999999994,163.0,28,0.79,2,0,0.0,0,0,15.700000000000001,58.34285714285714,0.09694581280788839
2003-03-01,76.18709677419355,8.600000000000001,355.4,31,7.04,12,3,0.0,3,0,15.912903225806453,62.79354838709677,3.759677419354844
2003-04-01,74.65333333333334,3.0,292.59999999999997,30,4.3,6,3,0.0,0,0,15.883333333333333,62.84,-1.2864999999999895
2003-05-01,80.78709677419356,0.0,489.4,31,12.29,16,5,0.0,0,0,14.180645161290323,63.18064516129032,1.5512903225806554
2003-06-01,81.73666666666666,0.0,502.1,30,12.74,22,5,0.0,1,0,13.966666666666667,77.88333333333334,-0.1980000000000075
2003-07-01,83.71290322580644,0.0,580.1,31,6.9,14,1,0.0,7,0,14.141935483870967,69.87741935483871,0.5420967741935385
2003-08-01,82.40645161290323,0.0,539.6,31,11.23,25,3,0.0,3,0,13.870967741935484,75.95161290322581,-1.0611290322580658
2003-09-01,81.50333333333333,0.0,495.09999999999997,30,12.97,23,4,0.0,2,0,12.636666666666667,72.37666666666668,-0.6935000000000002
2003-10-01,79.92903225806452,0.0,462.80000000000007,31,3.83,8,1,0.0,0,0,13.361290322580645,57.92258064516129,0.5233870967742007
2003-11-01,75.47666666666667,3.5999999999999943,317.90000000000003,30,6.95,10,2,0.0,0,0,15.086666666666668,62.62,1.5876666666666779
2003-12-01,66.86129032258064,54.79999999999998,112.49999999999999,31,1.8399999999999999,7,0,0.0,0,0,14.67741935483871,62.38709677419355,-4.045645161290324
2004-01-01,66.35161290322581,43.89999999999999,85.79999999999997,31,2.45,4,0,0.0,0,0,13.351612903225806,54.83548387096774,-0.9851612903225799
2004-02-01,70.06206896551724,25.700000000000003,172.5,29,3.23,9,2,0.0,0,0,14.686206896551724,61.710344827586205,-0.051699507389159294
2004-03-01,72.07741935483871,1.500000000000007,220.89999999999998,31,1.54,6,0,0.0,0,0,17.432258064516127,58.40967741935484,-0.3499999999999943
2004-04-01,73.26333333333334,1.0,248.89999999999998,30,4.12,7,2,0.0,0,0,15.963333333333333,59.0,-2.67649999999999
2004-05-01,78.90645161290323,0.0,431.09999999999997,31,2.84,9,1,0.0,2,0,17.070967741935487,62.15483870967742,-0.3293548387096763
2004-06-01,83.51333333333334,0.0,555.4,30,7.35,14,3,0.0,10,0,15.126666666666667,63.32,1.5786666666666633
2004-07-01,83.31290322580645,0.0,567.6999999999999,31,7.41,18,1,0.0,16,0,13.406451612903227,67.20322580645161,0.14209677419354705
2004-08-01,82.79354838709678,0.0,551.6000000000001,31,11.19,26,3,0.0,13,0,12.796774193548387,73.8258064516129,-0.6740322580645142
2004-09-01,81.78999999999999,0.0,503.7,30,15.770000000000001,22,5,0.0,3,0,18.546666666666667,73.48666666666666,-0.4068333333333385
2004-10-01,78.47419354838709,0.0,417.70000000000005,31,5.16,14,1,0.0,0,0,14.329032258064515,63.46451612903226,-0.9314516129032313
2004-11-01,74.49666666666667,0.0,284.90000000000003,30,0.64,7,0,0.0,0,0,14.466666666666667,59.50666666666667,0.6076666666666739
2004-12-01,68.3967741935484,44.4,149.7,31,1.1500000000000001,8,0,0.0,0,0,14.619354838709677,65.87096774193549,-2.5101612903225714
