date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,59.26129032258064,195.1,17.200000000000003,31,2.21,11,0,0.0,0,0,13.574193548387097,38.71290322580645,0.6270967741935394
2000-02-01,60.90344827586207,137.6,18.799999999999997,29,0.8999999999999999,5,0,0.0,0,0,11.903448275862068,28.17241379310345,-1.117980295566511
2000-03-01,68.51935483870967,9.600000000000016,118.70000000000002,31,6.21,12,2,0.0,0,0,14.706451612903225,31.98709677419355,2.502580645161288
2000-04-01,69.67,22.0,162.09999999999997,30,2.12,6,0,0.0,0,0,15.143333333333334,28.0,-1.4946666666666601
2000-05-01,77.52580645161291,0.0,388.29999999999995,31,0.52,3,0,0.0,12,0,14.019354838709678,22.961290322580645,1.1964516129032319
2000-06-01,79.74333333333334,0.0,442.3,30,7.630000000000001,19,2,0.0,14,0,14.046666666666665,28.733333333333334,0.02416666666667311
2000-07-01,80.74193548387096,0.0,488.0,31,12.07,23,3,0.0,15,0,14.719354838709679,27.10967741935484,-0.3393548387096814
2000-08-01,80.68387096774192,0.0,486.1999999999999,31,6.41,21,1,0.0,18,0,12.52258064516129,22.664516129032258,-0.6535483870967909
2000-09-01,79.82666666666667,0.0,444.79999999999995,30,12.15,21,3,0.0,10,0,12.736666666666668,37.18666666666666,0.2664999999999935
2000-10-01,71.7258064516129,4.100000000000001,212.59999999999997,31,2.1,10,0,0.0,0,0,14.029032258064515,30.85483870967742,-2.42129032258066
2000-11-01,64.25666666666667,99.19999999999999,76.90000000000002,30,1.45,7,0,0.0,0,0,11.55,24.323333333333334,-2.3334999999999866
2000-12-01,57.777419354838706,264.7,40.8,31,1.43,6,0,0.0,0,2,13.290322580645162,39.0516129032258,-4.616290322580653
2001-01-01,55.00645161290323,331.1,21.30000000000001,31,1.35,5,0,0.0,0,4,12.387096774193548,33.97741935483871,-3.6277419354838756
2001-02-01,65.51785714285714,62.50000000000001,76.99999999999997,28,0.64,8,0,0.0,0,0,12.475,45.021428571428565,3.4964285714285595
2001-03-01,65.43548387096774,78.6,92.10000000000001,31,9.8,12,3,0.0,0,0,15.580645161290322,42.71290322580646,-0.5812903225806423
2001-04-01,70.51666666666667,15.299999999999997,180.79999999999998,30,2.29,5,0,0.0,1,0,14.563333333333333,26.063333333333333,-0.6479999999999961
2001-05-01,75.18064516129031,0.0,315.6,31,3.8000000000000003,13,1,0.0,7,0,14.535483870967743,28.296774193548387,-1.1487096774193617
2001-06-01,79.03999999999999,0.0,421.19999999999993,30,12.5,26,3,0.0,13,0,13.07,26.3,-0.6791666666666742
2001-07-01,79.90967741935484,0.0,462.20000000000005,31,17.37,23,8,0.0,11,0,12.816129032258065,36.487096774193546,-1.1716129032258067
2001-08-01,80.3258064516129,0.0,475.0999999999999,31,7.29,23,1,0.0,20,0,10.97741935483871,29.190322580645162,-1.01161290322581
2001-09-01,77.0,0.0,360.0,30,17.89,25,7,0.0,4,0,12.06,48.45333333333333,-2.5601666666666745
2001-10-01,72.43870967741935,11.100000000000001,241.7,31,3.84,14,0,0.0,1,0,13.874193548387098,44.97741935483871,-1.708387096774203
2001-11-01,68.43666666666667,2.8999999999999986,106.0,30,5.77,14,1,0.0,0,0,12.443333333333333,36.11,1.846500000000006
2001-12-01,65.71290322580644,93.3,115.39999999999999,31,0.76,10,0,0.0,0,0,11.612903225806452,36.40967741935484,3.3191935483870836
2002-01-01,60.78709677419355,199.0,68.4,31,2.87,6,1,0.0,0,2,11.851612903225806,39.73548387096774,2.1529032258064476
2002-02-01,61.03214285714286,134.9,23.80000000000001,28,3.43,7,1,0.0,0,0,12.985714285714286,40.26428571428572,-0.989285714285721
2002-03-01,68.5741935483871,45.9,156.7,31,2.35,7,0,0.0,0,0,13.851612903225806,33.18709677419355,2.5574193548387143
2002-04-01,73.84666666666666,0.0,265.40000000000003,30,2.51,14,0,0.0,0,0,13.07,32.663333333333334,2.682000000000002
2002-05-01,76.61612903225806,0.0,360.1000000000001,31,2.54,8,0,0.0,7,0,14.970967741935485,34.02903225806452,0.2867741935483821
2002-06-01,77.76333333333334,0.0,382.9000000000001,30,25.91,26,9,0.0,5,0,12.323333333333332,45.026666666666664,-1.9558333333333309
2002-07-01,80.30967741935484,0.0,474.5999999999999,31,14.95,28,5,0.0,14,0,11.40967741935484,30.82903225806452,-0.771612903225801
2002-08-01,79.91290322580646,0.0,462.30000000000007,31,17.7,28,6,0.0,9,0,12.390322580645162,34.119354838709675,-1.4245161290322557
2002-09-01,81.04333333333334,0.0,481.3,30,8.58,23,1,0.0,10,0,13.026666666666667,35.56666666666667,1.483166666666662
2002-10-01,77.11935483870967,0.0,375.70000000000005,31,3.82,13,0,0.0,1,0,11.083870967741936,27.654838709677417,2.9722580645161116
2002-11-01,65.36999999999999,85.9,96.99999999999999,30,3.1500000000000004,7,1,0.0,0,0,12.116666666666667,29.89333333333333,-1.220166666666671
2002-12-01,59.15483870967742,202.8,21.60000000000001,31,10.62,11,5,0.0,0,0,12.48709677419355,36.92580645161291,-3.2388709677419385
2003-01-01,54.00322580645161,343.59999999999997,2.700000000000003,31,1.12,2,1,0.0,0,1,13.196774193548388,22.625806451612902,-4.630967741935493
2003-02-01,62.82142857142857,107.6,46.599999999999994,28,5.17,10,3,0.0,0,0,12.725,44.4,0.79999999999999
2003-03-01,70.42258064516129,20.29999999999999,188.39999999999998,31,11.49,19,4,0.0,1,0,13.158064516129032,50.63548387096775,4.405806451612904
