date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,53.87419354838709,355.0,10.09999999999998,31,5.5,9,3,0.0,0,4,14.96774193548387,42.73870967741936,1.6564516129032256
2000-02-01,57.07241379310344,241.9,12.0,29,1.44,4,0,0.0,0,2,13.555172413793104,30.26206896551724,1.1713115763546753
2000-03-01,63.42903225806452,82.89999999999999,34.20000000000002,31,5.69,7,3,0.0,0,0,14.425806451612903,37.71290322580645,1.6614516129032282
2000-04-01,65.66666666666667,52.59999999999999,72.60000000000001,30,2.01,7,0,0.0,0,0,15.92,36.37,-2.4691666666666663
2000-05-01,76.46774193548387,0.0,355.4999999999999,31,0.65,3,0,0.0,2,0,15.003225806451614,36.42580645161291,0.9217741935483872
2000-06-01,80.25333333333333,0.0,457.5999999999999,30,6.34,10,2,0.0,4,0,14.163333333333332,39.07333333333334,-0.8335000000000008
2000-07-01,84.46129032258065,0.0,603.3,31,2.9899999999999998,8,1,0.0,26,0,14.096774193548388,30.88064516129032,2.2114516129032324
2000-08-01,83.30000000000001,0.0,567.3000000000001,31,3.72,11,2,0.0,25,0,13.403225806451612,31.799999999999997,1.4882258064516236
2000-09-01,77.59666666666666,1.7999999999999972,379.69999999999993,30,14.49,14,4,0.0,5,0,13.33,42.013333333333335,-1.459620689655182
2000-10-01,68.40645161290323,45.00000000000001,150.60000000000002,31,0.99,3,0,0.0,1,0,11.261290322580646,20.335483870967742,-2.2743548387096695
2000-11-01,58.373333333333335,266.5,67.7,30,9.21,11,3,0.0,0,1,13.786666666666667,40.24,-2.3953333333333404
2000-12-01,48.0,530.5999999999999,3.5999999999999943,31,2.98,10,0,0.0,0,7,14.074193548387097,44.46451612903226,-7.118709677419361
2001-01-01,48.13548387096775,522.8,0.0,31,3.09,9,1,0.0,0,11,13.02258064516129,45.36451612903225,-4.082258064516118
2001-02-01,57.9,217.5,18.700000000000003,28,3.04,6,1,0.0,0,0,12.989285714285714,53.57142857142857,1.9988977832512305
2001-03-01,59.0258064516129,202.89999999999998,17.699999999999974,31,7.3100000000000005,15,3,0.0,0,0,16.596774193548388,55.23870967741936,-2.7417741935483875
2001-04-01,69.00666666666666,24.5,144.70000000000005,30,2.2399999999999998,4,1,0.0,0,0,14.889999999999999,42.093333333333334,0.8708333333333229
2001-05-01,74.61612903225806,0.0,298.1,31,2.27,4,1,0.0,0,0,14.903225806451612,28.151612903225807,-0.9298387096774263
2001-06-01,80.18666666666667,0.0,455.6000000000001,30,5.79,13,1,0.0,2,0,13.866666666666667,46.95666666666667,-0.9001666666666637
2001-07-01,82.43225806451613,0.0,540.4000000000001,31,9.76,14,3,0.0,14,0,12.667741935483871,42.26774193548387,0.1824193548387143
2001-08-01,80.3258064516129,0.0,475.1,31,8.08,21,1,0.0,4,0,11.890322580645162,38.71290322580645,-1.4859677419354824
2001-09-01,76.29333333333334,2.799999999999997,341.6,30,3.78,10,1,0.0,2,0,11.06,27.623333333333335,-2.7629540229885095
2001-10-01,67.29677419354839,66.39999999999999,137.6,31,2.63,5,1,0.0,0,0,14.254838709677419,27.519354838709678,-3.384032258064508
2001-11-01,65.59,60.6,78.30000000000001,30,1.4100000000000001,4,0,7.87,0,0,12.379999999999999,26.17,4.821333333333328
2001-12-01,57.13548387096775,264.4,20.60000000000001,31,3.21,6,1,0.0,0,1,11.738709677419354,34.68064516129032,2.016774193548386
2002-01-01,54.061290322580646,355.40000000000003,16.299999999999997,31,5.22,9,1,0.0,0,4,13.574193548387097,55.28064516129032,1.8435483870967815
2002-02-01,52.074999999999996,361.90000000000003,0.0,28,3.45,7,2,0.0,0,2,13.939285714285715,36.003571428571426,-3.8261022167487724
2002-03-01,60.02258064516129,202.3,48.000000000000014,31,4.65,8,1,0.0,0,2,14.667741935483871,50.21612903225807,-1.7449999999999974
2002-04-01,70.61,12.799999999999997,181.1,30,3.27,6,2,0.0,0,0,14.5,43.41,2.4741666666666617
2002-05-01,75.55806451612904,1.0,328.29999999999995,31,2.17,5,0,0.0,0,0,14.73225806451613,33.45483870967742,0.012096774193551596
2002-06-01,80.28999999999999,0.0,458.69999999999993,30,2.65,13,0,0.0,8,0,13.96,40.93333333333333,-0.7968333333333391
2002-07-01,82.01612903225806,0.0,527.5,31,12.05,21,3,0.0,16,0,12.687096774193549,36.980645161290326,-0.23370967741935544
2002-08-01,81.33870967741936,0.0,506.49999999999994,31,7.55,15,1,0.0,9,0,12.193548387096774,41.10645161290322,-0.47306451612902833
2002-09-01,80.39,0.0,461.7,30,13.26,12,5,0.0,5,0,15.463333333333333,46.06333333333334,1.3337126436781546
2002-10-01,73.94193548387096,8.900000000000006,286.1,31,10.1,15,4,0.0,0,0,11.796774193548387,52.57096774193548,3.2611290322580686
2002-11-01,58.65,233.2,42.69999999999999,30,5.24,13,1,0.0,0,0,13.0,42.95333333333333,-2.1186666666666767
2002-12-01,52.858064516129026,380.00000000000006,3.6000000000000085,31,5.76,8,2,0.0,0,1,14.219354838709679,45.81612903225806,-2.260645161290334
2003-01-01,47.87419354838709,530.9000000000001,0.0,31,1.54,4,0,0.0,0,6,13.82258064516129,35.829032258064515,-4.343548387096774
2003-02-01,55.03214285714286,282.09999999999997,3.0,28,8.2,12,4,0.0,0,0,13.732142857142858,54.728571428571435,-0.8689593596059098
2003-03-01,63.39354838709678,85.9,36.099999999999994,31,7.34,17,3,0.0,0,0,13.864516129032259,52.08064516129032,1.62596774193549
2003-04-01,67.29333333333334,41.800000000000004,110.60000000000001,30,3.84,6,2,0.0,0,0,14.323333333333332,43.4,-0.8425000000000011
2003-05-01,76.54193548387097,0.0,357.79999999999995,31,6.43,7,3,0.0,0,0,14.90967741935484,55.18387096774194,0.9959677419354875
2003-06-01,79.38333333333334,0.0,431.5,30,16.1,23,3,0.0,0,0,13.116666666666667,57.82333333333334,-1.7034999999999911
2003-07-01,79.0,0.0,434.0,31,13.33,20,4,0.0,1,0,13.093548387096773,44.34193548387096,-3.2498387096774195
2003-08-01,80.40967741935484,0.0,477.70000000000005,31,8.45,22,3,0.0,2,0,12.616129032258065,42.23548387096774,-1.4020967741935522
2003-09-01,76.85666666666665,0.0,355.7,30,5.87,12,3,0.0,2,0,12.056666666666667,35.769999999999996,-2.199620689655191
2003-10-01,68.81612903225808,18.60000000000001,136.9,31,2.83,5,1,0.0,0,0,11.203225806451613,34.50322580645161,-1.8646774193548197
2003-11-01,63.190000000000005,143.60000000000002,89.3,30,2.17,6,1,0.0,0,1,12.883333333333333,31.65,2.4213333333333296
2003-12-01,50.38387096774194,453.09999999999997,0.0,31,4.47,9,1,0.0,0,3,14.48709677419355,36.07096774193548,-4.734838709677419
2004-01-01,50.75806451612903,446.1,4.599999999999994,31,1.56,8,0,0.0,0,7,13.138709677419355,49.29677419354839,-1.4596774193548328
2004-02-01,51.5,391.5,0.0,29,10.06,11,4,0.0,0,1,14.93448275862069,67.18275862068965,-4.401102216748768
2004-03-01,62.541935483870965,95.80000000000003,19.59999999999998,31,1.0999999999999999,4,0,0.0,0,0,14.390322580645162,30.919354838709676,0.7743548387096766
2004-04-01,65.10666666666667,63.9,67.1,30,3.96,7,0,0.0,0,0,14.786666666666667,33.483333333333334,-3.0291666666666686
2004-05-01,74.96129032258065,4.299999999999997,313.09999999999997,31,1.31,2,0,0.0,0,0,14.638709677419355,38.81612903225806,-0.5846774193548328
2004-06-01,79.10333333333332,0.0,423.1,30,16.02,20,6,0.0,1,0,13.68,45.10333333333333,-1.9835000000000065
2004-07-01,81.07096774193548,0.0,498.19999999999993,31,10.7,20,3,0.0,9,0,11.3,36.067741935483866,-1.1788709677419433
2004-08-01,79.01290322580645,0.0,434.40000000000003,31,11.44,14,5,0.0,4,0,11.896774193548387,39.90967741935484,-2.7988709677419337
2004-09-01,78.27241379310345,0.0,384.90000000000003,29,6.65,5,3,0.0,1,0,18.093103448275862,36.95172413793103,-0.7838735632183926
2004-10-01,73.32903225806452,5.700000000000003,263.90000000000003,31,4.71,8,1,0.0,0,0,13.474193548387097,38.24193548387097,2.64822580645162
2004-11-01,63.666666666666664,107.8,67.79999999999998,30,10.540000000000001,11,2,0.0,0,0,14.389999999999999,48.95333333333333,2.897999999999989
2004-12-01,51.79032258064516,423.2,13.699999999999989,31,7.1,7,2,0.0,0,4,13.680645161290323,35.26451612903226,-3.3283870967742004
2005-01-01,55.29354838709677,307.0,6.099999999999994,31,3.54,7,1,0.0,0,5,13.851612903225806,47.593548387096774,3.0758064516129053
2005-02-01,57.04642857142857,229.80000000000004,7.1000000000000085,28,6.34,9,3,0.0,0,0,14.710714285714285,53.28214285714286,1.1453263546798027
2005-03-01,59.23548387096774,199.3,20.599999999999994,31,14.1,10,4,0.0,0,0,15.45483870967742,43.432258064516134,-2.5320967741935476
2005-04-01,64.98,41.6,41.0,30,27.08,11,5,0.0,0,0,17.290000000000003,32.806666666666665,-3.1558333333333337
2005-05-01,73.29677419354839,1.7999999999999972,259.0,31,2.61,7,0,0.0,1,0,14.074193548387097,24.574193548387097,-2.2491935483870975
2005-06-01,79.52,0.0,435.59999999999997,30,10.72,21,4,0.0,4,0,13.346666666666666,41.27333333333333,-1.566833333333335
2005-07-01,81.9483870967742,0.0,525.4,31,10.24,16,2,0.0,6,0,15.077419354838709,38.432258064516134,-0.30145161290322164
2005-08-01,80.84516129032258,0.0,491.19999999999993,31,11.22,21,4,0.0,8,0,12.87741935483871,38.064516129032256,-0.9666129032258084
2005-09-01,80.64,0.0,469.19999999999993,30,6.53,7,1,0.0,11,0,13.243333333333334,30.026666666666667,1.5837126436781546
2005-10-01,68.99677419354839,62.49999999999999,186.4,31,0.22,2,0,0.0,0,0,12.706451612903225,19.674193548387095,-1.684032258064505
2005-11-01,62.59,142.8,70.50000000000003,30,9.65,7,3,0.0,0,0,13.7,34.766666666666666,1.8213333333333281
2005-12-01,52.58709677419355,390.5,5.700000000000003,31,7.5,7,1,0.0,0,2,13.719354838709679,39.26129032258064,-2.5316129032258132
2006-01-01,58.019354838709674,227.70000000000002,11.300000000000011,31,3.45,9,1,0.0,0,1,15.593548387096773,42.516129032258064,5.801612903225809
2006-02-01,54.6,292.5,1.2999999999999972,28,4.76,9,2,0.0,0,2,15.939285714285715,48.07142857142857,-1.3011022167487667
2006-03-01,62.57741935483871,122.10000000000002,46.999999999999986,31,0.24,3,0,0.0,0,0,15.148387096774194,37.71612903225807,0.8098387096774218
2006-04-01,71.28333333333333,1.5,190.00000000000009,30,3.0799999999999996,5,1,0.0,0,0,16.356666666666666,34.86333333333334,3.1474999999999937
2006-05-01,75.30645161290323,0.0,319.49999999999994,31,4.23,6,2,0.0,1,0,14.619354838709677,28.38064516129032,-0.2395161290322534
2006-06-01,81.72,0.0,501.59999999999997,30,0.5,5,0,0.0,15,0,13.879999999999999,26.736666666666668,0.6331666666666678
2006-07-01,83.23548387096774,0.0,565.2999999999998,31,4.43,10,1,0.0,18,0,13.096774193548388,27.541935483870965,0.9856451612903214
2006-08-01,82.41290322580646,0.0,539.8,31,6.92,18,2,0.0,16,0,12.558064516129033,30.951612903225808,0.601129032258072
2006-09-01,77.25,0.0,367.49999999999994,30,10.870000000000001,9,4,0.0,1,0,11.68,31.103333333333335,-1.806287356321846
2006-10-01,69.09354838709677,49.1,176.0,31,2.7399999999999998,7,1,0.0,0,0,13.429032258064517,34.92903225806452,-1.5872580645161207
2006-11-01,57.836666666666666,230.29999999999995,15.399999999999991,30,4.5,5,2,0.0,0,0,14.19,26.946666666666665,-2.9320000000000093
2006-12-01,54.777419354838706,318.2,1.2999999999999972,31,4.52,6,1,0.0,0,4,12.567741935483872,38.76129032258064,-0.3412903225806545
2007-01-01,53.12903225806452,373.40000000000003,5.3999999999999915,31,4.59,9,1,0.0,0,1,12.996774193548386,56.15483870967742,0.9112903225806548
2007-02-01,52.31785714285714,355.6,0.5,28,2.3,4,1,0.0,0,5,13.450000000000001,36.121428571428574,-3.583245073891625
2007-03-01,61.88709677419355,129.59999999999997,33.10000000000001,31,2.08,3,1,0.0,0,0,13.899999999999999,29.948387096774194,0.11951612903226305
2007-04-01,65.41,87.4,99.69999999999997,30,4.62,10,2,0.0,0,0,14.413333333333334,32.58,-2.725833333333341
2007-05-01,74.0741935483871,0.0,281.3,31,0.79,3,0,0.0,1,0,13.751612903225807,26.674193548387095,-1.4717741935483843
2007-06-01,80.49333333333334,0.0,464.79999999999995,30,2.4299999999999997,6,0,0.0,11,0,13.683333333333334,32.64666666666667,-0.5934999999999917
2007-07-01,81.16451612903225,0.0,501.0999999999999,31,6.8999999999999995,15,2,0.0,11,0,13.53225806451613,33.2,-1.085322580645169
2007-08-01,83.67096774193548,0.0,578.8,31,3.6399999999999997,9,1,0.0,22,0,12.087096774193547,27.94193548387097,1.859193548387097
2007-09-01,79.03333333333333,0.0,421.0,30,5.45,11,2,0.0,1,0,12.66,31.52,-0.022954022988514566
2007-10-01,71.40645161290323,33.199999999999996,231.8,31,23.0,9,3,0.0,0,0,12.819354838709678,40.935483870967744,0.7256451612903305
2007-11-01,60.14333333333333,163.80000000000004,18.10000000000001,30,1.64,4,0,0.0,0,0,12.0,23.413333333333334,-0.6253333333333444
2007-12-01,58.4741935483871,231.00000000000006,28.700000000000017,31,6.19,10,2,0.0,0,0,12.541935483870969,48.29677419354839,3.3554838709677384
2008-01-01,50.900000000000006,442.8,5.700000000000003,31,5.99,11,2,0.0,0,3,11.654838709677419,16.91290322580645,-1.317741935483859
2008-02-01,57.20344827586207,233.20000000000002,7.099999999999994,29,6.9399999999999995,7,1,0.0,0,0,11.331034482758621,13.0,1.3023460591133045
2008-03-01,60.47741935483871,158.8,18.600000000000023,31,2.2,7,0,0.0,0,0,12.796774193548387,11.596774193548388,-1.2901612903225796
2008-04-01,67.86,34.1,119.89999999999995,30,2.93,6,1,0.0,0,0,11.956666666666667,14.786666666666667,-0.27583333333333826
2008-05-01,75.54838709677419,0.0,327.0000000000001,31,3.72,5,1,0.0,1,0,13.0,12.59032258064516,0.002419354838707477
2008-06-01,82.26,0.0,517.8,30,8.08,14,3,0.0,2,0,11.613333333333333,10.553333333333335,1.173166666666674
2008-07-01,82.88709677419355,0.0,554.4999999999999,31,6.61,16,0,0.0,8,0,9.77741935483871,14.77741935483871,0.6372580645161321
2008-08-01,81.83548387096775,0.0,521.9000000000001,31,7.08,12,2,0.0,8,0,9.138709677419355,13.093548387096773,0.023709677419361697
2008-09-01,79.42666666666668,0.0,432.8,30,6.16,9,1,0.0,2,0,13.35,11.74,0.3703793103448305
2008-10-01,68.6032258064516,53.8,165.5,31,9.07,5,3,0.0,0,0,9.516129032258064,10.061290322580644,-2.077580645161291
2008-11-01,59.11,197.5,20.799999999999997,30,2.96,5,1,0.0,0,0,8.79,9.336666666666668,-1.6586666666666758
2008-12-01,57.377419354838715,254.0,17.69999999999999,31,2.5700000000000003,12,1,0.0,0,1,9.480645161290322,19.925806451612903,2.258709677419354
2009-01-01,53.61290322580645,363.9,10.899999999999991,31,1.67,7,0,0.0,0,6,13.764516129032257,40.68387096774194,1.3951612903225836
2009-02-01,54.9,288.69999999999993,5.8999999999999915,28,4.95,7,1,0.0,0,4,14.157142857142857,36.089285714285715,-1.0011022167487695
2009-03-01,62.50322580645161,114.60000000000001,37.19999999999999,31,7.91,8,3,0.0,0,0,15.019354838709678,41.75483870967742,0.7356451612903214
2009-04-01,67.18333333333334,36.8,102.30000000000003,30,5.85,4,2,0.0,0,0,15.986666666666668,42.29666666666667,-0.9525000000000006
2009-05-01,76.07741935483871,0.0,343.40000000000003,31,9.26,13,4,0.0,0,0,14.996774193548386,52.66129032258065,0.5314516129032256
2009-06-01,82.56333333333333,0.0,526.9,30,5.52,7,2,0.0,18,0,13.97,27.206666666666667,1.4765000000000015
2009-07-01,81.52903225806452,0.0,512.4000000000001,31,6.0600000000000005,14,1,0.0,6,0,13.235483870967743,33.538709677419355,-0.7208064516129014
2009-08-01,79.90322580645162,0.0,462.0,31,8.2,22,1,0.0,4,0,12.422580645161291,39.65806451612904,-1.908548387096772
2009-09-01,79.15666666666667,0.0,424.69999999999993,30,9.76,14,3,0.0,1,0,11.906666666666666,44.78666666666666,0.10037931034482028
2009-10-01,71.1,59.80000000000001,248.90000000000003,31,10.89,15,4,0.0,1,0,13.303225806451612,46.84193548387096,0.4191935483870992
2009-11-01,59.22,181.70000000000002,8.299999999999997,30,5.02,6,1,0.0,0,0,11.823333333333332,33.04,-1.5486666666666764
2009-12-01,52.44516129032258,396.99999999999994,7.800000000000011,31,14.14,14,6,0.0,0,0,14.564516129032258,59.458064516129035,-2.6735483870967798
2010-01-01,46.75806451612903,565.5,0.0,31,7.36,13,3,0.0,0,10,11.8,13.680645161290323,-5.459677419354833
2010-02-01,47.57857142857143,487.8,0.0,28,7.5,10,3,0.0,0,4,10.967857142857143,15.085714285714285,-8.322530788177339
2010-03-01,56.63225806451613,259.40000000000003,0.0,31,9.08,12,3,0.0,0,0,12.77741935483871,14.383870967741935,-5.135322580645159
2010-04-01,68.18333333333334,9.199999999999996,104.69999999999999,30,4.33,5,2,0.0,0,0,12.313333333333333,10.97,0.04749999999999943
2010-05-01,77.25483870967743,0.0,379.9,31,8.49,13,3,0.0,1,0,11.619354838709677,16.26451612903226,1.7088709677419445
2010-06-01,83.63000000000001,0.0,558.9000000000001,30,10.51,15,3,0.0,14,0,11.143333333333334,11.556666666666667,2.5431666666666786
2010-07-01,84.64516129032258,0.0,609.0000000000001,31,4.37,9,2,0.0,17,0,11.90967741935484,12.62258064516129,2.395322580645157
2010-08-01,83.66774193548386,0.0,578.6999999999999,31,16.23,24,7,0.0,12,0,12.09032258064516,14.706451612903225,1.8559677419354728
2010-09-01,81.34333333333333,0.0,490.3,30,2.27,11,0,0.0,5,0,9.273333333333333,9.066666666666666,2.2870459770114877
2010-10-01,71.13225806451612,5.70000000000001,195.79999999999998,31,0.43,4,0,0.0,0,0,10.54516129032258,6.906451612903226,0.45145161290322733
2010-11-01,62.919999999999995,119.89999999999998,57.499999999999986,30,16.0,9,3,0.0,0,0,10.076666666666666,14.43,2.1513333333333193
2010-12-01,48.016129032258064,526.5,0.0,31,1.52,7,0,0.0,0,6,11.674193548387096,12.161290322580646,-7.1025806451612965
2011-01-01,48.8258064516129,501.40000000000003,0.0,31,4.45,8,1,0.0,0,6,12.603225806451613,43.31612903225806,-3.3919354838709666
2011-02-01,54.41428571428571,313.8,17.400000000000006,28,3.16,8,0,0.0,0,3,13.635714285714286,47.603571428571435,-1.486816502463057
2011-03-01,63.5516129032258,105.30000000000003,60.400000000000006,31,7.5600000000000005,6,2,0.0,0,0,15.383870967741935,47.696774193548386,1.7840322580645136
2011-04-01,70.31,21.200000000000003,180.50000000000003,30,0.76,4,0,0.0,0,0,16.3,49.81666666666667,2.1741666666666646
2011-05-01,73.88064516129033,7.300000000000004,282.6,31,2.65,6,1,0.0,1,0,14.235483870967743,30.548387096774192,-1.665322580645153
2011-06-01,84.18333333333334,0.0,575.5,30,1.29,7,0,0.0,20,0,14.686666666666667,30.323333333333334,3.096500000000006
2011-07-01,82.21612903225805,0.0,533.7,31,9.05,15,3,0.0,17,0,13.612903225806452,37.91612903225807,-0.03370967741936681
