date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,54.54516129032258,329.9,5.799999999999997,31,3.96,10,1,0.0,0,2,14.75483870967742,43.96774193548387,-0.42790322580645324
2000-02-01,56.703448275862065,245.60000000000002,4.999999999999986,29,1.51,3,0,0.0,0,1,13.441379310344828,31.66206896551724,-1.9426293103448344
2000-03-01,64.86451612903225,50.9,46.7,31,2.36,10,0,0.0,0,0,15.30967741935484,42.55483870967742,0.9580645161290349
2000-04-01,65.57666666666667,51.9,69.19999999999999,30,2.35,8,1,0.0,0,0,16.136666666666667,37.6,-4.522166666666664
2000-05-01,75.95161290322581,0.0,339.49999999999994,31,0.9500000000000001,6,0,0.0,8,0,14.2,41.096774193548384,-0.43629032258064626
2000-06-01,78.36,0.0,400.79999999999995,30,5.45,12,2,0.0,6,0,14.080000000000002,46.416666666666664,-2.349500000000006
2000-07-01,80.3741935483871,0.0,476.6,31,4.45,9,1,0.0,13,0,15.051612903225807,43.33548387096774,-1.9214516129032262
2000-08-01,79.96451612903226,0.0,463.9000000000001,31,5.49,13,2,0.0,11,0,13.3,45.75483870967742,-2.3379032258064427
2000-09-01,77.68666666666667,0.0,380.59999999999997,30,18.18,15,6,0.0,3,0,13.47,63.14666666666667,-2.292833333333334
2000-10-01,69.02903225806452,15.5,140.4,31,2.21,7,0,0.0,0,0,13.364516129032259,41.564516129032256,-4.040967741935475
2000-11-01,60.96666666666667,175.6,54.60000000000001,30,1.74,7,1,0.0,0,0,12.55,41.983333333333334,-3.023999999999994
2000-12-01,49.809677419354834,474.6,3.6999999999999886,31,1.68,3,1,0.0,0,6,14.351612903225808,46.81290322580645,-8.924516129032263
2001-01-01,49.53548387096774,483.20000000000005,3.799999999999997,31,1.77,7,0,0.0,0,8,13.874193548387098,38.95483870967742,-5.437580645161297
2001-02-01,60.160714285714285,167.6,32.10000000000001,28,1.3,6,0,0.0,0,0,12.760714285714286,58.0,1.5146366995073848
2001-03-01,60.567741935483866,180.8,43.400000000000006,31,8.709999999999999,14,3,0.0,0,0,15.751612903225807,52.46774193548387,-3.3387096774193523
