date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,65.65483870967742,69.20000000000002,89.49999999999999,31,1.1600000000000001,2,1,0.0,0,0,15.993548387096775,56.5258064516129,-0.14241935483870805
2000-02-01,66.98965517241379,44.00000000000001,101.69999999999999,29,0.61,5,0,0.0,0,0,14.886206896551723,62.672413793103445,-1.7212130541871886
2000-03-01,72.80000000000001,0.0,241.79999999999995,31,0.59,1,0,0.0,0,0,16.483870967741936,64.90645161290323,1.6006451612903305
2000-04-01,73.08666666666666,0.7000000000000028,243.3,30,3.4499999999999997,3,1,0.0,0,0,17.01,60.49666666666667,-1.914833333333334
2000-05-01,78.89032258064516,0.0,430.5999999999999,31,0.41,6,0,0.0,6,0,15.8,63.02903225806452,0.32338709677419786
2000-06-01,81.08333333333333,0.0,482.5000000000001,30,2.9699999999999998,9,1,0.0,4,0,16.42,72.03999999999999,-0.17416666666666458
2000-07-01,81.21612903225805,0.0,502.69999999999993,31,6.2,18,1,0.0,10,0,15.609677419354838,75.4,-1.457225806451632
2000-08-01,82.4,0.0,539.4,31,2.96,12,0,0.0,7,0,14.974193548387097,71.02580645161291,-0.5922580645161162
2000-09-01,81.62666666666668,0.0,498.80000000000007,30,7.21,12,2,0.0,2,0,14.576666666666666,74.97333333333333,-0.11233333333332496
2000-10-01,75.8741935483871,0.0,337.1,31,6.49,10,1,0.0,0,0,15.890322580645162,63.777419354838706,-2.7788709677419376
2000-11-01,70.79666666666667,10.800000000000004,184.70000000000002,30,5.3,2,1,0.0,0,0,14.29,62.84,-1.9714999999999918
2000-12-01,67.13548387096773,79.4,145.59999999999997,31,2.35,5,1,0.0,0,0,16.532258064516128,72.03225806451613,-2.3754838709677557
2001-01-01,60.70645161290323,183.89999999999998,50.79999999999998,31,1.18,4,0,0.0,0,0,14.819354838709677,55.74193548387097,-5.090806451612899
2001-02-01,72.29285714285714,5.699999999999996,209.9,28,0.37,3,0,0.0,0,0,15.325000000000001,62.285714285714285,3.581988916256165
2001-03-01,71.17096774193548,21.4,212.70000000000002,31,7.859999999999999,5,2,0.0,1,0,18.12258064516129,61.08064516129032,-0.028387096774196152
2001-04-01,74.69666666666667,0.0,290.9,30,0.26,2,0,0.0,1,0,17.026666666666667,61.07,-0.3048333333333204
2001-05-01,76.78064516129032,0.0,365.2,31,2.38,12,0,0.0,1,0,16.42258064516129,67.35161290322581,-1.7862903225806406
2001-06-01,80.62333333333332,0.0,468.69999999999993,30,9.34,15,3,0.0,2,0,15.693333333333333,71.13333333333334,-0.6341666666666725
2001-07-01,80.96774193548387,0.0,495.0,31,8.39,14,4,0.0,2,0,16.429032258064517,74.30967741935484,-1.7056129032258127
2001-08-01,82.60645161290323,0.0,545.8,31,9.06,8,4,0.0,6,0,14.051612903225807,67.2258064516129,-0.3858064516128934
2001-09-01,79.7,0.0,441.0,30,16.95,16,5,0.0,3,0,14.360000000000001,78.81,-2.0390000000000015
2001-10-01,77.70322580645161,0.0,393.79999999999995,31,6.14,11,3,0.0,0,0,16.916129032258063,76.97096774193548,-0.9498387096774223
2001-11-01,72.65666666666667,0.0,229.7,30,1.79,4,1,0.0,0,0,16.21333333333333,62.05,-0.11149999999999238
2001-12-01,71.19032258064516,22.4,214.29999999999998,31,4.17,12,1,0.0,0,0,14.62258064516129,67.42258064516129,1.6793548387096706
2002-01-01,67.21290322580644,80.7,149.3,31,0.49,7,0,0.0,0,0,14.374193548387098,53.406451612903226,1.415645161290314
2002-02-01,67.56428571428572,28.5,100.3,28,8.040000000000001,9,1,0.0,0,0,15.217857142857143,73.03571428571429,-1.1465825123152626
2002-03-01,73.70645161290322,6.099999999999994,275.99999999999994,31,1.7100000000000002,9,0,0.0,0,0,17.116129032258065,63.26774193548387,2.507096774193542
2002-04-01,76.58999999999999,0.0,347.7,30,6.890000000000001,4,2,0.0,0,0,16.116666666666667,60.54666666666667,1.5884999999999962
