date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,70.21935483870968,11.200000000000003,173.0,31,0.49,2,0,0.0,0,0,15.241935483870968,28.55483870967742,0.9167741935483917
2000-02-01,70.53448275862068,9.0,169.5,29,0.83,5,0,0.0,0,0,14.365517241379312,31.56551724137931,-0.9390948275862172
2000-03-01,75.52258064516128,0.0,326.19999999999993,31,1.67,6,1,0.0,0,0,14.819354838709677,30.596774193548388,1.7901612903225725
2000-04-01,75.94333333333334,0.0,328.29999999999995,30,2.26,2,1,0.0,0,0,15.843333333333334,29.773333333333333,-1.1409999999999911
2000-05-01,80.26129032258065,0.0,473.1,31,1.29,4,0,0.0,0,0,14.04516129032258,29.51290322580645,-0.13370967741936113
2000-06-01,82.98666666666666,0.0,539.6,30,4.08,16,2,0.0,0,0,13.78,37.519999999999996,-0.6063333333333247
2000-07-01,84.59677419354838,0.0,607.4999999999999,31,4.09,10,2,0.0,12,0,12.370967741935484,35.599999999999994,-0.4095161290322693
2000-08-01,83.31935483870969,0.0,567.9,31,9.56,19,2,0.0,0,0,14.270967741935483,40.60645161290322,-2.0079032258064444
2000-09-01,83.57666666666667,0.0,557.3000000000001,30,4.4,14,1,0.0,1,0,13.706666666666667,37.69666666666667,-0.3948095238095135
2000-10-01,77.6516129032258,0.0,392.19999999999993,31,6.23,5,2,0.0,0,0,16.151612903225807,26.806451612903224,-3.3261290322580663
2000-11-01,74.14333333333335,0.0,274.30000000000007,30,0.59,4,0,0.0,0,0,16.116666666666667,35.78666666666666,-1.5204642857142687
2000-12-01,69.35483870967742,24.9,159.9,31,2.1,6,1,0.0,0,0,16.812903225806455,50.332258064516125,-3.1980645161290226
2001-01-01,64.37741935483871,86.59999999999998,67.30000000000001,31,0.35000000000000003,3,0,0.0,0,0,15.125806451612902,28.574193548387097,-4.925161290322578
2001-02-01,74.29285714285713,0.0,260.2,28,0.11,2,0,0.0,0,0,15.485714285714286,36.839285714285715,2.81927955665023
2001-03-01,74.08064516129032,1.2000000000000028,282.70000000000005,31,2.2399999999999998,4,0,0.0,0,0,14.887096774193548,29.52258064516129,0.34822580645160883
2001-04-01,76.63333333333334,0.0,349.0,30,3.54,6,2,0.0,0,0,16.63,31.11,-0.4509999999999934
2001-05-01,77.9483870967742,0.0,401.4,31,2.86,9,0,0.0,0,0,14.703225806451613,45.32258064516129,-2.4466129032258124
2001-06-01,83.78999999999999,0.0,563.7,30,2.68,9,1,0.0,0,0,13.703333333333335,35.89,0.19700000000000273
2001-07-01,83.4741935483871,0.0,572.6999999999999,31,7.07,15,2,0.0,0,0,13.990322580645161,39.70967741935484,-1.5320967741935476
2001-08-01,84.54193548387097,0.0,605.8,31,7.5200000000000005,13,3,0.0,3,0,13.003225806451614,39.99677419354839,-0.7853225806451576
2001-09-01,81.96333333333334,0.0,508.9,30,11.23,19,3,0.0,0,0,15.093333333333334,47.019999999999996,-2.0081428571428432
2001-10-01,79.12903225806451,0.0,438.0,31,7.88,15,2,0.0,0,0,16.06451612903226,46.31290322580645,-1.8487096774193503
2001-11-01,74.15,0.0,274.5,30,2.8699999999999997,8,1,0.0,0,0,17.416666666666668,37.46333333333334,-1.5137976190476081
2001-12-01,73.42258064516129,2.5,263.6,31,3.9899999999999998,5,1,0.0,0,0,15.519354838709678,40.87096774193548,0.8696774193548436
2002-01-01,70.53870967741935,34.599999999999994,206.3,31,0.22,4,0,0.0,0,0,14.96774193548387,37.41935483870968,1.236129032258063
2002-02-01,70.57142857142857,8.200000000000003,164.2,28,2.3,5,1,0.0,0,0,17.33214285714286,46.346428571428575,-0.9021490147783311
2002-03-01,74.8967741935484,3.5,310.29999999999995,31,1.2100000000000002,4,0,0.0,0,0,18.358064516129033,34.13548387096775,1.1643548387096843
2002-04-01,78.65666666666667,0.0,409.7,30,0.09000000000000001,3,0,0.0,0,0,18.066666666666666,29.526666666666664,1.572333333333333
2002-05-01,80.61612903225806,0.0,484.09999999999997,31,5.819999999999999,8,1,0.0,0,0,18.361290322580647,37.84838709677419,0.22112903225804814
2002-06-01,82.24333333333334,0.0,517.3,30,6.24,19,1,0.0,0,0,16.953333333333333,38.230000000000004,-1.34966666666665
2002-07-01,83.92258064516129,0.0,586.5999999999999,31,5.88,14,2,0.0,0,0,13.712903225806452,32.18709677419355,-1.083709677419364
