date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,70.16451612903225,19.000000000000007,179.1,31,0.6,2,0,0.0,0,0,12.996774193548388,27.003225806451614,1.2697150537634343
2000-02-01,70.61724137931034,11.399999999999999,174.29999999999995,29,1.96,3,1,0.0,0,0,12.431034482758621,26.49310344827586,-0.8933128078817845
2000-03-01,75.35161290322581,0.0,320.9,31,1.6,8,0,0.0,0,0,11.748387096774193,28.38064516129032,1.600806451612911
2000-04-01,76.21000000000001,0.0,336.3,30,0.51,1,0,0.0,0,0,13.16,26.3,-0.9793333333333294
2000-05-01,80.71290322580644,0.0,487.0999999999999,31,1.76,4,1,0.0,1,0,11.264516129032257,21.26451612903226,0.09725806451612584
2000-07-01,84.68387096774192,0.0,610.1999999999999,31,2.63,10,0,0.0,12,0,9.074193548387097,19.074193548387097,-0.011290322580663315
2000-08-01,84.98709677419355,0.0,619.5999999999999,31,4.779999999999999,14,1,0.0,17,0,11.396774193548387,18.758064516129032,-0.11967741935482934
2000-09-01,85.1,0.0,603.0000000000001,30,3.79,13,1,0.0,8,0,10.129999999999999,17.793333333333333,1.2967241379310366
2000-10-01,78.8,0.0,400.19999999999993,29,0.93,3,0,0.0,0,0,14.513793103448277,20.03448275862069,-1.886816009557947
2000-11-01,74.83666666666666,0.20000000000000284,295.30000000000007,30,0.33,2,0,0.0,0,0,13.085714285714285,16.493333333333332,-0.42782183908046534
2000-12-01,70.16129032258064,26.0,186.0,31,1.81,9,0,0.0,0,0,14.925806451612903,36.690322580645166,-2.2640322580645176
2001-01-01,64.44193548387096,97.7,80.4,31,0.19,3,0,0.0,0,0,13.09032258064516,20.75161290322581,-4.4528655913978525
2001-02-01,74.98928571428571,0.0,279.7,28,1.17,4,0,0.0,0,0,13.042857142857143,19.217857142857145,3.4787315270935864
2001-03-01,74.48064516129033,3.3000000000000043,297.20000000000005,31,0.53,4,0,0.0,0,0,13.219354838709679,17.106451612903225,0.7298387096774235
2001-04-01,77.11333333333333,0.0,363.4000000000001,30,3.4000000000000004,5,2,0.0,0,0,15.156666666666666,18.926666666666666,-0.07600000000000762
2001-05-01,78.45806451612903,0.0,417.19999999999993,31,3.4699999999999998,7,1,0.0,0,0,13.216129032258063,16.809677419354838,-2.157580645161289
2001-06-01,84.15333333333334,0.0,574.6,30,1.6300000000000001,6,0,0.0,2,0,10.953333333333335,10.596666666666666,0.4996491228070141
2001-07-01,83.94193548387096,0.0,587.1999999999999,31,3.08,12,0,0.0,2,0,11.4,12.206451612903225,-0.7532258064516242
2001-08-01,85.04516129032258,0.0,621.3999999999999,31,2.88,5,1,0.0,15,0,10.651612903225805,14.064516129032258,-0.06161290322579305
2001-09-01,82.86666666666666,0.0,536.0,30,8.7,14,2,0.0,7,0,11.843333333333334,18.393333333333334,-0.9366091954022977
2001-10-01,79.99354838709678,0.0,464.79999999999995,31,5.3500000000000005,7,2,0.0,0,0,15.17741935483871,23.425806451612903,-0.693267622461164
2001-11-01,74.92333333333333,0.0,297.69999999999993,30,1.2,5,0,0.0,0,0,15.206666666666667,32.62,-0.34115517241379223
2001-12-01,73.83870967741936,4.200000000000003,278.20000000000005,31,2.6,7,1,0.0,0,0,13.858064516129033,30.86774193548387,1.4133870967742013
2002-01-01,70.7741935483871,37.199999999999996,216.19999999999996,31,0.26,1,0,0.0,0,0,12.519354838709678,23.783870967741933,1.879392473118287
2002-02-01,70.95357142857144,9.900000000000006,176.6,28,1.82,5,0,0.0,0,0,25.932142857142857,22.035714285714285,-0.5569827586206912
2002-03-01,74.97419354838709,3.700000000000003,312.8999999999999,31,0.54,3,0,0.0,0,0,33.31935483870968,8.448387096774193,1.2233870967741893
2002-04-01,78.92666666666668,0.0,417.79999999999995,30,0.22000000000000003,2,0,0.0,0,0,24.470000000000002,16.586666666666666,1.7373333333333392
2002-05-01,81.08387096774193,0.0,498.6,31,2.5100000000000002,8,0,0.0,0,0,28.80322580645161,21.61935483870968,0.4682258064516134
2002-06-01,82.61,0.0,528.3000000000001,30,9.33,15,3,0.0,0,0,22.433333333333334,16.363333333333333,-1.0436842105263224
2002-07-01,83.54193548387097,0.0,574.8000000000001,31,2.16,11,1,0.0,1,0,15.464516129032257,1.2064516129032257,-1.1532258064516157
2002-08-01,84.16129032258064,0.0,594.0000000000001,31,3.15,11,0,0.0,3,0,15.738709677419356,1.1451612903225807,-0.9454838709677347
2002-09-01,83.20333333333333,0.0,546.1,30,7.2299999999999995,16,2,0.0,0,0,18.653333333333332,1.4966666666666666,-0.5999425287356246
2002-10-01,81.47741935483872,0.0,510.80000000000007,31,3.2,5,1,0.0,0,0,15.44516129032258,1.2483870967741937,0.7906033452807719
2002-11-01,73.58333333333333,4.800000000000004,262.3,30,0.73,7,0,0.0,0,0,20.153333333333332,1.6433333333333333,-1.6811551724137956
2002-12-01,70.3741935483871,19.800000000000004,186.39999999999995,31,0.5800000000000001,4,0,0.0,0,0,19.138709677419357,1.7096774193548387,-2.0511290322580606
2003-01-01,62.17741935483871,119.69999999999999,32.19999999999999,31,0.33,3,0,0.0,0,0,19.05483870967742,3.096774193548387,-6.7173817204301045
2003-02-01,72.01071428571429,6.300000000000004,202.60000000000002,28,0.39999999999999997,2,0,0.0,0,0,16.464285714285715,2.1,0.5001600985221586
2003-03-01,77.90645161290323,4.200000000000003,404.29999999999995,31,4.32,7,2,0.0,0,0,17.36774193548387,1.1870967741935483,4.155645161290323
2003-04-01,74.90333333333334,2.799999999999997,299.9,30,1.85,5,1,0.0,0,0,18.69,1.1900000000000002,-2.2860000000000014
2003-05-01,81.54516129032258,0.0,512.9,31,0.6900000000000001,5,0,0.0,0,0,15.63225806451613,1.5419354838709676,0.9295161290322653
2003-06-01,82.8,0.0,534.0,30,2.75,12,0,0.0,0,0,17.196666666666665,2.433333333333333,-0.8536842105263247
2003-07-01,83.68064516129031,0.0,579.0999999999999,31,1.06,9,0,0.0,0,0,16.112903225806452,0.8032258064516129,-1.0145161290322733
2003-08-01,83.93548387096774,0.0,587.0000000000001,31,9.42,15,3,0.0,1,0,16.261290322580646,0.9354838709677419,-1.1712903225806315
2003-09-01,83.42666666666668,0.0,552.8,30,3.7,13,1,0.0,1,0,15.543333333333333,2.0833333333333335,-0.3766091954022812
2003-10-01,80.83870967741936,0.0,491.00000000000006,31,1.5,4,1,0.0,0,0,17.725806451612904,1.2225806451612902,0.15189366786141534
2003-11-01,76.09666666666666,0.9000000000000057,333.79999999999995,30,4.03,6,1,0.0,0,0,20.759999999999998,1.25,0.8321781609195398
2003-12-01,66.99354838709678,42.099999999999994,103.89999999999999,31,3.31,6,2,0.0,0,0,19.10967741935484,6.316129032258065,-5.431774193548378
2004-01-01,67.54193548387097,28.099999999999987,106.89999999999996,31,1.62,8,0,0.0,0,0,18.919354838709676,1.6096774193548387,-1.352865591397844
2004-02-01,70.61379310344827,18.9,181.70000000000005,29,2.5300000000000002,6,1,0.0,0,0,18.517241379310345,1.6206896551724137,-0.8967610837438542
2004-03-01,72.40645161290323,0.4000000000000057,229.99999999999997,31,0.73,5,0,0.0,0,0,21.01290322580645,1.2548387096774194,-1.3443548387096769
2004-04-01,73.69666666666667,0.0,260.9,30,1.6300000000000001,4,1,0.0,0,0,19.726666666666667,0.98,-3.492666666666665
2004-05-01,78.15806451612903,0.0,407.9000000000001,31,0.74,6,0,0.0,0,0,18.825806451612905,1.0129032258064516,-2.4575806451612863
2004-06-01,83.69333333333334,0.0,560.8000000000001,30,0.7,5,0,0.0,0,0,14.786666666666667,0.9233333333333333,0.039649122807020376
2004-07-01,83.94193548387096,0.0,587.1999999999999,31,4.71,13,2,0.0,0,0,15.141935483870967,1.2419354838709677,-0.7532258064516242
2004-08-01,84.6,0.0,607.5999999999999,31,1.98,17,0,0.0,2,0,15.390322580645162,1.0612903225806452,-0.5067741935483809
2004-09-01,82.83666666666666,0.0,535.1,30,4.2,14,1,0.0,1,0,22.446666666666665,1.0833333333333333,-0.9666091954022988
2004-10-01,79.79677419354839,0.0,458.70000000000005,31,2.04,7,0,0.0,0,0,21.825806451612905,1.4161290322580644,-0.8900418160095569
2004-11-01,75.77333333333333,0.0,323.2,30,0.6900000000000001,9,0,0.0,0,0,19.84333333333333,3.8833333333333333,0.5088448275862021
2004-12-01,68.89032258064516,31.4,151.99999999999997,31,1.28,7,0,0.0,0,0,20.516129032258064,2.235483870967742,-3.5349999999999966
2005-01-01,69.3225806451613,36.59999999999999,170.60000000000002,31,0.31,5,0,0.0,0,0,13.719354838709679,34.87419354838709,0.4277795698924791
2005-02-01,70.375,12.799999999999997,163.3,28,0.54,3,0,0.0,0,0,13.317857142857145,32.482142857142854,-1.1355541871921275
2005-03-01,73.26774193548388,1.5999999999999943,257.9,31,1.9100000000000001,7,0,0.0,0,0,13.109677419354838,23.85483870967742,-0.48306451612901924
2005-04-01,75.08999999999999,0.0,302.69999999999993,30,2.04,5,1,0.0,0,0,14.273333333333333,22.726666666666667,-2.099333333333348
2005-05-01,80.62258064516129,0.0,484.3,31,0.85,4,0,0.0,4,0,12.62258064516129,26.074193548387097,0.006935483870975645
2005-06-01,83.22,0.0,546.6,30,7.8999999999999995,11,3,0.0,2,0,12.813333333333334,27.59333333333333,-0.433684210526323
2005-07-01,84.69354838709677,12.899999999999999,623.4,31,2.37,10,1,0.0,21,1,12.251612903225807,27.26451612903226,-0.0016129032258191955
2005-08-01,86.05483870967741,0.0,652.6999999999999,31,12.34,9,3,0.0,26,0,12.383870967741935,24.425806451612903,0.9480645161290369
2005-09-01,83.96333333333334,0.0,568.9,30,5.02,15,1,0.0,2,0,12.870000000000001,31.293333333333333,0.16005747126438052
2005-10-01,81.78148148148148,0.0,453.1,27,5.98,17,1,0.0,0,0,16.296296296296298,44.72592592592592,1.094665471923534
2005-11-01,76.56,0.0,346.79999999999995,30,1.01,7,0,0.0,0,0,14.556666666666667,32.33,1.295511494252878
2005-12-01,70.62258064516129,13.300000000000004,187.60000000000002,31,0.2,3,0,0.0,0,0,11.841935483870968,23.15806451612903,-1.8027419354838656
2006-01-01,70.68064516129031,17.6,193.7,31,0.21,5,0,0.0,0,0,14.490322580645161,35.906451612903226,1.7858440860214984
2006-02-01,69.34285714285714,28.9,150.5,28,1.23,5,0,0.0,0,0,12.785714285714286,29.585714285714285,-2.167697044334986
2006-03-01,73.52580645161291,1.7000000000000028,266.00000000000006,31,1.46,2,1,0.0,0,0,13.112903225806452,23.548387096774192,-0.22499999999999432
2006-04-01,77.78333333333333,0.0,383.5,30,0.19,2,0,0.0,0,0,13.09,19.426666666666666,0.5939999999999941
2006-05-01,79.85483870967742,0.0,460.4999999999999,31,0.88,2,0,0.0,0,0,11.219354838709679,18.038709677419355,-0.7608064516128934
2006-06-01,84.31,0.0,579.3,30,2.2199999999999998,6,1,0.0,14,0,11.389999999999999,24.48,0.6563157894736804
2006-07-01,83.90645161290323,0.0,586.1,31,8.04,17,2,0.0,5,0,13.248387096774193,28.738709677419354,-0.7887096774193623
2006-08-01,84.79032258064517,0.0,613.5,31,7.09,19,1,0.0,14,0,12.009677419354839,26.887096774193548,-0.316451612903208
2006-09-01,84.11666666666666,0.0,573.5000000000001,30,3.62,13,2,0.0,14,0,11.096666666666668,25.663333333333334,0.3133908045977023
2006-10-01,80.53225806451613,0.0,481.50000000000006,31,3.05,8,0,0.0,0,0,13.683870967741935,29.56451612903226,-0.15455794504181597
2006-11-01,73.22,11.400000000000006,258.0,30,0.61,6,0,0.0,0,0,12.956666666666667,34.96666666666667,-2.0444885057471254
2006-12-01,74.58387096774193,0.20000000000000284,297.30000000000007,31,5.94,9,4,0.0,0,0,15.435483870967742,53.07096774193548,2.158548387096772
2007-01-01,73.69999999999999,3.6000000000000014,273.29999999999995,31,1.6400000000000001,6,1,0.0,0,0,13.851612903225808,39.09032258064516,4.805198924731172
2007-02-01,69.53571428571429,25.299999999999997,152.3,28,4.13,9,2,0.0,0,0,13.139285714285714,41.92857142857143,-1.9748399014778357
2007-03-01,74.45161290322581,0.0,293.0,31,1.28,5,0,0.0,0,0,14.774193548387096,27.809677419354838,0.7008064516129053
2007-04-01,76.25,0.0,337.5,30,2.04,4,0,0.0,0,0,12.51,21.723333333333336,-0.9393333333333374
2007-05-01,79.92258064516129,0.0,462.6,31,3.67,8,1,0.0,0,0,14.870967741935484,31.635483870967743,-0.6930645161290272
2007-06-01,81.65,0.0,499.5,30,6.5,12,1,0.0,2,0,10.413333333333332,33.18666666666667,-2.003684210526316
2007-07-01,84.45483870967742,0.0,603.0999999999999,31,5.56,13,2,0.0,10,0,9.209677419354838,21.44193548387097,-0.2403225806451701
2007-08-01,83.67096774193548,0.0,578.8,31,2.49,13,0,0.0,6,0,10.90967741935484,23.280645161290323,-1.4358064516128906
2007-09-01,83.60666666666665,0.0,558.1999999999999,30,12.149999999999999,19,3,0.0,12,0,11.479999999999999,28.57,-0.19660919540230282
2007-10-01,82.1774193548387,0.0,532.5,31,4.71,20,0,0.0,0,0,14.86774193548387,42.04838709677419,1.4906033452807605
2007-11-01,74.99310344827587,0.0,289.80000000000007,29,0.2,4,0,0.0,0,0,12.744827586206897,31.93103448275862,-0.2713850574712495
2007-12-01,75.6774193548387,0.4000000000000057,331.4,31,0.76,4,0,0.0,0,0,11.87741935483871,29.5258064516129,3.2520967741935465
2008-01-01,69.02258064516128,37.900000000000006,162.6,31,0.97,2,0,0.0,0,0,20.538709677419355,3.883870967741936,0.12777956989246775
2008-02-01,73.89655172413794,6.300000000000004,264.3,29,0.79,5,0,0.0,0,0,18.117241379310343,1.0999999999999999,2.3859975369458084
2008-03-01,73.06774193548387,4.599999999999994,254.7,31,0.0,0,0,0.0,0,0,19.551612903225806,0.0967741935483871,-0.6830645161290363
2008-04-01,75.16000000000001,1.2999999999999972,306.1,30,0.0,0,0,0.0,0,0,19.616666666666667,0.08000000000000002,-2.0293333333333266
2008-05-01,79.59354838709677,0.0,452.4000000000001,31,0.82,1,0,0.0,0,0,18.31935483870968,0.2,-1.0220967741935425
2008-06-01,82.71333333333334,0.0,531.4,30,0.0,0,0,0.0,0,0,18.31,0.20333333333333334,-0.9403508771929836
2008-07-01,83.14838709677419,0.0,562.5999999999999,31,0.0,0,0,0.0,0,0,16.183870967741935,0.0,-1.5467741935484014
