date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2005-01-01,59.58387096774193,189.10000000000002,21.200000000000003,31,2.14,6,1,0.0,0,1,11.496774193548386,33.65161290322581,0.8926881720430018
2005-02-01,61.010714285714286,131.9,20.19999999999999,28,1.73,7,1,0.0,0,0,11.771428571428572,37.99642857142857,-1.3036769880365924
2005-03-01,62.97096774193548,130.8,67.9,31,4.01,12,0,0.0,0,0,12.048387096774194,36.774193548387096,-2.9647163515016643
2005-04-01,67.31666666666666,29.000000000000007,98.5,30,3.1,8,1,0.0,0,0,12.856666666666666,13.976666666666667,-4.638000000000005
2005-05-01,74.35483870967742,0.0,290.0,31,4.25,8,2,0.0,1,0,11.161290322580646,28.73548387096774,-2.734623655913964
2005-06-01,78.60333333333332,0.0,408.1,30,10.16,26,4,0.0,3,0,10.866666666666667,38.20666666666667,-1.8957777777777807
2005-07-01,82.10645161290323,0.0,530.3000000000001,31,8.459999999999999,21,1,0.0,19,0,10.761290322580646,18.648387096774194,0.5030107526881835
2005-08-01,82.22258064516129,0.0,533.9000000000001,31,5.64,26,1,0.0,25,0,10.577419354838709,16.958064516129035,0.11870967741936056
2005-09-01,79.56666666666666,0.0,437.0,30,3.04,16,0,0.0,7,0,11.46,22.666666666666668,-0.6811111111111217
2005-10-01,73.01612903225806,35.1,283.6,31,5.59,10,1,0.0,0,0,11.561290322580644,37.751612903225805,-1.3025806451612851
2005-11-01,67.48,30.1,104.49999999999999,30,1.7000000000000002,6,0,0.0,0,0,11.003333333333334,31.2,1.5100000000000051
2005-12-01,56.806451612903224,257.40000000000003,3.4000000000000057,31,2.4,12,0,0.0,0,0,10.80967741935484,31.05483870967742,-5.949892473118275
2006-01-01,60.854838709677416,165.7,37.19999999999999,31,0.54,4,0,0.0,0,0,12.093548387096773,27.248387096774195,2.163655913978488
2006-03-01,65.79655172413793,60.60000000000001,83.70000000000003,29,0.04,1,0,0.0,0,0,12.282758620689656,15.548275862068964,-0.1391323692992188
2006-04-01,72.79333333333334,0.0,233.79999999999995,30,0.88,4,0,0.0,1,0,12.126666666666667,23.35,0.8386666666666684
2006-05-01,76.35483870967742,0.0,352.0,31,2.51,3,1,0.0,12,0,10.551612903225807,15.351612903225806,-0.7346236559139641
2006-06-01,79.88666666666667,0.0,446.5999999999999,30,8.01,12,3,0.0,15,0,13.336666666666668,25.576666666666668,-0.612444444444435
2006-07-01,81.40322580645162,0.0,508.49999999999994,31,1.61,8,0,0.0,19,0,12.441935483870967,19.47741935483871,-0.2002150537634293
2006-08-01,82.42258064516129,0.0,540.0999999999999,31,6.78,13,2,0.0,20,0,10.951612903225806,19.990322580645163,0.3187096774193634
2006-09-01,79.57,0.0,437.1000000000001,30,2.06,8,0,0.0,10,0,11.053333333333335,22.573333333333334,-0.6777777777777914
2006-10-01,73.02580645161291,13.5,262.3,31,0.8200000000000001,2,0,0.0,2,0,11.212903225806452,16.245161290322578,-1.292903225806441
2006-11-01,63.34,108.20000000000002,58.39999999999999,30,1.8499999999999999,5,0,0.0,0,0,13.326666666666666,29.526666666666664,-2.6299999999999955
2006-12-01,64.44193548387096,88.69999999999999,71.40000000000003,31,2.81,9,0,0.0,0,0,11.893548387096773,40.377419354838715,1.685591397849464
2007-01-01,61.42580645161291,164.1,53.3,31,1.26,10,0,0.0,0,0,11.635483870967741,42.722580645161294,2.7346236559139783
2007-02-01,58.43928571428571,205.0,21.299999999999997,28,2.25,6,1,0.0,0,0,11.267857142857142,28.446428571428573,-3.875105559465169
2007-03-01,66.30000000000001,60.5,100.80000000000003,31,1.23,5,0,0.0,0,0,13.690322580645162,23.364516129032257,0.36431590656286517
2007-04-01,69.11,41.5,164.8,30,1.7,5,0,0.0,0,0,12.65,22.033333333333335,-2.8446666666666687
2007-05-01,74.8225806451613,0.0,304.5,31,1.08,4,0,0.0,3,0,15.651612903225807,22.351612903225806,-2.266881720430092
2007-06-01,79.44333333333334,0.0,433.29999999999995,30,2.4899999999999998,11,1,0.0,13,0,12.51,25.363333333333333,-1.055777777777763
2007-07-01,81.76774193548388,0.0,519.8,31,5.8500000000000005,18,1,0.0,19,0,10.167741935483871,22.17096774193548,0.1643010752688383
2007-08-01,84.1258064516129,0.0,592.9000000000001,31,5.61,6,2,0.0,27,0,10.37741935483871,13.787096774193548,2.021935483870976
2007-09-01,80.43666666666667,0.0,463.1,30,5.16,13,2,0.0,15,0,13.126666666666667,22.2,0.1888888888888829
2007-10-01,76.96129032258065,0.0,370.79999999999995,31,6.86,12,3,0.0,2,0,12.341935483870968,38.07741935483871,2.6425806451613028
2007-11-01,66.08,47.69999999999999,80.10000000000001,30,0.3,4,0,0.0,0,0,10.76,24.676666666666666,0.10999999999999943
2007-12-01,65.31612903225806,69.1,78.89999999999999,31,1.4699999999999998,8,0,0.0,0,0,9.883870967741935,27.9,2.5597849462365616
2008-01-01,59.690322580645166,188.9,24.299999999999997,31,2.78,10,0,0.0,0,1,12.85483870967742,39.42258064516129,0.9991397849462373
2008-02-01,64.3896551724138,86.5,68.79999999999998,29,2.6399999999999997,9,0,0.0,0,0,10.655172413793103,33.04827586206896,2.075263898662918
2008-03-01,65.87741935483871,55.49999999999999,82.70000000000002,31,2.69,8,0,0.0,0,0,12.341935483870968,36.08387096774193,-0.058264738598438726
2008-04-01,70.27666666666667,23.200000000000003,181.50000000000006,30,4.41,8,2,0.0,0,0,12.653333333333334,29.02,-1.6779999999999973
2008-05-01,77.35483870967742,0.0,383.00000000000006,31,0.26,2,0,0.0,5,0,11.774193548387096,21.86774193548387,0.26537634408603594
2008-06-01,80.02,0.0,450.59999999999997,30,4.96,16,1,0.0,13,0,14.129999999999999,14.606666666666666,-0.47911111111110927
2008-07-01,80.06129032258065,0.0,466.9,31,8.85,19,2,0.0,11,0,13.638709677419355,19.883870967741935,-1.5421505376343987
2008-08-01,80.36774193548388,0.0,476.40000000000003,31,10.49,16,2,0.0,12,0,14.835483870967742,26.093548387096774,-1.7361290322580487
2008-09-01,79.73,0.0,441.9,30,1.34,8,0,0.0,5,0,14.926666666666668,25.576666666666668,-0.5177777777777806
2008-10-01,71.88064516129033,31.5,244.8,31,1.68,6,0,0.0,0,0,13.841935483870968,31.329032258064515,-2.4380645161290175
2008-11-01,61.70666666666667,148.1,49.300000000000026,30,0.13,1,0,0.0,0,0,11.863333333333333,27.98,-4.263333333333328
2008-12-01,62.61290322580645,121.0,46.99999999999997,31,1.1099999999999999,4,0,0.0,0,0,11.961290322580645,34.648387096774194,-0.1434408602150512
2009-01-01,57.39677419354839,252.29999999999995,16.599999999999994,31,1.01,7,0,0.0,0,2,12.435483870967742,23.23548387096774,-1.2944086021505399
2009-02-01,58.83571428571429,192.2,19.59999999999998,28,0.97,4,0,0.0,0,2,12.639285714285716,20.539285714285715,-3.4786769880365895
2009-03-01,66.37741935483871,67.5,110.20000000000003,31,1.21,4,0,0.0,0,0,13.641935483870968,25.70967741935484,0.4417352614015613
2009-04-01,70.80666666666666,19.300000000000004,193.50000000000003,30,1.71,6,0,0.0,0,0,15.270000000000001,21.58,-1.1480000000000103
2009-05-01,76.5,0.0,356.50000000000006,31,12.69,12,4,0.0,7,0,14.332258064516129,30.806451612903224,-0.5894623655913875
2009-06-01,81.36999999999999,0.0,491.1,30,5.63,16,2,0.0,17,0,13.546666666666665,16.953333333333333,0.870888888888885
2009-07-01,81.19677419354838,0.0,502.09999999999997,31,3.7600000000000002,16,0,0.0,14,0,11.941935483870967,18.86774193548387,-0.4066666666666663
2009-08-01,81.9258064516129,0.0,524.7,31,8.03,17,2,0.0,16,0,12.429032258064517,19.551612903225806,-0.17806451612902663
2009-09-01,80.67,0.0,470.09999999999997,30,4.6499999999999995,6,1,0.0,13,0,12.026666666666667,26.236666666666668,0.42222222222221717
2009-10-01,76.54193548387097,16.699999999999996,374.50000000000006,31,2.01,7,0,0.0,5,0,11.87741935483871,24.36774193548387,2.223225806451623
2009-11-01,67.11999999999999,42.59999999999999,106.20000000000002,30,1.19,4,0,0.0,0,0,11.97,34.45333333333333,1.1499999999999915
2009-12-01,61.461290322580645,171.60000000000002,61.89999999999999,31,3.31,8,1,0.0,0,0,13.254838709677419,45.803225806451614,-1.2950537634408548
2010-01-01,52.803225806451614,392.8,14.700000000000017,31,3.12,7,1,0.0,0,5,13.258064516129032,28.996774193548386,-5.887956989247314
2010-02-01,53.05357142857143,336.59999999999997,2.0999999999999943,28,3.7800000000000002,10,1,0.0,0,0,14.835714285714287,34.17142857142857,-9.260819845179448
2010-03-01,60.099999999999994,162.00000000000003,10.099999999999994,31,8.28,8,1,0.0,0,0,15.816129032258065,28.919354838709676,-5.835684093437152
2010-04-01,71.10333333333332,0.0,183.1,30,1.77,5,0,0.0,0,0,13.476666666666667,19.19,-0.8513333333333435
2010-05-01,79.32903225806452,0.0,444.19999999999993,31,1.83,4,1,0.0,10,0,13.170967741935485,26.193548387096776,2.2395698924731278
2010-06-01,83.14333333333335,0.0,544.3000000000001,30,3.42,9,1,0.0,26,0,13.556666666666667,15.56,2.64422222222224
2010-07-01,83.29677419354839,0.0,567.2,31,4.18,13,1,0.0,21,0,12.83548387096774,22.664516129032258,1.6933333333333422
2010-08-01,82.28064516129032,0.0,535.7000000000002,31,7.76,19,1,0.0,16,0,14.374193548387098,26.554838709677416,0.17677419354839685
2010-09-01,80.56666666666666,0.0,467.0000000000001,30,3.44,10,0,0.0,10,0,12.556666666666667,21.209999999999997,0.31888888888887834
2010-10-01,73.56774193548387,0.0,265.6,31,0.06,1,0,0.0,0,0,9.90967741935484,12.045161290322582,-0.750967741935483
2010-11-01,65.91333333333334,56.8,84.19999999999997,30,1.5300000000000002,7,0,0.0,0,0,11.183333333333334,32.17,-0.05666666666665776
2010-12-01,50.07419354838709,462.7,0.0,31,0.29,5,0,0.0,0,4,13.141935483870968,20.361290322580647,-12.682150537634406
2011-01-01,56.277419354838706,273.40000000000003,3.0,31,4.23,6,3,0.0,0,1,13.880645161290323,38.53548387096774,-2.4137634408602224
2011-02-01,62.792857142857144,116.50000000000001,54.69999999999999,28,1.27,5,0,0.0,0,0,12.496428571428572,39.917857142857144,0.478465869106266
2011-03-01,67.10645161290323,38.29999999999998,103.60000000000001,31,7.710000000000001,6,2,0.0,0,0,14.074193548387097,28.23548387096774,1.1707675194660823
2011-04-01,74.83666666666666,1.7000000000000028,296.79999999999995,30,0.83,4,0,0.0,3,0,12.946666666666667,13.78,2.881999999999991
2011-05-01,77.91935483870968,0.0,400.50000000000006,31,0.91,5,0,0.0,17,0,13.929032258064517,14.1,0.8298924731182922
2011-06-01,81.72666666666667,0.0,501.79999999999995,30,2.01,9,0,0.0,23,0,14.253333333333334,19.07,1.2275555555555684
2011-07-01,82.47096774193548,0.0,541.6,31,6.07,12,3,0.0,21,0,12.32258064516129,17.938709677419357,0.8675268817204369
2011-08-01,83.18387096774192,0.0,563.7,31,7.390000000000001,13,2,0.0,23,0,13.890322580645162,20.703225806451613,1.0799999999999983
2011-09-01,80.5,0.0,465.0,30,2.95,10,0,0.0,14,0,11.356666666666666,26.209999999999997,0.25222222222221546
2011-10-01,70.93225806451613,16.200000000000003,200.10000000000002,31,3.6500000000000004,9,1,0.0,0,0,13.22258064516129,34.00645161290323,-3.3864516129032154
2011-11-01,66.69,42.99999999999999,93.7,30,0.6,2,0,0.0,0,0,13.04,36.806666666666665,0.7199999999999989
2011-12-01,64.19032258064516,69.9,44.80000000000001,31,0.44,4,0,0.0,0,0,12.32258064516129,40.196774193548386,1.4339784946236591
2012-01-01,59.561290322580646,186.5,17.89999999999999,31,0.6,3,0,0.0,0,1,11.741935483870968,12.629032258064516,0.8701075268817178
2012-02-01,65.22758620689655,80.1,86.7,29,2.6100000000000003,9,1,0.0,0,1,13.044827586206896,34.10344827586207,2.913194933145668
