date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,67.57741935483871,42.59999999999999,122.50000000000001,31,0.5299999999999999,3,0,0.0,0,0,14.435483870967742,35.593548387096774,-0.15532258064516213
2000-02-01,68.64137931034483,23.599999999999994,129.2,29,1.46,11,0,0.0,0,0,13.634482758620688,44.88275862068965,-1.6302770935960638
2000-03-01,74.00967741935484,0.0,279.3,31,1.0899999999999999,8,0,0.0,0,0,15.261290322580646,48.15806451612904,1.457096774193559
2000-04-01,74.45666666666666,0.0,283.70000000000005,30,3.2199999999999998,5,1,0.0,0,0,15.676666666666668,44.11666666666667,-1.4094999999999942
2000-05-01,79.24193548387096,0.0,441.5,31,2.88,7,1,0.0,2,0,14.970967741935485,44.432258064516134,0.07338709677418365
2000-06-01,81.32,0.0,489.5999999999999,30,6.430000000000001,20,3,0.0,4,0,14.873333333333333,49.013333333333335,-0.6051666666666762
2000-07-01,82.18387096774192,0.0,532.6999999999999,31,7.15,25,1,0.0,15,0,13.793548387096775,48.400000000000006,-0.995806451612907
2000-08-01,82.4,0.0,539.4,31,8.12,24,0,0.0,8,0,14.438709677419356,44.851612903225806,-1.1064516129032285
2000-09-01,82.26666666666667,0.0,518.0,30,10.86,20,4,0.0,5,0,13.35,52.18333333333333,0.015000000000000568
2000-10-01,77.3741935483871,0.0,383.6,31,18.7,14,3,0.0,1,0,15.212903225806452,54.0516129032258,-2.1132258064516094
2000-11-01,72.98,5.5,244.9,30,0.45,3,0,0.0,0,0,13.683333333333334,47.02333333333333,-1.1091666666666669
2000-12-01,68.54193548387097,51.7,161.49999999999997,31,5.07,9,1,0.0,0,0,14.94516129032258,60.08709677419355,-2.65790322580645
2001-01-01,62.670967741935485,132.3,60.10000000000002,31,0.67,3,0,0.0,0,0,13.712903225806452,40.18387096774194,-5.061774193548388
2001-02-01,73.53214285714286,0.09999999999999432,238.99999999999997,28,0.6,1,0,0.0,0,0,14.982142857142858,48.25,3.2604864532019633
2001-03-01,72.97096774193548,10.400000000000006,257.49999999999994,31,4.7,11,1,0.0,1,0,16.241935483870968,44.148387096774194,0.4183870967741967
2001-04-01,75.51666666666667,0.0,315.5,30,2.7600000000000002,7,1,0.0,2,0,15.876666666666667,46.81333333333334,-0.34949999999999193
2001-05-01,77.34838709677419,0.0,382.79999999999995,31,7.27,11,2,0.0,0,0,15.619354838709677,52.02903225806452,-1.8201612903225879
2001-06-01,81.68666666666667,0.0,500.59999999999997,30,7.91,20,2,0.0,8,0,13.67,43.36666666666667,-0.23850000000000193
2001-07-01,82.0,0.0,527.0,31,9.81,17,4,0.0,8,0,15.112903225806452,38.86774193548387,-1.1796774193548316
2001-08-01,83.74516129032257,0.0,581.0999999999999,31,8.610000000000001,15,3,0.0,19,0,12.90967741935484,43.25483870967742,0.23870967741933669
2001-09-01,80.72333333333333,0.0,471.69999999999993,30,18.28,18,7,0.0,6,0,13.053333333333335,55.05,-1.528333333333336
