date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,54.39677419354839,337.6,8.899999999999991,31,3.35,7,0,0.0,0,3,14.52258064516129,47.31612903225806,1.2117741935483863
2000-02-01,57.665517241379305,219.70000000000002,6.999999999999986,29,4.25,3,1,0.0,0,0,12.641379310344828,27.317241379310346,1.1415886699507283
2000-03-01,64.36774193548388,60.699999999999996,41.10000000000001,31,5.04,7,2,0.0,0,0,13.238709677419354,31.63225806451613,2.303064516129041
2000-04-01,66.56,33.400000000000006,80.20000000000002,30,3.63,5,1,0.0,0,0,13.826666666666666,29.3,-2.035166666666669
2000-05-01,76.70645161290322,0.0,362.9,31,0.07,1,0,0.0,1,0,12.716129032258063,25.54516129032258,0.6737096774193532
2000-06-01,80.72333333333333,0.0,471.70000000000005,30,5.07,9,2,0.0,2,0,12.313333333333333,28.803333333333335,-0.8063333333333276
2000-07-01,84.19677419354838,0.0,595.1,31,6.49,8,2,0.0,17,0,12.412903225806453,19.09032258064516,1.1461290322580595
2000-08-01,83.29354838709678,0.0,567.1,31,2.68,9,1,0.0,18,0,10.087096774193547,22.322580645161292,0.5869354838709739
2000-09-01,77.65333333333334,0.29999999999999716,379.9,30,9.56,14,3,0.0,2,0,13.25,34.11,-2.2181666666666615
2000-10-01,68.75161290322582,37.89999999999999,154.20000000000005,31,1.17,1,1,0.0,0,0,11.125806451612902,13.432258064516128,-2.8398387096774087
2000-11-01,59.74,230.80000000000004,73.0,30,10.45,12,5,0.0,0,0,13.966666666666667,41.556666666666665,-2.1128333333333273
2000-12-01,49.28387096774193,491.0,3.799999999999997,31,8.52,11,2,0.0,0,7,14.458064516129031,44.88709677419355,-6.8554838709677455
2001-01-01,49.10967741935484,492.6,0.0,31,3.85,10,1,0.0,0,7,13.364516129032259,41.938709677419354,-4.075322580645164
2001-02-01,59.04642857142857,184.7,18.0,28,1.7,5,0,0.0,0,0,13.546428571428573,50.589285714285715,2.5224999999999937
2001-03-01,58.351612903225806,221.59999999999997,15.5,31,15.450000000000001,16,7,0.0,0,0,15.329032258064515,46.16451612903226,-3.7130645161290303
2001-04-01,68.24333333333333,23.500000000000007,120.80000000000001,30,2.83,4,1,0.0,0,0,14.046666666666669,32.983333333333334,-0.3518333333333459
2001-05-01,74.56451612903226,0.0,296.5,31,0.7,2,0,0.0,0,0,13.770967741935483,21.05806451612903,-1.4682258064516134
