date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,60.5258064516129,169.7,31.0,31,1.1099999999999999,4,0,0.0,0,0,14.441935483870967,35.28064516129032,0.39112903225805695
2000-02-01,62.689655172413794,101.6,34.60000000000002,29,0.2,3,0,0.0,0,0,13.379310344827585,26.944827586206895,-0.9827032019704447
2000-03-01,70.08387096774193,1.8999999999999915,159.49999999999994,31,0.5,4,0,0.0,0,0,16.270967741935486,28.45483870967742,2.4429032258064467
2000-04-01,70.92333333333333,14.299999999999997,192.0,30,0.22999999999999998,2,0,0.0,0,0,16.916666666666668,25.466666666666665,-1.6383333333333354
2000-05-01,78.34193548387097,0.0,413.6,31,0.06,2,0,0.0,10,0,16.258064516129032,21.170967741935485,0.8738709677419365
2000-06-01,79.91333333333334,0.0,447.4,30,5.63,14,1,0.0,17,0,16.25,32.92666666666666,-0.38683333333332826
2000-07-01,81.93548387096774,0.0,525.0,31,7.65,12,3,0.0,20,0,17.016129032258064,26.9,0.3008924731182816
2000-08-01,81.93225806451613,0.0,524.9000000000001,31,6.79,15,1,0.0,21,0,14.600000000000001,20.806451612903224,0.11507230255840284
2000-09-01,81.18333333333334,0.0,485.50000000000006,30,4.22,12,1,0.0,12,0,13.92,33.78333333333333,0.8648333333333369
2000-10-01,72.96774193548387,3.1000000000000014,250.1,31,1.7300000000000002,5,1,0.0,0,0,14.941935483870967,25.74838709677419,-2.384999999999991
2000-11-01,65.46666666666667,79.7,93.7,30,0.11,1,0,0.0,0,0,12.41,20.5,-2.4749999999999943
2000-12-01,58.83870967741935,240.7,49.7,31,1.03,4,0,0.0,0,2,14.229032258064517,37.40967741935484,-4.878870967741932
2001-01-01,56.254838709677415,299.50000000000006,28.39999999999999,31,1.5499999999999998,4,0,0.0,0,0,13.661290322580646,34.270967741935486,-3.879838709677429
2001-02-01,66.45357142857144,52.599999999999994,93.30000000000001,28,0.34,6,0,0.0,0,0,13.446428571428571,40.78214285714286,2.781213054187198
2001-03-01,66.3741935483871,60.300000000000004,102.89999999999999,31,6.24,10,2,0.0,0,0,17.212903225806453,40.20967741935484,-1.266774193548386
2001-04-01,71.31666666666666,11.000000000000007,200.5,30,0.96,2,0,0.0,0,0,16.433333333333334,19.383333333333333,-1.2450000000000045
2001-05-01,76.02903225806452,0.0,341.90000000000003,31,2.7,6,1,0.0,10,0,16.474193548387095,21.07741935483871,-1.4390322580645147
2001-06-01,79.36666666666666,0.0,431.0,30,12.1,18,4,0.0,14,0,16.12666666666667,18.14,-0.9335000000000093
2001-07-01,80.34666666666666,0.0,460.40000000000003,30,9.11,13,3,0.0,10,0,15.163333333333334,24.623333333333335,-1.2879247311827982
2001-08-01,80.91935483870968,0.0,493.5,31,4.98,14,1,0.0,23,0,13.906451612903227,24.12258064516129,-0.8978309232480512
2001-09-01,77.36,0.0,370.8,30,10.72,17,4,0.0,5,0,13.346666666666666,42.27333333333333,-2.958500000000001
2001-10-01,72.98387096774194,11.299999999999997,258.8,31,1.34,6,0,0.0,0,0,15.558064516129033,38.49032258064516,-2.368870967741927
2001-11-01,68.5,0.5,105.50000000000003,30,2.27,7,1,0.0,0,0,13.266666666666667,30.89,0.5583333333333371
2001-12-01,66.57741935483871,80.6,129.49999999999997,31,0.28,3,0,0.0,0,0,13.067741935483872,30.903225806451612,2.859838709677426
2002-01-01,61.81935483870968,181.5,82.89999999999999,31,2.06,5,1,0.0,0,0,12.870967741935484,35.0258064516129,1.6846774193548342
2002-02-01,61.65714285714286,122.39999999999999,28.799999999999997,28,4.49,7,2,0.0,0,0,14.528571428571428,34.03214285714286,-2.01521551724138
2002-03-01,69.19677419354838,42.599999999999994,172.70000000000005,31,1.2300000000000002,4,0,0.0,0,0,15.474193548387097,27.919354838709676,1.555806451612895
2002-04-01,74.15333333333334,0.0,274.59999999999997,30,1.96,9,0,0.0,0,0,14.333333333333334,28.256666666666668,1.5916666666666686
2002-05-01,77.71290322580644,0.0,394.09999999999997,31,2.24,3,0,0.0,7,0,16.370967741935484,28.258064516129032,0.24483870967740984
2002-06-01,78.33,0.0,399.90000000000003,30,13.290000000000001,22,6,0.0,7,0,14.363333333333335,38.13333333333333,-1.970166666666671
2002-07-01,80.7258064516129,0.0,487.5000000000001,31,7.27,24,1,0.0,15,0,14.235483870967743,23.067741935483873,-0.9087849462365654
2002-08-01,79.9,0.0,461.90000000000003,31,13.85,17,4,0.0,8,0,15.480645161290324,25.86774193548387,-1.9171857619577253
2002-09-01,81.14333333333335,0.0,484.2999999999999,30,8.45,14,3,0.0,11,0,14.116666666666667,28.623333333333335,0.8248333333333449
2002-10-01,77.78709677419356,0.0,396.3999999999999,31,0.99,4,0,0.0,1,0,12.916129032258066,17.490322580645163,2.4343548387096945
2002-11-01,65.99333333333333,75.5,105.30000000000003,30,2.5300000000000002,5,1,0.0,0,0,13.726666666666667,21.84333333333333,-1.9483333333333377
2002-12-01,59.82258064516129,187.60000000000002,27.10000000000001,31,10.74,10,4,0.0,0,0,13.780645161290321,33.512903225806454,-3.894999999999996
2003-01-01,55.23225806451613,305.8,3.0,31,0.8300000000000001,1,0,0.0,0,1,14.519354838709678,15.751612903225807,-4.902419354838713
2003-02-01,63.68214285714286,90.0,53.099999999999994,28,1.81,6,0,0.0,0,0,14.267857142857142,40.635714285714286,0.009784482758618651
2003-03-01,71.05806451612904,19.700000000000003,207.50000000000003,31,5.130000000000001,14,1,0.0,0,0,14.074193548387097,45.619354838709675,3.4170967741935527
2003-04-01,71.52333333333333,20.9,216.60000000000005,30,4.29,10,1,0.0,0,0,15.246666666666666,34.42333333333333,-1.038333333333341
2003-05-01,80.04516129032258,0.0,466.4,31,2.42,5,1,0.0,8,0,13.75483870967742,27.23548387096774,2.5770967741935493
2003-06-01,79.85666666666665,0.0,445.70000000000005,30,5.12,10,0,0.0,6,0,13.293333333333333,28.416666666666668,-0.44350000000001444
2003-07-01,81.65806451612903,0.0,516.4000000000001,31,5.93,15,0,0.0,21,0,14.203225806451613,18.799999999999997,0.02347311827956844
2003-08-01,80.08064516129032,0.0,467.5,31,7.95,22,1,0.0,8,0,14.374193548387098,22.23548387096774,-1.7365406006674107
2003-09-01,79.37333333333332,0.0,431.20000000000005,30,4.26,10,1,0.0,0,0,13.863333333333335,37.75333333333333,-0.9451666666666796
2003-10-01,75.61290322580645,0.0,328.99999999999994,31,1.11,5,0,0.0,0,0,12.951612903225806,30.335483870967742,0.2601612903225856
2003-11-01,70.51333333333334,28.0,193.39999999999998,30,2.26,8,0,0.0,0,0,13.916666666666666,33.07333333333333,2.5716666666666725
2003-12-01,59.70322580645161,181.5,17.30000000000001,31,1.69,3,1,0.0,0,0,14.40967741935484,33.13548387096775,-4.0143548387096715
2004-01-01,59.512903225806454,198.3,28.200000000000003,31,2.7,7,0,0.0,0,0,12.941935483870967,21.593548387096774,-0.62177419354839
2004-02-01,62.282758620689656,119.6,40.79999999999998,29,3.94,5,2,0.0,0,0,14.624137931034484,54.65172413793104,-1.3895997536945828
2004-03-01,67.29354838709678,32.4,103.49999999999999,31,0.73,4,0,0.0,0,0,15.912903225806453,29.33225806451613,-0.34741935483870634
2004-04-01,69.58999999999999,18.5,156.20000000000005,30,2.06,5,0,0.0,0,0,16.886666666666667,23.993333333333332,-2.9716666666666782
2004-05-01,77.18387096774192,0.0,377.7000000000001,31,2.01,3,1,0.0,7,0,15.922580645161291,22.358064516129033,-0.2841935483871083
2004-06-01,81.25333333333333,0.0,487.6,30,8.35,16,2,0.0,20,0,14.736666666666668,23.373333333333335,0.9531666666666609
2004-07-01,81.76451612903226,0.0,519.6999999999999,31,8.540000000000001,14,2,0.0,22,0,14.209677419354838,21.661290322580644,0.1299247311827969
2004-08-01,81.02758620689656,0.0,464.8,29,11.27,17,3,0.0,11,0,15.424137931034483,28.775862068965516,-0.789599555061173
2004-09-01,80.58666666666666,0.0,467.6,30,6.25,15,1,0.0,2,0,18.283333333333335,39.40333333333333,0.26816666666665867
2004-10-01,75.25483870967743,0.0,317.90000000000003,31,0.7200000000000001,3,0,0.0,0,0,13.522580645161291,26.364516129032257,-0.09790322580643362
2004-11-01,69.88333333333334,7.300000000000004,153.8,30,1.63,6,0,0.0,0,0,13.5,28.553333333333335,1.941666666666677
2004-12-01,60.68064516129032,183.3,49.39999999999999,31,1.59,5,1,0.0,0,0,14.293548387096775,37.95161290322581,-3.0369354838709626
2005-01-01,61.41612903225807,153.00000000000006,41.900000000000006,31,2.75,5,1,0.0,0,0,13.325806451612904,34.770967741935486,1.2814516129032256
2005-02-01,62.80357142857143,99.0,37.499999999999986,28,2.11,6,1,0.0,0,0,12.989285714285714,38.93214285714286,-0.8687869458128077
2005-03-01,64.5,107.19999999999999,91.69999999999997,31,5.49,15,1,0.0,0,0,13.770967741935483,36.012903225806454,-3.1409677419354836
2005-04-01,68.70333333333333,17.099999999999994,128.20000000000005,30,2.18,8,0,0.0,0,0,14.85,17.14,-3.8583333333333343
2005-05-01,75.3483870967742,0.0,320.80000000000007,31,4.51,10,1,0.0,3,0,13.438709677419356,35.15161290322581,-2.1196774193548293
2005-06-01,79.01333333333334,0.0,420.4,30,15.6,25,7,0.0,4,0,12.926666666666668,41.223333333333336,-1.286833333333334
2005-07-01,82.95483870967742,0.0,556.6,31,5.69,21,1,0.0,24,0,12.66451612903226,21.22258064516129,1.3202473118279556
2005-08-01,83.01290322580645,0.0,558.4,31,5.47,20,0,0.0,24,0,12.248387096774193,22.112903225806452,1.1957174638487231
2005-09-01,80.37666666666668,0.0,461.3,30,3.21,15,0,0.0,7,0,13.283333333333333,25.833333333333332,0.058166666666679134
2005-10-01,73.97741935483872,19.000000000000007,297.29999999999995,31,8.51,13,1,0.0,0,0,13.238709677419354,40.81290322580645,-1.3753225806451468
2005-11-01,68.46666666666667,22.799999999999997,126.80000000000001,30,1.1199999999999999,6,0,0.0,0,0,12.643333333333334,33.083333333333336,0.5250000000000057
2005-12-01,58.81935483870968,198.5,6.900000000000006,31,1.54,11,0,0.0,0,0,12.570967741935483,32.72258064516129,-4.898225806451606
2006-01-01,62.46451612903226,133.1,54.49999999999997,31,1.03,6,0,0.0,0,0,15.693548387096774,26.654838709677417,2.329838709677418
2006-02-01,60.778571428571425,155.5,37.30000000000001,28,1.63,4,1,0.0,0,0,15.289285714285715,29.99642857142857,-2.8937869458128134
2006-03-01,67.27741935483871,39.69999999999999,110.30000000000001,31,0.0,0,0,0.0,0,0,15.606451612903227,19.561290322580643,-0.3635483870967704
2006-04-01,74.72,0.0,291.5999999999999,30,1.58,2,1,0.0,3,0,16.279999999999998,27.23,2.1583333333333314
2006-05-01,78.03548387096774,0.0,404.1,31,2.44,7,0,0.0,13,0,14.509677419354839,15.735483870967743,0.5674193548387052
2006-06-01,80.50666666666666,0.0,465.20000000000005,30,7.17,14,3,0.0,15,0,15.523333333333333,28.133333333333333,0.20649999999999125
2006-07-01,81.77741935483871,0.0,520.1,31,6.84,13,2,0.0,16,0,14.725806451612904,24.593548387096774,0.142827956989251
2006-08-01,82.7258064516129,0.0,549.4999999999999,31,3.85,12,0,0.0,21,0,14.019354838709678,24.677419354838708,0.9086206896551658
2006-09-01,79.7,0.0,441.00000000000006,30,9.67,12,4,0.0,7,0,14.17,25.986666666666668,-0.6184999999999974
2006-10-01,74.4,7.199999999999996,298.5999999999999,31,0.98,3,0,0.0,1,0,13.603225806451613,17.55483870967742,-0.9527419354838571
2006-11-01,65.61,77.1,95.4,30,1.76,5,0,0.0,0,0,14.85,31.87,-2.3316666666666634
2006-12-01,66.68709677419355,55.6,107.90000000000002,31,4.34,4,2,0.0,0,0,14.580645161290322,39.89032258064516,2.9695161290322645
2007-01-01,63.65483870967742,118.60000000000001,76.90000000000002,31,1.57,6,0,0.0,0,0,13.429032258064517,42.37096774193548,3.5201612903225765
2007-02-01,60.910714285714285,154.90000000000003,40.400000000000006,28,0.99,7,0,0.0,0,0,14.950000000000001,29.3,-2.7616440886699536
2007-03-01,67.69032258064516,39.7,123.09999999999997,31,0.47,3,0,0.0,0,0,16.329032258064515,30.845161290322583,0.049354838709675164
2007-04-01,71.13000000000001,24.29999999999999,208.2,30,1.22,9,0,0.0,0,0,15.676666666666668,27.653333333333332,-1.4316666666666578
2007-05-01,75.57096774193548,0.0,327.69999999999993,31,2.88,3,2,0.0,3,0,17.148387096774194,31.483870967741936,-1.8970967741935567
2007-06-01,80.04333333333334,0.0,451.3,30,3.02,9,1,0.0,9,0,15.889999999999999,31.85,-0.2568333333333328
2007-07-01,81.63870967741936,0.0,515.8,31,9.64,20,4,0.0,20,0,14.60967741935484,25.12258064516129,0.004118279569894412
2007-08-01,83.75806451612904,0.0,581.5,31,4.61,8,2,0.0,28,0,14.35483870967742,18.958064516129035,1.9408787541713082
2007-09-01,80.34666666666666,0.0,460.40000000000003,30,7.57,13,2,0.0,11,0,15.1,25.06,0.028166666666663787
2007-10-01,77.61612903225806,0.0,391.09999999999997,31,4.74,14,0,0.0,0,0,14.716129032258063,38.21935483870968,2.2633870967741956
2007-11-01,67.84666666666666,26.4,111.79999999999998,30,0.51,3,0,0.0,0,0,12.926666666666668,25.716666666666665,-0.09499999999999886
2007-12-01,67.14838709677419,45.00000000000001,111.59999999999998,31,1.07,6,0,0.0,0,0,12.338709677419354,33.28387096774193,3.430806451612902
2008-01-01,61.31935483870968,153.79999999999998,39.69999999999999,31,3.62,8,1,0.0,0,0,14.806451612903226,42.63225806451613,1.1846774193548342
2008-02-01,65.98965517241379,65.0,93.70000000000002,29,2.06,8,0,0.0,0,0,14.848275862068967,37.58965517241379,2.3172967980295525
2008-03-01,67.16129032258064,34.8,101.8,31,2.79,7,1,0.0,0,0,16.1,40.31612903225806,-0.479677419354843
2008-04-01,71.18666666666667,15.899999999999991,201.50000000000006,30,2.25,6,2,0.0,0,0,15.806666666666668,32.276666666666664,-1.375
2008-05-01,78.15806451612903,0.0,407.9000000000001,31,1.03,4,0,0.0,11,0,17.003225806451614,25.641935483870967,0.6899999999999977
2008-06-01,80.19333333333334,0.0,455.80000000000007,30,7.43,16,1,0.0,19,0,14.91,19.10666666666667,-0.10683333333332712
2008-07-01,80.24516129032257,0.0,472.6,31,7.01,20,2,0.0,12,0,13.306451612903226,24.56451612903226,-1.3894301075268913
2008-08-01,80.81935483870969,0.0,490.4,31,12.18,20,3,0.0,11,0,16.22258064516129,27.835483870967742,-0.9978309232480456
2008-09-01,80.12333333333332,0.0,453.7,30,4.76,8,2,0.0,6,0,14.796666666666665,28.86,-0.1951666666666796
2008-10-01,73.26451612903226,25.199999999999996,281.40000000000003,31,4.3500000000000005,8,2,0.0,0,0,14.835483870967742,33.26129032258064,-2.0882258064516037
2008-11-01,63.64,110.2,69.39999999999999,30,0.33,2,0,0.0,0,0,13.06,26.540000000000003,-4.301666666666662
2008-12-01,64.41612903225807,81.1,63.0,31,0.54,2,0,0.0,0,0,13.067741935483872,33.9483870967742,0.6985483870967855
2009-01-01,59.34838709677419,200.50000000000003,25.299999999999997,31,1.29,5,0,0.0,0,0,13.574193548387097,19.129032258064516,-0.7862903225806548
2009-02-01,60.30357142857143,159.5,27.999999999999986,28,0.48,3,0,0.0,0,1,14.435714285714285,23.728571428571428,-3.3687869458128077
2009-03-01,67.05806451612904,58.0,121.79999999999998,31,1.3699999999999999,5,0,0.0,0,0,15.758064516129032,27.858064516129033,-0.5829032258064473
2009-04-01,71.12666666666668,15.900000000000006,199.7,30,0.7000000000000001,4,0,0.0,0,0,17.176666666666666,20.206666666666667,-1.434999999999988
2009-05-01,77.20322580645161,0.0,378.2999999999999,31,12.83,12,5,0.0,7,0,15.067741935483872,33.012903225806454,-0.26483870967742007
2009-06-01,81.69333333333334,0.0,500.8,30,9.59,12,4,0.0,16,0,13.83,20.459999999999997,1.3931666666666729
2009-07-01,81.18064516129031,0.0,501.59999999999997,31,9.49,23,3,0.0,16,0,14.845161290322581,21.06451612903226,-0.45394623655914756
2009-08-01,82.00322580645161,0.0,527.1,31,7.37,17,1,0.0,19,0,13.448387096774193,22.30322580645161,0.186040044493879
2009-09-01,80.42666666666668,0.0,462.79999999999995,30,5.78,10,2,0.0,5,0,12.863333333333333,27.029999999999998,0.10816666666667629
2009-10-01,77.35483870967742,7.899999999999999,390.90000000000003,31,0.42,4,0,0.0,8,0,13.003225806451614,23.43548387096774,2.0020967741935607
2009-11-01,68.46666666666667,36.0,139.99999999999997,30,1.1,5,0,0.0,0,0,13.173333333333334,38.66,0.5250000000000057
2009-12-01,63.02258064516129,143.79999999999998,82.5,31,4.98,9,1,0.0,0,0,13.606451612903227,45.980645161290326,-0.6949999999999932
2010-01-01,54.39677419354839,355.8,27.10000000000001,31,3.33,8,2,0.0,0,3,14.606451612903227,27.048387096774192,-5.7379032258064555
2010-02-01,54.38928571428572,302.0,4.8999999999999915,28,3.54,9,0,0.0,0,0,15.471428571428572,35.55,-9.283072660098519
2010-03-01,60.858064516129026,142.40000000000003,14.0,31,7.86,9,3,0.0,0,0,16.183870967741935,28.287096774193547,-6.782903225806457
2010-04-01,70.78,0.0,173.40000000000003,30,2.95,8,1,0.0,0,0,15.453333333333335,26.263333333333332,-1.7816666666666663
2010-05-01,78.16129032258064,0.0,407.99999999999994,31,4.46,7,2,0.0,4,0,14.17741935483871,25.58709677419355,0.6932258064516077
2010-06-01,82.00666666666666,0.0,510.20000000000005,30,2.6500000000000004,13,0,0.0,21,0,16.476666666666667,18.386666666666667,1.7064999999999912
2010-07-01,82.8225806451613,0.0,552.5,31,5.5200000000000005,14,1,0.0,23,0,13.719354838709679,25.970967741935485,1.1879892473118332
2010-08-01,82.13225806451612,0.0,531.1000000000001,31,8.78,15,2,0.0,17,0,14.696774193548388,27.154838709677417,0.31507230255839147
2010-09-01,80.11,0.0,453.29999999999995,30,7.33,9,3,0.0,9,0,14.693333333333333,24.316666666666666,-0.2085000000000008
2010-10-01,74.07741935483871,0.0,281.4,31,0.0,0,0,0.0,0,0,11.938709677419356,11.62258064516129,-1.2753225806451525
2010-11-01,67.18333333333334,33.99999999999999,99.5,30,1.29,5,0,0.0,0,0,13.386666666666667,35.730000000000004,-0.7583333333333258
2010-12-01,51.935483870967744,404.99999999999994,0.0,31,0.9800000000000001,4,0,0.0,0,2,14.338709677419354,19.86774193548387,-11.78209677419354
2011-01-01,58.42580645161291,212.6,8.799999999999997,31,5.57,6,2,0.0,0,1,14.790322580645162,39.74516129032258,-1.7088709677419374
2011-02-01,64.2,92.4,70.0,28,0.41,4,0,0.0,0,0,13.696428571428571,37.08571428571429,0.5276416256157646
2011-03-01,68.21290322580644,28.300000000000004,127.89999999999999,31,7.0600000000000005,7,2,0.0,1,0,16.032258064516128,29.838709677419356,0.5719354838709592
2011-04-01,75.08666666666666,0.5,303.1,30,1.6800000000000002,4,0,0.0,3,0,14.530000000000001,17.983333333333334,2.5249999999999915
2011-05-01,77.38064516129033,0.0,383.8,31,2.0300000000000002,7,0,0.0,9,0,15.47741935483871,18.993548387096773,-0.08741935483870122
2011-06-01,80.76333333333334,0.0,472.8999999999999,30,10.549999999999999,12,4,0.0,16,0,15.713333333333335,20.746666666666666,0.46316666666666606
2011-07-01,82.16774193548386,0.0,532.2,31,10.93,15,3,0.0,18,0,13.706451612903225,23.38064516129032,0.5331505376343983
2011-08-01,82.53870967741935,0.0,543.6999999999999,31,6.1000000000000005,16,1,0.0,22,0,14.093548387096776,21.719354838709677,0.7215239154616171
2011-09-01,80.91666666666667,0.0,477.50000000000006,30,2.52,11,0,0.0,13,0,13.086666666666668,28.28666666666667,0.5981666666666712
2011-10-01,72.6516129032258,7.300000000000004,244.49999999999994,31,7.62,10,2,0.0,0,0,14.816129032258065,38.25806451612903,-2.7011290322580663
2011-11-01,68.20666666666666,25.900000000000006,122.09999999999998,30,0.16,5,0,0.0,0,0,15.32,48.49666666666667,0.26500000000000057
2011-12-01,65.25806451612904,54.0,62.000000000000014,31,0.48,4,0,0.0,0,0,13.806451612903226,48.20322580645161,1.5404838709677549
2012-01-01,61.067741935483866,145.0,23.09999999999998,31,0.12,3,0,0.0,0,0,13.432258064516128,14.112903225806452,0.9330645161290221
