date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,65.65483870967742,69.20000000000002,89.49999999999999,31,1.1600000000000001,2,1,0.0,0,0,15.993548387096775,56.5258064516129,-0.4645161290322619
2000-02-01,66.98965517241379,44.00000000000001,101.69999999999999,29,0.61,5,0,0.0,0,0,14.886206896551723,62.665517241379305,-1.9076539408867035
2000-03-01,72.80000000000001,0.0,241.79999999999995,31,0.59,1,0,0.0,0,0,16.483870967741936,64.9,1.5091935483871168
2000-04-01,73.08666666666666,0.7000000000000028,243.3,30,3.4499999999999997,3,1,0.0,0,0,17.01,60.49333333333333,-1.9038333333333384
2000-05-01,78.89032258064516,0.0,430.5999999999999,31,0.41,6,0,0.0,6,0,15.8,63.02258064516129,0.3890322580645176
2000-06-01,81.08333333333333,0.0,482.5000000000001,30,2.9699999999999998,9,1,0.0,4,0,16.42,72.03999999999999,-0.20083333333333542
2000-07-01,81.21612903225805,0.0,502.69999999999993,31,6.2,18,1,0.0,10,0,15.609677419354838,75.38387096774194,-1.545322580645177
2000-08-01,82.4,0.0,539.4,31,2.96,12,0,0.0,7,0,14.974193548387097,71.02580645161291,-0.6767741935483826
2000-09-01,81.62666666666668,0.0,498.80000000000007,30,7.21,12,2,0.0,2,0,14.576666666666666,74.97,-0.1596666666666522
2000-10-01,75.8741935483871,0.0,337.1,31,6.49,10,1,0.0,0,0,15.890322580645162,63.777419354838706,-2.8958064516128985
2000-11-01,70.79666666666667,10.800000000000004,184.70000000000002,30,5.3,2,1,0.0,0,0,14.29,62.84,-2.207166666666666
2000-12-01,67.13548387096773,79.4,145.59999999999997,31,2.35,5,1,0.0,0,0,16.532258064516128,72.02903225806452,-2.6979032258064564
2001-01-01,60.70645161290323,183.89999999999998,50.79999999999998,31,1.18,4,0,0.0,0,0,14.819354838709677,55.74193548387097,-5.412903225806453
2001-02-01,72.29285714285714,5.699999999999996,209.9,28,0.37,3,0,0.0,0,0,15.325000000000001,62.278571428571425,3.3955480295566502
2001-03-01,71.17096774193548,21.4,212.70000000000002,31,7.859999999999999,5,2,0.0,1,0,18.12258064516129,61.0774193548387,-0.11983870967740984
2001-04-01,74.69666666666667,0.0,290.9,30,0.26,2,0,0.0,1,0,17.026666666666667,61.07,-0.29383333333332473
2001-05-01,76.78064516129032,0.0,365.2,31,2.38,12,0,0.0,1,0,16.42258064516129,67.3483870967742,-1.7206451612903209
2001-06-01,80.62333333333332,0.0,468.69999999999993,30,9.34,15,3,0.0,2,0,15.693333333333333,71.12333333333332,-0.6608333333333434
2001-07-01,80.96774193548387,0.0,495.0,31,8.39,14,4,0.0,2,0,16.429032258064517,74.30645161290323,-1.7937096774193577
2001-08-01,82.60645161290323,0.0,545.8,31,9.06,8,4,0.0,6,0,14.051612903225807,67.21935483870968,-0.47032258064515986
2001-09-01,79.7,0.0,441.0,30,16.95,16,5,0.0,3,0,14.360000000000001,78.81,-2.0863333333333287
2001-10-01,77.70322580645161,0.0,393.79999999999995,31,6.14,11,3,0.0,0,0,16.916129032258063,76.96774193548387,-1.0667741935483832
2001-11-01,72.65666666666667,0.0,229.7,30,1.79,4,1,0.0,0,0,16.21333333333333,62.05,-0.3471666666666664
2001-12-01,71.19032258064516,22.4,214.29999999999998,31,4.17,12,1,0.0,0,0,14.62258064516129,67.41290322580646,1.35693548387097
2002-01-01,67.21290322580644,80.7,149.3,31,0.49,7,0,0.0,0,0,14.374193548387098,53.406451612903226,1.0935483870967602
2002-02-01,67.59285714285714,28.200000000000003,100.80000000000001,28,8.040000000000001,9,1,0.0,0,0,16.85,66.36785714285715,-1.3044519704433526
2002-03-01,73.61290322580645,5.799999999999997,272.80000000000007,31,1.7100000000000002,9,0,0.0,0,0,23.496774193548386,44.87419354838709,2.322096774193554
2002-04-01,76.41000000000001,0.0,342.3,30,6.890000000000001,4,2,0.0,0,0,22.076666666666664,43.11333333333334,1.4195000000000135
2002-05-01,79.1516129032258,0.0,438.69999999999993,31,0.27999999999999997,4,0,0.0,0,0,24.364516129032257,44.432258064516134,0.6503225806451525
2002-06-01,79.52333333333333,0.0,435.70000000000005,30,20.05,21,5,0.0,1,0,19.716666666666665,58.15333333333333,-1.7608333333333377
2002-07-01,81.73548387096774,0.0,518.8000000000001,31,5.42,12,0,0.0,0,0,14.864516129032259,44.28387096774193,-1.0259677419354887
2002-08-01,82.46451612903226,0.0,541.4,31,5.12,17,1,0.0,3,0,14.938709677419356,48.806451612903224,-0.6122580645161264
2002-09-01,82.65666666666667,0.0,529.7,30,2.12,9,0,0.0,0,0,15.266666666666667,51.96666666666667,0.8703333333333347
2002-10-01,80.2258064516129,0.0,472.0,31,2.52,6,1,0.0,0,0,13.312903225806451,40.62903225806452,1.4558064516129008
2002-11-01,71.24666666666667,19.199999999999996,206.6,30,3.1,8,1,0.0,0,0,14.463333333333333,43.46333333333334,-1.757166666666663
2002-12-01,67.64193548387097,60.0,141.89999999999998,31,2.56,10,0,0.0,0,0,16.18064516129032,47.38709677419355,-2.191451612903222
2003-01-01,60.148387096774194,176.1,25.69999999999999,31,1.31,7,0,0.0,0,0,14.17741935483871,39.038709677419355,-5.970967741935489
2003-02-01,70.19642857142857,15.600000000000009,161.1,28,0.79,3,0,0.0,0,0,15.921428571428573,41.46071428571429,1.2991194581280752
2003-03-01,75.78387096774195,9.0,343.2999999999999,31,7.05,13,3,0.0,0,0,16.01290322580645,44.76129032258064,4.493064516129053
2003-04-01,73.87333333333332,2.6000000000000014,268.8,30,3.77,5,2,0.0,0,0,15.966666666666667,43.92999999999999,-1.1171666666666766
2003-05-01,79.64516129032258,0.0,454.0,31,12.07,12,3,0.0,0,0,15.583870967741936,43.11612903225806,1.1438709677419325
2003-06-01,80.95333333333333,0.0,478.6,30,9.09,16,3,0.0,0,0,15.29,52.14666666666666,-0.33083333333333087
2003-07-01,82.91290322580646,0.0,555.3,31,3.0100000000000002,12,1,0.0,0,0,14.89032258064516,44.68387096774194,0.15145161290323017
2003-08-01,82.11290322580645,0.0,530.5,31,7.17,17,3,0.0,0,0,14.890322580645162,47.91935483870968,-0.9638709677419399
2003-09-01,81.28,0.0,488.40000000000003,30,5.96,17,1,0.0,2,0,14.020000000000001,49.80333333333333,-0.5063333333333304
2003-10-01,79.25161290322582,0.0,441.8,31,0.77,6,0,0.0,0,0,15.903225806451612,40.08709677419355,0.4816129032258232
2003-11-01,75.57333333333332,6.5,323.69999999999993,30,6.92,12,2,0.0,0,0,17.290000000000003,44.373333333333335,2.569499999999991
