date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,57.403225806451616,242.69999999999996,7.200000000000003,31,2.57,10,0,0.0,0,2,14.925806451612903,18.561290322580643,0.8250000000000028
2000-02-01,58.66206896551724,192.90000000000003,9.099999999999994,29,1.06,2,0,0.0,0,0,14.217241379310344,13.848275862068967,-0.8604187192118147
2000-03-01,66.09354838709677,22.799999999999997,56.70000000000003,31,14.02,12,3,0.0,0,0,16.09032258064516,15.829032258064515,2.2982258064516117
2000-04-01,67.25,32.900000000000006,100.39999999999998,30,2.29,8,1,0.0,0,0,16.17,14.370000000000001,-2.173500000000004
2000-05-01,76.38064516129033,0.0,352.80000000000007,31,2.81,8,0,0.0,6,0,14.838709677419354,11.351612903225806,1.3746774193548532
2000-06-01,79.14000000000001,0.0,424.20000000000005,30,11.11,13,2,0.0,1,0,15.676666666666668,13.193333333333333,0.33883333333335486
2000-07-01,80.25806451612904,0.0,472.99999999999994,31,6.95,14,3,0.0,10,0,14.496774193548386,11.729032258064517,0.13032258064517066
2000-08-01,80.30322580645162,0.0,474.4,31,5.04,12,1,0.0,3,0,13.458064516129031,11.422580645161291,-0.19532258064515418
2000-09-01,79.38666666666667,0.0,431.59999999999997,30,25.4,22,12,0.0,5,0,16.233333333333334,21.42,0.29966666666666697
2000-10-01,71.3258064516129,6.300000000000004,202.4,31,3.79,11,0,0.0,0,0,17.229032258064517,18.44516129032258,-2.228387096774185
2000-11-01,63.513333333333335,117.19999999999999,72.60000000000001,30,1.24,6,0,0.0,0,0,14.076666666666666,11.433333333333334,-2.037166666666664
2000-12-01,55.23548387096774,313.30000000000007,10.599999999999994,31,0.8200000000000001,5,0,0.0,0,2,17.13225806451613,15.648387096774194,-5.322096774193554
2001-01-01,52.145161290322584,403.7000000000001,5.199999999999989,31,3.0900000000000003,8,1,0.0,0,5,13.974193548387097,17.258064516129032,-4.433064516129029
2001-02-01,61.732142857142854,121.50000000000001,30.0,28,1.4,8,0,0.0,0,0,21.099999999999998,25.353571428571428,2.2096551724137967
2001-03-01,62.722580645161294,122.29999999999998,51.7,31,12.93,14,4,0.0,0,0,25.361290322580647,20.716129032258067,-1.0727419354838688
2001-04-01,69.19,22.900000000000006,148.60000000000002,30,0.8800000000000001,2,0,0.0,0,0,23.02,11.503333333333334,-0.23350000000000648
2001-05-01,73.93870967741935,0.0,277.1,31,5.57,10,2,0.0,1,0,23.37741935483871,13.100000000000001,-1.0672580645161247
2001-06-01,78.22,0.0,396.6,30,13.84,21,4,0.0,2,0,21.916666666666668,13.9,-0.5811666666666611
2001-07-01,79.90967741935484,0.0,462.20000000000005,31,15.35,16,6,0.0,4,0,22.793548387096774,17.358064516129033,-0.21806451612903288
2001-08-01,79.79354838709678,0.0,458.59999999999985,31,9.38,16,4,0.0,4,0,17.780645161290323,18.0,-0.7049999999999983
2001-09-01,76.42333333333333,0.0,342.70000000000005,30,22.64,21,8,0.0,0,0,26.016666666666666,23.09,-2.6636666666666713
2001-10-01,71.74193548387096,17.5,226.5,31,3.39,10,0,0.0,0,0,27.651612903225807,22.429032258064513,-1.8122580645161293
2001-11-01,67.65666666666667,9.600000000000016,89.29999999999997,30,6.2,10,1,0.0,0,0,24.776666666666664,19.146666666666665,2.1061666666666667
2001-12-01,64.03548387096774,121.6,91.70000000000002,31,0.41000000000000003,6,0,0.0,0,0,20.432258064516127,21.532258064516128,3.4779032258064433
2002-01-01,58.041935483870965,241.89999999999998,26.19999999999999,31,2.7199999999999998,10,1,0.0,0,2,20.919354838709676,22.932258064516127,1.4637096774193523
2002-02-01,58.582142857142856,189.60000000000002,9.899999999999991,28,2.61,7,1,0.0,0,1,24.692857142857143,21.414285714285715,-0.9403448275862019
2002-03-01,65.10322580645162,75.10000000000001,78.30000000000003,31,1.73,9,0,0.0,0,0,23.580645161290324,15.903225806451612,1.3079032258064558
2002-04-01,72.37333333333332,0.20000000000000284,221.39999999999998,30,3.19,5,1,0.0,0,0,22.473333333333336,15.860000000000001,2.9498333333333164
2002-05-01,75.22258064516129,0.0,316.90000000000003,31,1.76,7,0,0.0,2,0,27.12258064516129,19.238709677419354,0.2166129032258084
2002-06-01,77.63666666666667,0.0,379.1,30,21.12,22,9,0.0,2,0,19.573333333333334,23.396666666666665,-1.1644999999999897
2002-07-01,79.43548387096774,0.0,447.50000000000006,31,11.84,18,3,0.0,2,0,12.470967741935485,12.293548387096775,-0.6922580645161247
2002-08-01,79.61612903225806,0.0,453.0999999999999,31,14.809999999999999,20,6,0.0,2,0,13.548387096774194,15.929032258064517,-0.8824193548387171
2002-09-01,80.79333333333334,0.0,473.8,30,4.930000000000001,15,0,0.0,1,0,16.423333333333332,18.336666666666666,1.7063333333333333
2002-10-01,75.72258064516129,0.0,332.4,31,7.840000000000001,11,1,0.0,0,0,12.53225806451613,16.741935483870968,2.1683870967741967
2002-11-01,63.65,121.09999999999997,80.6,30,2.3899999999999997,6,0,0.0,0,0,13.55,15.826666666666666,-1.900500000000001
2002-12-01,57.12903225806452,249.29999999999995,5.299999999999983,31,8.42,10,3,0.0,0,0,14.016129032258064,16.106451612903225,-3.4285483870967752
2003-01-01,51.190322580645166,428.1,0.0,31,5.37,4,2,0.0,0,2,14.96774193548387,13.193548387096774,-5.387903225806447
2003-02-01,58.61071428571428,187.0,8.100000000000009,28,10.81,11,3,0.0,0,0,14.317857142857141,18.974999999999998,-0.9117733990147769
2003-03-01,65.83548387096775,51.90000000000001,77.80000000000003,31,13.41,17,5,0.0,0,0,14.819354838709677,21.6,2.0401612903225868
2003-04-01,68.0,37.0,126.99999999999999,30,1.6300000000000001,6,0,0.0,0,0,13.723333333333333,13.666666666666666,-1.4235000000000042
2003-05-01,76.72258064516129,0.0,363.4,31,1.85,8,0,0.0,1,0,13.706451612903225,13.899999999999999,1.7166129032258084
2003-06-01,77.58,0.0,377.4,30,8.82,16,2,0.0,0,0,12.523333333333333,16.173333333333332,-1.2211666666666616
2003-07-01,77.88709677419355,0.0,399.49999999999994,31,8.63,18,3,0.0,0,0,12.274193548387096,12.587096774193547,-2.240645161290317
2003-08-01,77.77741935483871,0.0,396.1,31,8.96,17,3,0.0,0,0,12.070967741935483,12.98709677419355,-2.7211290322580624
2003-09-01,77.33666666666666,0.0,370.1,30,5.49,12,2,0.0,0,0,15.95,22.23,-1.7503333333333444
2003-10-01,73.8741935483871,0.0,275.1,31,9.54,11,2,0.0,0,0,14.964516129032257,19.493548387096773,0.3200000000000074
