date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,53.84193548387096,355.8000000000001,9.900000000000006,31,4.29,9,1,0.0,0,4,15.17741935483871,40.63225806451613,1.6322580645161224
2000-02-01,57.217241379310344,237.9,12.199999999999989,29,1.34,4,0,0.0,0,2,13.73103448275862,26.86551724137931,1.297752463054188
2000-03-01,63.596774193548384,78.6,35.09999999999998,31,4.8100000000000005,7,2,0.0,0,0,14.5,34.193548387096776,1.716451612903228
2000-04-01,65.7,53.1,74.10000000000001,30,1.69,7,0,0.0,0,0,16.186666666666667,32.99333333333333,-2.532666666666671
2000-05-01,76.43548387096774,0.0,354.50000000000006,31,0.51,3,0,0.0,2,0,15.274193548387096,31.29032258064516,0.8130645161290317
2000-06-01,80.23333333333333,0.0,457.0,30,5.63,9,2,0.0,4,0,14.446666666666667,33.03666666666667,-0.9241666666666646
2000-07-01,84.49677419354839,0.0,604.4,31,2.67,8,1,0.0,25,0,14.245161290322581,22.074193548387097,2.1512903225806497
2000-08-01,83.04193548387097,0.0,559.3,31,3.63,10,1,0.0,23,0,13.261290322580646,24.116129032258065,1.158870967741933
2000-09-01,77.16000000000001,2.200000000000003,367.0,30,12.23,14,4,0.0,4,0,13.076666666666666,37.49333333333333,-2.009436781609182
2000-10-01,68.4258064516129,44.800000000000004,150.99999999999997,31,1.0299999999999998,2,0,0.0,1,0,10.990322580645161,16.087096774193547,-2.3912903225806446
2000-11-01,58.193333333333335,270.9,66.69999999999999,30,8.69,11,3,0.0,0,1,13.85,37.406666666666666,-2.658999999999999
2000-12-01,47.73225806451613,538.8,3.5,31,3.13,10,1,0.0,0,7,14.025806451612903,41.222580645161294,-7.3708064516129
2001-01-01,48.148387096774194,522.4000000000001,0.0,31,2.85,9,1,0.0,0,10,13.23225806451613,41.480645161290326,-4.061290322580646
2001-02-01,57.78214285714286,220.79999999999995,18.700000000000017,28,3.0,6,1,0.0,0,0,13.325000000000001,49.675000000000004,1.8626539408867018
2001-03-01,58.903225806451616,206.39999999999998,17.400000000000006,31,7.11,15,3,0.0,0,0,16.70967741935484,53.37419354838709,-2.977096774193541
2001-04-01,68.64,26.1,135.29999999999995,30,1.9000000000000001,4,1,0.0,0,0,15.020000000000001,38.21666666666667,0.40733333333332666
2001-05-01,74.41290322580646,0.0,291.8,31,2.2399999999999998,4,1,0.0,0,0,14.948387096774193,23.200000000000003,-1.2095161290322523
2001-06-01,79.76666666666667,0.0,442.9999999999999,30,5.3500000000000005,13,1,0.0,2,0,13.91,42.74333333333333,-1.3908333333333331
2001-07-01,81.98387096774194,0.0,526.5000000000001,31,8.01,14,2,0.0,13,0,12.696774193548388,35.31290322580645,-0.3616129032258044
2001-08-01,80.11612903225806,0.0,468.59999999999997,31,7.47,20,1,0.0,4,0,11.906451612903227,34.99354838709677,-1.7669354838709808
2001-09-01,76.08,3.200000000000003,335.6000000000001,30,3.1599999999999997,10,1,0.0,2,0,10.843333333333334,23.029999999999998,-3.0894367816091943
2001-10-01,67.09354838709677,68.4,133.3,31,2.6,5,1,0.0,0,0,13.922580645161291,24.68064516129032,-3.72354838709677
2001-11-01,65.37333333333333,62.89999999999998,74.1,30,1.3599999999999999,4,0,7.87,0,0,12.246666666666666,23.58,4.521000000000001
2001-12-01,56.832258064516125,271.79999999999995,18.60000000000001,31,2.84,6,1,0.0,0,2,11.712903225806452,31.967741935483872,1.7291935483870944
2002-01-01,53.68064516129032,365.29999999999995,14.400000000000006,31,5.04,9,1,0.0,0,5,13.654838709677419,53.5258064516129,1.4709677419354819
2002-02-01,51.725,371.7,0.0,28,3.22,7,2,0.0,0,2,14.110714285714286,30.42142857142857,-4.194488916256155
2002-03-01,59.70645161290323,207.9,43.8,31,4.67,7,1,0.0,0,2,15.038709677419355,46.406451612903226,-2.1738709677419266
2002-04-01,70.37666666666668,15.100000000000023,176.4,30,2.73,6,2,0.0,0,0,14.496666666666666,40.63666666666666,2.1440000000000055
2002-05-01,75.19999999999999,1.3999999999999986,317.6,31,1.8699999999999999,5,0,0.0,0,0,15.10967741935484,29.416129032258063,-0.4224193548387234
2002-06-01,79.99666666666667,0.0,449.8999999999999,30,2.56,11,0,0.0,7,0,13.856666666666666,36.00333333333333,-1.1608333333333292
2002-07-01,81.61612903225806,0.0,515.0999999999999,31,10.46,21,3,0.0,12,0,12.932258064516128,31.845161290322583,-0.729354838709682
2002-08-01,80.90322580645162,0.0,493.00000000000006,31,6.94,13,1,0.0,8,0,12.380645161290323,34.76451612903226,-0.9798387096774235
2002-09-01,79.99333333333334,0.0,449.80000000000007,30,13.280000000000001,11,5,0.0,4,0,15.486666666666668,40.46666666666667,0.8238965517241468
2002-10-01,73.34193548387097,10.600000000000001,269.2,31,8.7,15,4,0.0,0,0,11.793548387096775,48.599999999999994,2.524838709677425
2002-11-01,58.13,243.10000000000002,37.000000000000014,30,4.640000000000001,13,1,0.0,0,0,13.366666666666667,39.38333333333333,-2.7223333333333315
2002-12-01,52.41935483870968,391.0,1.0,31,5.99,8,2,0.0,0,1,14.458064516129031,42.03225806451613,-2.683709677419351
2003-01-01,47.4741935483871,543.3000000000001,0.0,31,0.88,4,0,0.0,0,6,14.306451612903226,32.122580645161285,-4.735483870967741
2003-02-01,54.75714285714286,289.3,2.5,28,7.15,12,2,0.0,0,0,13.939285714285715,51.753571428571426,-1.1623460591132968
2003-03-01,63.28064516129032,87.10000000000001,33.80000000000001,31,7.109999999999999,17,2,0.0,0,0,14.23225806451613,48.903225806451616,1.4003225806451667
2003-04-01,67.47666666666666,41.300000000000004,115.60000000000002,30,3.34,6,2,0.0,0,0,14.67,39.690000000000005,-0.7560000000000144
2003-05-01,76.52580645161291,0.0,357.30000000000007,31,6.5600000000000005,7,2,0.0,0,0,15.261290322580646,51.65806451612904,0.9033870967741962
2003-06-01,79.26,0.0,427.80000000000007,30,14.370000000000001,23,3,0.0,0,0,13.389999999999999,52.63333333333333,-1.8974999999999937
2003-07-01,79.0,0.0,434.0,31,11.72,20,4,0.0,1,0,13.4,35.696774193548386,-3.3454838709677404
2003-08-01,80.42903225806452,0.0,478.29999999999995,31,7.19,21,2,0.0,1,0,12.496774193548386,33.66129032258065,-1.4540322580645153
2003-09-01,76.86,0.0,355.8,30,4.74,12,0,0.0,1,0,11.860000000000001,29.39,-2.309436781609193
2003-10-01,68.87096774193549,18.199999999999996,138.19999999999996,31,2.71,4,1,0.0,0,0,11.280645161290321,30.287096774193547,-1.9461290322580567
