date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,58.748387096774195,208.70000000000005,14.899999999999991,31,1.17,7,0,0.0,0,1,11.525806451612903,35.2,0.4992043010752667
2000-02-01,61.41724137931034,131.79999999999998,27.900000000000006,29,0.9400000000000001,2,0,0.0,0,0,11.062068965517241,23.310344827586206,-0.7952169696271341
2000-03-01,68.7290322580645,9.299999999999997,124.9,31,0.5,4,0,0.0,0,0,12.619354838709677,27.741935483870968,2.280172413793096
2000-04-01,69.65,19.6,159.10000000000002,30,0.97,2,0,0.0,0,0,13.126666666666667,22.196666666666665,-2.1698333333333295
2000-05-01,78.04193548387097,0.0,404.29999999999995,31,0.34,2,0,0.0,13,0,12.641935483870967,14.87741935483871,0.750365591397852
2000-06-01,80.52333333333333,0.0,465.70000000000005,30,3.4699999999999998,10,1,0.0,18,0,15.0,19.366666666666667,0.1354999999999933
2000-07-01,80.48387096774194,0.0,480.0,31,7.46,11,3,0.0,18,0,12.52258064516129,22.932258064516127,-0.9692562724014238
2000-08-01,80.65483870967742,0.0,485.29999999999995,31,3.24,14,0,0.0,15,0,12.40967741935484,14.464516129032258,-1.126290322580644
2000-09-01,79.29666666666667,0.0,428.9,30,6.7,14,1,0.0,9,0,12.793333333333333,27.216666666666665,-0.7384198717948749
2000-10-01,71.76129032258065,8.199999999999996,217.79999999999995,31,0.31,3,0,0.0,1,0,13.606451612903227,23.496774193548386,-2.4886247877758905
2000-11-01,64.40333333333334,108.89999999999999,91.00000000000003,30,0.11,4,0,0.0,0,0,11.360000000000001,19.073333333333334,-1.8845977011494313
2000-12-01,57.53225806451613,287.40000000000003,55.89999999999999,31,1.1800000000000002,5,0,0.0,0,2,12.580645161290322,29.141935483870967,-4.432580645161288
2001-01-01,54.72,327.90000000000003,19.500000000000014,30,0.81,3,0,0.0,0,2,10.780000000000001,27.216666666666665,-3.5291827956989295
2001-02-01,66.12857142857142,69.19999999999999,100.80000000000001,28,0.44,3,0,0.0,0,0,11.275,34.496428571428574,3.916113079633945
2001-03-01,65.54516129032258,74.3,91.19999999999996,31,6.109999999999999,12,1,0.0,0,0,12.51290322580645,36.47741935483871,-0.9036985539488285
2001-04-01,71.16000000000001,12.100000000000001,196.90000000000003,30,0.06,2,0,0.0,0,0,13.16,17.323333333333334,-0.6598333333333244
2001-05-01,76.02903225806452,0.0,341.9000000000001,31,0.72,4,0,0.0,12,0,13.241935483870968,16.787096774193547,-1.2625376344086021
2001-06-01,79.98666666666666,0.0,449.6,30,5.03,10,2,0.0,18,0,11.41,14.413333333333332,-0.40116666666666845
2001-07-01,80.05806451612904,0.0,466.79999999999995,31,7.45,11,2,0.0,8,0,11.416129032258064,24.97741935483871,-1.3950627240143234
2001-08-01,81.12258064516129,0.0,499.80000000000007,31,4.18,12,0,0.0,19,0,11.461290322580645,19.603225806451615,-0.6585483870967721
2001-09-01,77.06,0.0,361.8,30,11.68,14,3,0.0,3,0,11.84,35.8,-2.9750865384615395
2001-10-01,71.61612903225806,21.400000000000006,226.49999999999997,31,0.030000000000000002,1,0,0.0,0,0,13.3,34.90967741935484,-2.633786078098481
2001-11-01,68.55862068965517,16.499999999999986,119.70000000000003,29,0.88,6,0,0.0,0,0,12.146428571428572,27.086206896551722,2.2706896551724043
2001-12-01,65.28709677419356,111.80000000000004,120.70000000000003,31,0.28,4,0,0.0,0,0,10.96774193548387,34.18387096774194,3.3222580645161415
2002-01-01,60.02903225806452,222.0,67.89999999999999,31,3.13,7,1,0.0,0,2,10.312903225806451,35.71290322580645,1.7798494623655898
2002-02-01,60.146428571428565,159.2,23.30000000000001,28,1.8099999999999998,4,1,0.0,0,1,12.75,34.510714285714286,-2.066029777508909
2002-03-01,68.79032258064517,55.60000000000001,173.10000000000002,31,2.19,5,1,0.0,0,0,12.596774193548388,27.02258064516129,2.3414627363737566
