date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,59.59032258064516,185.89999999999998,18.200000000000017,31,4.16,7,0,0.0,0,1,14.461290322580645,50.25806451612903,-0.35741935483871856
2000-02-01,61.286206896551725,130.8,23.099999999999994,29,1.06,5,0,0.0,0,0,13.544827586206896,42.206896551724135,-1.3972598522167559
2000-03-01,68.81935483870969,8.5,126.89999999999999,31,2.31,8,0,0.0,0,0,14.519354838709678,50.65806451612904,2.598870967741945
2000-04-01,69.50666666666666,23.1,158.30000000000004,30,3.64,5,1,0.0,0,0,15.753333333333334,49.94666666666667,-1.4226666666666716
2000-05-01,76.64516129032258,0.0,360.99999999999994,31,0.09,3,0,0.0,8,0,14.341935483870968,49.24516129032258,0.8690322580645073
2000-06-01,79.08999999999999,0.0,422.7000000000001,30,12.43,13,6,0.0,4,0,14.28,65.16333333333334,-0.00033333333334439885
2000-07-01,79.30322580645162,0.0,443.4,31,11.17,17,3,0.0,10,0,14.374193548387098,62.02258064516129,-1.2654838709677279
2000-08-01,79.69354838709677,0.0,455.5,31,4.91,15,1,0.0,4,0,13.01290322580645,57.07096774193548,-1.1141935483871066
2000-09-01,80.56666666666666,0.0,467.0,30,14.1,17,4,0.0,7,0,13.366666666666667,68.36999999999999,1.1438333333333333
2000-10-01,73.03548387096774,0.0,249.0999999999999,31,4.68,7,2,0.0,0,0,14.206451612903225,46.561290322580646,-1.7941935483870992
2000-11-01,65.60666666666667,73.9,92.10000000000001,30,2.0,5,1,0.0,0,0,13.41,50.093333333333334,-2.325166666666675
2000-12-01,59.983870967741936,200.9,45.40000000000002,31,2.2,6,1,0.0,0,2,14.222580645161292,52.406451612903226,-3.862096774193553
2001-01-01,55.851612903225806,306.4,22.799999999999997,31,1.46,5,0,0.0,0,3,14.370967741935484,56.41290322580645,-4.0961290322580695
2001-02-01,66.93928571428572,39.6,93.9,28,1.07,5,0,0.0,0,0,13.157142857142858,60.246428571428574,4.255818965517236
2001-03-01,65.6,77.39999999999999,95.99999999999999,31,10.16,9,2,0.0,0,0,16.69677419354839,56.49032258064516,-0.620483870967746
2001-04-01,69.61,17.199999999999996,155.5,30,4.18,4,1,0.0,0,0,15.360000000000001,53.940000000000005,-1.3193333333333328
2001-05-01,74.6032258064516,0.0,297.69999999999993,31,8.85,11,5,0.0,2,0,13.812903225806451,54.958064516129035,-1.1729032258064649
2001-06-01,77.95666666666666,0.0,388.7,30,15.06,20,6,0.0,3,0,14.020000000000001,67.01333333333334,-1.1336666666666702
2001-07-01,78.25483870967743,0.0,410.9,31,23.9,19,8,0.0,0,0,13.038709677419355,74.77741935483871,-2.31387096774192
2001-08-01,78.8741935483871,0.0,430.1,31,8.6,18,2,0.0,4,0,11.312903225806451,62.564516129032256,-1.9335483870967778
2001-09-01,77.24666666666667,0.0,367.4000000000001,30,19.919999999999998,21,6,0.0,3,0,12.146666666666667,78.02666666666667,-2.17616666666666
2001-10-01,73.43225806451613,8.199999999999996,269.59999999999997,31,4.09,8,1,0.0,0,0,13.887096774193548,72.16774193548386,-1.3974193548387035
2001-11-01,70.62666666666668,0.29999999999999716,169.09999999999997,30,8.200000000000001,13,2,0.0,0,0,12.393333333333334,55.3,2.694833333333335
