date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,59.935483870967744,179.99999999999997,23.0,31,1.5499999999999998,11,0,0.0,0,0,13.112903225806452,39.251612903225805,0.3049999999999926
2000-02-01,61.91379310344828,117.1,27.59999999999998,29,0.62,6,0,0.0,0,0,11.955172413793104,30.351724137931036,-1.337038177339899
2000-03-01,69.40322580645162,3.8000000000000043,140.29999999999998,31,1.23,11,0,0.0,0,0,14.14516129032258,34.97741935483871,2.1656451612903282
2000-04-01,70.31333333333333,17.099999999999994,176.49999999999997,30,1.6199999999999999,7,0,0.0,0,0,14.65,30.910000000000004,-1.892166666666668
2000-05-01,78.00322580645161,0.0,403.09999999999997,31,0.33,3,0,0.0,13,0,13.82258064516129,26.438709677419357,0.8556451612903118
2000-06-01,79.92,0.0,447.6000000000001,30,7.779999999999999,18,2,0.0,17,0,14.370000000000001,36.57666666666667,-0.14666666666666117
2000-07-01,81.05806451612904,0.0,497.79999999999995,31,11.1,23,3,0.0,17,0,14.141935483870967,35.00645161290323,-0.23274193548385824
2000-08-01,81.02580645161291,0.0,496.8,31,8.09,24,1,0.0,21,0,12.158064516129032,29.37741935483871,-0.47016129032256515
2000-09-01,80.18,0.0,455.3999999999999,30,8.1,21,1,0.0,11,0,12.1,41.623333333333335,0.17283333333334383
2000-10-01,72.09032258064516,4.699999999999996,224.50000000000003,31,1.81,8,1,0.0,0,0,13.625806451612902,30.106451612903225,-2.8458064516129014
2000-11-01,64.93666666666667,87.10000000000001,85.20000000000003,30,1.3800000000000001,5,0,0.0,0,0,11.55,28.66,-2.563833333333335
2000-12-01,58.435483870967744,250.6,47.099999999999994,31,1.64,8,0,0.0,0,2,12.935483870967742,39.829032258064515,-4.860806451612902
2001-01-01,55.599999999999994,315.59999999999997,24.19999999999999,31,1.5299999999999998,5,0,0.0,0,2,11.912903225806453,38.65483870967742,-4.030483870967757
2001-02-01,66.29642857142856,53.59999999999999,89.89999999999998,28,0.73,9,0,0.0,0,0,12.085714285714285,45.642857142857146,3.045597290640387
2001-03-01,65.9483870967742,67.30000000000001,96.7,31,7.959999999999999,13,2,0.0,0,0,15.151612903225805,45.02903225806451,-1.2891935483870895
2001-04-01,71.12666666666668,11.399999999999999,195.2,30,2.3200000000000003,5,0,0.0,0,0,14.543333333333333,29.576666666666664,-1.0788333333333213
2001-05-01,75.6258064516129,0.0,329.4,31,5.24,13,2,0.0,12,0,14.703225806451613,31.56451612903226,-1.5217741935483957
2001-06-01,79.25666666666666,0.0,427.7000000000001,30,15.219999999999999,23,5,0.0,16,0,13.716666666666667,33.82,-0.8100000000000023
2001-07-01,79.94516129032259,0.0,463.3,31,19.740000000000002,21,7,0.0,9,0,12.932258064516128,43.32258064516129,-1.3456451612903066
2001-08-01,80.70967741935483,0.0,487.0,31,8.11,21,1,0.0,21,0,11.483870967741936,35.670967741935485,-0.7862903225806406
