date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,59.461290322580645,193.10000000000002,21.39999999999999,31,1.4800000000000002,9,0,0.0,0,0,14.432258064516128,36.07419354838709,0.13274193548387103
2000-02-01,61.19655172413793,130.4,20.099999999999994,29,0.7,5,0,0.0,0,0,12.610344827586207,25.7551724137931,-1.6223522167487658
2000-03-01,68.9258064516129,5.800000000000011,127.50000000000001,31,0.92,8,0,0.0,0,0,16.09032258064516,28.406451612903226,2.1025806451612823
2000-04-01,70.14666666666668,20.300000000000004,174.69999999999993,30,1.7,5,0,0.0,0,0,16.58,24.55,-1.757333333333321
2000-05-01,77.95161290322581,0.0,401.5,31,0.31,3,0,0.0,15,0,15.670967741935485,18.419354838709676,0.9622580645161349
2000-06-01,80.01666666666667,0.0,450.4999999999999,30,6.94,14,2,0.0,15,0,15.633333333333333,22.416666666666668,-0.15733333333334087
2000-07-01,81.2258064516129,0.0,503.0,31,11.66,19,3,0.0,20,0,16.193548387096776,21.129032258064516,-0.2941935483871134
2000-08-01,81.03870967741935,0.0,497.19999999999993,31,7.16,15,1,0.0,22,0,14.129032258064516,15.83548387096774,-0.7182258064516134
2000-09-01,79.97,0.0,449.1,30,6.96,17,0,0.0,10,0,13.936666666666667,30.990000000000002,0.045000000000001705
2000-10-01,71.68709677419355,4.799999999999997,212.1,31,2.11,8,1,0.0,0,0,14.541935483870969,26.416129032258063,-2.955483870967754
2000-11-01,64.50333333333333,96.50000000000003,81.59999999999998,30,1.18,5,0,0.0,0,0,12.366666666666667,19.103333333333335,-2.721666666666664
2000-12-01,57.92903225806452,262.69999999999993,43.5,31,1.08,7,0,0.0,0,2,14.251612903225807,36.92258064516129,-5.059838709677415
2001-01-01,55.50645161290323,319.7,25.40000000000002,31,1.55,5,0,0.0,0,4,13.470967741935485,29.932258064516127,-3.8220967741935468
2001-02-01,65.87857142857142,59.399999999999984,84.00000000000001,28,0.5,12,0,0.0,0,0,13.417857142857143,41.975,3.0596674876847203
2001-03-01,65.73870967741935,75.5,98.4,31,7.92,10,2,0.0,0,0,17.11935483870968,39.94193548387097,-1.0845161290322665
2001-04-01,70.85666666666665,14.199999999999996,189.90000000000003,30,2.6799999999999997,5,0,0.0,1,0,15.856666666666666,21.466666666666665,-1.0473333333333414
2001-05-01,75.41290322580646,0.0,322.8,31,3.04,11,1,0.0,12,0,16.093548387096774,23.39032258064516,-1.5764516129032131
2001-06-01,79.28999999999999,0.0,428.69999999999993,30,12.26,26,3,0.0,16,0,14.726666666666667,17.133333333333333,-0.8840000000000146
2001-07-01,80.09677419354838,0.0,468.00000000000006,31,16.12,21,6,0.0,13,0,14.316129032258065,29.1,-1.4232258064516259
2001-08-01,80.58064516129032,0.0,483.0,31,6.34,18,1,0.0,23,0,12.46774193548387,22.30322580645161,-1.1762903225806411
2001-09-01,77.11,0.0,363.29999999999995,30,14.11,22,4,0.0,5,0,13.133333333333333,42.29,-2.8149999999999977
2001-10-01,72.48709677419355,11.0,243.10000000000002,31,2.99,14,0,0.0,1,0,14.458064516129031,39.877419354838715,-2.155483870967757
2001-11-01,68.40666666666667,1.7000000000000028,103.89999999999999,30,3.4499999999999997,13,0,0.0,0,0,13.120000000000001,32.193333333333335,1.181666666666672
2001-12-01,65.66129032258064,92.50000000000003,113.0,31,0.48,9,0,0.0,0,0,12.596774193548388,31.009677419354837,2.672419354838709
2002-01-01,60.9741935483871,195.9,71.10000000000001,31,2.71,9,1,0.0,0,2,12.583870967741936,36.1741935483871,1.6456451612903251
2002-02-01,61.32142857142857,129.30000000000004,26.30000000000001,28,3.12,8,1,0.0,0,0,13.710714285714285,35.03214285714286,-1.4974753694581295
2002-03-01,69.16451612903225,43.3,172.39999999999998,31,2.8299999999999996,6,0,0.0,0,0,14.851612903225806,29.164516129032258,2.341290322580633
2002-04-01,74.05,0.0,271.5,30,2.59,12,0,0.0,0,0,14.203333333333335,27.69333333333333,2.146000000000001
2002-05-01,76.70967741935483,0.0,363.0,31,1.77,7,0,0.0,10,0,15.790322580645162,28.570967741935487,-0.27967741935484014
2002-06-01,77.84333333333333,0.0,385.29999999999995,30,23.39,23,8,0.0,9,0,13.49,37.24333333333333,-2.330666666666673
2002-07-01,80.63548387096773,0.0,484.69999999999993,31,13.98,25,4,0.0,16,0,12.706451612903225,23.796774193548387,-0.8845161290322778
2002-08-01,80.14193548387097,0.0,469.4000000000001,31,17.57,21,7,0.0,10,0,13.745161290322581,26.425806451612903,-1.6149999999999949
2002-09-01,81.4,0.0,491.99999999999994,30,8.07,18,2,0.0,12,0,13.933333333333334,27.1,1.4750000000000085
2002-10-01,77.7709677419355,0.0,395.8999999999999,31,1.71,9,0,0.0,4,0,12.02258064516129,19.53548387096774,3.1283870967741905
2002-11-01,65.99,76.79999999999998,106.50000000000004,30,3.24,6,1,0.0,0,0,12.963333333333333,23.34333333333333,-1.2349999999999994
2002-12-01,59.68709677419355,191.8,27.10000000000001,31,9.95,11,4,0.0,0,0,13.290322580645162,32.329032258064515,-3.3017741935483826
2003-01-01,54.87096774193548,318.99999999999994,5.0,31,0.7200000000000001,2,0,0.0,0,1,13.951612903225806,17.432258064516127,-4.457580645161293
2003-02-01,63.56785714285714,97.0,56.90000000000002,28,3.04,8,0,0.0,0,0,13.292857142857143,41.375,0.7489532019704441
2003-03-01,71.06451612903226,19.300000000000004,207.29999999999995,31,8.45,17,3,0.0,1,0,13.922580645161291,45.9741935483871,4.241290322580639
2003-04-01,71.35666666666665,21.4,212.10000000000002,30,4.35,11,1,0.0,0,0,14.806666666666667,29.55666666666667,-0.5473333333333414
2003-05-01,79.59032258064516,0.0,452.30000000000007,31,3.8499999999999996,8,1,0.0,12,0,13.25483870967742,25.083870967741937,2.6009677419354915
2003-06-01,79.15333333333334,0.0,424.5999999999999,30,7.9,18,1,0.0,11,0,13.403333333333334,28.516666666666666,-1.0206666666666706
2003-07-01,80.50645161290322,0.0,480.69999999999993,31,13.94,21,4,0.0,16,0,13.035483870967743,17.64516129032258,-1.0135483870967903
2003-08-01,79.71612903225805,0.0,456.2,31,7.94,25,0,0.0,8,0,13.764516129032257,23.458064516129035,-2.0408064516129087
2003-09-01,78.44,0.0,403.2,30,7.4,15,3,0.0,1,0,13.583333333333334,35.86,-1.4849999999999994
2003-10-01,74.54838709677419,0.0,296.0,31,3.0,6,2,0.0,1,0,12.919354838709678,32.89354838709678,-0.09419354838711058
2003-11-01,69.83999999999999,32.6,177.79999999999998,30,2.96,12,0,0.0,0,0,13.536666666666667,34.34666666666667,2.614999999999995
2003-12-01,58.81290322580645,203.6,11.800000000000026,31,2.31,6,1,0.0,0,0,14.12258064516129,33.50322580645161,-4.17596774193548
2004-01-01,58.26451612903226,231.20000000000005,22.400000000000006,31,2.9899999999999998,7,1,0.0,0,0,12.296774193548387,21.309677419354838,-1.0640322580645147
2004-02-01,61.41034482758621,137.5,33.400000000000006,29,3.3699999999999997,8,1,0.0,0,0,14.251724137931035,56.54482758620689,-1.408559113300491
2004-03-01,66.66451612903225,41.2,92.8,31,0.47000000000000003,5,0,0.0,0,0,15.406451612903227,30.212903225806453,-0.1587096774193668
2004-04-01,68.99333333333334,26.200000000000003,146.0,30,1.7799999999999998,5,0,0.0,0,0,16.233333333333334,23.756666666666668,-2.910666666666657
