date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,42.47741935483871,698.2,0.0,31,4.72,12,1,0.0,0,13,12.719354838709679,40.46774193548387,-0.9917741935483875
2000-02-01,49.07586206896552,461.8,0.0,29,1.9499999999999997,6,1,0.0,0,7,12.662068965517241,20.641379310344828,1.8304187192118277
2000-03-01,57.34516129032258,243.0,5.700000000000003,31,3.44,7,1,0.0,0,1,13.003225806451614,28.112903225806452,2.7046774193548373
2000-04-01,59.35666666666667,178.4,9.099999999999994,30,1.72,9,0,0.0,0,0,14.09,37.306666666666665,-3.1756666666666717
2000-05-01,72.92903225806452,0.0,245.80000000000007,31,2.1599999999999997,6,1,0.0,5,0,12.764516129032257,16.90967741935484,2.7179032258064524
2000-06-01,77.50666666666666,0.0,375.20000000000005,30,2.0,8,0,0.0,15,0,10.84,18.183333333333334,0.5686666666666582
2000-07-01,79.92258064516129,0.0,462.60000000000014,31,3.29,5,1,0.0,20,0,12.041935483870969,22.164516129032258,0.8085483870967778
2000-08-01,77.99032258064516,0.0,402.70000000000005,31,3.8600000000000003,11,1,0.0,11,0,9.838709677419354,29.68064516129032,-0.4996604414261441
2000-09-01,69.84666666666666,26.499999999999986,171.89999999999998,30,4.87,13,1,0.0,0,0,11.693333333333333,39.18666666666666,-3.2122807017543806
2000-10-01,62.377419354838715,106.89999999999999,25.60000000000001,31,0.23,1,0,0.0,0,0,8.951612903225806,10.029032258064515,-0.11850594227504274
2000-11-01,50.85333333333333,428.9,4.500000000000014,30,3.9899999999999998,12,1,0.0,0,2,11.756666666666666,34.623333333333335,-1.4482456140350877
2000-12-01,36.38709677419355,886.9999999999999,0.0,31,3.49,11,1,0.0,0,20,13.861290322580645,43.45161290322581,-9.6704584040747
2001-01-01,42.28709677419355,704.1,0.0,31,2.77,8,1,0.0,0,15,12.338709677419354,31.648387096774194,-1.1820967741935462
2001-02-01,50.271428571428565,412.40000000000003,0.0,28,3.01,7,1,0.0,0,3,12.328571428571427,40.43571428571429,3.0259852216748726
2001-03-01,50.68064516129032,443.8999999999999,0.0,31,8.61,10,5,0.0,0,4,15.941935483870967,37.06129032258064,-3.9598387096774204
2001-04-01,63.27333333333333,121.9,70.10000000000002,30,1.84,7,0,0.0,0,0,12.49,28.34,0.7409999999999926
2001-05-01,69.46129032258065,9.200000000000003,147.5,31,2.6,7,0,0.0,2,0,12.13225806451613,25.44193548387097,-0.7498387096774195
2001-06-01,73.90666666666667,0.0,267.2,30,5.53,14,1,0.0,0,0,10.926666666666668,30.853333333333335,-3.031333333333336
2001-07-01,77.41290322580646,0.0,384.8,31,10.4,10,3,0.0,4,0,10.703225806451613,30.480645161290322,-1.7011290322580521
2001-08-01,77.62258064516129,0.0,391.29999999999995,31,0.73,4,0,0.0,3,0,9.280645161290321,24.370967741935484,-0.8674023769100074
2001-09-01,69.96333333333334,31.299999999999997,180.2,30,1.6500000000000001,6,0,0.0,0,0,10.860000000000001,28.220000000000002,-3.0956140350877064
