date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,40.693548387096776,753.5,0.0,31,5.99,13,3,0.0,0,21,11.061290322580644,47.96774193548387,-3.179587813620067
2000-02-01,48.04482758620689,491.69999999999993,0.0,29,2.0,5,1,0.0,0,14,10.86896551724138,22.76206896551724,0.18790640394087887
2000-03-01,55.19677419354839,303.9,0.0,31,3.61,11,1,0.0,0,3,10.48709677419355,26.23548387096774,0.24209677419355558
2000-04-01,56.79333333333333,247.9,1.7000000000000028,30,1.51,10,0,0.0,0,3,11.756666666666666,37.09,-5.678833333333337
2000-05-01,69.63870967741936,4.899999999999999,148.70000000000002,31,1.81,5,0,0.0,1,0,10.274193548387096,25.02258064516129,-0.42564516129031915
2000-06-01,74.03333333333333,1.5,272.5,30,0.6,7,0,0.0,10,0,8.716666666666667,22.613333333333333,-2.454666666666668
2000-07-01,77.66451612903225,0.0,392.6,31,4.0600000000000005,9,1,0.0,21,0,10.03225806451613,25.816129032258065,-0.8722580645161315
2000-08-01,75.58709677419354,0.0,328.2000000000001,31,3.88,10,1,0.0,12,0,7.751612903225807,23.793548387096774,-2.266451612903225
2000-09-01,68.38000000000001,42.4,143.79999999999998,30,3.61,11,1,0.0,0,0,7.503333333333333,33.416666666666664,-4.592499999999987
2000-10-01,58.599999999999994,203.79999999999995,5.3999999999999915,31,1.32,2,1,0.0,0,2,6.280645161290322,11.461290322580645,-4.272741935483879
2000-11-01,49.11,480.59999999999997,3.9000000000000057,30,4.3100000000000005,11,1,0.0,0,9,10.553333333333335,40.43666666666666,-3.5718333333333376
2000-12-01,35.61612903225806,910.9,0.0,31,3.0300000000000002,14,1,0.0,0,21,10.345161290322581,49.87419354838709,-11.06274193548387
2001-01-01,39.167741935483875,800.8,0.0,31,2.06,11,0,0.0,0,22,10.27741935483871,33.12903225806452,-4.705394265232968
2001-02-01,48.53214285714286,461.09999999999997,0.0,28,0.58,8,0,0.0,0,9,11.47857142857143,35.575,0.6752216748768447
2001-03-01,48.63870967741936,507.2,0.0,31,9.91,10,6,0.0,0,6,13.206451612903226,32.751612903225805,-6.315967741935481
2001-04-01,60.63333333333333,156.89999999999998,25.900000000000006,30,2.14,6,0,0.0,0,3,10.8,29.67,-1.8388333333333335
2001-05-01,66.31935483870969,32.9,73.80000000000001,31,1.78,11,0,0.0,0,0,9.948387096774193,28.16774193548387,-3.7449999999999903
2001-06-01,72.24666666666667,0.0,217.39999999999995,30,4.34,14,1,0.0,0,0,9.386206896551723,38.21666666666667,-4.24133333333333
2001-07-01,76.76129032258065,0.0,364.59999999999997,31,2.58,8,0,0.0,3,0,8.358064516129033,31.929032258064513,-1.775483870967733
2001-08-01,75.54838709677419,0.0,327.0,31,1.6099999999999999,8,0,0.0,3,0,7.863333333333333,33.78064516129032,-2.305161290322573
2001-09-01,67.63666666666667,56.80000000000001,135.89999999999998,30,1.1,3,0,0.0,0,0,7.617857142857143,31.686666666666667,-5.335833333333326
2001-10-01,56.53548387096774,281.6,19.200000000000003,31,1.01,4,0,0.0,0,5,10.696666666666665,20.538709677419355,-6.337258064516135
2001-11-01,54.2,327.0,3.0,30,0.73,4,0,0.0,0,5,9.19,22.566666666666666,1.5181666666666658
2001-12-01,46.86129032258064,562.3,0.0,31,1.87,5,0,0.0,0,11,10.106451612903227,31.04516129032258,0.1824193548387143
2002-01-01,44.611111111111114,550.5,0.0,27,2.96,11,1,0.0,0,16,11.24074074074074,36.529629629629625,0.7379749103942714
2002-02-01,42.94642857142857,617.5,0.0,28,2.49,4,1,0.0,0,14,12.828571428571427,23.885714285714283,-4.910492610837444
2002-03-01,53.76774193548387,370.5,22.299999999999997,31,4.61,12,1,0.0,0,10,12.235483870967743,38.10322580645161,-1.1869354838709683
2002-04-01,63.86,96.5,62.3,30,3.81,9,2,0.0,0,0,11.133333333333333,38.81666666666667,1.387833333333333
2002-05-01,66.75161290322582,69.39999999999999,123.70000000000002,31,2.81,6,0,0.0,0,0,9.964516129032257,31.887096774193548,-3.3127419354838565
2002-06-01,74.23333333333333,0.0,277.0,30,3.45,11,0,0.0,4,0,9.473333333333333,28.459999999999997,-2.2546666666666653
2002-07-01,77.14838709677419,0.0,376.6,31,3.24,12,1,0.0,10,0,8.519354838709678,30.467741935483872,-1.3883870967741956
2002-08-01,76.99677419354839,0.0,371.9000000000001,31,0.39999999999999997,5,0,0.0,14,0,9.241935483870968,29.93548387096774,-0.8567741935483753
2002-09-01,73.82333333333332,0.7000000000000028,265.4000000000001,30,5.220000000000001,9,1,0.0,6,0,9.0,53.166666666666664,0.8508333333333269
2002-10-01,64.46774193548387,101.0,84.5,31,6.95,12,2,0.0,0,0,8.112903225806452,59.5,1.5949999999999989
2002-11-01,48.580000000000005,497.50000000000006,4.8999999999999915,30,3.02,8,1,0.0,0,11,9.846666666666666,40.806666666666665,-4.101833333333332
2002-12-01,41.190322580645166,738.0999999999999,0.0,31,5.07,9,1,0.0,0,20,10.448387096774193,40.04838709677419,-5.488548387096763
2003-01-01,39.53548387096774,789.4000000000001,0.0,31,1.34,7,0,0.0,0,17,12.119354838709677,38.725806451612904,-4.337652329749105
2003-02-01,45.475,546.7,0.0,28,4.88,12,0,0.0,0,9,11.817857142857141,48.989285714285714,-2.3819211822660122
2003-03-01,55.567741935483866,294.2,1.7999999999999972,31,7.84,11,3,0.0,0,2,10.187096774193549,56.0,0.6130645161290289
2003-04-01,60.85666666666667,136.3,12.000000000000014,30,4.34,12,2,0.0,0,1,9.733333333333333,42.07,-1.6154999999999973
2003-05-01,69.28064516129032,8.800000000000004,141.5,31,6.77,16,3,0.0,0,0,11.558064516129033,47.693548387096776,-0.7837096774193526
2003-06-01,72.80666666666666,0.0,234.2,30,8.44,15,3,0.0,0,0,8.639999999999999,37.516666666666666,-3.681333333333342
2003-07-01,75.47096774193548,0.0,324.6,31,5.83,9,1,0.0,0,0,8.161290322580646,33.47096774193548,-3.0658064516129
2003-08-01,75.94516129032259,0.0,339.3,31,4.0200000000000005,9,1,0.0,0,0,7.035483870967742,33.94516129032258,-1.9083870967741774
2003-09-01,68.64,20.400000000000006,129.60000000000002,30,3.8,6,2,0.0,0,0,8.023333333333333,34.71333333333334,-4.332499999999996
2003-10-01,60.26129032258064,155.40000000000003,8.5,31,1.5,7,0,0.0,0,0,7.864516129032259,30.516129032258064,-2.611451612903231
2003-11-01,55.20333333333333,308.6,14.700000000000003,30,2.6399999999999997,5,1,0.0,0,5,9.446666666666665,31.423333333333336,2.521499999999996
2003-12-01,40.229032258064514,767.9000000000001,0.0,31,2.49,9,0,0.0,0,22,10.651612903225805,31.306451612903224,-6.449838709677415
2004-01-01,40.667741935483875,754.2999999999998,0.0,31,2.75,7,1,0.0,0,21,10.058064516129033,34.66451612903226,-3.205394265232968
