date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,42.170967741935485,707.6999999999999,0.0,31,6.64,15,2,0.0,0,15,13.887096774193548,49.47741935483871,-0.19806451612902976
2000-02-01,49.893103448275866,438.1,0.0,29,3.8899999999999997,5,1,0.0,0,7,13.444827586206898,29.413793103448278,3.357980295566506
2000-03-01,57.07419354838709,246.10000000000002,0.3999999999999915,31,6.68,10,3,0.0,0,1,12.658064516129032,35.067741935483866,3.046451612903226
2000-04-01,58.9,188.39999999999998,5.400000000000006,30,7.05,11,2,0.0,0,0,13.976666666666667,45.39,-3.2946666666666715
2000-05-01,72.85806451612903,0.0,243.6,31,2.41,5,1,0.0,1,0,12.54516129032258,32.564516129032256,2.7298387096774235
2000-06-01,77.58,0.0,377.4000000000001,30,3.35,12,0,0.0,12,0,10.816666666666666,33.21,0.7349999999999994
2000-07-01,80.22258064516129,0.0,471.9000000000001,31,8.870000000000001,15,3,0.0,22,0,12.848387096774195,33.24516129032258,1.266129032258064
2000-08-01,79.23548387096774,0.0,441.29999999999995,31,8.18,11,3,0.0,13,0,10.067741935483872,35.277419354838706,0.7846774193548356
2000-09-01,70.37333333333332,24.1,185.29999999999998,30,10.809999999999999,11,2,0.0,0,0,10.363333333333333,46.95,-2.6768333333333487
2000-10-01,62.13225806451613,117.70000000000002,28.799999999999983,31,0.99,2,0,0.0,0,0,9.006451612903225,18.46451612903226,-0.2058064516129008
2000-11-01,49.57666666666667,468.5,5.800000000000011,30,7.7,13,1,0.0,0,4,11.406666666666666,46.86666666666667,-2.228833333333341
2000-12-01,35.622580645161285,910.6999999999998,0.0,31,3.85,13,1,1.18,0,22,13.080645161290322,55.45161290322581,-9.528548387096777
2001-01-01,40.52903225806452,758.6,0.0,31,5.16,12,2,0.0,0,18,12.870967741935484,40.42258064516129,-1.8399999999999963
