date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,52.935483870967744,377.3,3.299999999999997,31,2.73,8,1,0.0,0,6,14.525806451612903,33.21290322580645,0.012419354838712593
2000-02-01,55.286206896551725,286.79999999999995,5.099999999999994,29,1.19,3,0,0.0,0,4,14.10689655172414,16.820689655172416,-0.9852894088669899
2000-03-01,63.306451612903224,84.3,31.80000000000001,31,1.81,8,0,0.0,0,0,15.764516129032257,26.887096774193548,2.2720967741935425
2000-04-01,64.46,70.10000000000001,53.89999999999998,30,2.64,6,1,0.0,0,0,15.753333333333334,22.96333333333333,-3.218500000000006
2000-05-01,75.25161290322582,0.20000000000000284,317.99999999999994,31,1.16,3,0,0.0,12,0,15.174193548387096,17.94516129032258,1.2991935483871089
2000-06-01,77.72,0.0,381.5999999999999,30,1.9,10,0,0.0,12,0,15.353333333333333,18.563333333333333,-1.0534999999999997
2000-07-01,80.1774193548387,0.0,470.5,31,6.19,11,2,0.0,14,0,15.483870967741936,17.151612903225807,-0.12951612903226817
2000-08-01,79.84516129032258,0.0,460.19999999999993,31,7.4,12,3,0.0,17,0,14.651612903225805,19.09032258064516,-0.44709677419353966
2000-09-01,76.56,0.0,346.8,30,11.35,17,3,0.0,0,0,13.983333333333333,40.18666666666666,-0.9053333333333313
2000-10-01,66.43225806451613,43.499999999999986,87.89999999999999,31,0.27,3,0,0.0,0,0,13.754838709677419,21.532258064516128,-3.5546774193548316
2000-11-01,58.376666666666665,237.99999999999994,39.3,30,1.5700000000000003,5,1,0.0,0,2,11.75,21.58,-2.4085000000000036
2000-12-01,48.5258064516129,515.3000000000001,4.6000000000000085,31,1.21,3,1,0.0,0,8,13.738709677419354,37.91935483870968,-7.578064516129032
2001-01-01,48.5516129032258,514.6999999999999,4.799999999999997,31,0.68,7,0,0.0,0,13,13.761290322580646,25.458064516129035,-4.371451612903229
2001-02-01,59.73571428571428,178.1,30.700000000000003,28,0.57,4,0,0.0,0,0,13.25357142857143,45.824999999999996,3.4642179802955653
2001-03-01,59.77741935483871,200.59999999999997,38.7,31,5.38,13,1,0.0,0,0,17.625806451612902,39.94193548387097,-1.2569354838709685
2001-04-01,66.86666666666666,51.5,107.5,30,0.7200000000000001,4,0,0.0,0,0,15.543333333333333,22.126666666666665,-0.8118333333333396
2001-05-01,73.2709677419355,0.0,256.4,31,2.66,6,1,0.0,9,0,15.080645161290322,19.700000000000003,-0.6814516129032171
2001-06-01,77.75,0.0,382.50000000000006,30,5.55,17,1,0.0,11,0,15.823333333333332,20.283333333333335,-1.0234999999999985
2001-07-01,79.83870967741936,0.0,460.0000000000001,31,8.39,14,4,0.0,13,0,14.451612903225806,24.33225806451613,-0.4682258064516134
2001-08-01,79.79677419354839,0.0,458.69999999999993,31,2.68,11,1,0.0,18,0,12.929032258064517,22.654838709677417,-0.49548387096773183
2001-09-01,73.89666666666668,1.5,268.4,30,15.83,18,5,0.0,0,0,14.066666666666666,35.25333333333333,-3.568666666666658
2001-10-01,67.07741935483871,71.4,135.80000000000004,31,0.87,6,0,0.0,0,0,14.77741935483871,56.122580645161285,-2.909516129032255
2001-11-01,63.89333333333333,81.79999999999998,48.599999999999994,30,1.3900000000000001,5,1,0.0,0,0,14.336666666666668,50.74333333333333,3.108166666666662
2001-12-01,59.0774193548387,219.39999999999998,35.79999999999997,31,3.26,6,1,0.0,0,1,12.432258064516128,55.599999999999994,2.97354838709677
2002-01-01,54.71290322580645,334.4,15.500000000000014,31,4.44,9,2,0.0,0,5,13.564516129032258,58.34516129032258,1.7898387096774186
2002-02-01,54.78214285714286,292.6,6.5,28,0.59,3,0,0.0,0,1,14.410714285714286,58.074999999999996,-1.4893534482758568
