date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,22.761290322580646,1309.4,0.0,31,0.41000000000000003,6,0,0.0,0,28,16.719354838709677,48.03225806451613,0.1804838709677412
2000-02-01,33.210344827586205,921.8999999999999,0.0,29,1.28,7,0,0.0,0,23,15.889655172413793,53.49310344827586,7.96149630541872
2000-03-01,43.958064516129035,652.3000000000001,0.0,31,0.66,6,0,0.0,0,16,16.24838709677419,44.754838709677415,5.3625806451612945
2000-04-01,50.56333333333334,433.09999999999997,0.0,30,3.28,8,1,0.0,0,6,16.59,46.626666666666665,-0.9889999999999901
2000-05-01,63.480645161290326,110.69999999999999,63.599999999999994,31,4.45,13,1,0.0,0,0,15.461290322580645,53.83548387096774,0.9925806451612971
2000-06-01,68.29666666666667,26.0,124.90000000000002,30,7.04,14,1,0.0,0,0,14.686666666666667,43.99,-3.6370000000000005
2000-07-01,72.35161290322581,0.0,227.89999999999995,31,5.54,11,3,0.0,0,0,12.029032258064515,45.4741935483871,-2.931451612903217
2000-08-01,73.34193548387097,0.0,258.6,31,2.9200000000000004,13,0,0.0,2,0,11.648387096774194,34.461290322580645,0.43838709677419274
2000-09-01,65.16666666666667,117.2,122.2,30,4.66,10,1,0.0,4,0,13.93,33.25666666666667,-0.5513333333333179
2000-10-01,55.89354838709678,294.4,12.100000000000009,31,1.82,8,0,0.0,0,6,13.729032258064517,41.906451612903226,3.352096774193555
2000-11-01,34.52333333333333,916.4999999999999,2.200000000000003,30,2.3,8,1,0.0,0,22,16.116666666666667,67.42666666666666,-5.203833333333328
2000-12-01,13.038709677419355,1610.8,0.0,31,0.8099999999999999,8,0,0.0,0,31,17.69677419354839,68.08387096774193,-14.27548387096774
2001-01-01,22.74516129032258,1309.8999999999999,0.0,31,1.8900000000000001,7,1,0.0,0,28,13.719354838709679,54.16451612903226,0.16435483870967715
2001-02-01,22.425,1192.1,0.0,28,5.25,7,3,0.0,0,26,16.16785714285714,58.582142857142856,-2.8238485221674843
2001-03-01,32.63225806451613,1003.4,0.0,31,1.8399999999999999,9,0,0.0,0,26,15.206451612903225,56.306451612903224,-5.963225806451611
2001-04-01,55.88666666666666,291.09999999999997,17.700000000000003,30,4.05,15,1,0.0,0,4,19.41,45.64,4.334333333333333
2001-05-01,62.45483870967742,147.10000000000002,68.2,31,10.26,17,4,0.0,0,0,15.774193548387096,50.403225806451616,-0.033225806451611106
2001-06-01,69.35,48.60000000000001,179.10000000000002,30,3.21,11,1,0.0,1,0,13.453333333333335,35.193333333333335,-2.583666666666673
2001-07-01,75.87741935483871,0.0,337.19999999999993,31,6.609999999999999,7,3,0.0,5,0,11.783870967741937,31.335483870967742,0.5943548387096769
2001-08-01,73.23870967741935,0.09999999999999432,255.49999999999997,31,4.3,8,2,0.0,6,0,11.332258064516129,32.47741935483871,0.33516129032257425
2001-09-01,61.70666666666667,146.9,48.099999999999994,30,3.92,12,2,0.0,0,0,11.153333333333334,42.87,-4.011333333333319
2001-10-01,51.20967741935484,428.4,0.9000000000000057,31,6.12,11,2,0.0,0,6,14.893548387096773,47.62903225806452,-1.3317741935483838
2001-11-01,48.22,503.4,0.0,30,1.17,9,0,0.0,0,7,14.46,50.24,8.492833333333337
2001-12-01,31.948387096774194,1024.6,0.0,31,1.64,6,0,0.0,0,26,15.361290322580645,54.729032258064514,4.634193548387099
2002-01-01,30.458064516129035,1070.8,0.0,31,0.33999999999999997,2,0,0.0,0,29,15.17741935483871,43.28387096774193,7.8772580645161305
2002-02-01,30.928571428571427,953.9999999999999,0.0,28,1.3499999999999999,6,0,0.0,0,21,16.90357142857143,42.19285714285714,5.679722906403942
2002-03-01,34.49354838709677,945.6999999999999,0.0,31,2.14,8,0,0.0,0,20,17.706451612903226,51.122580645161285,-4.101935483870967
2002-04-01,50.64666666666667,469.19999999999993,38.59999999999998,30,4.99,12,2,0.0,0,6,19.026666666666664,50.8,-0.9056666666666615
2002-05-01,58.406451612903226,240.2,35.8,31,6.109999999999999,16,1,0.0,0,1,15.616129032258065,42.97096774193548,-4.081612903225803
2002-06-01,72.92333333333333,7.100000000000001,244.8,30,6.279999999999999,10,1,0.0,3,0,13.236666666666668,30.67,0.9896666666666647
2002-07-01,76.69999999999999,0.0,362.70000000000005,31,9.05,13,4,0.0,6,0,12.161290322580646,27.838709677419356,1.416935483870958
2002-08-01,71.99677419354839,1.0,217.90000000000003,31,8.26,14,2,0.0,1,0,11.429032258064517,31.677419354838708,-0.9067741935483866
2002-09-01,66.22333333333333,71.0,107.69999999999999,30,2.91,5,1,0.0,0,0,12.053333333333335,28.553333333333335,0.5053333333333399
2002-10-01,48.09032258064516,529.1,4.900000000000006,31,5.48,10,2,0.0,0,5,13.35483870967742,57.377419354838715,-4.451129032258066
2002-11-01,36.14,865.8,0.0,30,0.28,4,0,0.0,0,21,14.416666666666666,47.84,-3.5871666666666613
2002-12-01,30.154838709677417,1080.2,0.0,31,0.5700000000000001,2,0,0.0,0,25,14.109677419354838,42.50322580645161,2.840645161290322
2003-01-01,19.448387096774194,1412.1000000000001,0.0,31,0.27,3,0,0.0,0,30,18.9,37.88709677419355,-3.13241935483871
2003-02-01,20.042857142857144,1258.8,0.0,28,0.12000000000000001,2,0,0.0,0,28,17.79642857142857,31.17142857142857,-5.2059913793103405
2003-03-01,34.63548387096775,941.2999999999997,0.0,31,0.25,6,0,0.0,0,20,18.187096774193545,39.567741935483866,-3.9599999999999937
2003-04-01,51.663333333333334,415.99999999999994,15.899999999999991,30,3.58,11,1,0.0,0,7,17.34333333333333,41.656666666666666,0.1110000000000042
2003-05-01,59.987096774193546,170.7,15.300000000000011,31,5.21,12,3,0.0,0,0,15.490322580645161,45.78387096774193,-2.500967741935483
2003-06-01,68.73333333333333,40.900000000000006,152.90000000000003,30,5.96,12,1,0.0,2,0,12.393333333333334,33.67,-3.200333333333333
2003-07-01,74.22258064516129,0.0,285.9,31,7.48,12,4,0.0,5,0,12.94516129032258,30.635483870967743,-1.0604838709677438
2003-08-01,75.12903225806451,2.200000000000003,316.19999999999993,31,1.97,9,0,0.0,11,0,10.348387096774195,26.970967741935485,2.225483870967736
2003-09-01,62.42333333333333,138.39999999999998,61.10000000000001,30,3.88,8,1,0.0,0,2,13.693333333333333,35.85333333333333,-3.2946666666666573
2003-10-01,52.148387096774194,398.3999999999999,0.0,31,1.67,9,0,0.0,0,6,12.993548387096775,33.68387096774194,-0.39306451612903004
2003-11-01,38.940000000000005,781.8000000000002,0.0,30,6.03,12,2,0.0,0,16,16.42,57.05,-0.787166666666657
2003-12-01,30.67096774193548,1064.2,0.0,31,2.6,11,0,0.0,0,24,15.087096774193547,56.39032258064516,3.356774193548386
2004-01-01,20.23548387096774,1387.6999999999998,0.0,31,0.77,6,0,0.0,0,31,16.193548387096776,55.541935483870965,-2.3453225806451634
2004-02-01,26.224137931034484,1124.5,0.0,29,1.24,5,0,0.0,0,24,14.524137931034483,50.09655172413793,0.975289408866999
2004-03-01,41.81612903225806,718.7000000000002,0.0,31,5.17,21,1,0.0,0,14,18.461290322580645,67.84516129032258,3.220645161290321
2004-04-01,53.57,364.69999999999993,21.799999999999997,30,2.24,7,1,0.0,0,6,18.216666666666665,34.85666666666667,2.0176666666666705
2004-05-01,63.74193548387097,119.49999999999999,80.50000000000003,31,7.92,18,2,0.0,0,0,16.10967741935484,48.76129032258065,1.253870967741939
2004-06-01,69.34666666666666,19.400000000000006,149.79999999999995,30,3.5100000000000002,11,2,0.0,0,0,12.623333333333333,44.39333333333333,-2.5870000000000033
2004-07-01,71.82903225806452,3.799999999999997,215.5,31,7.9,15,3,0.0,0,0,10.919354838709678,40.829032258064515,-3.4540322580645153
2004-08-01,66.94516129032259,45.400000000000006,105.69999999999999,31,10.87,17,4,0.0,0,0,12.170967741935485,42.04516129032258,-5.958387096774189
2004-09-01,66.22666666666666,48.2,85.0,30,2.19,7,1,0.0,0,0,11.78,22.366666666666667,0.5086666666666702
2004-10-01,53.3,370.1,7.400000000000006,31,5.25,11,2,0.0,0,1,14.225806451612904,57.809677419354834,0.7585483870967735
2004-11-01,43.82666666666667,635.1999999999999,0.0,30,3.08,12,0,0.0,0,10,13.373333333333333,58.08,4.099500000000006
2004-12-01,30.009677419354837,1084.7000000000003,0.0,31,1.09,7,0,0.0,0,23,16.296774193548387,44.73870967741936,2.695483870967742
2005-01-01,24.18064516129032,1265.3999999999999,0.0,31,1.91,6,1,0.0,0,27,14.6,66.10967741935484,1.5998387096774174
2005-02-01,33.403571428571425,884.7,0.0,28,1.4699999999999998,8,0,0.0,0,22,12.475,60.003571428571426,8.15472290640394
2005-03-01,38.54838709677419,820.0,0.0,31,0.99,7,0,0.0,0,23,16.55806451612903,49.60967741935484,-0.047096774193548185
2005-04-01,55.96,290.3,19.099999999999994,30,3.06,8,1,0.0,0,0,16.803333333333335,42.92666666666666,4.407666666666671
2005-05-01,60.564516129032256,177.8,40.30000000000001,31,2.15,10,1,0.0,0,3,16.51290322580645,45.25483870967742,-1.9235483870967727
2005-06-01,77.21000000000001,0.0,366.3,30,3.45,9,1,0.0,11,0,14.143333333333334,27.33,5.276333333333341
2005-07-01,77.47096774193548,0.0,386.59999999999997,31,1.67,6,0,0.0,15,0,11.683870967741935,25.200000000000003,2.1879032258064512
2005-08-01,75.30000000000001,0.0,319.3000000000001,31,1.24,7,0,0.0,9,0,10.419354838709678,29.17096774193548,2.3964516129032347
2005-09-01,69.58999999999999,37.800000000000004,175.49999999999994,30,1.91,6,0,0.0,6,0,12.0,31.3,3.872
2005-10-01,54.78709677419355,358.50000000000006,41.90000000000002,31,0.72,6,0,0.0,0,4,11.687096774193549,45.21612903225807,2.2456451612903265
2005-11-01,42.82333333333334,665.3,0.0,30,2.41,7,0,0.0,0,12,17.933333333333334,47.54,3.096166666666676
2005-12-01,22.470967741935485,1318.4,0.0,31,1.2,6,0,0.0,0,24,12.209677419354838,51.935483870967744,-4.84322580645161
2006-01-01,34.696774193548386,939.4000000000002,0.0,31,2.52,5,0,0.0,0,24,15.835483870967742,60.3,12.115967741935481
2006-02-01,27.417857142857144,1052.3,0.0,28,0.5,3,0,0.0,0,27,16.189285714285713,40.042857142857144,2.1690086206896595
2006-03-01,39.23225806451613,798.7999999999998,0.0,31,3.7,9,1,0.0,0,15,15.780645161290321,54.483870967741936,0.6367741935483906
2006-04-01,56.54,267.00000000000006,13.200000000000003,30,3.86,13,0,0.0,0,1,17.04,38.69666666666667,4.987666666666669
2006-05-01,63.31290322580645,157.3,105.0,31,1.68,11,0,0.0,3,0,15.703225806451613,34.42903225806452,0.8248387096774223
2006-06-01,72.24666666666667,15.200000000000003,232.6,30,5.59,13,1,0.0,2,0,12.379999999999999,25.933333333333334,0.3130000000000024
2006-07-01,78.69032258064516,0.0,424.3999999999999,31,2.78,9,0,0.0,10,0,11.551612903225807,22.5,3.407258064516128
2006-08-01,73.31290322580645,2.3999999999999986,260.09999999999997,31,5.1000000000000005,9,1,0.0,2,0,12.219354838709679,31.187096774193552,0.4093548387096746
2006-09-01,61.39333333333333,134.9,26.69999999999999,30,1.45,10,0,0.0,0,0,14.286666666666667,40.15333333333333,-4.324666666666658
2006-10-01,48.748387096774195,528.3999999999999,24.60000000000001,31,1.99,8,0,0.0,1,10,16.925806451612903,48.89354838709678,-3.7930645161290286
2006-11-01,41.14,715.8000000000001,0.0,30,3.06,6,0,0.0,0,15,13.966666666666667,43.2,1.4128333333333387
2006-12-01,32.9258064516129,994.3000000000002,0.0,31,2.66,6,0,0.0,0,22,15.729032258064517,43.89677419354839,5.611612903225804
2007-01-01,24.05806451612903,1269.1999999999998,0.0,31,0.44,3,0,0.0,0,28,16.990322580645163,50.251612903225805,1.4772580645161248
2007-02-01,17.139285714285712,1340.1000000000001,0.0,28,1.06,6,0,0.0,0,28,16.914285714285715,49.357142857142854,-8.109562807881773
2007-03-01,43.62903225806452,669.0999999999998,6.599999999999994,31,4.03,10,1,0.0,0,16,17.725806451612904,50.193548387096776,5.033548387096779
2007-04-01,47.88,528.0,14.399999999999991,30,4.3100000000000005,9,1,0.0,0,10,18.56,49.18666666666666,-3.6723333333333272
2007-05-01,66.68064516129031,52.8,104.9,31,3.2,9,0,0.0,0,0,16.55806451612903,34.983870967741936,4.192580645161286
2007-06-01,71.61,1.7999999999999972,200.1,30,8.45,10,1,0.0,2,0,14.546666666666665,31.616666666666667,-0.3236666666666679
2007-07-01,74.25806451612904,0.0,287.0,31,6.43,7,3,0.0,2,0,12.580645161290322,24.01290322580645,-1.0249999999999915
2007-08-01,75.83870967741936,0.0,335.99999999999994,31,8.01,12,3,0.0,3,0,12.316129032258065,34.516129032258064,2.9351612903225828
2007-09-01,66.83666666666666,68.1,123.19999999999999,30,2.9299999999999997,9,1,0.0,0,0,14.18,27.396666666666665,1.1186666666666696
2007-10-01,57.02258064516129,283.20000000000005,35.89999999999999,31,3.28,7,1,0.0,0,1,15.46774193548387,44.42580645161291,4.4811290322580675
2007-11-01,38.91,782.6999999999999,0.0,30,0.16,3,0,0.0,0,19,16.673333333333332,42.68333333333333,-0.8171666666666653
2007-12-01,23.42258064516129,1288.8999999999999,0.0,31,2.89,11,1,0.0,0,30,14.341935483870968,65.60967741935484,-3.8916129032258056
2008-01-01,19.32903225806452,1415.8,0.0,31,0.96,8,0,0.0,0,26,15.403225806451612,50.019354838709674,-3.2517741935483855
2008-02-01,18.875862068965517,1337.6000000000001,0.0,29,2.5100000000000002,12,0,0.0,0,28,15.751724137931035,60.4448275862069,-6.3729864532019675
2008-03-01,33.97096774193548,961.9000000000001,0.0,31,1.87,7,0,0.0,0,21,15.403225806451612,52.277419354838706,-4.6245161290322585
2008-04-01,48.79666666666667,486.0999999999999,0.0,30,6.42,11,2,0.0,0,3,17.63,58.013333333333335,-2.755666666666663
