date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,26.106451612903225,1205.7,0.0,31,0.92,12,0,75.24,0,26,16.83225806451613,69.70645161290322,1.28290322580645
2000-02-01,35.9,843.9000000000001,0.0,29,1.08,4,0,88.17,0,20,17.544827586206896,72.55862068965517,8.460135467980294
2000-03-01,45.34838709677419,612.5,3.299999999999997,31,0.83,8,0,0.0,0,11,16.203225806451613,61.44516129032258,6.689354838709676
2000-04-01,48.42333333333333,497.3,0.0,30,3.9,8,1,1.18,0,4,17.52,66.38333333333334,-1.5926666666666733
2000-05-01,63.4741935483871,129.10000000000002,81.8,31,4.67,13,0,0.0,0,0,16.72258064516129,71.11290322580645,2.7443548387096826
2000-06-01,68.94333333333334,40.8,159.10000000000002,30,4.46,15,0,0.0,0,0,15.610000000000001,65.67666666666666,-1.3734999999999928
2000-07-01,72.38709677419355,0.0,229.0,31,3.4,7,0,0.0,0,0,13.951612903225806,65.15483870967742,-1.911451612903221
2000-08-01,73.7741935483871,0.0,271.99999999999994,31,2.5500000000000003,7,1,0.0,2,0,13.735483870967743,56.829032258064515,1.347580645161301
2000-09-01,65.75666666666667,96.9,119.60000000000002,30,4.96,8,1,0.0,2,0,15.626666666666667,50.419999999999995,0.015166666666672768
2000-10-01,57.251612903225805,257.69999999999993,17.49999999999997,31,1.59,9,0,0.0,0,1,14.351612903225806,59.55483870967742,4.081774193548384
2000-11-01,38.42333333333333,797.3,0.0,30,1.6600000000000001,8,0,1.18,0,15,15.646666666666667,76.86,-2.3711666666666673
2000-12-01,18.396774193548385,1444.6999999999998,0.0,31,1.15,9,0,280.96,0,30,15.483870967741936,74.61935483870967,-11.161290322580644
2001-01-01,26.02258064516129,1208.3000000000002,0.0,31,0.99,5,0,243.24,0,27,14.32258064516129,65.13870967741936,1.1990322580645163
2001-02-01,27.724999999999998,1043.7,0.0,28,1.8399999999999999,7,0,13.379999999999999,0,26,16.214285714285715,71.54642857142856,0.2851354679802931
2001-03-01,35.141935483870974,925.6,0.0,31,1.32,6,0,11.52,0,22,16.77741935483871,66.30967741935484,-3.51709677419354
2001-04-01,53.913333333333334,346.6,14.0,30,1.68,10,0,1.18,0,4,18.046666666666667,60.623333333333335,3.8973333333333287
2001-05-01,61.76774193548387,176.40000000000003,76.2,31,3.5300000000000002,17,0,0.0,0,0,16.25483870967742,70.97096774193548,1.0379032258064527
2001-06-01,69.58333333333333,79.1,216.6,30,2.79,10,0,0.0,3,0,14.080000000000002,57.6,-0.7335000000000065
