date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,26.383870967741935,1197.1,0.0,31,0.8099999999999999,10,0,78.17,0,26,17.316129032258065,70.65483870967742,0.6504838709677436
2000-02-01,36.16896551724138,836.0999999999999,0.0,29,1.2,4,0,88.93,0,20,18.103448275862068,72.87241379310345,7.752586206896556
2000-03-01,45.66451612903226,603.3,3.9000000000000057,31,0.72,6,0,0.0,0,11,16.70967741935484,61.88709677419355,6.454354838709676
2000-04-01,48.74666666666667,487.6,0.0,30,4.54,8,2,1.18,0,4,18.016666666666666,66.72333333333333,-1.5991666666666617
2000-05-01,63.829032258064515,122.70000000000002,86.39999999999998,31,5.01,13,0,0.0,0,0,17.083870967741937,71.4483870967742,2.719999999999999
2000-06-01,69.36666666666666,37.7,168.7,30,4.92,15,0,0.0,0,0,15.926666666666668,66.52,-1.6521666666666732
2000-07-01,72.7709677419355,0.0,240.90000000000003,31,3.4400000000000004,7,1,0.0,0,0,14.651612903225805,65.48709677419355,-3.102096774193541
2000-08-01,74.20967741935483,0.0,285.5,31,2.91,5,1,0.0,2,0,14.03225806451613,57.20645161290323,-0.10451612903226248
2000-09-01,66.20666666666666,91.2,127.39999999999998,30,5.7,8,1,0.0,2,0,16.12666666666667,50.31333333333334,-1.2646666666666704
2000-10-01,57.65806451612904,247.09999999999997,19.5,31,1.8,9,0,0.0,0,1,14.76774193548387,60.02258064516129,3.1096774193548455
2000-11-01,38.776666666666664,787.0,0.29999999999999716,30,1.97,8,0,1.18,0,15,15.873333333333333,77.00333333333333,-3.2265000000000086
2000-12-01,18.787096774193547,1432.6000000000001,0.0,31,1.56,9,0,286.96000000000004,0,30,15.53225806451613,74.98387096774194,-11.669838709677421
2001-01-01,26.358064516129033,1197.8999999999999,0.0,31,1.19,5,0,238.65,0,27,14.596774193548388,65.33548387096775,0.6246774193548426
2001-02-01,28.135714285714283,1032.2,0.0,28,2.26,6,0,13.379999999999999,0,26,16.62142857142857,71.80714285714285,-0.28066502463054377
2001-03-01,35.47741935483871,915.1999999999999,0.0,31,1.4000000000000001,6,0,12.02,0,22,17.361290322580647,66.29032258064517,-3.7327419354838725
