date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,23.06451612903226,1299.9999999999995,0.0,31,0.73,8,0,70.69,0,27,16.31935483870968,59.25806451612903,0.740645161290324
2000-02-01,32.87931034482759,931.5,0.0,29,1.07,5,0,87.94,0,21,17.368965517241378,69.90344827586208,7.808780788177341
2000-03-01,43.41612903225807,669.1,0.0,31,1.1400000000000001,9,0,0.0,0,16,15.683870967741935,55.83870967741935,6.5858064516129105
2000-04-01,47.663333333333334,520.1,0.0,30,3.15,9,1,1.18,0,8,17.513333333333332,61.10333333333333,-1.0886666666666613
2000-05-01,62.02903225806452,150.4,58.30000000000001,31,6.24,14,3,0.0,0,0,17.183870967741935,66.0225806451613,2.0412903225806502
2000-06-01,67.34333333333333,50.60000000000001,120.89999999999996,30,6.8100000000000005,14,2,0.0,0,0,16.223333333333333,58.04333333333333,-1.9596666666666636
2000-07-01,70.96451612903226,1.2999999999999972,186.20000000000007,31,1.3900000000000001,7,0,0.0,0,0,13.483870967741936,59.2,-1.6293548387096735
2000-08-01,71.71612903225805,0.5999999999999943,208.79999999999998,31,2.1799999999999997,8,0,0.0,2,0,13.803225806451612,51.193548387096776,1.2446774193548293
2000-09-01,63.40333333333333,140.0,92.10000000000001,30,6.5,9,2,0.0,1,0,15.28,48.71333333333334,-0.36549999999999727
2000-10-01,54.94193548387097,320.2,8.399999999999991,31,1.01,6,0,0.0,0,4,13.935483870967742,55.145161290322584,3.37596774193549
2000-11-01,36.263333333333335,862.1000000000001,0.0,30,1.73,9,0,1.18,0,17,15.766666666666667,76.44,-2.570999999999998
2000-12-01,14.745161290322581,1557.8999999999999,0.0,31,0.39,5,0,291.39,0,31,15.058064516129033,70.40645161290323,-12.319193548387094
2001-01-01,23.074193548387097,1299.6999999999998,0.0,31,1.81,3,1,252.56,0,29,14.03225806451613,56.980645161290326,0.750322580645161
2001-02-01,24.053571428571427,1146.5000000000002,0.0,28,2.29,5,0,27.18,0,27,16.035714285714285,67.26071428571429,-1.0169581280788194
2001-03-01,33.380645161290325,980.1999999999999,0.0,31,1.22,6,0,10.24,0,27,16.096774193548388,61.561290322580646,-3.4496774193548347
2001-04-01,53.18666666666666,363.2,8.799999999999983,30,3.14,12,0,0.0,0,5,19.62,61.15333333333333,4.434666666666665
2001-05-01,61.167741935483875,181.70000000000002,62.89999999999999,31,4.18,19,0,0.0,0,0,15.458064516129031,69.69354838709677,1.1800000000000068
2001-06-01,68.26666666666667,77.4,175.39999999999998,30,2.51,10,0,0.0,2,0,14.763333333333332,60.269999999999996,-1.0363333333333316
2001-07-01,75.1516129032258,1.7000000000000028,316.4,31,1.93,9,0,0.0,8,0,12.94516129032258,57.42903225806452,2.557741935483861
2001-08-01,72.80322580645162,0.0,241.89999999999995,31,7.22,15,3,0.0,5,0,12.812903225806451,54.648387096774194,2.331774193548398
2001-09-01,61.49666666666667,148.20000000000002,43.10000000000002,30,8.41,10,4,0.0,0,0,14.24,54.30333333333333,-2.2721666666666565
2001-10-01,51.193548387096776,427.99999999999994,0.0,31,5.35,11,2,0.0,0,5,16.906451612903226,71.10645161290323,-0.3724193548387049
2001-11-01,47.54666666666667,523.5999999999999,0.0,30,1.88,12,0,0.0,0,6,15.256666666666666,60.330000000000005,8.712333333333333
2001-12-01,32.67741935483871,1002.0,0.0,31,1.02,8,0,1.18,0,24,15.48709677419355,63.464516129032255,5.613064516129036
2002-01-01,30.612903225806452,1066.0,0.0,31,0.79,5,0,23.59,0,25,15.69032258064516,62.97741935483871,8.289032258064516
2002-02-01,31.79642857142857,929.6999999999999,0.0,28,1.67,5,0,40.39,0,23,18.035714285714285,58.785714285714285,6.725899014778324
2002-03-01,33.05483870967742,990.2999999999998,0.0,31,1.9700000000000002,13,0,39.06,0,22,18.448387096774194,67.51935483870967,-3.77548387096774
2002-04-01,49.03333333333333,516.1999999999999,37.2,30,3.7199999999999998,13,0,1.18,1,5,18.173333333333336,70.01666666666667,0.2813333333333361
2002-05-01,55.57419354838709,325.0,32.8,31,3.4899999999999998,12,1,0.0,0,1,16.9,62.36451612903225,-4.413548387096775
2002-06-01,71.05666666666666,29.900000000000006,211.6,30,6.68,9,2,0.0,4,0,14.08,54.51,1.7536666666666605
2002-07-01,77.08387096774193,0.0,374.5999999999999,31,2.33,7,0,0.0,10,0,13.35483870967742,46.07096774193548,4.489999999999995
2002-08-01,72.84516129032258,0.0,243.19999999999996,31,7.49,9,1,0.0,2,0,13.04516129032258,53.11290322580645,2.373709677419356
2002-09-01,66.66,60.800000000000004,110.59999999999998,30,2.66,8,0,0.0,0,0,12.723333333333333,39.766666666666666,2.8911666666666704
2002-10-01,48.358064516129026,522.3000000000001,6.400000000000006,31,2.0,10,0,0.0,0,3,14.86774193548387,64.59032258064516,-3.2079032258064544
2002-11-01,36.43333333333333,857.0,0.0,30,0.76,10,0,11.209999999999999,0,19,14.563333333333333,63.34666666666667,-2.4010000000000034
2002-12-01,29.406451612903226,1103.4,0.0,31,0.9099999999999999,3,0,17.509999999999998,0,26,15.806451612903226,63.63548387096775,2.34209677419355
2003-01-01,20.074193548387097,1392.7,0.0,31,0.32,4,0,13.41,0,29,16.65806451612903,62.60967741935484,-2.249677419354839
2003-02-01,22.525000000000002,1189.3,0.0,28,0.07,2,0,3.54,0,27,16.839285714285715,58.80714285714286,-2.5455295566502443
2003-03-01,36.00645161290323,898.8000000000001,0.0,31,1.53,12,0,31.939999999999998,0,19,17.01290322580645,70.38387096774194,-0.8238709677419322
2003-04-01,48.43666666666666,506.1,9.200000000000003,30,2.6399999999999997,7,1,3.15,0,9,17.563333333333333,61.6,-0.315333333333335
2003-05-01,56.903225806451616,252.9,1.9000000000000057,31,4.8100000000000005,15,1,0.0,0,0,17.193548387096776,63.15806451612904,-3.0845161290322523
2003-06-01,66.68666666666667,55.500000000000014,106.10000000000001,30,1.94,8,0,0.0,2,0,13.236666666666668,61.20666666666667,-2.61633333333333
2003-07-01,72.31935483870969,0.0,226.90000000000003,31,4.01,13,1,0.0,2,0,14.23225806451613,59.725806451612904,-0.27451612903225
2003-08-01,72.49032258064516,4.5,236.69999999999996,31,1.82,8,1,0.0,5,0,10.935483870967742,32.33548387096774,2.0188709677419325
2003-09-01,60.72666666666667,165.49999999999997,37.30000000000001,30,1.73,7,0,0.0,0,0,10.453333333333335,5.7733333333333325,-3.0421666666666596
2003-10-01,50.17741935483871,459.49999999999994,0.0,31,1.58,7,1,0.0,0,5,10.26774193548387,6.170967741935484,-1.388548387096769
2003-11-01,39.843333333333334,754.6999999999999,0.0,30,3.98,13,0,0.0,0,13,13.29,8.536666666666667,1.0090000000000003
2003-12-01,29.916129032258063,1087.6000000000001,0.0,31,3.54,7,2,8.26,0,27,12.970967741935485,8.48709677419355,2.851774193548387
2004-01-01,18.37741935483871,1445.3000000000002,0.0,31,0.93,8,0,48.71,0,31,14.025806451612903,8.17741935483871,-3.9464516129032248
2004-02-01,26.148275862068964,1126.7,0.0,29,1.11,9,0,78.71,0,26,13.058620689655172,7.837931034482759,1.0777463054187173
2004-03-01,40.145161290322584,770.5,0.0,31,4.5,18,0,2.94,0,15,15.2,9.783870967741937,3.3148387096774243
2004-04-01,50.20666666666667,454.7,10.900000000000006,30,1.94,5,0,0.0,0,10,13.596666666666666,6.7266666666666675,1.4546666666666752
2004-05-01,60.622580645161285,181.5,45.79999999999998,31,8.01,14,3,0.0,0,1,11.996774193548386,8.858064516129033,0.6348387096774175
2004-06-01,67.16,48.8,113.60000000000001,30,3.05,10,0,0.0,0,0,10.316666666666666,7.016666666666667,-2.1430000000000007
2004-07-01,69.14838709677419,10.500000000000007,139.09999999999997,31,2.2600000000000002,10,0,0.0,0,0,9.025806451612903,7.729032258064516,-3.445483870967749
2004-08-01,64.61612903225806,82.60000000000001,70.69999999999997,31,3.6199999999999997,10,1,0.0,0,0,8.287096774193548,7.738709677419355,-5.855322580645165
2004-09-01,63.14,103.6,47.80000000000001,30,0.6200000000000001,2,0,0.0,0,0,8.35,4.55,-0.6288333333333256
2004-10-01,51.39032258064516,425.20000000000005,3.299999999999997,31,3.13,10,0,0.0,0,3,10.929032258064517,7.6,-0.17564516129031915
2004-11-01,41.11666666666667,716.5,0.0,30,3.19,11,0,13.39,0,16,10.84,9.083333333333334,2.2823333333333338
2004-12-01,27.061290322580643,1176.0999999999997,0.0,31,0.89,6,0,8.67,0,25,13.832258064516129,7.941935483870968,-0.0030645161290330236
2005-01-01,22.312903225806455,1323.2999999999997,0.0,31,3.15,14,0,144.39,0,30,12.383870967741935,8.72258064516129,-0.010967741935481001
2005-02-01,31.064285714285713,950.1999999999999,0.0,28,2.02,10,0,24.47,0,23,11.414285714285715,8.435714285714287,5.993756157635467
2005-03-01,33.58387096774193,973.9000000000001,0.0,31,0.88,9,0,7.08,0,27,13.17741935483871,7.793548387096774,-3.246451612903229
2005-04-01,51.766666666666666,400.9,3.9000000000000057,30,1.59,7,0,0.0,0,2,13.053333333333335,7.33,3.0146666666666704
2005-05-01,57.038709677419355,257.09999999999997,10.300000000000011,31,2.14,7,1,0.0,0,2,13.351612903225806,7.683870967741935,-2.9490322580645127
2005-06-01,73.5,6.100000000000001,261.09999999999997,30,2.85,8,1,0.0,6,0,10.360000000000001,7.296666666666667,4.197000000000003
2005-07-01,72.62903225806451,2.6999999999999886,239.2,31,2.2399999999999998,13,0,0.0,2,0,8.422580645161291,6.354838709677419,0.03516129032257709
2005-08-01,70.68709677419355,9.299999999999997,185.60000000000002,31,3.75,9,2,0.0,1,0,7.325806451612903,6.603225806451612,0.2156451612903254
2005-09-01,66.36,63.99999999999999,104.80000000000001,30,1.59,11,0,0.0,2,0,8.453333333333333,7.14,2.5911666666666733
2005-10-01,52.25806451612903,425.1,30.10000000000001,31,0.63,3,0,0.0,0,5,9.212903225806452,6.751612903225807,0.6920967741935513
2005-11-01,39.97,750.9000000000001,0.0,30,2.2199999999999998,7,0,2.36,0,16,13.896666666666667,8.28,1.1356666666666655
2005-12-01,20.016129032258064,1394.5,0.0,31,1.0,7,0,98.47,0,27,12.64516129032258,8.832258064516129,-7.048225806451612
2006-01-01,33.667741935483875,971.3000000000001,0.0,31,2.5700000000000003,10,0,19.3,0,22,18.648387096774194,45.66129032258065,11.343870967741939
2006-02-01,26.392857142857142,1080.9999999999998,0.0,28,1.13,4,0,2.36,0,28,16.57857142857143,19.510714285714283,1.322327586206896
2006-03-01,36.541935483870965,882.1999999999999,0.0,31,3.22,15,0,11.809999999999999,0,22,16.938709677419357,22.76451612903226,-0.28838709677419416
2006-04-01,52.693333333333335,373.2,4.0,30,3.3600000000000003,14,0,0.0,0,6,19.163333333333334,16.606666666666666,3.94133333333334
2006-05-01,59.89032258064516,225.3,66.89999999999999,31,4.47,18,0,0.0,1,0,17.032258064516128,34.86774193548387,-0.09741935483870634
2006-06-01,68.66000000000001,26.6,136.39999999999998,30,3.5,14,1,0.0,0,0,14.446666666666665,22.563333333333333,-0.6429999999999865
2006-07-01,74.43548387096774,0.0,292.5,31,2.75,13,0,0.0,4,0,12.125806451612902,14.264516129032257,1.8416129032258084
2006-08-01,70.47419354838709,2.000000000000014,171.70000000000005,31,3.03,11,0,0.0,2,0,12.496774193548386,28.703225806451613,0.002741935483868474
2006-09-01,59.830000000000005,170.40000000000003,15.299999999999997,30,6.609999999999999,12,3,0.0,0,0,14.193333333333333,43.343333333333334,-3.9388333333333208
2006-10-01,47.79032258064516,542.0,8.5,31,3.85,12,0,0.0,0,8,16.338709677419356,39.76451612903226,-3.7756451612903206
2006-11-01,40.166666666666664,745.0,0.0,30,3.22,8,1,0.0,0,16,13.953333333333335,12.266666666666667,1.332333333333331
2006-12-01,31.883870967741935,1026.6,0.0,31,3.19,12,0,76.27,0,16,17.141935483870967,42.33548387096774,4.819516129032259
