date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,42.406451612903226,700.4,0.0,31,2.62,16,0,0.78,0,5,16.18709677419355,11.819354838709677,1.2929032258064552
2000-02-01,43.699999999999996,617.7,0.0,29,2.74,24,0,0.0,0,4,19.617241379310343,9.53448275862069,2.521995073891624
2000-03-01,44.81612903225806,625.7,0.0,31,1.52,14,0,0.0,0,2,15.638709677419355,10.583870967741936,1.2546774193548345
2000-04-01,45.05,598.4999999999999,0.0,30,3.13,18,0,3.96,0,4,13.66,10.17,-2.613333333333337
2000-05-01,52.68709677419355,381.7,0.0,31,2.01,17,0,0.0,0,0,12.438709677419356,6.706451612903226,-0.3648387096774144
2000-06-01,57.93,224.39999999999998,12.299999999999997,30,3.57,20,0,0.0,0,0,13.066666666666666,11.01,-0.2923333333333389
2000-07-01,58.79032258064516,192.50000000000003,0.0,31,6.67,18,2,0.0,0,0,10.816129032258065,15.009677419354839,-2.1922580645161247
2000-08-01,59.961290322580645,156.90000000000003,0.7000000000000028,31,3.8,20,1,0.0,0,0,11.209677419354838,9.951612903225806,-0.41338709677419416
2000-09-01,57.25,233.70000000000005,1.2000000000000028,30,3.27,19,0,0.0,0,0,12.496666666666666,8.116666666666667,0.4478333333333353
2000-10-01,49.73548387096774,473.20000000000005,0.0,31,7.04,28,2,0.79,0,0,15.864516129032259,8.229032258064516,-1.8138709677419342
2000-11-01,44.42333333333333,617.2999999999998,0.0,30,7.5200000000000005,25,1,0.0,0,0,16.156666666666666,10.803333333333335,-1.194500000000005
2000-12-01,41.73548387096774,721.1999999999999,0.0,31,4.33,19,1,12.64,0,7,16.883870967741935,10.345161290322581,-0.259032258064515
2001-01-01,37.12903225806452,864.0000000000001,0.0,31,1.17,15,0,2.43,0,15,12.296774193548387,19.451612903225808,-3.984516129032251
2001-02-01,39.275,720.3000000000001,0.0,28,2.42,19,0,4.16,0,14,13.835714285714285,21.99285714285714,-1.9030049261083732
2001-03-01,40.91935483870968,746.5000000000001,0.0,31,2.48,18,0,14.649999999999999,0,9,13.958064516129031,20.138709677419353,-2.642096774193547
2001-04-01,45.56333333333334,583.1,0.0,30,3.43,23,0,0.0,0,1,15.563333333333333,20.986666666666668,-2.0999999999999943
2001-05-01,54.38387096774194,329.1,0.0,31,3.0300000000000002,17,0,0.0,0,0,13.370967741935484,23.225806451612904,1.3319354838709785
2001-06-01,57.35333333333333,234.7,5.299999999999997,30,0.84,18,0,0.0,0,0,13.43,22.733333333333334,-0.8690000000000069
2001-07-01,61.41612903225807,132.39999999999998,21.299999999999997,31,2.45,17,0,0.0,0,0,13.112903225806452,21.812903225806455,0.4335483870967849
2001-08-01,60.67741935483871,140.5,6.5,31,3.8499999999999996,18,0,0.0,0,0,12.887096774193548,28.293548387096774,0.30274193548387274
2001-09-01,55.93666666666666,271.9,0.0,30,2.28,26,0,0.0,0,0,14.8,39.656666666666666,-0.8655000000000044
2001-10-01,55.38387096774194,298.09999999999997,0.0,31,4.48,24,0,0.0,0,0,16.783870967741933,23.11935483870968,3.8345161290322665
2001-11-01,47.13333333333333,536.0,0.0,30,1.65,18,0,0.39,0,3,12.756666666666666,20.883333333333333,1.5154999999999959
2001-12-01,39.26774193548387,797.6999999999999,0.0,31,1.97,20,0,9.98,0,12,13.693548387096774,17.80322580645161,-2.726774193548387
2002-01-01,42.89677419354839,685.2,0.0,31,1.96,25,0,10.31,0,5,18.648387096774194,20.148387096774194,1.7832258064516182
2002-02-01,45.292857142857144,551.8000000000001,0.0,28,3.84,24,0,0.0,0,2,21.849999999999998,19.55,4.114852216748773
2002-03-01,45.5516129032258,602.9,0.0,31,1.55,19,0,0.0,0,4,16.76451612903226,20.38064516129032,1.9901612903225754
2002-04-01,47.51,524.7,0.0,30,1.7,15,0,0.0,0,5,14.163333333333332,17.82,-0.15333333333333599
2002-05-01,52.86451612903225,376.2000000000001,0.0,31,2.57,20,0,0.0,0,0,16.429032258064517,21.567741935483873,-0.18741935483870975
2002-06-01,57.056666666666665,238.29999999999998,0.0,30,3.0,18,0,0.0,0,0,14.85,22.03666666666667,-1.1656666666666737
2002-07-01,59.03225806451613,190.39999999999998,5.400000000000006,31,2.79,21,0,0.0,0,0,12.161290322580646,22.219354838709677,-1.9503225806451567
2002-08-01,60.65483870967742,136.2,1.5,31,3.85,16,1,0.0,0,0,11.880645161290323,25.338709677419356,0.28016129032258164
2002-09-01,56.20666666666667,263.8,0.0,30,1.04,6,0,0.0,0,0,10.083333333333334,22.913333333333334,-0.5954999999999941
2002-10-01,48.983870967741936,496.49999999999994,0.0,31,5.52,22,0,0.39,0,0,14.306451612903226,24.080645161290324,-2.565483870967739
2002-11-01,46.443333333333335,556.6999999999999,0.0,30,4.15,22,0,0.0,0,0,13.610000000000001,19.576666666666664,0.8254999999999981
2002-12-01,41.74516129032258,720.9,0.0,31,3.51,19,0,0.0,0,5,12.874193548387098,21.932258064516127,-0.249354838709678
2003-01-01,40.62903225806452,755.4999999999998,0.0,31,1.6,15,0,105.97,0,10,16.148387096774194,19.719354838709677,-0.48451612903225083
2003-02-01,38.88928571428572,731.0999999999999,0.0,28,0.94,11,0,8.75,0,11,14.475,21.63214285714286,-2.2887192118226523
2003-03-01,44.277419354838706,642.4000000000001,0.0,31,0.8,10,0,79.92,0,8,14.932258064516128,13.735483870967743,0.7159677419354793
2003-04-01,48.75666666666667,487.29999999999995,0.0,30,1.93,11,0,0.0,0,3,14.513333333333332,16.596666666666668,1.0933333333333337
2003-05-01,52.6741935483871,383.0,0.9000000000000057,31,3.9000000000000004,20,0,0.0,0,0,16.306451612903224,19.219354838709677,-0.37774193548386137
2003-06-01,59.59666666666667,162.1,0.0,30,2.2800000000000002,14,0,0.0,0,0,14.176666666666668,19.086666666666666,1.3743333333333325
2003-07-01,62.145161290322584,111.8,23.299999999999983,31,3.52,13,1,0.0,0,0,13.62258064516129,20.95483870967742,1.1625806451612988
2003-08-01,62.248387096774195,109.69999999999999,24.39999999999999,31,1.06,9,0,0.0,0,0,11.46774193548387,17.251612903225805,1.873709677419356
2003-09-01,56.34,259.8,0.0,30,2.44,13,0,0.0,0,0,11.323333333333332,17.89,-0.4621666666666613
2003-10-01,47.70967741935484,536.0,0.0,31,3.05,14,0,0.0,0,2,13.883870967741935,18.203225806451613,-3.8396774193548353
2003-11-01,46.413333333333334,557.6,0.0,30,1.8599999999999999,18,0,0.0,0,4,14.94,16.276666666666667,0.795499999999997
2003-12-01,40.92258064516129,746.4,0.0,31,2.38,15,0,0.0,0,8,13.912903225806453,16.9,-1.0719354838709663
2004-01-01,42.73225806451613,690.2999999999998,0.0,31,3.48,23,0,2.7,0,5,17.700000000000003,18.825806451612905,1.6187096774193606
2004-02-01,42.08275862068966,664.5999999999999,0.0,29,1.58,15,0,103.80999999999999,0,8,15.903448275862068,19.103448275862068,0.904753694581288
2004-03-01,43.599999999999994,663.3999999999999,0.0,31,1.3,18,0,53.769999999999996,0,4,16.380645161290325,17.887096774193548,0.038548387096767556
2004-04-01,48.65,490.5,0.0,30,2.67,21,0,0.79,0,1,14.616666666666667,18.07,0.9866666666666646
2004-05-01,53.096774193548384,369.00000000000006,0.0,31,0.87,11,0,2.3,0,0,11.790322580645162,18.258064516129032,0.04483870967742121
2004-06-01,58.57666666666667,192.7,0.0,30,2.46,16,1,0.0,0,0,16.87,18.073333333333334,0.3543333333333294
2004-07-01,58.84516129032258,191.2,0.4000000000000057,31,2.33,20,0,0.0,0,0,13.35483870967742,17.406451612903226,-2.1374193548387055
2004-08-01,61.693548387096776,108.99999999999999,6.5,31,5.34,20,1,0.0,0,0,13.193548387096774,16.038709677419355,1.3188709677419368
2004-09-01,57.50333333333333,225.0,0.09999999999999432,30,2.2,15,0,0.0,0,0,15.643333333333334,13.75,0.7011666666666656
2004-10-01,49.63225806451613,476.4,0.0,31,4.45,27,0,1.18,0,0,14.709677419354838,18.190322580645162,-1.9170967741935456
2004-11-01,46.50333333333333,554.9,0.0,30,2.4,21,0,10.93,0,2,13.906666666666666,22.323333333333334,0.8854999999999933
2004-12-01,43.23870967741936,674.6000000000001,0.0,31,2.56,15,0,4.46,0,8,15.399999999999999,45.145161290322584,1.244193548387102
2005-01-01,44.16129032258065,646.0,0.0,31,1.59,17,0,5.09,0,2,21.616129032258065,49.20967741935484,3.0477419354838773
2005-02-01,40.16428571428571,695.4,0.0,28,1.61,14,0,1.6400000000000001,0,5,15.571428571428571,56.88928571428572,-1.0137192118226608
2005-03-01,45.34516129032258,609.3,0.0,31,1.99,18,0,2.94,0,4,14.941935483870967,55.645161290322584,1.7837096774193526
2005-04-01,47.309999999999995,530.7,0.0,30,2.67,17,0,2.9,0,2,15.613333333333333,44.47,-0.35333333333333883
2005-05-01,51.89354838709678,406.3,0.0,31,1.84,17,0,3.04,0,0,15.464516129032257,37.07741935483871,-1.1583870967741845
2005-06-01,59.13666666666666,185.00000000000003,9.100000000000009,30,3.66,13,1,0.0,0,0,13.4,40.519999999999996,0.9143333333333246
2005-07-01,60.65483870967742,147.20000000000002,12.500000000000014,31,3.15,13,0,0.0,0,0,12.54516129032258,44.26129032258064,-0.3277419354838642
2005-08-01,59.99677419354839,155.09999999999997,0.0,31,2.79,13,1,0.0,0,0,13.874193548387098,35.89032258064516,-0.377903225806449
2005-09-01,57.77333333333333,217.9,1.0999999999999943,30,2.98,15,0,0.0,0,0,12.860000000000001,37.85666666666667,0.9711666666666687
2005-10-01,54.58709677419355,322.8,0.0,31,5.68,21,1,0.0,0,0,12.96774193548387,47.645161290322584,3.037741935483872
2005-11-01,43.11,656.6999999999998,0.0,30,4.1,21,1,2.2,0,8,12.34,37.06666666666667,-2.5078333333333376
2005-12-01,41.851612903225806,717.6,0.0,31,3.04,19,0,0.52,0,10,12.774193548387096,45.38709677419355,-0.14290322580644954
2006-01-01,39.60322580645161,787.3,0.0,31,1.6199999999999999,18,0,0.0,0,11,11.922580645161291,48.803225806451614,-1.510322580645159
2006-02-01,39.42857142857143,716.0,0.0,28,3.25,18,0,0.0,0,10,12.485714285714286,50.80714285714286,-1.7494334975369412
2006-03-01,40.435483870967744,761.5,0.0,31,7.46,25,0,0.0,0,7,15.05483870967742,44.5258064516129,-3.125967741935483
2006-04-01,46.93333333333333,542.0,0.0,30,2.81,20,0,0.0,0,2,14.946666666666665,33.22666666666667,-0.730000000000004
2006-05-01,52.75483870967742,379.6,0.0,31,7.5600000000000005,26,0,0.0,0,0,14.319354838709677,31.693548387096776,-0.2970967741935411
2006-06-01,59.70666666666667,167.39999999999998,8.600000000000009,30,1.95,11,0,0.0,0,0,11.843333333333334,28.790000000000003,1.484333333333332
2006-07-01,65.24193548387096,47.8,55.30000000000001,31,1.49,13,0,0.0,1,0,12.635483870967741,16.593548387096774,4.259354838709676
2006-08-01,59.34516129032258,177.20000000000002,1.9000000000000057,31,4.8500000000000005,25,1,0.0,0,0,13.76774193548387,44.190322580645166,-1.0295161290322596
2006-09-01,60.03,154.2,5.1000000000000085,30,3.12,17,0,0.0,0,0,14.663333333333332,27.846666666666668,3.2278333333333364
2006-10-01,54.016129032258064,340.49999999999994,0.0,31,5.96,23,0,0.0,0,0,13.83548387096774,45.41290322580645,2.466774193548389
2006-11-01,46.44666666666667,556.6,0.0,30,5.2700000000000005,23,0,0.0,0,2,15.276666666666667,29.44333333333333,0.8288333333333355
2006-12-01,44.02903225806452,650.1,0.0,31,8.23,24,1,0.0,0,2,16.90967741935484,46.16451612903226,2.034516129032262
2007-01-01,45.519354838709674,603.9000000000001,0.0,31,7.25,25,1,0.0,0,2,21.26451612903226,39.222580645161294,4.405806451612904
2007-02-01,42.03214285714286,643.1,0.0,28,5.3,20,0,0.0,0,7,13.092857142857143,38.107142857142854,0.8541379310344865
2007-03-01,44.54516129032258,634.1000000000001,0.0,31,2.3200000000000003,20,0,0.0,0,3,16.170967741935485,23.82903225806452,0.9837096774193554
2007-04-01,51.28,411.59999999999997,0.0,30,0.71,4,0,0.0,0,0,11.956666666666667,19.290000000000003,3.616666666666667
2007-05-01,52.645161290322584,383.0,0.0,31,5.26,21,1,0.0,0,0,13.609677419354838,31.53548387096774,-0.4067741935483795
2007-06-01,58.68666666666666,191.39999999999998,2.0,30,7.43,21,3,0.0,0,0,11.446666666666665,33.92666666666666,0.4643333333333217
2007-07-01,58.34193548387096,206.4,0.0,31,7.96,28,0,0.0,0,0,13.203225806451613,33.8,-2.6406451612903226
2007-08-01,59.29354838709678,179.0,2.1000000000000085,31,2.93,16,0,0.0,0,0,12.864516129032259,36.74193548387097,-1.0811290322580618
