date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,22.01290322580645,1332.6,0.0,31,0.54,8,0,66.62,0,28,16.73225806451613,57.91935483870968,-0.39854838709677765
2000-02-01,31.951724137931034,958.4,0.0,29,1.16,6,0,73.62,0,21,18.29310344827586,70.36551724137931,6.720246305418719
2000-03-01,42.880645161290325,685.6999999999999,0.0,31,1.05,8,0,0.0,0,17,16.725806451612904,54.99032258064516,5.476290322580645
2000-04-01,47.71,518.7,0.0,30,3.45,8,1,1.18,0,8,18.55666666666667,59.690000000000005,-1.9765000000000015
2000-05-01,61.79677419354839,153.49999999999997,54.20000000000002,31,6.63,13,3,0.0,0,0,18.274193548387096,64.84193548387097,1.0706451612903223
2000-06-01,67.22333333333333,50.60000000000001,117.29999999999997,30,8.0,15,3,0.0,0,0,17.17,56.36333333333334,-2.898833333333343
2000-07-01,70.75806451612904,1.6999999999999957,180.2,31,0.09,3,0,0.0,0,0,14.074193548387097,57.829032258064515,-3.1490322580645085
2000-08-01,71.28064516129032,1.0999999999999943,195.8,31,2.11,6,1,0.0,1,0,14.593548387096773,48.983870967741936,-0.477096774193555
2000-09-01,63.093333333333334,145.90000000000003,88.7,30,7.73,9,2,0.0,1,0,15.873333333333333,48.65333333333333,-1.6999999999999886
2000-10-01,54.44516129032258,333.8,6.599999999999994,31,0.88,5,0,0.0,0,5,14.687096774193549,54.038709677419355,2.4048387096774206
2000-11-01,35.763333333333335,877.6000000000001,0.5,30,2.02,9,0,0.0,0,17,16.18,77.28333333333333,-3.4919999999999973
2000-12-01,13.77741935483871,1587.9,0.0,31,0.49,5,0,270.65,0,31,15.996774193548386,69.25161290322582,-13.469516129032261
2001-01-01,22.190322580645162,1327.1,0.0,31,2.15,3,1,173.22,0,29,14.616129032258065,53.961290322580645,-0.2211290322580659
2001-02-01,22.857142857142858,1179.9999999999998,0.0,28,2.8699999999999997,5,2,19.68,0,27,16.635714285714286,65.25357142857142,-2.3743349753694574
2001-03-01,33.05806451612903,990.1999999999998,0.0,31,1.2,6,0,1.97,0,27,16.787096774193547,60.16129032258065,-4.34629032258065
2001-04-01,53.28666666666666,359.80000000000007,8.400000000000006,30,2.5300000000000002,11,0,0.0,0,5,21.153333333333332,61.75666666666667,3.6001666666666594
2001-05-01,61.23225806451613,178.20000000000002,61.39999999999999,31,4.04,14,1,0.0,0,0,16.532258064516128,70.50322580645161,0.506129032258066
2001-06-01,68.21333333333334,73.1,169.5,30,2.11,8,0,0.0,3,0,15.786666666666667,61.99666666666667,-1.9088333333333338
2001-07-01,75.21290322580644,1.7000000000000028,318.30000000000007,31,0.76,7,0,0.0,8,0,13.735483870967743,56.47741935483871,1.305806451612895
2001-08-01,72.58064516129032,0.09999999999999432,235.10000000000002,31,4.26,9,2,0.0,4,0,13.46774193548387,53.41935483870968,0.8229032258064422
2001-09-01,61.14333333333333,156.8,41.10000000000001,30,9.25,8,4,0.0,0,0,15.17,52.58666666666667,-3.6499999999999915
2001-10-01,50.777419354838706,440.9000000000001,0.0,31,3.99,8,1,0.0,0,5,18.112903225806452,71.41612903225807,-1.262903225806454
2001-11-01,47.00333333333333,539.9000000000001,0.0,30,2.07,8,1,0.0,0,7,15.946666666666665,60.666666666666664,7.7479999999999976
2001-12-01,32.20967741935484,1016.5,0.0,31,0.94,5,0,0.0,0,25,16.606451612903225,63.13548387096775,4.962741935483869
2002-01-01,30.183870967741935,1079.3,0.0,31,0.65,5,0,17.22,0,26,16.393548387096775,61.58387096774193,7.772419354838707
2002-02-01,31.557142857142857,936.3999999999999,0.0,28,1.9299999999999997,5,0,29.48,0,23,18.84642857142857,57.34285714285714,6.325665024630542
2002-03-01,32.63225806451613,1003.4,0.0,31,1.6099999999999999,10,0,31.98,0,22,19.62258064516129,66.42903225806452,-4.77209677419355
2002-04-01,48.809999999999995,519.5,33.8,30,3.9099999999999997,13,1,1.18,1,6,19.396666666666665,70.48333333333333,-0.8765000000000072
2002-05-01,55.60967741935484,322.8999999999999,31.799999999999997,31,3.06,9,1,0.0,0,2,17.729032258064517,63.15806451612904,-5.1164516129032265
2002-06-01,70.71333333333334,26.89999999999999,198.30000000000004,30,7.079999999999999,8,2,0.0,1,0,15.09,57.34,0.5911666666666662
2002-07-01,76.76129032258065,0.0,364.5999999999999,31,2.0100000000000002,6,0,0.0,9,0,13.609677419354838,46.66129032258065,2.8541935483871015
2002-08-01,72.67096774193548,0.0,237.80000000000004,31,7.0600000000000005,8,2,0.0,2,0,13.600000000000001,53.83870967741935,0.9132258064516066
2002-09-01,66.09333333333333,66.6,99.4,30,2.68,8,0,0.0,0,0,13.503333333333334,39.57,1.3000000000000114
2002-10-01,47.83548387096774,537.6999999999999,5.599999999999994,31,2.05,10,0,0.0,0,3,15.564516129032258,67.1032258064516,-4.204838709677418
2002-11-01,35.67666666666666,879.7000000000002,0.0,30,0.42,6,0,3.15,0,21,15.13,61.806666666666665,-3.5786666666666704
2002-12-01,29.009677419354837,1115.7,0.0,31,0.68,2,0,7.4799999999999995,0,27,16.474193548387095,63.09032258064516,1.7627419354838665
2003-01-01,19.580645161290324,1408.0,0.0,31,0.29000000000000004,3,0,12.2,0,30,17.548387096774192,63.254838709677415,-2.8308064516129043
2003-02-01,21.821428571428573,1209.0,0.0,28,0.04,1,0,0.0,0,27,17.410714285714285,61.021428571428565,-3.410049261083742
2003-03-01,35.86774193548387,903.0999999999999,0.0,31,1.09,8,0,35.84,0,19,17.845161290322583,75.71612903225805,-1.5366129032258087
2003-04-01,48.60333333333333,499.0,7.099999999999994,30,1.99,7,0,2.36,0,9,18.73,62.18333333333333,-1.0831666666666706
