date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2004-09-01,65.39310344827587,76.6,87.99999999999999,29,0.0,0,0,0.0,0,0,10.324137931034482,13.1,-1.302519893899202
2004-10-01,52.75806451612903,384.0999999999999,4.599999999999994,31,0.0,0,0,0.0,0,3,14.525806451612903,43.04516129032258,-1.2578263027295336
2005-01-01,25.845161290322583,1213.8,0.0,31,5.24,15,2,0.0,0,25,15.096774193548388,62.39354838709678,1.4613805549289474
2005-02-01,32.975,896.7,0.0,28,2.3,8,0,0.0,0,21,12.589285714285714,55.66428571428571,5.687503157761778
2005-03-01,36.2,892.8,0.0,31,2.29,11,1,0.0,0,23,15.438709677419356,44.725806451612904,-2.886709677419354
2005-04-01,52.626666666666665,379.3,8.100000000000009,30,1.98,9,0,0.0,0,1,16.09,42.34,1.75004273504274
2005-05-01,59.41290322580645,195.79999999999995,22.599999999999994,31,1.3599999999999999,7,0,0.0,0,1,16.81935483870968,30.580645161290324,-2.644816860003182
2005-06-01,74.98333333333333,4.299999999999997,303.79999999999995,30,3.15,7,1,0.0,10,0,14.466666666666667,21.34,3.3192727674624365
2005-07-01,75.3967741935484,0.09999999999999432,322.40000000000003,31,3.39,6,1,0.0,6,0,12.22258064516129,15.241935483870968,0.5604915565967588
2005-08-01,73.03870967741935,0.5,249.7,31,3.67,7,2,0.0,3,0,10.390322580645162,22.616129032258065,0.0713744914005332
2005-09-01,67.93333333333334,44.60000000000001,132.6,30,2.63,8,0,0.0,2,0,11.753333333333334,24.313333333333333,1.237709991158269
2005-10-01,54.400000000000006,361.90000000000003,33.30000000000001,31,4.26,12,0,0.0,0,3,11.412903225806453,37.461290322580645,0.3841091811414401
2005-11-01,43.46666666666667,646.0,0.0,30,1.8900000000000001,9,0,0.0,0,12,19.703333333333333,38.723333333333336,3.0062324393358892
2005-12-01,24.296774193548387,1261.8,0.0,31,0.98,9,0,0.0,0,23,13.45483870967742,46.57096774193548,-6.080610397861449
