date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,26.416129032258063,1196.1,0.0,31,0.8200000000000001,10,0,78.74,0,26,17.419354838709676,70.83548387096775,0.8419354838709658
2000-02-01,36.234482758620686,834.1999999999999,0.0,29,1.22,4,0,89.07,0,20,18.23793103448276,72.93448275862069,8.00812807881773
2000-03-01,45.725806451612904,601.3999999999999,3.9000000000000057,31,0.7100000000000001,6,0,0.0,0,11,16.82903225806452,61.958064516129035,6.65774193548387
2000-04-01,48.809999999999995,485.7,0.0,30,4.680000000000001,8,2,1.18,0,4,18.13,66.78,-1.4283333333333346
2000-05-01,63.89677419354839,121.5,87.29999999999995,31,5.04,12,0,0.0,0,0,17.206451612903226,71.51290322580645,3.058870967741939
2000-06-01,69.43,37.400000000000006,170.29999999999995,30,5.0200000000000005,15,0,0.0,0,0,16.029999999999998,66.66333333333334,-1.159166666666664
2000-07-01,72.83548387096775,0.0,242.90000000000003,31,3.47,7,1,0.0,0,0,14.793548387096775,65.56129032258065,-2.208548387096755
2000-08-01,74.28064516129032,0.0,287.69999999999993,31,2.98,5,1,0.0,2,0,14.096774193548388,57.26774193548387,0.9122580645161378
2000-09-01,66.29333333333334,90.0,128.8,30,5.83,8,1,0.0,2,0,16.216666666666665,50.3,-0.4098333333333244
2000-10-01,57.71935483870968,245.70000000000002,20.0,31,1.85,9,0,0.0,0,1,14.880645161290323,60.10645161290322,3.734193548387097
2000-11-01,38.84666666666667,785.0,0.4000000000000057,30,2.02,8,0,1.18,0,15,15.956666666666667,77.02,-2.7504999999999953
2000-12-01,18.848387096774193,1430.7,0.0,31,1.68,9,0,288.04,0,30,15.600000000000001,75.04838709677419,-11.451774193548388
2001-01-01,26.43548387096774,1195.5,0.0,31,1.21,5,0,237.83,0,27,14.674193548387096,65.37096774193549,0.8612903225806434
2001-02-01,28.214285714285715,1030.0,0.0,28,2.36,6,0,13.379999999999999,0,26,16.732142857142858,71.85714285714286,-0.01206896551724057
2001-03-01,35.54838709677419,912.9999999999999,0.0,31,1.4000000000000001,6,0,12.12,0,22,17.480645161290322,66.27741935483871,-3.519677419354842
2001-04-01,54.43,333.09999999999997,16.0,30,1.1099999999999999,8,0,1.18,0,4,18.486666666666668,60.86333333333334,4.19166666666667
2001-05-01,62.25483870967742,166.1,81.0,31,3.63,16,0,0.0,0,0,16.85483870967742,71.74516129032257,1.4169354838709722
2001-06-01,70.1,74.89999999999999,227.90000000000003,30,2.66,9,0,0.0,3,0,14.33,57.769999999999996,-0.4891666666666765
2001-07-01,76.33548387096775,0.0,351.4000000000001,31,4.32,8,2,0.0,7,0,14.225806451612904,60.9,1.291451612903245
2001-08-01,74.85483870967742,0.0,305.5000000000001,31,8.129999999999999,16,1,0.0,5,0,13.667741935483871,57.938709677419354,1.4864516129032381
2001-09-01,64.24,92.00000000000003,69.2,30,4.64,9,1,0.0,0,0,15.13,58.54666666666667,-2.463166666666666
2001-10-01,53.751612903225805,356.9,8.200000000000003,31,6.199999999999999,11,1,0.0,0,0,17.980645161290322,71.82903225806452,-0.23354838709677495
2001-11-01,50.016666666666666,449.50000000000006,0.0,30,1.61,10,0,0.0,0,1,16.023333333333333,59.18333333333333,8.4195
2001-12-01,35.21935483870968,923.1999999999999,0.0,31,1.03,9,0,3.54,0,16,15.329032258064515,64.3258064516129,4.919193548387096
