date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,33.99032258064516,961.2999999999998,0.0,31,0.6699999999999999,3,0,30.72,0,26,17.67096774193548,63.270967741935486,1.9682258064516134
2000-02-01,42.0103448275862,666.7,0.0,29,2.73,5,0,5.51,0,17,20.989655172413794,61.36896551724138,7.079729064039405
2000-03-01,48.23870967741936,519.6,0.0,31,6.04,11,2,6.3,0,5,19.858064516129033,67.46451612903226,1.7027419354838713
2000-04-01,55.72,284.4000000000001,6.0,30,1.23,5,0,0.0,0,2,20.403333333333332,56.55,-0.7891666666666737
2000-05-01,69.07096774193548,46.99999999999999,173.2,31,2.9800000000000004,9,1,0.0,6,0,20.135483870967743,62.76129032258064,2.889193548387084
2000-06-01,73.08,3.3999999999999986,245.79999999999998,30,6.91,13,1,0.0,4,0,19.970000000000002,69.11666666666666,-3.49433333333333
2000-07-01,79.8225806451613,0.0,459.5,31,3.45,8,1,0.0,16,0,18.26774193548387,53.03548387096774,-1.0408064516128945
2000-08-01,86.15806451612903,0.0,655.9000000000001,31,0.11,1,0,0.0,28,0,17.98709677419355,51.596774193548384,7.402741935483874
2000-09-01,74.12333333333332,54.39999999999999,328.09999999999997,30,1.03,5,0,0.0,17,0,20.573333333333334,34.776666666666664,3.3814999999999884
2000-10-01,61.36451612903225,160.3,47.59999999999998,31,4.86,8,2,0.0,2,3,18.864516129032257,60.064516129032256,4.055322580645154
2000-11-01,39.769999999999996,756.9000000000001,0.0,30,0.99,4,0,0.0,0,19,17.83,55.19666666666667,-4.865166666666674
2000-12-01,24.44193548387097,1257.3,0.0,31,0.18,3,0,22.439999999999998,0,31,19.94516129032258,62.18387096774194,-9.026612903225804
2001-01-01,32.03225806451613,1022.0,0.0,31,1.46,4,0,5.8999999999999995,0,29,16.725806451612904,59.225806451612904,0.010161290322578509
2001-02-01,32.975,896.7,0.0,28,3.91,7,1,3.54,0,19,18.853571428571428,71.27142857142857,-1.9556157635467954
2001-03-01,42.60645161290322,694.1999999999999,0.0,31,2.26,5,1,0.0,0,16,16.58709677419355,69.45161290322581,-3.9295161290322653
2001-04-01,61.10666666666667,153.79999999999998,37.0,30,1.42,6,0,0.0,0,0,23.396666666666665,55.169999999999995,4.597499999999997
2001-05-01,67.3483870967742,44.5,117.30000000000001,31,3.1399999999999997,11,1,0.0,0,0,20.37741935483871,61.99677419354839,1.1666129032258112
2001-06-01,75.57333333333332,0.0,317.19999999999993,30,4.3100000000000005,6,2,0.0,8,0,20.64333333333333,54.76,-1.0010000000000048
2001-07-01,86.09032258064516,0.0,653.8,31,1.25,3,0,0.0,25,0,18.616129032258065,57.487096774193546,5.2269354838709745
2001-08-01,82.68709677419355,0.0,548.3000000000001,31,1.9,5,0,0.0,25,0,16.62258064516129,46.458064516129035,3.9317741935483923
2001-09-01,69.58,25.599999999999987,163.0,30,3.09,6,1,0.0,2,0,16.283333333333335,44.99666666666667,-1.161833333333334
2001-10-01,58.8258064516129,209.3,17.89999999999999,31,1.06,4,0,0.0,0,0,21.996774193548386,43.84516129032258,1.5166129032257984
2001-11-01,50.81333333333334,425.6,0.0,30,0.65,4,0,0.0,0,9,18.15666666666667,56.806666666666665,6.1781666666666695
2001-12-01,38.79677419354839,812.3000000000001,0.0,31,0.08,2,0,0.0,0,21,20.406451612903226,45.94193548387097,5.328225806451613
2002-01-01,35.73548387096774,907.1999999999998,0.0,31,0.36999999999999994,4,0,1.18,0,24,19.85483870967742,55.57096774193548,3.7133870967741913
2002-02-01,37.253571428571426,776.9,0.0,28,0.8400000000000001,3,0,0.0,0,20,19.932142857142857,53.06428571428571,2.3229556650246295
2002-03-01,42.29677419354839,703.7999999999998,0.0,31,0.42000000000000004,3,0,6.3,0,18,23.661290322580644,56.222580645161294,-4.2391935483870995
2002-04-01,58.193333333333335,243.40000000000003,39.2,30,2.68,8,0,0.0,0,1,21.993333333333332,60.74666666666667,1.6841666666666626
2002-05-01,63.70322580645161,116.2,76.00000000000001,31,5.71,11,3,0.0,0,0,20.6,66.92258064516129,-2.4785483870967795
2002-06-01,76.42333333333333,1.3999999999999986,344.1000000000001,30,5.37,6,3,0.0,9,0,20.743333333333332,49.733333333333334,-0.15099999999999625
2002-07-01,81.29677419354839,0.0,505.20000000000005,31,1.9600000000000002,7,1,0.0,19,0,17.948387096774194,51.07741935483871,0.4333870967741973
2002-08-01,80.07741935483871,0.0,467.3999999999999,31,4.91,4,3,0.0,16,0,17.519354838709678,55.096774193548384,1.3220967741935539
2002-09-01,72.94666666666667,11.699999999999989,250.1,30,0.8300000000000001,4,0,0.0,10,0,17.69,40.61333333333334,2.2048333333333403
2002-10-01,52.432258064516134,407.9000000000001,18.299999999999997,31,8.22,11,3,0.0,0,0,17.13225806451613,64.92903225806451,-4.876935483870966
2002-11-01,44.01,629.7,0.0,30,0.19,2,0,0.0,0,10,17.163333333333334,47.57333333333334,-0.6251666666666722
2002-12-01,35.403225806451616,917.5000000000001,0.0,31,1.05,6,0,27.57,0,21,15.396774193548387,53.50322580645161,1.9346774193548413
2003-01-01,31.661290322580644,1033.5000000000002,0.0,31,0.13,1,0,2.36,0,29,18.748387096774195,49.65161290322581,-0.3608064516129055
2003-02-01,33.16428571428572,891.3999999999999,0.0,28,1.95,9,0,48.81,0,22,15.549999999999999,65.78928571428571,-1.7663300492610787
2003-03-01,45.119354838709675,616.3,0.0,31,3.53,4,2,0.0,0,13,19.283870967741933,50.86774193548387,-1.4166129032258112
