date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,33.141935483870974,987.6,0.0,31,0.19,4,0,0.0,0,23,15.896774193548387,33.619354838709675,2.1988709677419394
2000-02-01,41.93448275862069,668.9,0.0,29,2.16,6,1,0.0,0,16,17.79655172413793,35.782758620689656,7.690030788177339
2000-03-01,48.10645161290322,525.7,2.0,31,2.12,9,0,0.0,0,7,17.280645161290323,41.061290322580646,1.987419354838707
2000-04-01,55.11,303.70000000000005,7.0,30,0.8500000000000001,4,0,0.0,0,1,17.64333333333333,35.093333333333334,-1.6441666666666634
2000-05-01,68.0,51.900000000000006,144.89999999999998,31,2.9,7,1,0.0,0,0,16.677419354838708,39.438709677419354,1.8209677419354904
2000-06-01,71.33999999999999,7.800000000000004,198.00000000000006,30,6.14,14,1,0.0,0,0,15.846666666666666,40.2,-4.084166666666675
2000-07-01,77.7258064516129,0.0,394.5,31,3.5100000000000002,8,0,0.0,11,0,14.112903225806452,23.887096774193548,-1.852096774193555
2000-08-01,82.14516129032258,0.0,531.5,31,1.1400000000000001,6,0,0.0,22,0,13.816129032258065,8.651612903225805,4.242903225806444
2000-09-01,71.08999999999999,57.599999999999994,240.29999999999995,30,2.43,6,0,0.0,7,0,16.076666666666668,15.54,1.1679999999999922
2000-10-01,60.23225806451613,185.20000000000002,37.40000000000002,31,4.46,10,2,0.0,0,3,14.112903225806452,42.08387096774193,2.9795161290322625
2000-11-01,38.093333333333334,807.6,0.4000000000000057,30,1.57,4,0,0.0,0,20,14.856666666666666,37.473333333333336,-7.169333333333334
2000-12-01,20.63548387096774,1375.3,0.0,31,0.38,4,0,0.0,0,31,16.412903225806453,48.39354838709678,-13.42241935483871
2001-01-01,30.13225806451613,1080.9000000000003,0.0,31,1.31,4,0,0.0,0,27,13.529032258064515,40.91290322580645,-0.8108064516129048
2001-02-01,31.557142857142857,936.4,0.0,28,3.0599999999999996,6,0,0.0,0,23,16.17142857142857,50.09285714285714,-2.6873091133004934
2001-03-01,41.432258064516134,730.5999999999999,0.0,31,2.0,6,1,0.0,0,14,14.76774193548387,36.58387096774193,-4.686774193548381
2001-04-01,61.43,175.50000000000003,68.39999999999998,30,2.99,9,1,0.0,0,0,19.91,39.873333333333335,4.675833333333337
2001-05-01,66.49032258064516,64.10000000000001,110.29999999999998,31,5.23,10,1,0.0,0,0,16.961290322580645,33.064516129032256,0.31129032258064626
2001-06-01,72.68,14.700000000000003,245.1,30,6.51,9,3,0.0,0,0,14.99,26.62,-2.7441666666666578
2001-07-01,80.50967741935484,0.0,480.80000000000007,31,3.8000000000000003,8,2,0.0,15,0,13.422580645161291,22.258064516129032,0.9317741935483923
2001-08-01,77.64193548387097,0.0,391.90000000000003,31,4.12,8,2,0.0,10,0,12.13225806451613,16.751612903225805,-0.2603225806451661
2001-09-01,66.56333333333333,55.69999999999999,102.60000000000001,30,3.56,8,1,0.0,0,0,11.753333333333334,25.10666666666667,-3.3586666666666645
2001-10-01,56.854838709677416,260.6,8.099999999999994,31,1.9200000000000002,5,1,0.0,0,1,17.009677419354837,21.338709677419356,-0.3979032258064521
2001-11-01,51.28666666666666,412.0,0.5999999999999943,30,0.77,3,0,0.0,0,5,15.24,36.00666666666667,6.023999999999994
2001-12-01,37.90967741935484,839.8,0.0,31,0.6100000000000001,2,0,0.0,0,20,16.03548387096774,33.66129032258065,3.851774193548394
2002-01-01,34.39032258064516,948.9,0.0,31,1.35,5,0,0.0,0,26,15.729032258064517,28.306451612903224,3.4472580645161273
2002-02-01,37.449999999999996,771.3999999999999,0.0,28,1.1600000000000001,2,1,0.0,0,18,16.985714285714288,28.835714285714285,3.2055480295566454
2002-03-01,41.23225806451613,736.8000000000001,0.0,31,0.79,3,0,0.0,0,16,19.038709677419355,34.31612903225806,-4.8867741935483835
2002-04-01,57.20666666666667,271.8,38.000000000000014,30,4.53,9,2,0.0,0,3,18.25,42.13,0.4525000000000077
2002-05-01,62.16129032258065,137.6,49.599999999999994,31,7.5600000000000005,13,3,0.0,0,0,17.55483870967742,40.76451612903226,-4.017741935483862
2002-06-01,75.32333333333332,0.0,309.70000000000005,30,2.05,7,0,0.0,1,0,14.466666666666667,23.473333333333336,-0.1008333333333411
2002-07-01,80.03225806451613,0.0,465.99999999999994,31,1.69,6,0,0.0,14,0,13.783870967741937,18.138709677419353,0.4543548387096763
2002-08-01,77.9258064516129,0.0,400.7,31,1.77,5,1,0.0,7,0,14.46774193548387,21.26774193548387,0.023548387096766987
2002-09-01,72.54666666666667,14.000000000000007,240.39999999999998,30,2.24,4,0,0.0,7,0,14.883333333333333,17.56,2.62466666666667
2002-10-01,51.61290322580645,433.1000000000001,18.099999999999994,31,3.4,14,0,0.0,0,1,13.896774193548387,51.65161290322581,-5.63983870967742
2002-11-01,42.593333333333334,672.1999999999999,0.0,30,0.31000000000000005,4,0,0.0,0,12,14.833333333333334,31.39,-2.6693333333333342
2002-12-01,37.20967741935484,861.5,0.0,31,0.0,0,0,0.0,0,21,15.02258064516129,27.832258064516132,3.151774193548391
2003-01-01,29.08709677419355,1113.3000000000002,0.0,31,0.22999999999999998,3,0,0.0,0,29,16.45806451612903,32.40967741935484,-1.8559677419354834
2003-02-01,31.667857142857144,933.2999999999998,0.0,28,1.5799999999999998,5,1,0.0,0,24,14.557142857142859,49.25,-2.576594827586206
2003-03-01,44.4741935483871,636.3,0.0,31,1.36,5,0,0.0,0,13,16.751612903225805,37.41935483870968,-1.6448387096774155
2003-04-01,57.269999999999996,264.9,33.000000000000014,30,4.12,8,1,0.0,0,2,17.936666666666667,44.81333333333334,0.5158333333333331
2003-05-01,64.38387096774194,68.29999999999998,49.2,31,2.6199999999999997,11,0,0.0,1,0,15.654838709677419,33.45483870967742,-1.795161290322568
2003-06-01,71.02666666666667,23.9,204.7,30,5.5,12,2,0.0,0,0,13.776666666666667,36.05333333333333,-4.397499999999994
2003-07-01,81.54193548387097,0.0,512.8,31,0.9099999999999999,3,0,0.0,20,0,14.235483870967743,10.748387096774193,1.9640322580645204
2003-08-01,81.30645161290323,0.5999999999999943,506.0999999999999,31,7.57,6,2,0.0,20,0,13.070967741935483,22.23548387096774,3.4041935483870986
2003-09-01,65.09666666666666,77.10000000000001,79.99999999999999,30,2.37,7,0,0.0,0,0,14.81,29.496666666666666,-4.825333333333333
2003-10-01,58.309677419354834,217.1,9.700000000000003,31,0.9,5,0,0.0,0,0,13.67741935483871,26.0258064516129,1.0569354838709657
2003-11-01,44.64,610.8,0.0,30,1.19,6,0,0.0,0,7,15.653333333333334,48.11,-0.6226666666666674
2003-12-01,36.24516129032258,891.4000000000001,0.0,31,2.41,7,0,0.0,0,18,17.39032258064516,41.04838709677419,2.1872580645161293
2004-01-01,28.75483870967742,1123.6,0.0,31,1.08,4,0,0.0,0,25,14.67741935483871,38.12903225806452,-2.188225806451616
2004-02-01,33.224137931034484,921.5000000000001,0.0,29,1.41,8,0,0.0,0,20,14.641379310344828,37.49310344827586,-1.0203140394088663
