date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,32.31935483870968,1013.1000000000001,0.0,31,3.34,11,1,0.0,0,25,16.309677419354838,58.693548387096776,-0.8322580645161253
2000-02-01,42.224137931034484,661.3000000000001,0.7999999999999972,29,4.65,8,2,0.0,0,13,15.817241379310344,51.19655172413793,5.464938423645322
2000-03-01,49.02903225806452,495.0999999999999,0.0,31,3.8200000000000003,8,2,0.0,0,6,13.935483870967742,37.012903225806454,3.190645161290327
2000-04-01,53.626666666666665,343.1,1.9000000000000057,30,4.14,9,2,0.0,0,2,15.333333333333334,47.24,-3.153500000000008
2000-05-01,67.46551724137932,41.80000000000001,113.29999999999998,29,2.23,9,0,0.0,0,0,15.151724137931033,34.3551724137931,1.774338153503905
2000-06-01,73.21666666666667,5.399999999999999,251.89999999999998,30,3.84,11,1,0.0,4,0,13.813333333333333,30.6,0.043166666666664355
2000-07-01,73.70967741935483,0.0,270.00000000000006,31,3.31,8,0,0.0,0,0,11.561290322580644,32.16129032258065,-2.092419354838711
2000-08-01,73.43548387096774,0.0,261.5,31,3.34,12,0,0.0,1,0,12.26774193548387,25.9741935483871,-1.7270967741935408
2000-09-01,65.77333333333334,89.80000000000003,113.0,30,5.35,14,2,0.0,0,0,11.876666666666667,36.4,-3.365166666666653
2000-10-01,58.90967741935484,217.6,28.799999999999983,31,0.5499999999999999,4,0,0.0,0,1,10.66451612903226,24.096774193548388,1.3075806451612948
2000-11-01,43.276666666666664,653.1,1.4000000000000057,30,1.9799999999999998,8,0,0.0,0,12,14.17,51.63333333333333,-2.7991666666666717
2000-12-01,25.45483870967742,1225.8999999999999,0.0,31,3.71,8,1,0.0,0,29,15.003225806451614,68.82903225806452,-11.985645161290318
2001-01-01,31.480645161290322,1039.1000000000001,0.0,31,1.3900000000000001,9,0,0.0,0,24,12.73225806451613,56.148387096774194,-1.6709677419354811
2001-02-01,40.15714285714286,695.5999999999999,0.0,28,4.08,8,1,0.0,0,16,15.978571428571428,57.964285714285715,3.397943349753696
2001-03-01,40.7,753.2999999999998,0.0,31,3.32,13,1,0.0,0,14,14.216129032258063,50.07096774193548,-5.1383870967741885
2001-04-01,59.940000000000005,220.70000000000005,68.89999999999999,30,1.1500000000000001,7,0,0.0,0,2,16.596666666666668,34.87,3.1598333333333315
2001-05-01,66.24193548387096,56.00000000000001,94.49999999999999,31,6.01,15,1,0.0,0,0,13.035483870967743,39.78064516129032,0.550756395995549
2001-06-01,71.42,12.899999999999999,205.50000000000003,30,2.61,11,0,0.0,0,0,11.73,30.566666666666666,-1.7535000000000025
2001-07-01,75.32903225806452,0.0,320.2000000000001,31,5.78,13,2,0.0,1,0,11.73225806451613,31.629032258064516,-0.47306451612902833
2001-08-01,75.41290322580646,0.0,322.80000000000007,31,2.94,11,1,0.0,1,0,11.106451612903227,29.396774193548385,0.2503225806451752
2001-09-01,66.01,87.69999999999999,118.0,30,2.49,8,1,0.0,0,0,12.020000000000001,28.976666666666667,-3.1284999999999883
2001-10-01,56.60645161290322,275.20000000000005,14.999999999999986,31,3.76,8,0,0.0,0,2,15.916129032258064,26.858064516129033,-0.9956451612903265
2001-11-01,52.03666666666666,388.90000000000003,0.0,30,3.32,7,0,0.0,0,3,13.45,27.676666666666666,5.960833333333326
2001-12-01,40.722580645161294,752.6000000000001,0.0,31,2.91,11,0,0.0,0,13,14.503225806451614,48.44193548387097,3.2820967741935547
2002-01-01,38.0516129032258,835.4000000000002,0.0,31,2.34,11,0,0.0,0,20,15.567741935483872,47.57741935483871,4.899999999999999
2002-02-01,37.225,777.7,0.0,28,1.3900000000000001,7,0,0.0,0,22,16.264285714285712,41.51428571428572,0.465800492610839
2002-03-01,44.516129032258064,635.0,0.0,31,6.92,13,2,0.0,0,13,17.09032258064516,57.17741935483871,-1.3222580645161273
2002-04-01,57.919999999999995,256.00000000000006,43.599999999999966,30,5.2700000000000005,12,2,0.0,0,2,15.520000000000001,40.46,1.1398333333333213
2002-05-01,61.829032258064515,164.7,66.39999999999998,31,4.36,11,2,0.0,0,0,14.125806451612902,37.95483870967742,-3.8621468298108965
2002-06-01,74.30333333333333,1.0,280.1,30,2.52,8,0,0.0,2,0,11.713333333333333,32.79333333333334,1.1298333333333233
2002-07-01,78.63548387096773,0.0,422.7,31,1.71,8,0,0.0,13,0,11.72258064516129,26.64516129032258,2.8333870967741888
2002-08-01,77.13225806451612,0.0,376.1,31,2.96,11,0,0.0,10,0,12.583870967741936,22.0,1.9696774193548379
2002-09-01,72.06,15.700000000000003,227.50000000000003,30,5.36,7,2,0.0,6,0,12.01,25.973333333333336,2.921500000000009
2002-10-01,55.9483870967742,320.20000000000005,39.599999999999994,31,6.52,14,3,0.0,0,0,11.548387096774194,59.21612903225807,-1.65370967741935
