date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,50.567741935483866,461.90000000000003,14.5,31,2.67,3,2,1.18,0,7,12.680645161290323,44.23870967741936,3.371451612903222
2000-02-01,56.810344827586206,256.6,19.10000000000001,29,1.69,5,1,0.0,0,2,13.910344827586206,35.88965517241379,6.1249815270935954
2000-03-01,61.6741935483871,151.29999999999998,48.19999999999999,31,8.33,11,3,0.0,0,0,13.858064516129033,44.12903225806452,2.9491935483871003
2000-04-01,63.99333333333333,89.10000000000001,58.90000000000002,30,5.67,10,2,0.0,0,0,13.816666666666666,38.10333333333333,-2.2765000000000057
2000-05-01,75.9,0.29999999999999716,338.2,31,9.6,12,3,0.0,6,0,14.429032258064517,42.84838709677419,1.762580645161293
2000-06-01,79.06333333333333,0.0,421.90000000000003,30,5.81,15,1,0.0,11,0,11.783333333333333,32.263333333333335,-1.5589999999999975
2000-07-01,84.28709677419356,0.0,597.9,31,2.1799999999999997,6,1,0.0,25,0,10.748387096774193,13.038709677419355,1.0240322580645227
2000-08-01,87.35483870967742,0.0,692.9999999999999,31,0.12,3,0,0.0,31,0,11.13225806451613,3.903225806451613,3.8970967741935425
2000-09-01,76.01,16.6,346.90000000000003,30,1.91,8,0,0.0,11,0,11.383333333333333,25.616666666666667,-1.4994999999999976
2000-10-01,66.33548387096775,88.70000000000002,130.10000000000002,31,2.18,4,1,0.0,0,0,10.293548387096775,27.774193548387096,-0.37999999999999545
2000-11-01,51.52333333333333,417.7,13.399999999999991,30,14.62,19,6,0.0,0,2,11.953333333333335,52.53333333333333,-4.857833333333325
2000-12-01,38.832258064516125,811.2,0.0,31,9.18,9,4,0.0,0,14,13.63225806451613,51.1741935483871,-10.000806451612902
2001-01-01,42.10967741935484,709.6,0.0,31,7.02,11,4,3.15,0,14,12.33548387096774,44.73870967741936,-5.086612903225806
2001-02-01,52.1,365.1,3.9000000000000057,28,7.859999999999999,12,3,0.0,0,3,13.775,59.525,1.4146366995073905
2001-03-01,52.67741935483871,382.00000000000006,0.0,31,7.3999999999999995,13,3,0.0,0,0,12.009677419354839,47.877419354838715,-6.04758064516129
2001-04-01,68.58999999999999,32.4,140.10000000000005,30,1.1300000000000001,6,0,0.0,0,0,14.8,44.35,2.320166666666651
2001-05-01,74.19032258064516,0.7000000000000028,285.59999999999997,31,4.77,9,2,0.0,0,0,13.635483870967741,29.603225806451615,0.05290322580644613
2001-06-01,77.45,0.0,373.5,30,6.619999999999999,9,2,0.0,4,0,11.520000000000001,29.08,-3.1723333333333272
2001-07-01,83.61290322580645,0.0,577.0000000000001,31,1.29,6,0,0.0,25,0,9.848387096774195,18.861290322580647,0.3498387096774138
2001-08-01,81.83225806451614,0.0,521.7999999999998,31,5.22,14,1,0.0,22,0,11.974193548387097,21.53548387096774,-1.6254838709677415
2001-09-01,73.26666666666667,13.5,261.5,30,6.24,12,2,0.0,1,0,10.15,30.973333333333333,-4.242833333333337
2001-10-01,62.94193548387097,132.9,69.10000000000001,31,4.43,4,2,0.0,0,0,11.98709677419355,25.80322580645161,-3.773548387096774
2001-11-01,59.09666666666667,193.5,16.39999999999999,30,5.51,6,2,0.0,0,1,11.613333333333333,33.67,2.715500000000013
2001-12-01,51.0516129032258,445.70000000000005,13.299999999999983,31,6.6000000000000005,7,2,0.0,0,4,11.85483870967742,36.619354838709675,2.2185483870967744
2002-01-01,49.26774193548387,505.5,17.799999999999997,31,2.14,6,1,0.0,0,9,14.029032258064515,42.58387096774193,2.0714516129032248
2002-02-01,47.00714285714286,503.79999999999995,0.0,28,2.9,4,1,0.0,0,6,13.085714285714285,33.075,-3.678220443349751
2002-03-01,55.34838709677419,323.8999999999999,24.700000000000003,31,6.409999999999999,13,2,0.0,0,4,15.87741935483871,55.54516129032258,-3.376612903225812
2002-04-01,69.11666666666666,52.60000000000001,176.1,30,2.54,4,1,0.0,0,0,15.073333333333332,45.05,2.846833333333322
2002-05-01,72.94516129032259,9.200000000000003,255.50000000000003,31,3.5300000000000002,7,1,0.0,1,0,13.770967741935483,37.81290322580645,-1.1922580645161247
2002-06-01,78.98666666666666,0.0,419.59999999999997,30,2.41,10,1,0.0,8,0,11.93,25.823333333333334,-1.6356666666666655
2002-07-01,82.6,0.0,545.5999999999999,31,5.01,9,1,0.0,22,0,11.66451612903226,22.806451612903224,-0.6630645161290403
2002-08-01,82.64516129032258,0.0,547.0,31,1.58,6,0,0.0,24,0,11.783870967741937,21.187096774193545,-0.8125806451613045
2002-09-01,78.10333333333332,0.0,393.0999999999999,30,2.14,10,0,0.0,13,0,12.286666666666667,28.096666666666668,0.5938333333333219
2002-10-01,66.04838709677419,59.8,92.29999999999998,31,6.5,11,3,0.0,2,0,10.40967741935484,59.36774193548386,-0.6670967741935527
2002-11-01,53.016666666666666,372.70000000000005,13.200000000000003,30,3.39,10,1,0.0,0,1,12.393333333333334,34.1,-3.3644999999999925
2002-12-01,48.26774193548387,525.8,7.099999999999994,31,8.42,10,3,0.0,0,8,13.625806451612902,51.79354838709677,-0.5653225806451587
2003-01-01,44.829032258064515,625.3000000000001,0.0,31,0.18000000000000002,2,0,0.0,0,10,13.406451612903227,41.89032258064517,-2.367258064516129
2003-02-01,47.25,496.99999999999994,0.0,28,7.970000000000001,14,2,0.0,0,3,14.110714285714286,65.13214285714285,-3.435363300492611
2003-03-01,56.33548387096774,271.49999999999994,2.9000000000000057,31,2.42,5,1,0.0,0,0,13.119354838709677,40.23870967741936,-2.389516129032259
2003-04-01,66.60666666666667,49.4,97.6,30,3.6399999999999997,5,1,0.0,0,0,14.093333333333334,27.016666666666666,0.3368333333333311
2003-05-01,75.7258064516129,0.0,332.5,31,1.99,8,0,0.0,2,0,13.922580645161291,40.95161290322581,1.5883870967741842
2003-06-01,78.24333333333334,0.0,397.3,30,4.56,11,2,0.0,6,0,11.303333333333335,34.9,-2.3789999999999907
2003-07-01,82.64838709677419,0.0,547.1,31,3.2800000000000002,12,0,0.0,26,0,11.716129032258063,20.73225806451613,-0.6146774193548481
2003-08-01,82.78709677419356,0.0,551.4,31,4.02,7,1,0.0,26,0,10.303225806451614,19.174193548387095,-0.6706451612903237
2003-09-01,74.38333333333334,3.799999999999997,285.30000000000007,30,3.53,7,1,0.0,0,0,9.846666666666668,26.313333333333333,-3.1261666666666628
2003-10-01,67.6516129032258,37.39999999999999,119.60000000000001,31,1.55,6,0,0.0,0,0,10.938709677419356,26.32903225806452,0.9361290322580516
2003-11-01,59.99333333333333,201.49999999999994,51.29999999999998,30,2.71,8,1,0.0,0,3,13.716666666666667,46.07333333333334,3.612166666666674
2003-12-01,48.064516129032256,525.0,0.0,31,4.1899999999999995,6,1,0.0,0,9,13.938709677419356,31.861290322580643,-0.7685483870967715
2004-01-01,48.119354838709675,531.6999999999999,8.400000000000006,31,4.319999999999999,10,1,0.0,0,8,12.44516129032258,50.435483870967744,0.9230645161290312
2004-02-01,46.11724137931035,547.6,0.0,29,8.33,15,3,0.0,0,4,13.200000000000001,51.97241379310345,-4.568121921182261
2004-03-01,62.167741935483875,128.10000000000002,40.29999999999998,31,4.93,10,1,0.0,0,0,13.922580645161291,46.73548387096774,3.4427419354838733
2004-04-01,65.44333333333333,77.60000000000001,90.89999999999998,30,4.55,9,2,0.0,0,0,14.143333333333334,35.49,-0.82650000000001
2004-05-01,74.13548387096773,8.400000000000006,291.59999999999997,31,5.48,8,2,0.0,0,0,14.12258064516129,43.07096774193548,-0.0019354838709801925
2004-06-01,77.74,0.0,382.20000000000005,30,20.71,19,9,0.0,7,0,12.903333333333334,45.85,-2.882333333333335
2004-07-01,82.01935483870967,0.0,527.6,31,1.47,4,1,0.0,17,0,10.480645161290322,21.067741935483873,-1.2437096774193606
2004-08-01,79.50967741935484,0.0,449.8,31,3.2399999999999998,8,0,0.0,15,0,10.125806451612902,24.006451612903227,-3.948064516129037
2004-09-01,76.75666666666666,0.0,352.70000000000005,30,3.8899999999999997,5,1,0.0,12,0,9.913333333333332,21.203333333333333,-0.7528333333333421
2004-10-01,72.97741935483872,13.100000000000001,260.4,31,7.92,11,2,0.0,0,0,12.858064516129033,47.42580645161291,6.261935483870971
2004-11-01,58.49333333333333,202.80000000000007,7.6000000000000085,30,10.07,13,2,0.0,0,0,12.746666666666666,58.39,2.112166666666674
2004-12-01,48.16451612903226,523.8000000000001,1.9000000000000057,31,3.31,8,1,0.0,0,10,12.435483870967742,26.787096774193547,-0.6685483870967701
2005-01-01,50.42258064516129,466.59999999999997,14.700000000000003,31,4.3,10,1,0.0,0,6,12.719354838709679,50.932258064516134,3.2262903225806454
2005-02-01,53.410714285714285,336.7,12.200000000000003,28,4.06,11,1,0.0,0,0,12.535714285714286,52.332142857142856,2.7253509852216737
2005-03-01,57.44193548387097,249.2,14.900000000000006,31,2.06,9,0,0.0,0,0,14.474193548387097,42.6,-1.2830645161290306
2005-04-01,65.14333333333333,56.6,60.90000000000002,30,5.52,9,1,0.0,0,0,14.639999999999999,31.209999999999997,-1.1265000000000072
2005-05-01,72.60967741935484,25.400000000000006,261.29999999999995,31,0.88,6,0,0.0,5,0,10.783870967741937,28.706451612903226,-1.5277419354838742
2005-06-01,81.83666666666666,0.0,505.0999999999999,30,1.04,6,0,0.0,23,0,11.196666666666665,23.84,1.2143333333333288
2005-07-01,82.57096774193548,0.0,544.7,31,7.58,9,2,0.0,26,0,11.419354838709678,25.370967741935484,-0.6920967741935584
2005-08-01,83.95806451612903,0.0,587.6999999999999,31,2.3400000000000003,11,1,0.0,26,0,12.641935483870967,15.438709677419354,0.5003225806451468
2005-09-01,81.1,0.0,482.99999999999994,30,6.07,4,1,0.0,26,0,10.903333333333334,22.296666666666667,3.5904999999999916
2005-10-01,65.46451612903226,121.0,135.39999999999998,31,1.28,2,1,0.0,0,0,10.125806451612902,13.825806451612904,-1.250967741935483
2005-11-01,59.56666666666667,228.3,65.29999999999998,30,1.1099999999999999,7,0,0.0,0,3,12.653333333333334,37.18,3.1855000000000118
2005-12-01,47.88387096774194,536.7,6.099999999999994,31,1.33,5,0,0.0,0,7,12.361290322580645,35.170967741935485,-0.9491935483870861
2006-01-01,54.42580645161291,332.2,4.3999999999999915,31,5.76,8,2,0.0,0,1,14.629032258064516,30.783870967741933,7.2295161290322625
2006-02-01,47.71785714285714,486.4,2.5,28,5.05,9,2,0.0,0,7,13.514285714285714,46.53928571428571,-2.9675061576354693
2006-03-01,60.28709677419355,199.3,53.19999999999999,31,6.52,9,2,0.0,0,1,15.235483870967743,47.11290322580645,1.5620967741935488
2006-04-01,70.41666666666667,20.299999999999997,182.8,30,2.08,5,0,0.0,1,0,14.106666666666666,31.240000000000002,4.146833333333333
2006-05-01,74.57741935483871,1.0,297.9,31,1.6199999999999999,7,0,0.0,3,0,12.619354838709677,30.503225806451614,0.4399999999999977
2006-06-01,79.56666666666666,0.0,437.0,30,3.01,9,0,0.0,14,0,10.766666666666667,17.720000000000002,-1.0556666666666672
2006-07-01,83.98709677419355,0.0,588.5999999999999,31,5.0200000000000005,8,1,0.0,23,0,12.332258064516129,24.838709677419356,0.7240322580645113
2006-08-01,84.91612903225807,0.0,617.4,31,0.64,6,0,0.0,29,0,11.058064516129033,18.351612903225806,1.4583870967741888
2006-09-01,75.48,0.5999999999999943,315.0,30,4.42,4,2,0.0,10,0,11.71,22.89,-2.0294999999999987
2006-10-01,65.33870967741936,105.9,116.40000000000002,31,5.33,7,3,0.0,2,0,12.103225806451613,30.08709677419355,-1.3767741935483855
2006-11-01,55.65,299.8,19.299999999999997,30,3.2,8,1,0.0,0,4,12.139999999999999,34.90333333333333,-0.7311666666666596
2006-12-01,49.619354838709675,478.1,1.2999999999999972,31,5.470000000000001,8,1,0.0,0,9,11.993548387096775,44.10322580645161,0.7862903225806477
2007-01-01,45.11290322580645,620.1999999999999,3.6999999999999886,31,8.29,13,3,0.0,0,10,11.496774193548386,48.75483870967742,-2.083387096774196
2007-02-01,49.074999999999996,447.70000000000005,1.8000000000000114,28,3.52,5,2,0.0,0,6,14.178571428571429,47.73571428571428,-1.6103633004926152
2007-03-01,63.245161290322585,118.4,64.00000000000004,31,1.27,6,0,0.0,0,1,13.570967741935483,38.332258064516125,4.520161290322584
2007-04-01,62.86666666666667,134.3,70.29999999999998,30,2.2,5,1,0.0,0,0,13.17,45.016666666666666,-3.403166666666671
2007-05-01,73.14516129032258,0.0,252.5,31,4.14,11,1,0.0,0,0,12.093548387096773,41.3258064516129,-0.9922580645161361
2007-06-01,79.16666666666667,0.0,424.99999999999994,30,4.57,16,0,0.0,12,0,11.853333333333333,35.809999999999995,-1.4556666666666587
2007-07-01,78.60645161290323,0.0,421.80000000000007,31,10.45,16,4,0.0,5,0,11.258064516129032,38.36774193548387,-4.656612903225806
2007-08-01,84.47741935483872,0.0,603.8,31,0.15,2,0,0.0,30,0,9.748387096774193,17.538709677419355,1.019677419354835
2007-09-01,77.57,0.0,377.1,30,2.37,7,1,0.0,14,0,9.983333333333333,29.99,0.06049999999999045
2007-10-01,67.42903225806452,92.5,167.79999999999995,31,1.7899999999999998,4,1,0.0,1,0,11.038709677419355,28.948387096774194,0.7135483870967789
2007-11-01,57.60666666666667,253.19999999999996,31.40000000000002,30,2.81,5,2,0.0,0,0,11.129999999999999,47.04333333333333,1.225500000000011
2007-12-01,51.34516129032258,443.79999999999995,20.5,31,4.6,8,2,0.0,0,9,12.964516129032257,48.170967741935485,2.5120967741935516
2008-01-01,44.958064516129035,629.3000000000001,8.0,31,2.55,11,0,0.0,0,9,13.77741935483871,53.39032258064516,-2.2382258064516094
2008-02-01,52.47931034482759,372.29999999999995,9.200000000000003,29,6.71,9,2,0.0,0,5,14.706896551724139,43.66896551724138,1.7939470443349776
2008-03-01,59.167741935483875,224.20000000000002,43.39999999999999,31,3.6,12,0,0.0,0,0,16.432258064516127,47.07741935483871,0.4427419354838733
2008-04-01,64.89,88.69999999999999,85.39999999999998,30,1.9900000000000002,7,1,0.0,0,0,14.966666666666667,41.25333333333333,-1.3798333333333375
2008-05-01,73.20645161290322,6.699999999999996,261.1,31,4.25,7,1,0.0,4,0,14.087096774193547,36.854838709677416,-0.9309677419354898
2008-06-01,80.58333333333333,0.0,467.5,30,5.4399999999999995,7,3,0.0,18,0,13.393333333333334,26.6,-0.03900000000000148
2008-07-01,84.11612903225806,0.0,592.6000000000001,31,0.82,6,0,0.0,28,0,10.96774193548387,12.935483870967742,0.8530645161290238
2008-08-01,80.97741935483872,0.0,495.30000000000007,31,4.17,13,1,0.0,18,0,10.464516129032257,36.53548387096774,-2.480322580645165
2008-09-01,73.15333333333334,0.4000000000000057,245.0,30,4.33,8,1,0.0,1,0,10.74,35.233333333333334,-4.356166666666667
2008-10-01,64.0741935483871,101.69999999999999,72.99999999999997,31,2.0500000000000003,4,1,0.0,0,0,10.264516129032257,21.812903225806455,-2.6412903225806446
2008-11-01,54.75,311.1,3.5999999999999943,30,5.8,6,2,0.0,0,2,11.786666666666667,46.25666666666667,-1.6311666666666582
2008-12-01,48.58709677419355,516.0000000000001,7.200000000000003,31,3.03,10,1,0.0,0,11,14.138709677419355,61.78709677419355,-0.24596774193548043
2009-01-01,46.91290322580645,564.8000000000001,4.099999999999994,31,1.99,5,1,0.0,0,11,13.516129032258064,48.564516129032256,-0.2833870967741916
2009-02-01,54.21071428571429,317.79999999999995,15.700000000000003,28,1.9700000000000002,7,0,0.0,0,5,15.303571428571429,40.035714285714285,3.525350985221678
2009-03-01,57.564516129032256,271.4,40.900000000000006,31,6.1,9,1,0.0,0,3,14.429032258064517,48.167741935483875,-1.1604838709677452
2009-04-01,64.16666666666667,103.80000000000001,78.8,30,4.42,9,1,0.0,0,0,16.356666666666666,33.5,-2.1031666666666666
2009-05-01,72.25483870967743,3.20000000000001,228.09999999999997,31,6.79,11,2,0.0,0,0,11.990322580645161,45.70967741935484,-1.8825806451612834
