date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,27.648387096774194,1157.8999999999999,0.0,31,4.07,7,2,40.61,0,25,18.88064516129032,60.02903225806452,-1.4061290322580646
2000-02-01,33.96206896551724,900.1,0.0,29,2.74,7,1,42.69,0,21,17.606896551724137,61.648275862068964,2.8895443349753656
2000-03-01,42.97741935483871,682.6999999999998,0.0,31,4.97,8,3,2.54,0,7,18.309677419354838,62.938709677419354,5.221774193548384
2000-04-01,47.03333333333333,538.9999999999999,0.0,30,5.28,13,1,0.0,0,1,19.226666666666667,78.62666666666668,-1.3591666666666669
2000-05-01,57.88709677419355,238.2,17.700000000000003,31,3.68,12,0,0.0,0,0,16.49032258064516,71.29677419354839,-0.17419354838709467
2000-06-01,67.19,67.5,133.20000000000002,30,5.7,12,1,0.0,1,0,15.653333333333334,70.44,0.5693333333333328
2000-07-01,70.12903225806451,2.200000000000003,161.19999999999996,31,3.84,11,0,0.0,0,0,14.112903225806452,71.20967741935483,-2.5938709677419354
2000-08-01,69.8258064516129,3.999999999999993,153.6,31,2.4299999999999997,14,0,0.0,0,0,14.0,65.4774193548387,-1.5769354838709688
2000-09-01,63.45,114.19999999999999,67.69999999999999,30,3.65,10,1,0.0,0,0,14.316666666666666,57.20333333333333,-1.007166666666663
2000-10-01,53.141935483870974,367.70000000000005,0.09999999999999432,31,1.78,8,0,0.0,0,0,14.387096774193548,58.622580645161285,-0.36935483870967545
2000-11-01,43.263333333333335,652.1,0.0,30,5.16,8,2,0.0,0,8,13.99,69.67666666666668,-0.4435000000000002
2000-12-01,29.42258064516129,1102.8999999999999,0.0,31,4.74,9,1,13.209999999999999,0,29,17.27741935483871,53.1741935483871,-5.277419354838713
2001-01-01,29.68064516129032,1094.9,0.0,31,2.26,10,0,46.16,0,30,13.67741935483871,56.900000000000006,0.6261290322580635
2001-02-01,32.253571428571426,916.9,0.0,28,1.87,10,0,19.68,0,23,18.317857142857143,58.021428571428565,1.181046798029552
2001-03-01,36.00322580645161,898.9000000000001,0.0,31,8.370000000000001,11,3,56.32,0,20,17.9741935483871,71.11612903225806,-1.7524193548387146
2001-04-01,48.4,500.20000000000005,2.200000000000003,30,1.8099999999999998,7,0,0.0,0,1,16.37,62.376666666666665,0.007500000000000284
2001-05-01,59.86774193548387,211.89999999999995,52.8,31,3.4699999999999998,8,1,0.0,0,0,16.351612903225806,63.05483870967742,1.8064516129032242
2001-06-01,70.37333333333332,18.5,179.70000000000002,30,6.55,9,3,0.0,1,0,14.543333333333333,58.763333333333335,3.7526666666666557
2001-07-01,69.60967741935484,2.700000000000003,145.59999999999997,31,2.14,8,0,0.0,2,0,15.064516129032258,54.55483870967742,-3.1132258064516094
2001-08-01,73.8225806451613,0.0,273.5,31,4.99,11,1,0.0,5,0,13.503225806451614,65.04838709677419,2.419838709677421
2001-09-01,64.72333333333333,77.10000000000001,68.80000000000001,30,3.45,8,1,0.0,0,0,14.676666666666668,54.86,0.26616666666666333
2001-10-01,54.97741935483871,317.3,6.599999999999994,31,0.77,7,0,0.0,0,2,15.73225806451613,49.696774193548386,1.4661290322580598
2001-11-01,48.00333333333333,509.90000000000003,0.0,30,0.28,6,0,0.0,0,7,14.746666666666666,58.583333333333336,4.296499999999995
2001-12-01,39.435483870967744,792.4999999999999,0.0,31,2.59,9,0,6.3,0,15,13.429032258064517,51.76451612903226,4.735483870967741
2002-01-01,35.303225806451614,920.6,0.0,31,2.71,12,0,12.42,0,24,14.174193548387096,53.70322580645161,6.248709677419356
2002-02-01,35.57142857142857,824.0,0.0,28,1.8,7,0,1.18,0,22,16.72142857142857,43.71785714285714,4.498903940886695
2002-03-01,39.983870967741936,775.4999999999999,0.0,31,4.42,12,1,3.15,0,15,15.993548387096775,57.40967741935484,2.2282258064516114
2002-04-01,49.85333333333333,463.2,8.799999999999997,30,3.19,11,0,0.0,1,2,15.376666666666667,55.193333333333335,1.4608333333333334
