date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,26.9,1181.1,0.0,31,5.74,15,2,11.15,0,25,18.280645161290323,41.74516129032258,-2.4922580645161325
2000-02-01,33.751724137931035,906.2000000000002,0.0,29,4.43,11,1,8.95,0,19,16.541379310344826,48.37241379310345,2.551590038314174
2000-03-01,41.76774193548387,720.2,0.0,31,5.8,10,4,2.36,0,12,16.822580645161292,51.403225806451616,4.6361290322580615
2000-04-01,45.84666666666667,574.5999999999999,0.0,30,8.4,19,1,0.0,0,5,17.733333333333334,64.76,-1.1424999999999912
2000-05-01,55.832258064516125,295.2,11.0,31,3.86,11,0,0.0,0,2,13.948387096774194,53.693548387096776,-0.875
2000-06-01,65.18666666666667,88.20000000000002,93.79999999999997,30,4.46,13,1,0.0,0,0,14.716666666666667,39.78333333333333,-0.40766666666665685
2000-07-01,67.95483870967742,12.099999999999994,103.69999999999997,31,4.95,13,2,0.0,0,0,13.158064516129032,43.377419354838715,-4.177473118279579
2000-08-01,68.02258064516128,20.699999999999996,114.4,31,4.76,16,1,0.0,0,0,12.216129032258063,42.66451612903226,-3.0476129032258115
2000-09-01,61.556666666666665,147.4,44.10000000000001,30,3.2600000000000002,9,1,0.0,0,0,13.526666666666667,37.96,-2.627666666666677
2000-10-01,51.4741935483871,419.30000000000007,0.0,31,4.65,9,2,0.0,0,1,13.425806451612903,39.593548387096774,-2.1969354838709663
2000-11-01,41.93333333333333,692.0,0.0,30,4.84,11,1,0.0,0,10,15.753333333333334,58.99666666666667,-2.0350000000000037
2000-12-01,28.719354838709677,1124.7,0.0,31,4.7700000000000005,10,2,3.54,0,29,17.19677419354839,39.05483870967742,-6.469838709677418
2001-01-01,28.43548387096774,1133.5,0.0,31,3.18,10,0,31.79,0,30,13.380645161290323,39.68064516129032,-0.9567741935483909
2001-02-01,31.678571428571427,932.9999999999999,0.0,28,3.42,12,1,8.92,0,26,17.364285714285714,39.86071428571428,0.47843732895456625
2001-03-01,35.05806451612903,928.2,0.0,31,14.53,15,4,14.77,0,22,18.393548387096775,57.84516129032258,-2.0735483870967784
2001-04-01,45.309999999999995,590.7000000000002,0.0,30,2.52,11,0,0.0,0,14,16.053333333333335,39.42666666666666,-1.6791666666666671
2001-05-01,57.277419354838706,262.0,22.599999999999994,31,6.24,8,2,0.0,0,2,14.609677419354838,45.63870967741936,0.5701612903225808
2001-06-01,68.53999999999999,25.19999999999999,131.39999999999998,30,6.35,8,3,0.0,0,0,12.65,36.190000000000005,2.9456666666666678
2001-07-01,67.47096774193548,22.20000000000001,98.80000000000003,31,3.94,10,1,0.0,1,0,13.76774193548387,29.193548387096776,-4.661344086021515
2001-08-01,72.15806451612903,3.200000000000003,225.09999999999997,31,4.66,13,0,0.0,2,0,12.412903225806453,34.70645161290323,1.0878709677419351
2001-09-01,63.193333333333335,109.00000000000003,54.800000000000026,30,3.89,11,1,0.0,0,0,13.823333333333332,35.89333333333333,-0.9910000000000068
2001-10-01,53.74193548387097,353.6000000000001,4.599999999999994,31,2.0,9,1,0.0,0,6,16.15483870967742,32.86129032258064,0.07080645161290278
2001-11-01,46.57666666666667,552.7,0.0,30,1.26,10,0,0.0,0,10,14.889999999999999,41.02333333333333,2.6083333333333343
2001-12-01,38.877419354838715,809.8,0.0,31,4.15,12,1,1.18,0,19,14.5,40.88709677419355,3.6882258064516193
2002-01-01,34.50645161290323,945.3000000000001,0.0,31,5.7,15,1,8.79,0,22,15.738709677419356,39.9741935483871,5.114193548387096
2002-02-01,34.417857142857144,856.3000000000001,0.0,28,3.61,9,0,1.18,0,24,17.475,36.69285714285714,3.2177230432402837
2002-03-01,39.7,784.3000000000001,0.0,31,6.87,15,2,2.36,0,19,17.580645161290324,50.832258064516125,2.5683870967741953
2002-04-01,48.07666666666667,512.5,4.799999999999997,30,4.35,14,1,0.0,1,5,15.706666666666667,50.43,1.0875000000000057
2002-05-01,55.0258064516129,314.1,4.900000000000006,31,7.25,10,3,0.0,0,0,17.23225806451613,45.10645161290322,-1.6814516129032242
2002-06-01,63.519999999999996,109.6,65.19999999999999,30,4.38,10,2,0.0,0,0,14.3,38.53,-2.0743333333333283
2002-07-01,72.09354838709677,10.200000000000003,230.09999999999997,31,1.22,6,0,0.0,7,0,14.47741935483871,27.438709677419357,-0.03876344086022243
2002-08-01,71.47741935483872,9.199999999999989,210.0,31,1.61,9,0,0.0,5,0,13.993548387096775,31.55483870967742,0.40722580645162054
2002-09-01,65.03666666666666,63.700000000000024,64.80000000000001,30,5.51,11,1,0.0,0,0,14.083333333333334,40.086666666666666,0.8523333333333198
2002-10-01,50.15483870967742,475.09999999999997,14.899999999999991,31,4.279999999999999,10,2,0.0,0,9,14.896774193548387,41.23225806451613,-3.5162903225806446
2002-11-01,42.11,686.6999999999999,0.0,30,7.25,13,1,0.0,0,15,17.486666666666668,51.42333333333333,-1.8583333333333343
2002-12-01,31.67096774193548,1033.2,0.0,31,8.16,16,3,23.23,0,26,17.870967741935484,40.064516129032256,-3.518225806451614
2003-01-01,24.503225806451614,1255.4,0.0,31,3.35,14,1,10.62,0,29,18.05483870967742,52.70967741935484,-4.889032258064518
2003-02-01,25.557142857142857,1104.3999999999999,0.0,28,5.66,13,1,162.07,0,23,17.867857142857144,45.94285714285714,-5.642991242474004
2003-03-01,36.37096774193548,887.5,0.0,31,7.75,14,3,25.259999999999998,0,21,16.438709677419357,49.21935483870968,-0.7606451612903271
2003-04-01,42.376666666666665,678.6999999999999,0.0,30,6.97,14,3,1.57,0,12,17.60666666666667,49.593333333333334,-4.612499999999997
2003-05-01,52.854838709677416,376.5,0.0,31,3.8,14,1,0.0,0,0,14.264516129032257,60.6741935483871,-3.852419354838709
2003-06-01,62.769999999999996,124.89999999999999,57.999999999999986,30,8.02,12,2,0.0,0,0,12.686666666666667,49.266666666666666,-2.8243333333333283
2003-07-01,71.77741935483871,0.0,210.10000000000002,31,5.67,11,3,0.0,1,0,13.19032258064516,34.52903225806452,-0.35489247311828365
2003-08-01,72.23870967741935,8.800000000000004,233.2,31,8.72,15,3,0.0,0,0,13.106451612903227,46.851612903225806,1.1685161290322554
2003-09-01,64.05666666666667,75.60000000000002,47.30000000000004,30,4.36,8,2,0.0,0,0,12.603333333333333,41.11666666666667,-0.12766666666666993
2003-10-01,50.54838709677419,448.0,0.0,31,6.67,14,2,0.0,0,6,15.025806451612903,48.49032258064516,-3.122741935483873
2003-11-01,44.093333333333334,627.1999999999998,0.0,30,3.3800000000000003,13,0,0.0,0,12,14.773333333333333,48.623333333333335,0.125
2003-12-01,34.88387096774194,933.6,0.0,31,9.09,12,4,17.71,0,22,18.309677419354838,39.0258064516129,-0.3053225806451536
2004-01-01,20.0258064516129,1394.1999999999998,0.0,31,1.7,9,0,21.52,0,28,17.441935483870967,40.78709677419355,-9.36645161290323
2004-02-01,30.655172413793103,996.0,0.0,29,2.6,7,0,15.94,0,28,16.186206896551724,33.38965517241379,-0.5449616858237576
2004-03-01,36.596774193548384,880.4999999999999,0.0,31,2.46,15,0,13.34,0,19,18.009677419354837,57.435483870967744,-0.5348387096774232
2004-04-01,46.440000000000005,556.8,0.0,30,7.28,13,2,0.0,0,9,16.91,52.693333333333335,-0.5491666666666575
2004-05-01,56.63225806451613,271.30000000000007,11.900000000000006,31,3.4,13,0,0.0,0,1,16.074193548387097,56.34838709677419,-0.07499999999999574
2004-06-01,63.95666666666667,92.0,60.70000000000003,30,3.19,10,1,0.0,0,0,14.03,38.49666666666667,-1.6376666666666537
2004-07-01,69.06451612903226,10.300000000000004,136.29999999999995,31,2.4,11,0,0.0,0,0,13.206451612903225,50.21612903225807,-3.0677956989247406
2004-08-01,69.11612903225806,27.9,155.5,31,8.040000000000001,12,3,0.0,0,0,13.558064516129033,45.693548387096776,-1.954064516129037
2004-09-01,62.74,109.10000000000002,41.3,30,8.530000000000001,10,4,0.0,0,0,13.103333333333333,35.67333333333333,-1.44433333333334
2004-10-01,51.725806451612904,411.50000000000006,0.0,31,2.31,16,0,0.0,0,2,14.825806451612904,53.670967741935485,-1.9453225806451613
2004-11-01,42.336666666666666,679.9000000000001,0.0,30,4.86,10,0,0.0,0,14,15.07,38.40333333333333,-1.6316666666666677
2004-12-01,34.53225806451613,944.5000000000001,0.0,31,5.26,14,1,35.53,0,24,16.306451612903224,49.45483870967742,-0.6569354838709671
2005-01-01,26.403225806451612,1196.5000000000002,0.0,31,3.91,12,0,0.0,0,27,17.206451612903226,50.97741935483871,-2.989032258064519
2005-02-01,29.599999999999998,991.2000000000002,0.0,28,2.6700000000000004,12,0,0.0,0,26,15.05,40.607142857142854,-1.600134099616863
2005-03-01,32.21290322580645,1016.4,0.0,31,5.83,9,3,0.0,0,30,16.85483870967742,34.809677419354834,-4.918709677419358
2005-04-01,47.163333333333334,535.6000000000001,0.5,30,5.05,10,2,0.0,0,9,17.11,39.11333333333334,0.1741666666666717
2005-05-01,49.78387096774193,471.7,0.0,31,7.109999999999999,16,2,0.0,0,1,16.125806451612906,61.84516129032258,-6.923387096774192
2005-06-01,66.30333333333333,85.20000000000002,124.30000000000001,30,0.79,5,0,0.0,1,0,13.360000000000001,39.78333333333333,0.7090000000000032
2005-07-01,70.9483870967742,15.899999999999999,200.3,31,2.12,5,0,0.0,3,0,13.293548387096775,40.26129032258064,-1.183924731182799
2005-08-01,72.63870967741936,1.3999999999999986,238.19999999999993,31,5.42,5,2,0.0,3,0,12.403225806451612,37.15161290322581,1.5685161290322611
2005-09-01,65.30333333333334,70.1,79.20000000000003,30,7.43,8,2,0.0,0,0,13.03,27.136666666666667,1.1189999999999998
2005-10-01,53.329032258064515,378.0,16.200000000000003,31,11.450000000000001,17,4,0.0,0,1,15.316129032258065,58.60322580645161,-0.3420967741935499
2005-11-01,45.45,586.4999999999999,0.0,30,6.960000000000001,9,2,0.0,0,12,14.533333333333333,38.223333333333336,1.4816666666666691
2005-12-01,31.06451612903226,1052.0,0.0,31,2.7100000000000004,10,0,0.0,0,26,14.261290322580646,35.31935483870968,-4.1246774193548355
2006-01-01,36.24193548387097,891.4999999999999,0.0,31,6.75,14,2,0.0,0,21,15.567741935483872,49.903225806451616,6.849677419354837
2006-02-01,30.389285714285712,969.1,0.0,28,1.42,4,0,0.0,0,25,16.91785714285714,28.532142857142855,-0.8108483853311483
2006-03-01,36.63225806451613,879.4,0.0,31,0.39,4,0,0.0,0,23,15.216129032258063,36.4741935483871,-0.499354838709678
2006-04-01,46.81666666666667,545.5,0.0,30,2.14,11,0,0.0,0,8,15.639999999999999,34.95666666666667,-0.17249999999999233
2006-05-01,55.38387096774194,303.70000000000005,5.6000000000000085,31,8.17,14,5,0.0,0,0,15.187096774193549,51.52258064516129,-1.3233870967741836
2006-06-01,65.83,71.39999999999999,96.3,30,11.75,17,3,0.0,0,0,12.873333333333333,57.556666666666665,0.23566666666667402
2006-07-01,73.64193548387097,0.0,267.9,31,1.76,12,0,0.0,1,0,12.864516129032259,29.0258064516129,1.5096236559139697
2006-08-01,68.65483870967742,26.6,139.9,31,3.48,9,1,0.0,3,0,13.041935483870969,34.019354838709674,-2.415354838709675
2006-09-01,61.20666666666667,125.9,12.100000000000009,30,2.2199999999999998,11,0,0.0,0,0,12.65,30.35,-2.9776666666666713
2006-10-01,51.880645161290325,407.2,0.5,31,4.9,10,1,0.0,0,4,15.100000000000001,38.32258064516129,-1.7904838709677406
2006-11-01,47.64,520.8,0.0,30,6.609999999999999,12,2,0.0,0,9,13.136666666666667,52.623333333333335,3.671666666666667
2006-12-01,39.13548387096775,801.8,0.0,31,2.48,10,0,0.0,0,20,15.083870967741936,38.36774193548387,3.9462903225806514
2007-01-01,32.725806451612904,1000.5000000000001,0.0,31,3.54,11,1,0.0,0,20,15.819354838709678,45.903225806451616,3.333548387096773
2007-02-01,25.692857142857143,1100.6000000000001,0.0,28,1.61,6,1,0.0,0,28,16.260714285714286,32.69642857142857,-5.507276956759718
2007-03-01,36.519354838709674,882.8999999999999,0.0,31,6.16,13,2,0.0,0,22,17.18064516129032,35.58064516129032,-0.6122580645161335
2007-04-01,43.17333333333333,654.8000000000001,0.0,30,7.76,14,3,0.0,0,10,16.92,56.71666666666667,-3.8158333333333303
2007-05-01,57.74193548387097,254.0,29.0,31,2.7,7,1,0.0,0,1,14.448387096774193,32.11290322580645,1.0346774193548427
2007-06-01,65.13666666666667,75.10000000000001,79.2,30,2.84,10,0,0.0,2,0,14.203333333333335,38.593333333333334,-0.457666666666654
2007-07-01,70.8967741935484,6.499999999999993,189.29999999999998,31,5.29,12,2,0.0,0,0,12.503225806451614,38.88387096774194,-1.235537634408601
2007-08-01,69.66774193548386,23.700000000000003,168.40000000000003,31,0.56,6,0,0.0,2,0,12.254838709677419,24.48709677419355,-1.402451612903235
2007-09-01,63.876666666666665,92.29999999999998,58.60000000000001,30,3.2800000000000002,6,1,0.0,0,0,12.876666666666667,26.473333333333336,-0.30766666666667675
2007-10-01,56.958064516129035,267.09999999999997,17.799999999999983,31,2.86,11,1,0.0,0,2,12.606451612903227,42.29677419354839,3.2869354838709697
2007-11-01,41.32333333333334,710.2999999999998,0.0,30,3.8000000000000003,11,1,0.0,0,17,15.253333333333334,40.169999999999995,-2.644999999999996
2007-12-01,31.84193548387097,1027.8999999999999,0.0,31,5.0600000000000005,15,1,0.0,0,27,15.038709677419355,48.84193548387096,-3.347258064516126
2008-01-01,31.951612903225808,1024.5,0.0,31,2.77,7,1,0.0,0,25,16.00967741935484,36.70645161290323,2.5593548387096767
2008-02-01,31.982758620689655,957.5000000000001,0.0,29,6.42,13,2,0.0,0,26,15.789655172413791,50.76896551724138,0.782624521072794
2008-03-01,36.770967741935486,875.1,0.0,31,5.4399999999999995,11,1,0.0,0,22,16.896774193548385,41.49032258064516,-0.3606451612903214
2008-04-01,47.06333333333334,538.0999999999999,0.0,30,3.79,10,1,0.0,0,7,13.366666666666667,38.03,0.07416666666667737
2008-05-01,53.95483870967742,342.4,0.0,31,2.5,11,0,0.0,0,1,15.803225806451612,37.41612903225807,-2.7524193548387075
2008-06-01,67.94333333333333,38.800000000000004,127.1,30,3.73,12,1,0.0,3,0,12.646666666666667,39.17666666666666,2.3490000000000038
2008-07-01,73.29354838709678,0.0,257.1,31,4.99,10,2,0.0,2,0,12.438709677419356,35.91290322580645,1.1612365591397804
2008-08-01,67.22258064516129,13.200000000000003,82.10000000000004,31,3.0,11,1,0.0,0,0,11.251612903225807,33.564516129032256,-3.8476129032258086
2008-09-01,63.32,108.69999999999999,58.30000000000001,30,10.07,11,3,0.0,0,0,12.603333333333333,43.443333333333335,-0.8643333333333416
2008-10-01,50.67741935483871,444.00000000000006,0.0,31,3.46,7,1,0.0,0,5,14.596774193548388,37.18064516129032,-2.9937096774193535
2008-11-01,41.263333333333335,712.1,0.0,30,6.36,11,2,0.0,0,17,13.65,45.39,-2.7049999999999983
2008-12-01,36.26129032258064,890.9000000000001,0.0,31,6.29,15,2,0.0,0,21,19.225806451612904,53.119354838709675,1.0720967741935468
2009-01-01,23.822580645161292,1276.5,0.0,31,3.64,9,2,0.0,0,31,14.729032258064517,37.593548387096774,-5.569677419354839
2009-02-01,31.49285714285714,938.2,0.0,28,1.3399999999999999,7,0,0.0,0,24,16.892857142857142,33.003571428571426,0.2927230432402794
2009-03-01,36.064516129032256,897.0,0.0,31,2.87,9,0,0.0,0,21,16.112903225806452,39.24516129032258,-1.0670967741935513
2009-04-01,48.376666666666665,506.0999999999999,7.400000000000006,30,5.2299999999999995,12,2,0.0,0,9,16.66,40.35666666666667,1.3875000000000028
2009-05-01,57.08387096774193,253.5,8.099999999999994,31,3.15,17,0,0.0,0,0,13.896774193548387,48.07419354838709,0.376612903225805
2009-06-01,60.833333333333336,136.4,11.400000000000006,30,4.7700000000000005,15,1,0.0,0,0,12.406666666666666,63.940000000000005,-4.760999999999989
2009-07-01,68.31935483870969,19.400000000000006,122.3,31,7.2,15,3,0.0,0,0,13.287096774193548,49.25483870967742,-3.8129569892473114
2009-08-01,71.77741935483871,7.699999999999996,217.80000000000004,31,6.3,10,2,0.0,1,0,10.787096774193548,40.303225806451614,0.7072258064516177
2009-09-01,60.78333333333333,137.5,11.000000000000014,30,2.51,6,1,0.0,0,0,12.553333333333335,32.53666666666667,-3.4010000000000105
2009-10-01,50.84193548387096,438.9,0.0,31,6.93,12,2,0.0,0,2,15.04516129032258,54.729032258064514,-2.829193548387103
2009-11-01,47.56333333333334,523.0999999999999,0.0,30,2.26,11,0,0.0,0,6,13.81,50.21666666666667,3.595000000000006
2009-12-01,32.18387096774194,1017.2999999999998,0.0,31,4.23,10,2,0.0,0,25,17.019354838709678,39.91612903225807,-3.0053225806451564
2010-01-01,28.11935483870968,1143.3000000000002,0.0,31,4.45,9,2,0.0,0,29,14.600000000000001,44.87096774193548,-1.272903225806452
2010-02-01,31.264285714285712,944.6,0.0,28,3.61,10,2,0.0,0,25,16.557142857142857,47.135714285714286,0.06415161466885166
2010-03-01,42.400000000000006,700.5999999999999,0.0,31,13.82,14,6,0.0,0,12,17.283870967741933,47.71612903225807,5.268387096774198
2010-04-01,51.083333333333336,419.3,1.7999999999999972,30,2.1500000000000004,9,0,0.0,0,0,14.753333333333334,35.67666666666666,4.094166666666673
2010-05-01,61.04838709677419,157.2,34.7,31,2.58,8,0,0.0,1,0,13.806451612903226,30.94516129032258,4.341129032258067
2010-06-01,70.06333333333333,25.199999999999996,177.09999999999997,30,1.69,10,0,0.0,3,0,12.976666666666667,41.96333333333334,4.469000000000008
2010-07-01,77.03225806451613,0.0,373.0,31,4.65,8,1,0.0,7,0,13.558064516129033,31.280645161290323,4.899946236559131
2010-08-01,73.0,1.3999999999999986,249.40000000000003,31,4.15,8,2,0.0,3,0,12.825806451612904,32.30967741935484,1.9298064516129045
2010-09-01,68.06,39.50000000000001,131.3,30,2.58,7,0,0.0,2,0,14.95,36.01,3.8756666666666604
2010-10-01,54.49677419354839,336.99999999999994,11.400000000000006,31,5.55,10,3,0.0,0,0,15.870967741935484,45.91935483870968,0.8256451612903248
2010-11-01,43.980000000000004,630.6000000000001,0.0,30,4.12,9,1,0.0,0,13,14.94,48.67333333333333,0.011666666666670267
2010-12-01,31.703225806451613,1032.1999999999998,0.0,31,3.44,8,0,0.0,0,29,15.387096774193548,47.29677419354839,-3.4859677419354824
2011-01-01,26.5,1193.5,0.0,31,2.54,10,0,0.0,0,28,14.038709677419355,40.92258064516129,-2.892258064516131
2011-02-01,30.8,957.5999999999999,0.0,28,4.23,8,1,0.0,0,26,17.289285714285715,39.81785714285714,-0.4001340996168601
2011-03-01,38.39032258064516,824.9,0.0,31,2.3,8,0,0.0,0,22,15.816129032258065,44.71290322580645,1.258709677419354
