date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,34.54516129032258,944.1,0.0,31,0.0,0,0,0.0,0,18,25.345161290322583,0.0,-1.0254659498207843
2000-02-01,38.66896551724138,763.6,0.0,29,0.0,0,0,0.0,0,12,20.32758620689655,0.0,1.2261822660098574
2000-03-01,48.84516129032258,502.20000000000005,1.4000000000000057,31,0.0,0,0,0.0,0,1,23.606451612903225,0.0,4.122096774193544
2000-04-01,52.873333333333335,363.8,0.0,30,0.0,0,0,0.0,0,0,23.026666666666664,0.0,-2.5458333333333343
2000-05-01,65.25806451612904,79.0,87.0,31,0.0,0,0,0.0,0,0,21.151612903225807,0.0,0.020483870967751727
2000-06-01,72.26,6.100000000000001,223.90000000000003,30,0.0,0,0,0.0,0,0,19.67,0.0,-2.104561403508768
2000-07-01,73.86129032258064,0.0,274.70000000000005,31,0.0,0,0,0.0,0,0,17.906451612903226,0.0,-4.914221357063397
2000-08-01,74.46774193548387,0.0,293.5,31,0.0,0,0,0.0,0,0,19.53548387096774,0.0,-3.165714847773245
2000-09-01,67.65333333333334,50.7,130.3,30,0.0,0,0,0.0,0,0,20.293333333333333,0.0,-3.9915789473684242
2000-10-01,59.74516129032258,181.0,18.099999999999994,31,0.0,0,0,0.0,0,0,17.703225806451613,0.0,-0.6867741935483949
2000-11-01,47.42413793103448,509.70000000000005,0.0,29,0.0,0,0,0.0,0,4,21.26206896551724,0.0,-2.0037356321839113
2000-12-01,32.964516129032255,993.1000000000001,0.0,31,0.0,0,0,0.0,0,20,22.396774193548385,0.0,-7.832419354838713
2001-01-01,34.90967741935484,932.8000000000003,0.0,31,0.0,0,0,0.0,0,18,19.93548387096774,0.0,-0.6609498207885238
2001-02-01,38.66428571428571,737.4,0.0,28,0.0,0,0,0.0,0,12,40.667857142857144,0.0,1.2215024630541862
2001-03-01,42.11612903225806,709.4000000000001,0.0,31,0.0,0,0,0.0,0,4,48.770967741935486,0.0,-2.606935483870977
2001-04-01,53.93333333333333,336.0,4.0,30,0.0,0,0,0.0,0,0,40.27333333333333,0.0,-1.4858333333333391
2001-05-01,62.82258064516129,88.0,20.49999999999997,31,0.0,0,0,0.0,0,0,37.877419354838715,0.0,-2.414999999999999
2001-06-01,73.72,2.0,263.6,30,0.0,0,0,0.0,0,0,34.59666666666667,0.0,-0.6445614035087743
2001-07-01,74.07096774193548,0.0,281.20000000000005,31,0.0,0,0,0.0,0,0,37.81612903225806,0.0,-4.704543937708564
2001-08-01,77.52580645161291,0.0,388.30000000000007,31,0.0,0,0,0.0,2,0,36.07419354838709,0.0,-0.10765033164420856
2001-09-01,68.98,38.5,157.9,30,0.0,0,0,0.0,0,0,39.88666666666666,0.0,-2.6649122807017562
2001-10-01,59.57096774193548,188.10000000000002,19.799999999999997,31,0.0,0,0,0.0,0,0,41.84516129032258,0.0,-0.8609677419354895
2001-11-01,54.269999999999996,321.9,0.0,30,0.0,0,0,0.0,0,0,38.70666666666667,0.0,4.842126436781605
2001-12-01,45.91290322580645,591.7000000000002,0.0,31,0.0,0,0,0.0,0,4,41.13548387096775,0.0,5.115967741935485
2002-01-01,41.16129032258065,739.0000000000001,0.0,31,0.0,0,0,0.0,0,7,41.78387096774193,0.0,5.590663082437281
2002-02-01,41.478571428571435,658.6,0.0,28,0.0,0,0,0.0,0,6,46.09285714285714,0.0,4.03578817733991
2002-03-01,44.90967741935484,622.8,0.0,31,0.0,0,0,0.0,0,5,47.34193548387096,0.0,0.18661290322580726
2002-04-01,56.013333333333335,293.3,23.700000000000003,30,0.0,0,0,0.0,0,0,47.276666666666664,0.0,0.5941666666666663
2002-05-01,63.041935483870965,119.8,59.099999999999994,31,0.0,0,0,0.0,0,0,42.86774193548387,0.0,-2.1956451612903223
2002-07-01,78.45862068965518,0.0,390.3,29,0.0,0,0,0.0,2,0,19.186206896551724,0.0,-0.3168909899888632
2002-08-01,78.09354838709677,0.0,405.9,31,0.0,0,0,0.0,1,0,21.451612903225808,0.0,0.46009160383965764
2002-09-01,72.02666666666667,0.20000000000000284,211.0,30,0.0,0,0,0.0,0,0,20.063333333333333,0.0,0.3817543859649106
2002-10-01,59.50645161290323,225.79999999999995,55.500000000000014,31,0.0,0,0,0.0,0,0,20.967741935483872,0.0,-0.9254838709677458
2002-11-01,48.00666666666667,509.8,0.0,30,0.0,0,0,0.0,0,1,24.276666666666664,0.0,-1.4212068965517233
2002-12-01,37.47096774193548,853.3999999999999,0.0,31,0.0,0,0,0.0,0,11,22.31935483870968,0.0,-3.325967741935486
2003-01-01,31.029032258064515,1053.1,0.0,31,0.0,0,0,0.0,0,22,22.706451612903226,0.0,-4.541594982078852
2003-02-01,32.43928571428571,911.7000000000002,0.0,28,0.0,0,0,0.0,0,19,21.02857142857143,0.0,-5.003497536945815
2003-03-01,42.87096774193548,686.0000000000001,0.0,31,0.0,0,0,0.0,0,8,21.358064516129033,0.0,-1.852096774193555
2003-04-01,51.480000000000004,405.59999999999997,0.0,30,0.0,0,0,0.0,0,0,21.626666666666665,0.0,-3.939166666666665
2003-05-01,59.38709677419355,178.40000000000003,4.400000000000006,31,0.0,0,0,0.0,0,0,18.799999999999997,0.0,-5.850483870967736
2003-06-01,69.51333333333334,25.700000000000003,161.10000000000002,30,0.0,0,0,0.0,0,0,18.642857142857142,0.0,-4.851228070175438
2003-07-01,76.46129032258065,0.0,355.29999999999995,31,0.0,0,0,0.0,0,0,18.754166666666666,0.0,-2.3142213570633885
2003-08-01,77.53703703703704,0.0,338.5,27,0.0,0,0,0.0,0,0,18.548148148148147,0.0,-0.09641974622007865
2003-10-01,58.12580645161291,217.20000000000002,4.1000000000000085,31,0.0,0,0,0.0,0,0,21.470967741935485,0.0,-2.306129032258063
2003-11-01,52.60333333333333,372.7,0.7999999999999972,30,0.0,0,0,0.0,0,0,20.623333333333335,0.0,3.1754597701149407
2003-12-01,39.038709677419355,804.8,0.0,31,0.0,0,0,0.0,0,9,23.287096774193547,0.0,-1.7582258064516125
2004-01-01,30.02258064516129,1084.3000000000002,0.0,31,0.0,0,0,0.0,0,24,24.364516129032257,0.0,-5.548046594982075
2004-02-01,36.44137931034483,828.2,0.0,29,0.0,0,0,0.0,0,12,20.393103448275863,0.0,-1.0014039408866964
2004-03-01,45.229032258064514,612.9000000000001,0.0,31,0.0,0,0,0.0,0,2,22.416129032258063,0.0,0.5059677419354784
2004-04-01,53.906666666666666,339.9000000000001,7.1000000000000085,30,0.0,0,0,0.0,0,0,22.876666666666665,0.0,-1.5125000000000028
2004-05-01,68.69354838709677,47.400000000000006,161.89999999999995,31,1.29,7,0,0.0,0,0,18.9,9.22258064516129,3.4559677419354813
2004-06-01,72.03666666666666,6.600000000000001,217.7,30,7.77,13,2,0.0,0,0,14.336666666666668,34.43,-2.3278947368421115
2004-07-01,77.50322580645161,0.0,387.59999999999997,31,5.05,18,0,0.0,1,0,13.780645161290321,39.03225806451613,-1.2722858731924305
2004-08-01,75.47741935483872,0.0,324.8,31,3.26,15,1,0.0,0,0,13.548387096774194,30.161290322580644,-2.1560374284184007
2004-09-01,71.21000000000001,5.199999999999996,191.5,30,6.2,14,2,0.0,0,0,15.756666666666666,29.85666666666667,-0.43491228070175225
2004-10-01,58.52903225806452,212.7,12.100000000000009,31,1.54,8,0,0.0,0,0,15.719354838709679,36.65161290322581,-1.9029032258064547
2004-11-01,50.8,426.0,0.0,30,5.5,10,3,0.0,0,0,13.33,37.45666666666667,1.3721264367816062
2004-12-01,40.13225806451613,770.9,0.0,31,2.19,7,0,0.0,0,11,16.096774193548388,31.05806451612903,-0.6646774193548382
2005-01-01,35.72222222222222,790.5,0.0,27,2.59,6,1,0.0,0,10,12.62962962962963,50.93333333333334,0.1515949820788549
2005-02-01,36.41428571428572,800.4,0.0,28,1.8,9,0,0.0,0,15,12.314285714285715,39.93214285714286,-1.0284975369458067
2005-03-01,40.983870967741936,744.4999999999999,0.0,31,3.77,9,1,0.0,0,12,13.63225806451613,49.0,-3.7391935483870995
2005-04-01,54.93333333333333,308.0000000000001,6.0,30,3.85,10,1,0.0,0,0,15.066666666666666,40.14,-0.4858333333333391
2005-05-01,60.222580645161294,156.0,7.900000000000006,31,4.2299999999999995,11,1,0.0,0,0,13.638709677419355,38.26129032258064,-5.0149999999999935
2005-06-01,73.85,6.100000000000001,271.6,30,3.5500000000000003,12,1,0.0,1,0,13.473333333333333,28.513333333333332,-0.5145614035087789
2005-07-01,80.06774193548387,0.0,467.0999999999999,31,5.39,11,2,0.0,4,0,10.754838709677419,31.287096774193547,1.2922302558398258
2005-08-01,79.24333333333334,0.0,427.3,30,7.83,13,2,0.0,4,0,11.93,30.71333333333333,1.6098765500762227
2005-09-01,74.32333333333332,4.399999999999999,284.1,30,0.5900000000000001,9,0,0.0,0,0,12.08,20.13,2.6784210526315633
2005-10-01,59.961290322580645,198.10000000000002,41.89999999999999,31,7.78,13,2,0.0,0,0,13.616129032258065,52.47096774193548,-0.47064516129032796
2005-11-01,50.263333333333335,442.1,0.0,30,2.2,6,0,0.0,0,5,14.843333333333334,28.92,0.8354597701149444
2005-12-01,35.84516129032258,903.8000000000001,0.0,31,3.42,8,1,0.0,0,21,13.55483870967742,34.39032258064516,-4.951774193548388
2006-01-01,41.28064516129032,735.3000000000002,0.0,31,3.19,10,1,9.06,0,7,14.906451612903227,40.26129032258064,5.710017921146957
2006-02-01,37.50714285714286,769.8,0.0,28,1.55,5,0,0.0,0,15,15.571428571428571,34.60357142857143,0.06435960591133494
2006-03-01,45.358064516129026,608.9,0.0,31,0.1,2,0,0.0,0,4,14.732258064516131,29.383870967741935,0.6349999999999909
2006-04-01,57.29,237.70000000000002,6.3999999999999915,30,2.71,10,1,0.0,0,0,15.180000000000001,30.61,1.87083333333333
2006-05-01,63.70322580645161,95.4,55.2,31,2.36,12,1,0.0,0,0,13.296774193548387,30.31935483870968,-1.5343548387096746
2006-06-01,72.49333333333334,2.200000000000003,227.0,30,13.65,18,4,0.0,0,0,13.13,30.033333333333335,-1.8712280701754338
2006-07-01,79.01935483870967,0.0,434.59999999999985,31,5.3500000000000005,17,1,0.0,4,0,12.316129032258065,16.80322580645161,0.24384315906563359
2006-08-01,78.85483870967742,0.0,429.5,31,1.31,8,0,0.0,3,0,12.290322580645162,20.1,1.2213819264203067
2006-09-01,67.36,21.29999999999999,92.09999999999998,30,7.82,11,5,0.0,0,0,12.71,43.65333333333333,-4.284912280701761
2006-10-01,57.229032258064514,252.49999999999997,11.600000000000009,31,5.65,16,2,0.0,0,0,13.509677419354839,38.65483870967742,-3.202903225806459
2006-11-01,50.419999999999995,437.4,0.0,30,4.7299999999999995,8,2,0.0,0,1,12.946666666666667,41.59666666666667,0.9921264367816036
2006-12-01,43.8,657.2,0.0,31,1.69,6,0,0.0,0,7,12.62258064516129,28.374193548387098,3.0030645161290295
2007-01-01,40.40967741935484,762.2999999999998,0.0,31,2.83,7,1,0.0,0,16,14.329032258064515,44.94516129032258,4.839050179211476
