date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,33.61290322580645,973.0,0.0,31,3.77,8,0,70.86,0,24,16.032258064516128,50.84193548387097,0.3966129032258081
2000-02-01,39.8448275862069,729.5000000000001,0.0,29,3.32,7,1,44.339999999999996,0,17,13.617241379310345,57.68620689655172,4.021231527093597
2000-03-01,49.99677419354839,468.30000000000007,3.200000000000003,31,5.78,13,1,0.0,0,4,14.580645161290322,50.94516129032258,5.843225806451613
2000-04-01,54.45,319.3,2.799999999999997,30,6.21,18,2,0.0,0,0,14.236666666666668,67.74333333333333,-0.9350000000000023
2000-05-01,66.52903225806452,70.89999999999999,118.29999999999998,31,4.9799999999999995,14,1,0.0,1,0,12.606451612903227,58.690322580645166,1.8098387096774218
2000-06-01,73.50666666666666,6.999999999999993,262.20000000000005,30,7.71,21,1,0.0,5,0,11.773333333333333,58.333333333333336,0.46299999999999386
2000-07-01,73.04516129032258,0.0,249.4,31,10.42,18,4,0.0,0,0,10.529032258064515,62.9741935483871,-3.6888709677419342
2000-08-01,73.16774193548386,0.0,253.19999999999996,31,8.12,17,1,0.0,1,0,10.787096774193548,61.11290322580645,-2.066935483870978
2000-09-01,65.94,89.60000000000002,117.79999999999998,30,9.370000000000001,14,3,0.0,0,0,11.03,55.28333333333333,-2.5458333333333343
2000-10-01,57.88709677419355,234.10000000000002,13.600000000000009,31,0.15000000000000002,3,0,0.0,0,0,10.903225806451612,39.42903225806452,0.8345161290322665
2000-11-01,44.22666666666667,623.2000000000002,0.0,30,2.5900000000000003,7,1,0.0,0,11,12.93,52.830000000000005,-1.9918333333333322
2000-12-01,30.596774193548388,1066.4999999999998,0.0,31,2.2,5,0,5.55,0,30,14.02258064516129,48.78387096774193,-6.955645161290317
2001-01-01,33.03225806451613,991.0,0.0,31,2.66,8,1,7.66,0,25,11.770967741935483,47.987096774193546,-0.18403225806451218
2001-02-01,38.771428571428565,734.4,0.0,28,1.91,9,0,7.09,0,16,13.814285714285715,50.03214285714286,2.9478325123152658
2001-03-01,41.20322580645161,737.7,0.0,31,5.05,14,2,0.0,0,13,16.541935483870965,49.58387096774193,-2.950322580645164
2001-04-01,55.88333333333333,298.09999999999997,24.599999999999994,30,2.21,12,0,0.0,0,1,12.95,46.169999999999995,0.49833333333332774
2001-05-01,63.20322580645161,94.70000000000002,38.999999999999986,31,5.06,12,2,0.0,0,0,11.248387096774193,45.84193548387096,-1.5159677419354836
2001-06-01,73.28,8.5,256.9,30,6.56,18,2,0.0,2,0,10.55,43.263333333333335,0.2363333333333344
2001-07-01,73.14838709677419,1.999999999999993,254.59999999999997,31,5.0,10,2,0.0,2,0,11.238709677419354,44.096774193548384,-3.58564516129033
2001-08-01,76.51612903225806,0.0,356.99999999999994,31,5.36,11,2,0.0,5,0,9.86774193548387,43.354838709677416,1.2814516129032256
2001-09-01,65.99666666666667,71.69999999999999,101.60000000000001,30,3.6500000000000004,9,1,0.0,0,0,10.133333333333333,38.53,-2.4891666666666623
2001-10-01,56.81612903225806,272.40000000000003,18.69999999999999,31,1.35,5,0,0.0,0,1,13.238709677419354,27.693548387096776,-0.23645161290322392
2001-11-01,51.85333333333333,396.29999999999995,1.9000000000000057,30,1.68,6,1,0.0,0,5,11.933333333333334,32.16,5.634833333333333
2001-12-01,42.28064516129032,704.3000000000002,0.0,31,1.7000000000000002,10,0,0.0,0,13,12.619354838709677,43.06774193548387,4.7282258064516185
2002-01-01,39.87419354838709,778.9000000000001,0.0,31,2.12,12,0,5.12,0,18,13.548387096774194,46.90967741935484,6.65790322580645
2002-02-01,40.24285714285714,693.2,0.0,28,0.47000000000000003,7,0,0.0,0,18,15.896428571428572,39.17857142857143,4.419261083743841
2002-03-01,45.541935483870965,603.1999999999999,0.0,31,3.95,13,0,0.0,0,10,14.138709677419355,50.599999999999994,1.3883870967741885
2002-04-01,57.343333333333334,283.90000000000003,54.2,30,3.9699999999999998,13,1,0.0,1,1,14.830000000000002,48.13,1.9583333333333286
2002-05-01,62.751612903225805,137.10000000000002,67.39999999999998,31,5.54,15,2,0.0,0,0,13.106451612903227,46.248387096774195,-1.9675806451612914
2002-06-01,73.38333333333334,0.09999999999999432,251.60000000000005,30,4.79,11,1,0.0,4,0,10.370000000000001,39.07333333333334,0.3396666666666732
2002-07-01,78.19999999999999,0.0,409.20000000000005,31,4.19,9,2,0.0,14,0,10.351612903225806,40.596774193548384,1.4659677419354722
2002-08-01,77.46129032258065,1.6000000000000014,387.89999999999986,31,2.82,9,1,0.0,15,0,10.009677419354839,42.61612903225806,2.2266129032258135
2002-09-01,69.71333333333334,11.200000000000003,152.60000000000002,30,3.74,11,1,0.0,0,0,10.29,40.730000000000004,1.2275000000000063
2002-10-01,55.880645161290325,322.70000000000005,40.0,31,4.55,11,2,0.0,0,0,9.864516129032259,53.36774193548387,-1.1719354838709606
2002-11-01,44.86,604.2,0.0,30,4.25,12,1,0.0,0,7,13.423333333333334,50.35,-1.3584999999999994
2002-12-01,34.66451612903226,940.4,0.0,31,4.06,8,1,35.01,0,21,13.667741935483871,48.34193548387096,-2.887903225806447
2003-01-01,28.909677419354836,1118.8,0.0,31,2.5,9,1,10.2,0,25,15.225806451612904,53.21612903225807,-4.306612903225805
2003-02-01,31.085714285714285,949.5999999999998,0.0,28,5.76,15,2,127.42,0,23,14.742857142857144,53.94642857142857,-4.737881773399014
2003-03-01,43.95161290322581,652.5,0.0,31,4.98,13,1,16.35,0,12,12.525806451612903,47.36129032258064,-0.20193548387096882
2003-04-01,53.29666666666667,357.70000000000005,6.6000000000000085,30,2.84,12,0,0.0,0,1,13.376666666666667,48.04,-2.0883333333333383
2003-05-01,59.94193548387097,174.29999999999998,17.5,31,9.6,24,1,0.0,0,0,11.22258064516129,64.53548387096774,-4.777258064516126
