date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,23.86774193548387,1275.1000000000001,0.0,31,1.0,10,0,0.0,0,27,15.193548387096774,55.803225806451614,-0.7629032258064541
2000-02-01,32.59655172413793,939.6999999999999,0.0,29,0.73,9,0,0.0,0,20,15.517241379310345,55.44827586206897,6.04969827586207
2000-03-01,43.29032258064516,672.9999999999999,0.0,31,1.51,9,0,0.0,0,10,15.51290322580645,41.67741935483871,6.968793548387097
2000-04-01,47.43666666666666,526.9,0.0,30,3.0700000000000003,5,1,0.0,0,8,15.466666666666667,42.00666666666667,-1.1280000000000072
2000-05-01,60.75483870967742,176.6,44.999999999999986,31,5.890000000000001,10,3,0.0,0,0,15.09032258064516,43.809677419354834,1.0646935483871047
2000-06-01,68.76,32.1,144.90000000000003,30,6.27,9,3,0.0,0,0,13.92,31.573333333333334,-0.12270689655171907
2000-07-01,69.20645161290322,3.9000000000000057,134.3,31,2.59,8,0,0.0,0,0,12.680645161290323,34.60645161290322,-3.31997775305895
2000-08-01,69.25333333333333,18.1,145.70000000000002,30,2.8,8,1,0.0,0,0,11.686666666666667,32.38666666666667,-1.3706236559139882
2000-09-01,61.306666666666665,171.59999999999997,60.8,30,3.06,8,1,0.0,0,0,13.126666666666667,28.576666666666664,-2.3030000000000044
2000-10-01,53.70322580645161,353.09999999999997,2.9000000000000057,31,1.16,5,0,0.0,0,3,11.990322580645161,34.961290322580645,2.012258064516132
2000-11-01,38.61,791.7000000000002,0.0,30,0.92,8,0,0.0,0,14,14.163333333333334,64.83,-1.387833333333333
2000-12-01,18.44516129032258,1443.2000000000003,0.0,31,1.84,5,0,0.0,0,31,11.745161290322581,64.68387096774194,-11.28516129032258
2001-01-01,26.019354838709678,1208.4,0.0,31,0.29000000000000004,3,0,0.0,0,28,13.038709677419355,59.10967741935484,1.388709677419353
